site,site_desc,date,FMC,sd_FMC,n,se_FMC
DRO,Wet rainforest,2019-06-17T12:00:00Z,155.68043330198856,23.748887738459338,10,7.510057714917671
DRO,Wet rainforest,2019-12-02T12:00:00Z,21.92295241178376,NA,1,NA
DRO,Wet rainforest,2020-07-06T12:00:00Z,216.234727234937,50.05943510855575,10,15.83018333244345
DRO,Wet rainforest,2020-12-05T12:00:00Z,94.03767761322327,29.487892348852107,9,9.82929744961737
DRO,Wet rainforest,2021-06-07T12:00:00Z,238.68753070920653,92.18610781781318,7,34.84307366013156
DRO,Wet rainforest,2021-12-06T12:00:00Z,184.4499738965814,88.6800867360154,7,33.51792224959062
DRO,Wet rainforest,2022-06-13T12:00:00Z,261.80894994915707,17.041296936121086,4,8.520648468060543
MLES,Sclerophyll,2019-06-20T12:00:00Z,143.3697907983606,25.34425934955579,10,8.014558515461385
MLES,Sclerophyll,2019-12-04T12:00:00Z,13.527550698302381,2.4470465927112115,6,0.999002588159773
MLES,Sclerophyll,2020-07-01T12:00:00Z,185.70741856464645,77.40743960360719,10,24.478381698932008
MLES,Sclerophyll,2020-12-04T12:00:00Z,84.14635632678592,45.40520275647359,9,15.135067585491198
MLES,Sclerophyll,2021-06-09T12:00:00Z,200.2123298134751,82.64529417271956,10,26.134736748043498
MLES,Sclerophyll,2021-12-08T12:00:00Z,59.243194657515545,63.04863489047977,10,19.93772896182768
MLES,Sclerophyll,2022-06-10T12:00:00Z,170.88643932734232,77.45526863605988,10,24.49350656701527
MLRF,Dry rainforest,2019-06-20T12:00:00Z,167.00985172305323,26.227241637340608,10,8.293782031760015
MLRF,Dry rainforest,2019-12-04T12:00:00Z,24.952332088863038,4.759453037414739,8,1.6827207587474362
MLRF,Dry rainforest,2020-06-04T12:00:00Z,176.73083962708415,23.901342649257735,10,7.558268190777744
MLRF,Dry rainforest,2020-12-04T12:00:00Z,148.58283696521295,36.79409831014722,10,11.635315511221766
MLRF,Dry rainforest,2021-06-09T12:00:00Z,219.64831372907042,41.00308648769029,9,13.667695495896764
MLRF,Dry rainforest,2021-12-08T12:00:00Z,126.49373951993954,61.51575315330542,9,20.505251051101805
MLRF,Dry rainforest,2022-06-10T12:00:00Z,217.69732665599562,63.747683106646875,8,22.53820950482056
PNW,Dry savanna,2019-06-21T12:00:00Z,9.621344928915102,0.5365357194136402,9,0.17884523980454672
PNW,Dry savanna,2019-12-05T12:00:00Z,3.57799435350559,0.34433974596069084,9,0.11477991532023028
PNW,Dry savanna,2020-06-18T12:00:00Z,10.114790660548534,0.5498404869615521,7,0.2078201698935599
PNW,Dry savanna,2020-12-04T12:00:00Z,5.883466853724757,2.6403782764738994,7,0.997969183812469
PNW,Dry savanna,2021-06-10T12:00:00Z,12.7347647441179,1.3459641695626268,7,0.5087266380380404
PNW,Dry savanna,2021-12-09T12:00:00Z,13.151302265330697,2.26111921242192,8,0.7994263640873626
STCK,Wet savanna,2019-06-20T12:00:00Z,42.0717673218015,14.892666196963452,10,4.70947456150023
STCK,Wet savanna,2020-06-11T12:00:00Z,26.439024795234968,7.727760596124775,9,2.5759201987082583
STCK,Wet savanna,2020-12-04T12:00:00Z,14.499811406464413,20.788890307154553,10,6.574024339800579
STCK,Wet savanna,2021-06-11T12:00:00Z,18.27149727671784,1.1423018316257685,5,0.5108529092675475
STCK,Wet savanna,2021-12-09T12:00:00Z,11.020983862024572,1.5259391190975578,6,0.622962036723511
STCK,Wet savanna,2022-06-10T12:00:00Z,13.185046354852746,2.5806279038177853,2,1.8247794905087813
DRO,Wet rainforest,2019-03-27T13:00:00Z,166.6540020263425,NA,NA,NA
DRO,Wet rainforest,2019-06-17T11:00:00Z,178.86904761904765,NA,NA,NA
MLRF,Dry rainforest,2018-10-08T11:00:00Z,9.757348791873996,NA,NA,NA
MLRF,Dry rainforest,2018-12-13T13:00:00Z,38.17780741804751,NA,NA,NA
MLRF,Dry rainforest,2019-05-10T11:00:00Z,63.70827032685822,NA,NA,NA
MLRF,Dry rainforest,2019-06-20T14:00:00Z,81.64475979993021,NA,NA,NA
MLES,Sclerophyll,2018-10-08T12:00:00Z,10.430473461102153,NA,NA,NA
MLES,Sclerophyll,2018-12-13T11:00:00Z,43.441399486536504,NA,NA,NA
MLES,Sclerophyll,2019-05-10T12:00:00Z,65.58595069233368,NA,NA,NA
PNW,Dry savanna,2018-10-08T08:00:00Z,6.879872531724808,NA,NA,NA
PNW,Dry savanna,2019-06-21T17:00:00Z,4.633913990201417,NA,NA,NA
PNW,Dry savanna,2019-07-16T13:00:00Z,6.484757757212847,NA,NA,NA
STCK,Wet savanna,2018-10-08T10:00:00Z,6.988222097588323,NA,NA,NA
STCK,Wet savanna,2018-12-12T14:00:00Z,32.43409983174424,NA,NA,NA
STCK,Wet savanna,2019-05-10T12:00:00Z,65.58595069233368,NA,NA,NA
STCK,Wet savanna,2019-06-20T18:00:00Z,13.159178604692414,NA,NA,NA
STCK,Wet savanna,2019-06-20T09:00:00Z,99.08251716762355,NA,NA,NA
STCK,Wet savanna,2019-07-08T11:00:00Z,19.430522907703896,NA,NA,NA
