site,Months,V3
DRO,6,0.112169068739404
DRO,12,0.268975274006299
DRO,18,0.381452855415886
DRO,24,0.518415074733542
DRO,30,0.629988709310943
DRO,36,0.764010243637226
DRO,42,0.907746372912574
DRO,48,1.05450561759506
MLRF,6,0.0852998254053839
MLRF,12,0.184516743100182
MLRF,18,0.266502802784158
MLRF,24,0.356418842179723
MLRF,30,0.440311085561146
MLRF,36,0.532162028116091
MLRF,42,0.619474529297819
MLRF,48,0.708472775901855
MLES,6,0.0940664868377704
MLES,12,0.213524324019543
MLES,18,0.308004012283368
MLES,24,0.412273012252351
MLES,30,0.508525436345891
MLES,36,0.616423704694066
MLES,42,0.718526941172949
MLES,48,0.823398870315106
STCK,6,0.0392708574797982
STCK,12,0.0848138037726314
STCK,18,0.125001324582098
STCK,24,0.159183242353813
STCK,30,0.199078089565498
STCK,36,0.237487113948689
STCK,42,0.278582626967182
STCK,48,0.312912397329731
PNW,6,0.0275588641641096
PNW,12,0.0524953240855668
PNW,18,0.0804509451816823
PNW,24,0.102651983794843
PNW,30,0.131816051813093
PNW,36,0.153978613404074
PNW,42,0.180076215324121
PNW,48,0.202093811555007
