Log Values
Reading , Values
06/09/2018 23:59:01,19.09°C
07/09/2018 00:19:01,19.653°C
07/09/2018 00:39:01,19.528°C
07/09/2018 00:59:01,19.403°C
07/09/2018 01:19:01,19.278°C
07/09/2018 01:39:01,19.528°C
07/09/2018 01:59:01,19.591°C
07/09/2018 02:19:01,18.84°C
07/09/2018 02:39:01,17.714°C
07/09/2018 02:59:01,18.277°C
07/09/2018 03:19:01,18.277°C
07/09/2018 03:39:01,17.401°C
07/09/2018 03:59:01,17.213°C
07/09/2018 04:19:01,17.088°C
07/09/2018 04:39:01,16.9°C
07/09/2018 04:59:01,16.274°C
07/09/2018 05:19:01,16.9°C
07/09/2018 05:39:01,17.401°C
07/09/2018 05:59:01,18.089°C
07/09/2018 06:19:01,17.776°C
07/09/2018 06:39:01,16.211°C
07/09/2018 06:59:01,17.526°C
07/09/2018 07:19:01,20.717°C
07/09/2018 07:39:01,24.094°C
07/09/2018 07:59:01,25.781°C
07/09/2018 08:19:01,27.219°C
07/09/2018 08:39:01,25.531°C
07/09/2018 08:59:01,29.03°C
07/09/2018 09:19:01,30.154°C
07/09/2018 09:39:01,30.904°C
07/09/2018 09:59:01,31.716°C
07/09/2018 10:19:01,32.714°C
07/09/2018 10:39:01,32.714°C
07/09/2018 10:59:01,33.089°C
07/09/2018 11:19:01,33.838°C
07/09/2018 11:39:01,34.899°C
07/09/2018 11:59:01,33.776°C
07/09/2018 12:19:01,34.524°C
07/09/2018 12:39:01,35.086°C
07/09/2018 12:59:01,35.523°C
07/09/2018 13:19:01,35.523°C
07/09/2018 13:39:01,36.271°C
07/09/2018 13:59:01,34.4°C
07/09/2018 14:19:01,37.27°C
07/09/2018 14:39:01,34.774°C
07/09/2018 14:59:01,34.212°C
07/09/2018 15:19:01,32.59°C
07/09/2018 15:39:01,33.463°C
07/09/2018 15:59:01,34.275°C
07/09/2018 16:19:01,33.089°C
07/09/2018 16:39:01,32.902°C
07/09/2018 16:59:01,30.592°C
07/09/2018 17:19:01,28.718°C
07/09/2018 17:39:01,28.281°C
07/09/2018 17:59:01,27.406°C
07/09/2018 18:19:01,26.156°C
07/09/2018 18:39:01,25.281°C
07/09/2018 18:59:01,24.656°C
07/09/2018 19:19:01,24.094°C
07/09/2018 19:39:01,23.406°C
07/09/2018 19:59:01,22.343°C
07/09/2018 20:19:01,21.905°C
07/09/2018 20:39:01,20.654°C
07/09/2018 20:59:01,19.716°C
07/09/2018 21:19:01,19.466°C
07/09/2018 21:39:01,19.778°C
07/09/2018 21:59:01,19.466°C
07/09/2018 22:19:01,19.778°C
07/09/2018 22:39:01,19.215°C
07/09/2018 22:59:01,18.715°C
07/09/2018 23:19:01,18.089°C
07/09/2018 23:39:01,17.776°C
07/09/2018 23:59:01,17.213°C
08/09/2018 00:19:01,16.211°C
08/09/2018 00:39:01,15.46°C
08/09/2018 00:59:01,15.022°C
08/09/2018 01:19:01,15.21°C
08/09/2018 01:39:01,16.775°C
08/09/2018 01:59:01,16.149°C
08/09/2018 02:19:01,15.711°C
08/09/2018 02:39:01,15.397°C
08/09/2018 02:59:01,15.272°C
08/09/2018 03:19:01,15.147°C
08/09/2018 03:39:01,15.147°C
08/09/2018 03:59:01,15.46°C
08/09/2018 04:19:01,16.337°C
08/09/2018 04:39:01,16.211°C
08/09/2018 04:59:01,15.961°C
08/09/2018 05:19:01,15.585°C
08/09/2018 05:39:01,15.21°C
08/09/2018 05:59:01,15.335°C
08/09/2018 06:19:01,14.959°C
08/09/2018 06:39:01,15.084°C
08/09/2018 06:59:01,16.399°C
08/09/2018 07:19:01,19.278°C
08/09/2018 07:39:01,23.156°C
08/09/2018 07:59:01,25.844°C
08/09/2018 08:19:01,27.094°C
08/09/2018 08:39:01,25.844°C
08/09/2018 08:59:01,28.593°C
08/09/2018 09:19:01,29.905°C
08/09/2018 09:39:01,30.904°C
08/09/2018 09:59:01,31.216°C
08/09/2018 10:19:01,32.277°C
08/09/2018 10:39:01,34.587°C
08/09/2018 10:59:01,34.462°C
