Log Values
Reading , Values
06/09/2018 23:59:01,15.809°C
07/09/2018 00:19:01,15.747°C
07/09/2018 00:39:01,15.872°C
07/09/2018 00:59:01,15.872°C
07/09/2018 01:19:01,15.872°C
07/09/2018 01:39:01,15.684°C
07/09/2018 01:59:01,15.747°C
07/09/2018 02:19:01,15.621°C
07/09/2018 02:39:01,15.621°C
07/09/2018 02:59:01,15.684°C
07/09/2018 03:19:01,15.809°C
07/09/2018 03:39:01,15.621°C
07/09/2018 03:59:01,15.308°C
07/09/2018 04:19:01,15.246°C
07/09/2018 04:39:01,15.246°C
07/09/2018 04:59:01,15.371°C
07/09/2018 05:19:01,15.496°C
07/09/2018 05:39:01,15.434°C
07/09/2018 05:59:01,15.246°C
07/09/2018 06:19:01,15.12°C
07/09/2018 06:39:01,15.12°C
07/09/2018 06:59:01,15.308°C
07/09/2018 07:19:01,15.371°C
07/09/2018 07:39:01,15.997°C
07/09/2018 07:59:01,16.686°C
07/09/2018 08:19:01,16.936°C
07/09/2018 08:39:01,17.687°C
07/09/2018 08:59:01,18.501°C
07/09/2018 09:19:01,19.002°C
07/09/2018 09:39:01,19.628°C
07/09/2018 09:59:01,20.441°C
07/09/2018 10:19:01,20.629°C
07/09/2018 10:39:01,19.377°C
07/09/2018 10:59:01,19.064°C
07/09/2018 11:19:01,18.126°C
07/09/2018 11:39:01,19.628°C
07/09/2018 11:59:01,22.067°C
07/09/2018 12:19:01,23.13°C
07/09/2018 12:39:01,23.568°C
07/09/2018 12:59:01,25.318°C
07/09/2018 13:19:01,24.818°C
07/09/2018 13:39:01,23.756°C
07/09/2018 13:59:01,24.256°C
07/09/2018 14:19:01,24.881°C
07/09/2018 14:39:01,26.693°C
07/09/2018 14:59:01,23.943°C
07/09/2018 15:19:01,23.881°C
07/09/2018 15:39:01,22.943°C
07/09/2018 15:59:01,21.755°C
07/09/2018 16:19:01,21.567°C
07/09/2018 16:39:01,21.442°C
07/09/2018 16:59:01,20.503°C
07/09/2018 17:19:01,19.815°C
07/09/2018 17:39:01,19.064°C
07/09/2018 17:59:01,18.501°C
07/09/2018 18:19:01,17.875°C
07/09/2018 18:39:01,17.562°C
07/09/2018 18:59:01,17.5°C
07/09/2018 19:19:01,17.374°C
07/09/2018 19:39:01,17.187°C
07/09/2018 19:59:01,16.811°C
07/09/2018 20:19:01,16.623°C
07/09/2018 20:39:01,16.623°C
07/09/2018 20:59:01,16.686°C
07/09/2018 21:19:01,16.435°C
07/09/2018 21:39:01,16.122°C
07/09/2018 21:59:01,15.997°C
07/09/2018 22:19:01,16.06°C
07/09/2018 22:39:01,15.934°C
07/09/2018 22:59:01,15.872°C
07/09/2018 23:19:01,15.872°C
07/09/2018 23:39:01,15.809°C
07/09/2018 23:59:01,15.684°C
