Log Values
Reading , Values
15/10/2018 13:59:01,25.674°C
15/10/2018 14:19:01,25.361°C
15/10/2018 14:39:01,25.236°C
15/10/2018 14:59:01,25.361°C
15/10/2018 15:19:01,25.236°C
15/10/2018 15:39:01,25.361°C
15/10/2018 15:59:01,25.174°C
15/10/2018 16:19:01,25.174°C
15/10/2018 16:39:01,24.924°C
15/10/2018 16:59:01,24.861°C
15/10/2018 17:19:01,24.736°C
15/10/2018 17:39:01,24.736°C
15/10/2018 17:59:01,24.736°C
15/10/2018 18:19:01,24.549°C
15/10/2018 18:39:01,24.361°C
15/10/2018 18:59:01,24.111°C
15/10/2018 19:19:01,23.861°C
15/10/2018 19:39:01,23.736°C
15/10/2018 19:59:01,23.673°C
15/10/2018 20:19:01,23.486°C
15/10/2018 20:39:01,23.423°C
15/10/2018 20:59:01,23.486°C
15/10/2018 21:19:01,23.548°C
15/10/2018 21:39:01,23.611°C
15/10/2018 21:59:01,23.611°C
15/10/2018 22:19:01,23.486°C
15/10/2018 22:39:01,23.423°C
15/10/2018 22:59:01,23.486°C
15/10/2018 23:19:01,23.486°C
15/10/2018 23:39:01,23.486°C
15/10/2018 23:59:01,23.548°C
16/10/2018 00:19:01,23.548°C
16/10/2018 00:39:01,23.486°C
16/10/2018 00:59:01,23.486°C
16/10/2018 01:19:01,23.423°C
16/10/2018 01:39:01,23.361°C
16/10/2018 01:59:01,23.236°C
16/10/2018 02:19:01,23.111°C
16/10/2018 02:39:01,23.048°C
16/10/2018 02:59:01,23.048°C
16/10/2018 03:19:01,22.986°C
16/10/2018 03:39:01,22.986°C
16/10/2018 03:59:01,22.923°C
16/10/2018 04:19:01,22.923°C
16/10/2018 04:39:01,22.923°C
16/10/2018 04:59:01,22.736°C
16/10/2018 05:19:01,22.736°C
16/10/2018 05:39:01,22.798°C
16/10/2018 05:59:01,22.736°C
16/10/2018 06:19:01,22.611°C
16/10/2018 06:39:01,22.611°C
16/10/2018 06:59:01,22.798°C
16/10/2018 07:19:01,23.111°C
16/10/2018 07:39:01,23.361°C
16/10/2018 07:59:01,23.673°C
16/10/2018 08:19:01,24.236°C
16/10/2018 08:39:01,24.611°C
16/10/2018 08:59:01,24.924°C
16/10/2018 09:19:01,25.174°C
16/10/2018 09:39:01,25.486°C
16/10/2018 09:59:01,25.861°C
16/10/2018 10:19:01,26.486°C
16/10/2018 10:39:01,26.674°C
16/10/2018 10:59:01,26.611°C
16/10/2018 11:19:01,26.611°C
16/10/2018 11:39:01,26.611°C
16/10/2018 11:59:01,26.799°C
16/10/2018 12:19:01,26.799°C
16/10/2018 12:39:01,26.549°C
16/10/2018 12:59:01,26.674°C
16/10/2018 13:19:01,26.486°C
16/10/2018 13:39:01,26.049°C
16/10/2018 13:59:01,26.549°C
16/10/2018 14:19:01,26.111°C
16/10/2018 14:39:01,25.674°C
16/10/2018 14:59:01,25.486°C
16/10/2018 15:19:01,25.486°C
16/10/2018 15:39:01,25.236°C
16/10/2018 15:59:01,25.486°C
16/10/2018 16:19:01,25.174°C
16/10/2018 16:39:01,24.986°C
16/10/2018 16:59:01,24.986°C
16/10/2018 17:19:01,24.924°C
16/10/2018 17:39:01,24.736°C
16/10/2018 17:59:01,24.424°C
16/10/2018 18:19:01,24.236°C
16/10/2018 18:39:01,23.986°C
