Log Values
Reading , Values
16/10/2018 14:59:01,36.658°C
16/10/2018 15:19:01,38.03°C
16/10/2018 15:39:01,38.653°C
16/10/2018 15:59:01,37.843°C
16/10/2018 16:19:01,35.723°C
16/10/2018 16:39:01,33.353°C
16/10/2018 16:59:01,32.667°C
16/10/2018 17:19:01,30.42°C
16/10/2018 17:39:01,27.672°C
16/10/2018 17:59:01,26.047°C
16/10/2018 18:19:01,25.297°C
16/10/2018 18:39:01,24.672°C
16/10/2018 18:59:01,24.171°C
16/10/2018 19:19:01,24.109°C
16/10/2018 19:39:01,24.109°C
16/10/2018 19:59:01,24.046°C
16/10/2018 20:19:01,23.859°C
16/10/2018 20:39:01,23.796°C
16/10/2018 20:59:01,23.484°C
16/10/2018 21:19:01,23.359°C
16/10/2018 21:39:01,23.108°C
16/10/2018 21:59:01,23.046°C
16/10/2018 22:19:01,22.796°C
16/10/2018 22:39:01,22.545°C
16/10/2018 22:59:01,22.17°C
16/10/2018 23:19:01,21.857°C
16/10/2018 23:39:01,21.857°C
16/10/2018 23:59:01,21.857°C
17/10/2018 00:19:01,21.545°C
17/10/2018 00:39:01,20.981°C
17/10/2018 00:59:01,20.543°C
17/10/2018 01:19:01,20.418°C
17/10/2018 01:39:01,20.543°C
17/10/2018 01:59:01,20.293°C
17/10/2018 02:19:01,20.293°C
17/10/2018 02:39:01,20.23°C
17/10/2018 02:59:01,20.043°C
17/10/2018 03:19:01,20.043°C
17/10/2018 03:39:01,19.855°C
17/10/2018 03:59:01,19.917°C
17/10/2018 04:19:01,19.855°C
17/10/2018 04:39:01,19.792°C
17/10/2018 04:59:01,19.667°C
17/10/2018 05:19:01,19.792°C
17/10/2018 05:39:01,19.792°C
17/10/2018 05:59:01,19.104°C
17/10/2018 06:19:01,18.478°C
17/10/2018 06:39:01,18.352°C
17/10/2018 06:59:01,20.043°C
17/10/2018 07:19:01,25.672°C
17/10/2018 07:39:01,28.484°C
17/10/2018 07:59:01,30.607°C
17/10/2018 08:19:01,32.355°C
17/10/2018 08:39:01,34.788°C
17/10/2018 08:59:01,35.661°C
17/10/2018 09:19:01,37.282°C
17/10/2018 09:39:01,36.783°C
17/10/2018 09:59:01,37.406°C
17/10/2018 10:19:01,38.466°C
17/10/2018 10:39:01,39.089°C
17/10/2018 10:59:01,40.086°C
17/10/2018 11:19:01,39.961°C
17/10/2018 11:39:01,39.276°C
17/10/2018 11:59:01,39.214°C
17/10/2018 12:19:01,39.276°C
17/10/2018 12:39:01,39.961°C
17/10/2018 12:59:01,40.335°C
17/10/2018 13:19:01,40.397°C
17/10/2018 13:39:01,39.65°C
17/10/2018 13:59:01,38.03°C
17/10/2018 14:19:01,37.219°C
17/10/2018 14:39:01,34.476°C
