Log Values
Reading , Values
17/10/2018 16:59:01,19.778°C
17/10/2018 17:19:01,19.841°C
17/10/2018 17:39:01,19.716°C
17/10/2018 17:59:01,19.278°C
17/10/2018 18:19:01,18.903°C
17/10/2018 18:39:01,18.652°C
17/10/2018 18:59:01,18.464°C
17/10/2018 19:19:01,18.339°C
17/10/2018 19:39:01,18.152°C
17/10/2018 19:59:01,18.026°C
17/10/2018 20:19:01,17.901°C
17/10/2018 20:39:01,17.714°C
17/10/2018 20:59:01,17.588°C
17/10/2018 21:19:01,17.338°C
17/10/2018 21:39:01,17.15°C
17/10/2018 21:59:01,17.338°C
17/10/2018 22:19:01,17.15°C
17/10/2018 22:39:01,16.775°C
17/10/2018 22:59:01,16.712°C
17/10/2018 23:19:01,16.775°C
17/10/2018 23:39:01,16.712°C
17/10/2018 23:59:01,16.65°C
18/10/2018 00:19:01,16.712°C
18/10/2018 00:39:01,16.9°C
18/10/2018 00:59:01,16.837°C
18/10/2018 01:19:01,16.837°C
18/10/2018 01:39:01,16.837°C
18/10/2018 01:59:01,16.962°C
18/10/2018 02:19:01,16.962°C
18/10/2018 02:39:01,17.088°C
18/10/2018 02:59:01,17.025°C
18/10/2018 03:19:01,16.962°C
18/10/2018 03:39:01,17.025°C
18/10/2018 03:59:01,17.15°C
18/10/2018 04:19:01,17.213°C
18/10/2018 04:39:01,17.15°C
18/10/2018 04:59:01,17.088°C
18/10/2018 05:19:01,17.15°C
18/10/2018 05:39:01,17.15°C
18/10/2018 05:59:01,17.15°C
18/10/2018 06:19:01,17.213°C
18/10/2018 06:39:01,17.338°C
18/10/2018 06:59:01,17.526°C
18/10/2018 07:19:01,17.714°C
18/10/2018 07:39:01,17.964°C
18/10/2018 07:59:01,18.402°C
18/10/2018 08:19:01,18.715°C
18/10/2018 08:39:01,19.028°C
18/10/2018 08:59:01,19.403°C
18/10/2018 09:19:01,19.653°C
18/10/2018 09:39:01,20.216°C
18/10/2018 09:59:01,20.654°C
18/10/2018 10:19:01,21.217°C
18/10/2018 10:39:01,21.78°C
18/10/2018 10:59:01,22.218°C
18/10/2018 11:19:01,22.468°C
18/10/2018 11:39:01,22.718°C
18/10/2018 11:59:01,22.906°C
18/10/2018 12:19:01,23.406°C
18/10/2018 12:39:01,24.469°C
18/10/2018 12:59:01,23.844°C
18/10/2018 13:19:01,23.468°C
18/10/2018 13:39:01,22.906°C
18/10/2018 13:59:01,22.468°C
18/10/2018 14:19:01,22.155°C
18/10/2018 14:39:01,21.467°C
18/10/2018 14:59:01,21.655°C
18/10/2018 15:19:01,21.467°C
18/10/2018 15:39:01,21.592°C
18/10/2018 15:59:01,21.592°C
18/10/2018 16:19:01,20.904°C
18/10/2018 16:39:01,20.717°C
18/10/2018 16:59:01,20.467°C
18/10/2018 17:19:01,20.341°C
18/10/2018 17:39:01,19.966°C
18/10/2018 17:59:01,19.778°C
18/10/2018 18:19:01,19.466°C
18/10/2018 18:39:01,19.215°C
18/10/2018 18:59:01,19.09°C
18/10/2018 19:19:01,18.777°C
18/10/2018 19:39:01,18.527°C
18/10/2018 19:59:01,18.464°C
18/10/2018 20:19:01,18.402°C
18/10/2018 20:39:01,18.464°C
18/10/2018 20:59:01,18.464°C
18/10/2018 21:19:01,18.402°C
18/10/2018 21:39:01,18.339°C
18/10/2018 21:59:01,18.277°C
18/10/2018 22:19:01,18.339°C
18/10/2018 22:39:01,18.277°C
18/10/2018 22:59:01,18.214°C
18/10/2018 23:19:01,18.152°C
18/10/2018 23:39:01,18.152°C
18/10/2018 23:59:01,18.277°C
19/10/2018 00:19:01,18.277°C
19/10/2018 00:39:01,18.339°C
19/10/2018 00:59:01,18.277°C
19/10/2018 01:19:01,18.152°C
19/10/2018 01:39:01,18.152°C
19/10/2018 01:59:01,18.152°C
19/10/2018 02:19:01,18.089°C
19/10/2018 02:39:01,18.026°C
19/10/2018 02:59:01,17.839°C
19/10/2018 03:19:01,17.526°C
19/10/2018 03:39:01,17.275°C
19/10/2018 03:59:01,16.9°C
19/10/2018 04:19:01,16.587°C
19/10/2018 04:39:01,16.712°C
19/10/2018 04:59:01,16.712°C
19/10/2018 05:19:01,16.712°C
