Log Values
Reading , Values
20/12/2018 12:59:01,27.119°C
20/12/2018 13:19:01,29.805°C
20/12/2018 13:39:01,29.305°C
20/12/2018 13:59:01,30.679°C
20/12/2018 14:19:01,30.991°C
20/12/2018 14:39:01,30.929°C
20/12/2018 14:59:01,31.054°C
20/12/2018 15:19:01,28.681°C
20/12/2018 15:39:01,28.119°C
20/12/2018 15:59:01,27.119°C
20/12/2018 16:19:01,26.432°C
20/12/2018 16:39:01,25.807°C
20/12/2018 16:59:01,25.432°C
20/12/2018 17:19:01,24.932°C
20/12/2018 17:39:01,24.369°C
20/12/2018 17:59:01,24.056°C
20/12/2018 18:19:01,23.494°C
20/12/2018 18:39:01,22.993°C
20/12/2018 18:59:01,22.681°C
20/12/2018 19:19:01,22.431°C
20/12/2018 19:39:01,22.368°C
20/12/2018 19:59:01,22.305°C
20/12/2018 20:19:01,22.118°C
20/12/2018 20:39:01,21.993°C
20/12/2018 20:59:01,21.868°C
20/12/2018 21:19:01,21.805°C
20/12/2018 21:39:01,21.743°C
20/12/2018 21:59:01,21.68°C
20/12/2018 22:19:01,21.68°C
20/12/2018 22:39:01,21.68°C
20/12/2018 22:59:01,21.617°C
20/12/2018 23:19:01,21.68°C
20/12/2018 23:39:01,21.43°C
20/12/2018 23:59:01,21.117°C
21/12/2018 00:19:01,20.992°C
21/12/2018 00:39:01,20.929°C
21/12/2018 00:59:01,20.929°C
21/12/2018 01:19:01,21.054°C
21/12/2018 01:39:01,20.742°C
21/12/2018 01:59:01,20.554°C
21/12/2018 02:19:01,20.554°C
21/12/2018 02:39:01,20.241°C
21/12/2018 02:59:01,20.053°C
21/12/2018 03:19:01,20.053°C
21/12/2018 03:39:01,19.928°C
21/12/2018 03:59:01,19.866°C
21/12/2018 04:19:01,19.803°C
21/12/2018 04:39:01,19.928°C
21/12/2018 04:59:01,19.928°C
21/12/2018 05:19:01,19.928°C
21/12/2018 05:39:01,19.866°C
21/12/2018 05:59:01,19.74°C
21/12/2018 06:19:01,19.866°C
21/12/2018 06:39:01,20.116°C
21/12/2018 06:59:01,20.491°C
21/12/2018 07:19:01,21.054°C
21/12/2018 07:39:01,21.743°C
21/12/2018 07:59:01,22.18°C
21/12/2018 08:19:01,22.431°C
21/12/2018 08:39:01,22.493°C
21/12/2018 08:59:01,22.931°C
21/12/2018 09:19:01,25.244°C
21/12/2018 09:39:01,26.057°C
21/12/2018 09:59:01,25.369°C
21/12/2018 10:19:01,26.057°C
21/12/2018 10:39:01,26.807°C
21/12/2018 10:59:01,27.744°C
21/12/2018 11:19:01,28.181°C
21/12/2018 11:39:01,27.306°C
21/12/2018 11:59:01,28.368°C
21/12/2018 12:19:01,28.119°C
21/12/2018 12:39:01,29.18°C
21/12/2018 12:59:01,30.866°C
21/12/2018 13:19:01,30.242°C
21/12/2018 13:39:01,30.179°C
21/12/2018 13:59:01,31.553°C
21/12/2018 14:19:01,32.115°C
21/12/2018 14:39:01,33.987°C
21/12/2018 14:59:01,35.297°C
21/12/2018 15:19:01,32.552°C
21/12/2018 15:39:01,31.116°C
21/12/2018 15:59:01,30.679°C
21/12/2018 16:19:01,30.179°C
21/12/2018 16:39:01,29.368°C
21/12/2018 16:59:01,28.493°C
21/12/2018 17:19:01,27.869°C
21/12/2018 17:39:01,27.369°C
21/12/2018 17:59:01,26.931°C
21/12/2018 18:19:01,25.932°C
21/12/2018 18:39:01,25.119°C
21/12/2018 18:59:01,24.369°C
21/12/2018 19:19:01,23.744°C
21/12/2018 19:39:01,23.369°C
