Log Values
Reading , Values
20/12/2018 13:19:01,30.053°C
20/12/2018 13:39:01,28.304°C
20/12/2018 13:59:01,28.117°C
20/12/2018 14:19:01,27.242°C
20/12/2018 14:39:01,27.055°C
20/12/2018 14:59:01,25.992°C
20/12/2018 15:19:01,26.367°C
20/12/2018 15:39:01,26.742°C
20/12/2018 15:59:01,26.055°C
20/12/2018 16:19:01,28.179°C
20/12/2018 16:39:01,26.305°C
20/12/2018 16:59:01,25.18°C
20/12/2018 17:19:01,24.367°C
20/12/2018 17:39:01,23.867°C
20/12/2018 17:59:01,23.554°C
20/12/2018 18:19:01,23.116°C
20/12/2018 18:39:01,22.679°C
20/12/2018 18:59:01,22.491°C
20/12/2018 19:19:01,22.303°C
20/12/2018 19:39:01,22.428°C
20/12/2018 19:59:01,22.428°C
20/12/2018 20:19:01,22.053°C
20/12/2018 20:39:01,21.928°C
20/12/2018 20:59:01,21.928°C
20/12/2018 21:19:01,21.928°C
20/12/2018 21:39:01,21.803°C
20/12/2018 21:59:01,21.865°C
20/12/2018 22:19:01,21.865°C
20/12/2018 22:39:01,21.865°C
20/12/2018 22:59:01,21.865°C
20/12/2018 23:19:01,21.99°C
20/12/2018 23:39:01,21.365°C
20/12/2018 23:59:01,20.927°C
21/12/2018 00:19:01,20.802°C
21/12/2018 00:39:01,20.864°C
21/12/2018 00:59:01,20.927°C
21/12/2018 01:19:01,20.802°C
21/12/2018 01:39:01,20.489°C
21/12/2018 01:59:01,20.239°C
21/12/2018 02:19:01,20.239°C
21/12/2018 02:39:01,19.926°C
21/12/2018 02:59:01,19.8°C
21/12/2018 03:19:01,19.8°C
21/12/2018 03:39:01,19.675°C
21/12/2018 03:59:01,19.55°C
21/12/2018 04:19:01,19.55°C
21/12/2018 04:39:01,19.613°C
21/12/2018 04:59:01,19.613°C
21/12/2018 05:19:01,19.55°C
21/12/2018 05:39:01,19.55°C
21/12/2018 05:59:01,19.487°C
21/12/2018 06:19:01,19.675°C
21/12/2018 06:39:01,19.988°C
21/12/2018 06:59:01,20.426°C
21/12/2018 07:19:01,21.115°C
21/12/2018 07:39:01,21.74°C
21/12/2018 07:59:01,21.99°C
21/12/2018 08:19:01,22.428°C
21/12/2018 08:39:01,22.553°C
21/12/2018 08:59:01,22.991°C
21/12/2018 09:19:01,26.992°C
21/12/2018 09:39:01,26.867°C
21/12/2018 09:59:01,26.117°C
21/12/2018 10:19:01,26.805°C
21/12/2018 10:39:01,26.867°C
21/12/2018 10:59:01,29.491°C
21/12/2018 11:19:01,28.491°C
21/12/2018 11:39:01,27.554°C
21/12/2018 11:59:01,28.242°C
21/12/2018 12:19:01,29.178°C
21/12/2018 12:39:01,31.988°C
21/12/2018 12:59:01,30.49°C
21/12/2018 13:19:01,30.677°C
21/12/2018 13:39:01,29.303°C
21/12/2018 13:59:01,29.116°C
21/12/2018 14:19:01,29.054°C
21/12/2018 14:39:01,30.615°C
21/12/2018 14:59:01,29.74°C
21/12/2018 15:19:01,30.178°C
21/12/2018 15:39:01,30.24°C
21/12/2018 15:59:01,30.302°C
21/12/2018 16:19:01,34.172°C
21/12/2018 16:39:01,31.489°C
21/12/2018 16:59:01,28.741°C
21/12/2018 17:19:01,27.492°C
21/12/2018 17:39:01,26.68°C
21/12/2018 17:59:01,26.117°C
21/12/2018 18:19:01,25.305°C
21/12/2018 18:39:01,24.554°C
21/12/2018 18:59:01,23.992°C
21/12/2018 19:19:01,23.366°C
21/12/2018 19:39:01,23.116°C
21/12/2018 19:59:01,22.991°C
21/12/2018 20:19:01,22.804°C
21/12/2018 20:39:01,22.741°C
21/12/2018 20:59:01,22.679°C
21/12/2018 21:19:01,22.679°C
21/12/2018 21:39:01,22.679°C
21/12/2018 21:59:01,22.616°C
21/12/2018 22:19:01,22.428°C
21/12/2018 22:39:01,22.366°C
21/12/2018 22:59:01,22.366°C
21/12/2018 23:19:01,22.491°C
21/12/2018 23:39:01,22.616°C
21/12/2018 23:59:01,22.553°C
22/12/2018 00:19:01,22.241°C
22/12/2018 00:39:01,22.116°C
22/12/2018 00:59:01,21.99°C
22/12/2018 01:19:01,21.865°C
22/12/2018 01:39:01,21.74°C
22/12/2018 01:59:01,21.615°C
22/12/2018 02:19:01,21.615°C
22/12/2018 02:39:01,21.678°C
22/12/2018 02:59:01,21.615°C
22/12/2018 03:19:01,21.49°C
22/12/2018 03:39:01,21.615°C
22/12/2018 03:59:01,21.553°C
22/12/2018 04:19:01,21.615°C
22/12/2018 04:39:01,21.74°C
22/12/2018 04:59:01,21.928°C
22/12/2018 05:19:01,22.053°C
22/12/2018 05:39:01,22.053°C
22/12/2018 05:59:01,22.053°C
22/12/2018 06:19:01,22.053°C
22/12/2018 06:39:01,22.116°C
22/12/2018 06:59:01,22.241°C
22/12/2018 07:19:01,22.491°C
22/12/2018 07:39:01,22.866°C
22/12/2018 07:59:01,23.492°C
22/12/2018 08:19:01,23.804°C
22/12/2018 08:39:01,24.242°C
22/12/2018 08:59:01,25.555°C
22/12/2018 09:19:01,28.179°C
22/12/2018 09:39:01,26.492°C
22/12/2018 09:59:01,26.992°C
22/12/2018 10:19:01,26.68°C
22/12/2018 10:39:01,26.93°C
22/12/2018 10:59:01,29.74°C
22/12/2018 11:19:01,27.867°C
22/12/2018 11:39:01,28.491°C
22/12/2018 11:59:01,28.866°C
22/12/2018 12:19:01,28.491°C
22/12/2018 12:39:01,31.426°C
22/12/2018 12:59:01,27.242°C
22/12/2018 13:19:01,24.054°C
22/12/2018 13:39:01,25.055°C
22/12/2018 13:59:01,25.93°C
22/12/2018 14:19:01,26.117°C
22/12/2018 14:39:01,25.18°C
22/12/2018 14:59:01,23.304°C
22/12/2018 15:19:01,23.679°C
22/12/2018 15:39:01,24.429°C
22/12/2018 15:59:01,25.805°C
22/12/2018 16:19:01,28.491°C
22/12/2018 16:39:01,27.117°C
22/12/2018 16:59:01,25.43°C
22/12/2018 17:19:01,24.992°C
22/12/2018 17:39:01,24.367°C
22/12/2018 17:59:01,23.929°C
22/12/2018 18:19:01,23.179°C
22/12/2018 18:39:01,22.866°C
22/12/2018 18:59:01,22.991°C
22/12/2018 19:19:01,22.804°C
