Log Values
Reading , Values
20/12/2018 15:39:01,37.905°C
20/12/2018 15:59:01,33.665°C
20/12/2018 16:19:01,32.791°C
20/12/2018 16:39:01,32.791°C
20/12/2018 16:59:01,31.481°C
20/12/2018 17:19:01,31.418°C
20/12/2018 17:39:01,32.043°C
20/12/2018 17:59:01,30.42°C
20/12/2018 18:19:01,28.421°C
20/12/2018 18:39:01,27.484°C
20/12/2018 18:59:01,26.859°C
20/12/2018 19:19:01,26.422°C
20/12/2018 19:39:01,26.172°C
20/12/2018 19:59:01,26.234°C
20/12/2018 20:19:01,26.109°C
20/12/2018 20:39:01,25.859°C
20/12/2018 20:59:01,25.672°C
20/12/2018 21:19:01,25.547°C
20/12/2018 21:39:01,25.297°C
20/12/2018 21:59:01,25.297°C
20/12/2018 22:19:01,25.234°C
20/12/2018 22:39:01,24.547°C
20/12/2018 22:59:01,24.672°C
20/12/2018 23:19:01,24.922°C
20/12/2018 23:39:01,24.046°C
20/12/2018 23:59:01,23.484°C
21/12/2018 00:19:01,22.921°C
21/12/2018 00:39:01,22.671°C
21/12/2018 00:59:01,22.42°C
21/12/2018 01:19:01,22.358°C
21/12/2018 01:39:01,22.483°C
21/12/2018 01:59:01,22.358°C
21/12/2018 02:19:01,22.108°C
21/12/2018 02:39:01,22.045°C
21/12/2018 02:59:01,22.045°C
21/12/2018 03:19:01,22.045°C
21/12/2018 03:39:01,21.857°C
21/12/2018 03:59:01,21.732°C
21/12/2018 04:19:01,21.67°C
21/12/2018 04:39:01,21.607°C
21/12/2018 04:59:01,21.545°C
21/12/2018 05:19:01,21.857°C
21/12/2018 05:39:01,21.857°C
21/12/2018 05:59:01,22.17°C
21/12/2018 06:19:01,22.17°C
21/12/2018 06:39:01,22.358°C
21/12/2018 06:59:01,22.983°C
21/12/2018 07:19:01,24.922°C
21/12/2018 07:39:01,26.359°C
21/12/2018 07:59:01,28.609°C
21/12/2018 08:19:01,29.608°C
21/12/2018 08:39:01,29.483°C
21/12/2018 08:59:01,28.796°C
21/12/2018 09:19:01,29.171°C
21/12/2018 09:39:01,33.727°C
21/12/2018 09:59:01,37.219°C
21/12/2018 10:19:01,37.905°C
21/12/2018 10:39:01,39.151°C
21/12/2018 10:59:01,39.65°C
21/12/2018 11:19:01,36.783°C
21/12/2018 11:39:01,36.16°C
21/12/2018 11:59:01,38.777°C
21/12/2018 12:19:01,38.403°C
21/12/2018 12:39:01,36.783°C
21/12/2018 12:59:01,38.777°C
21/12/2018 13:19:01,39.899°C
21/12/2018 13:39:01,40.397°C
21/12/2018 13:59:01,41.456°C
21/12/2018 14:19:01,42.514°C
21/12/2018 14:39:01,44.07°C
21/12/2018 14:59:01,43.884°C
21/12/2018 15:19:01,42.265°C
21/12/2018 15:39:01,40.023°C
21/12/2018 15:59:01,38.528°C
21/12/2018 16:19:01,36.721°C
21/12/2018 16:39:01,36.845°C
21/12/2018 16:59:01,34.351°C
21/12/2018 17:19:01,34.413°C
21/12/2018 17:39:01,33.914°C
21/12/2018 17:59:01,32.542°C
21/12/2018 18:19:01,30.732°C
21/12/2018 18:39:01,28.983°C
21/12/2018 18:59:01,28.234°C
21/12/2018 19:19:01,27.796°C
21/12/2018 19:39:01,27.609°C
21/12/2018 19:59:01,27.359°C
21/12/2018 20:19:01,27.234°C
21/12/2018 20:39:01,26.984°C
21/12/2018 20:59:01,26.734°C
21/12/2018 21:19:01,26.547°C
