Log Values
Reading , Values
20/12/2018 15:39:01,35.331°C
20/12/2018 15:59:01,34.022°C
20/12/2018 16:19:01,33.647°C
20/12/2018 16:39:01,32.899°C
20/12/2018 16:59:01,33.585°C
20/12/2018 17:19:01,32.712°C
20/12/2018 17:39:01,31.214°C
20/12/2018 17:59:01,29.966°C
20/12/2018 18:19:01,28.405°C
20/12/2018 18:39:01,27.343°C
20/12/2018 18:59:01,26.719°C
20/12/2018 19:19:01,26.219°C
20/12/2018 19:39:01,25.969°C
20/12/2018 19:59:01,26.031°C
20/12/2018 20:19:01,25.906°C
20/12/2018 20:39:01,25.719°C
20/12/2018 20:59:01,25.469°C
20/12/2018 21:19:01,25.281°C
20/12/2018 21:39:01,25.094°C
20/12/2018 21:59:01,25.094°C
20/12/2018 22:19:01,25.094°C
20/12/2018 22:39:01,24.469°C
20/12/2018 22:59:01,24.531°C
20/12/2018 23:19:01,24.781°C
20/12/2018 23:39:01,23.906°C
20/12/2018 23:59:01,23.281°C
21/12/2018 00:19:01,22.843°C
21/12/2018 00:39:01,22.467°C
21/12/2018 00:59:01,22.28°C
21/12/2018 01:19:01,22.217°C
21/12/2018 01:39:01,22.217°C
21/12/2018 01:59:01,22.155°C
21/12/2018 02:19:01,21.967°C
21/12/2018 02:39:01,21.779°C
21/12/2018 02:59:01,21.779°C
21/12/2018 03:19:01,21.842°C
21/12/2018 03:39:01,21.592°C
21/12/2018 03:59:01,21.529°C
21/12/2018 04:19:01,21.404°C
21/12/2018 04:39:01,21.404°C
21/12/2018 04:59:01,21.341°C
21/12/2018 05:19:01,21.654°C
21/12/2018 05:39:01,21.654°C
21/12/2018 05:59:01,21.904°C
21/12/2018 06:19:01,21.967°C
21/12/2018 06:39:01,22.217°C
21/12/2018 06:59:01,22.968°C
21/12/2018 07:19:01,24.406°C
21/12/2018 07:39:01,25.406°C
21/12/2018 07:59:01,27.781°C
21/12/2018 08:19:01,28.53°C
21/12/2018 08:39:01,30.466°C
21/12/2018 08:59:01,28.593°C
21/12/2018 09:19:01,28.717°C
21/12/2018 09:39:01,32.026°C
21/12/2018 09:59:01,32.712°C
21/12/2018 10:19:01,32.961°C
21/12/2018 10:39:01,34.583°C
21/12/2018 10:59:01,34.77°C
21/12/2018 11:19:01,33.834°C
21/12/2018 11:39:01,34.333°C
21/12/2018 11:59:01,36.515°C
21/12/2018 12:19:01,36.577°C
21/12/2018 12:39:01,38.82°C
21/12/2018 12:59:01,39.816°C
21/12/2018 13:19:01,39.629°C
21/12/2018 13:39:01,42.492°C
21/12/2018 13:59:01,41.932°C
21/12/2018 14:19:01,41.808°C
21/12/2018 14:39:01,41.87°C
21/12/2018 14:59:01,41.123°C
21/12/2018 15:19:01,38.446°C
21/12/2018 15:39:01,37.886°C
21/12/2018 15:59:01,39.505°C
21/12/2018 16:19:01,37.449°C
21/12/2018 16:39:01,36.577°C
21/12/2018 16:59:01,36.826°C
21/12/2018 17:19:01,36.266°C
21/12/2018 17:39:01,33.585°C
21/12/2018 17:59:01,31.838°C
21/12/2018 18:19:01,30.84°C
21/12/2018 18:39:01,29.03°C
21/12/2018 18:59:01,28.218°C
21/12/2018 19:19:01,27.718°C
21/12/2018 19:39:01,27.531°C
21/12/2018 19:59:01,27.156°C
21/12/2018 20:19:01,27.031°C
21/12/2018 20:39:01,26.781°C
21/12/2018 20:59:01,26.531°C
21/12/2018 21:19:01,26.344°C
21/12/2018 21:39:01,26.406°C
21/12/2018 21:59:01,26.031°C
21/12/2018 22:19:01,25.594°C
21/12/2018 22:39:01,25.344°C
21/12/2018 22:59:01,25.219°C
21/12/2018 23:19:01,25.094°C
21/12/2018 23:39:01,24.781°C
21/12/2018 23:59:01,24.531°C
22/12/2018 00:19:01,24.344°C
22/12/2018 00:39:01,24.531°C
22/12/2018 00:59:01,24.469°C
22/12/2018 01:19:01,24.531°C
22/12/2018 01:39:01,24.219°C
22/12/2018 01:59:01,24.219°C
22/12/2018 02:19:01,24.281°C
22/12/2018 02:39:01,24.594°C
22/12/2018 02:59:01,24.406°C
22/12/2018 03:19:01,24.281°C
22/12/2018 03:39:01,24.531°C
22/12/2018 03:59:01,24.469°C
22/12/2018 04:19:01,24.594°C
22/12/2018 04:39:01,24.969°C
22/12/2018 04:59:01,25.281°C
22/12/2018 05:19:01,25.406°C
22/12/2018 05:39:01,25.156°C
22/12/2018 05:59:01,24.844°C
22/12/2018 06:19:01,25.031°C
22/12/2018 06:39:01,25.469°C
22/12/2018 06:59:01,25.844°C
22/12/2018 07:19:01,25.906°C
22/12/2018 07:39:01,27.156°C
22/12/2018 07:59:01,29.467°C
22/12/2018 08:19:01,29.467°C
22/12/2018 08:39:01,30.778°C
22/12/2018 08:59:01,31.714°C
22/12/2018 09:19:01,31.651°C
22/12/2018 09:39:01,32.4°C
22/12/2018 09:59:01,32.774°C
22/12/2018 10:19:01,33.086°C
22/12/2018 10:39:01,34.084°C
22/12/2018 10:59:01,34.333°C
22/12/2018 11:19:01,34.645°C
22/12/2018 11:39:01,36.515°C
22/12/2018 11:59:01,34.957°C
22/12/2018 12:19:01,37.512°C
22/12/2018 12:39:01,34.832°C
22/12/2018 12:59:01,34.583°C
22/12/2018 13:19:01,38.633°C
22/12/2018 13:39:01,39.442°C
22/12/2018 13:59:01,39.256°C
22/12/2018 14:19:01,37.823°C
22/12/2018 14:39:01,33.585°C
22/12/2018 14:59:01,26.969°C
22/12/2018 15:19:01,27.468°C
22/12/2018 15:39:01,30.84°C
22/12/2018 15:59:01,32.961°C
22/12/2018 16:19:01,31.776°C
22/12/2018 16:39:01,29.966°C
22/12/2018 16:59:01,29.592°C
22/12/2018 17:19:01,31.838°C
22/12/2018 17:39:01,32.213°C
22/12/2018 17:59:01,29.529°C
22/12/2018 18:19:01,28.405°C
22/12/2018 18:39:01,27.906°C
22/12/2018 18:59:01,27.468°C
22/12/2018 19:19:01,26.906°C
22/12/2018 19:39:01,26.844°C
22/12/2018 19:59:01,27.156°C
22/12/2018 20:19:01,27.031°C
22/12/2018 20:39:01,26.906°C
22/12/2018 20:59:01,26.531°C
22/12/2018 21:19:01,26.031°C
22/12/2018 21:39:01,25.656°C
22/12/2018 21:59:01,25.531°C
22/12/2018 22:19:01,25.531°C
22/12/2018 22:39:01,25.219°C
22/12/2018 22:59:01,24.969°C
22/12/2018 23:19:01,24.781°C
22/12/2018 23:39:01,24.469°C
22/12/2018 23:59:01,24.344°C
23/12/2018 00:19:01,24.406°C
23/12/2018 00:39:01,24.344°C
23/12/2018 00:59:01,24.156°C
23/12/2018 01:19:01,24.219°C
23/12/2018 01:39:01,24.093°C
23/12/2018 01:59:01,24.219°C
23/12/2018 02:19:01,24.281°C
23/12/2018 02:39:01,24.156°C
23/12/2018 02:59:01,24.031°C
23/12/2018 03:19:01,23.968°C
23/12/2018 03:39:01,23.968°C
23/12/2018 03:59:01,23.843°C
23/12/2018 04:19:01,23.968°C
23/12/2018 04:39:01,24.031°C
23/12/2018 04:59:01,24.031°C
23/12/2018 05:19:01,23.968°C
23/12/2018 05:39:01,23.843°C
23/12/2018 05:59:01,23.843°C
23/12/2018 06:19:01,24.031°C
23/12/2018 06:39:01,24.156°C
23/12/2018 06:59:01,24.719°C
23/12/2018 07:19:01,25.531°C
23/12/2018 07:39:01,26.781°C
23/12/2018 07:59:01,29.404°C
23/12/2018 08:19:01,30.029°C
23/12/2018 08:39:01,29.654°C
23/12/2018 08:59:01,30.278°C
23/12/2018 09:19:01,30.216°C
23/12/2018 09:39:01,30.341°C
23/12/2018 09:59:01,31.402°C
23/12/2018 10:19:01,31.963°C
23/12/2018 10:39:01,31.901°C
23/12/2018 10:59:01,32.649°C
23/12/2018 11:19:01,34.084°C
23/12/2018 11:39:01,34.645°C
23/12/2018 11:59:01,35.019°C
23/12/2018 12:19:01,35.705°C
23/12/2018 12:39:01,37.2°C
23/12/2018 12:59:01,36.203°C
23/12/2018 13:19:01,37.263°C
23/12/2018 13:39:01,37.076°C
23/12/2018 13:59:01,38.01°C
23/12/2018 14:19:01,37.387°C
23/12/2018 14:39:01,38.82°C
23/12/2018 14:59:01,36.702°C
23/12/2018 15:19:01,32.462°C
23/12/2018 15:39:01,30.029°C
23/12/2018 15:59:01,31.277°C
23/12/2018 16:19:01,29.592°C
23/12/2018 16:39:01,29.342°C
23/12/2018 16:59:01,29.03°C
23/12/2018 17:19:01,28.468°C
23/12/2018 17:39:01,27.906°C
23/12/2018 17:59:01,27.593°C
23/12/2018 18:19:01,27.343°C
23/12/2018 18:39:01,27.218°C
23/12/2018 18:59:01,27.031°C
23/12/2018 19:19:01,26.969°C
