Log Values
Reading , Values
29/05/2019 11:59:01,22.181°C
29/05/2019 12:19:01,22.619°C
29/05/2019 12:39:01,22.181°C
29/05/2019 12:59:01,23.744°C
29/05/2019 13:19:01,22.306°C
29/05/2019 13:39:01,21.931°C
29/05/2019 13:59:01,24.057°C
29/05/2019 14:19:01,24.369°C
29/05/2019 14:39:01,22.494°C
29/05/2019 14:59:01,21.681°C
29/05/2019 15:19:01,21.493°C
29/05/2019 15:39:01,20.68°C
29/05/2019 15:59:01,19.492°C
29/05/2019 16:19:01,19.617°C
29/05/2019 16:39:01,18.741°C
29/05/2019 16:59:01,18.366°C
29/05/2019 17:19:01,17.928°C
29/05/2019 17:39:01,17.427°C
29/05/2019 17:59:01,17.114°C
29/05/2019 18:19:01,16.739°C
29/05/2019 18:39:01,16.489°C
29/05/2019 18:59:01,16.426°C
29/05/2019 19:19:01,16.364°C
29/05/2019 19:39:01,16.489°C
29/05/2019 19:59:01,16.614°C
29/05/2019 20:19:01,16.551°C
29/05/2019 20:39:01,16.489°C
29/05/2019 20:59:01,16.489°C
29/05/2019 21:19:01,16.301°C
29/05/2019 21:39:01,16.364°C
29/05/2019 21:59:01,16.426°C
29/05/2019 22:19:01,16.551°C
29/05/2019 22:39:01,16.676°C
29/05/2019 22:59:01,16.551°C
29/05/2019 23:19:01,16.551°C
29/05/2019 23:39:01,16.551°C
29/05/2019 23:59:01,16.551°C
30/05/2019 00:19:01,16.551°C
30/05/2019 00:39:01,16.614°C
30/05/2019 00:59:01,16.614°C
30/05/2019 01:19:01,16.551°C
30/05/2019 01:39:01,16.614°C
30/05/2019 01:59:01,16.551°C
30/05/2019 02:19:01,16.301°C
30/05/2019 02:39:01,16.176°C
30/05/2019 02:59:01,16.176°C
30/05/2019 03:19:01,16.238°C
30/05/2019 03:39:01,16.176°C
30/05/2019 03:59:01,16.113°C
30/05/2019 04:19:01,16.238°C
30/05/2019 04:39:01,16.176°C
30/05/2019 04:59:01,16.176°C
30/05/2019 05:19:01,16.113°C
30/05/2019 05:39:01,16.113°C
30/05/2019 05:59:01,16.176°C
30/05/2019 06:19:01,16.238°C
30/05/2019 06:39:01,16.113°C
30/05/2019 06:59:01,15.988°C
30/05/2019 07:19:01,16.051°C
30/05/2019 07:39:01,16.113°C
30/05/2019 07:59:01,16.426°C
30/05/2019 08:19:01,16.676°C
30/05/2019 08:39:01,16.927°C
30/05/2019 08:59:01,17.365°C
30/05/2019 09:19:01,17.865°C
30/05/2019 09:39:01,19.242°C
30/05/2019 09:59:01,19.804°C
30/05/2019 10:19:01,22.181°C
30/05/2019 10:39:01,24.682°C
30/05/2019 10:59:01,26.994°C
30/05/2019 11:19:01,26.244°C
30/05/2019 11:39:01,28.369°C
30/05/2019 11:59:01,25.994°C
30/05/2019 12:19:01,23.306°C
30/05/2019 12:39:01,22.744°C
30/05/2019 12:59:01,24.307°C
30/05/2019 13:19:01,23.244°C
30/05/2019 13:39:01,23.056°C
30/05/2019 13:59:01,22.681°C
30/05/2019 14:19:01,21.556°C
30/05/2019 14:39:01,20.555°C
30/05/2019 14:59:01,20.618°C
30/05/2019 15:19:01,19.992°C
30/05/2019 15:39:01,19.304°C
30/05/2019 15:59:01,18.804°C
30/05/2019 16:19:01,18.428°C
30/05/2019 16:39:01,18.115°C
30/05/2019 16:59:01,17.678°C
30/05/2019 17:19:01,17.49°C
30/05/2019 17:39:01,17.177°C
30/05/2019 17:59:01,16.989°C
30/05/2019 18:19:01,16.927°C
30/05/2019 18:39:01,16.927°C
30/05/2019 18:59:01,16.927°C
30/05/2019 19:19:01,16.927°C
30/05/2019 19:39:01,16.989°C
30/05/2019 19:59:01,17.052°C
30/05/2019 20:19:01,16.989°C
30/05/2019 20:39:01,16.989°C
30/05/2019 20:59:01,16.989°C
30/05/2019 21:19:01,16.864°C
30/05/2019 21:39:01,16.739°C
30/05/2019 21:59:01,16.614°C
30/05/2019 22:19:01,16.614°C
30/05/2019 22:39:01,16.739°C
30/05/2019 22:59:01,16.739°C
30/05/2019 23:19:01,16.676°C
30/05/2019 23:39:01,16.551°C
30/05/2019 23:59:01,16.489°C
31/05/2019 00:19:01,16.364°C
31/05/2019 00:39:01,16.551°C
31/05/2019 00:59:01,16.551°C
31/05/2019 01:19:01,16.426°C
31/05/2019 01:39:01,16.614°C
31/05/2019 01:59:01,16.551°C
31/05/2019 02:19:01,16.426°C
31/05/2019 02:39:01,16.364°C
31/05/2019 02:59:01,16.364°C
31/05/2019 03:19:01,16.238°C
31/05/2019 03:39:01,16.176°C
31/05/2019 03:59:01,16.113°C
31/05/2019 04:19:01,16.238°C
31/05/2019 04:39:01,16.238°C
31/05/2019 04:59:01,16.301°C
31/05/2019 05:19:01,16.426°C
31/05/2019 05:39:01,16.551°C
31/05/2019 05:59:01,16.551°C
31/05/2019 06:19:01,16.614°C
31/05/2019 06:39:01,16.739°C
31/05/2019 06:59:01,16.614°C
31/05/2019 07:19:01,16.551°C
31/05/2019 07:39:01,16.614°C
31/05/2019 07:59:01,16.676°C
31/05/2019 08:19:01,16.676°C
31/05/2019 08:39:01,16.802°C
31/05/2019 08:59:01,17.114°C
31/05/2019 09:19:01,17.302°C
31/05/2019 09:39:01,17.427°C
31/05/2019 09:59:01,17.302°C
31/05/2019 10:19:01,17.302°C
31/05/2019 10:39:01,17.552°C
31/05/2019 10:59:01,17.678°C
31/05/2019 11:19:01,17.803°C
31/05/2019 11:39:01,17.99°C
31/05/2019 11:59:01,17.928°C
31/05/2019 12:19:01,17.74°C
31/05/2019 12:39:01,17.865°C
31/05/2019 12:59:01,17.99°C
31/05/2019 13:19:01,18.178°C
31/05/2019 13:39:01,18.366°C
31/05/2019 13:59:01,18.115°C
31/05/2019 14:19:01,18.616°C
31/05/2019 14:39:01,18.303°C
31/05/2019 14:59:01,18.053°C
31/05/2019 15:19:01,17.99°C
31/05/2019 15:39:01,18.053°C
31/05/2019 15:59:01,17.052°C
31/05/2019 16:19:01,16.676°C
31/05/2019 16:39:01,15.988°C
31/05/2019 16:59:01,15.675°C
31/05/2019 17:19:01,15.738°C
31/05/2019 17:39:01,15.049°C
31/05/2019 17:59:01,14.298°C
31/05/2019 18:19:01,13.86°C
31/05/2019 18:39:01,14.361°C
31/05/2019 18:59:01,14.236°C
31/05/2019 19:19:01,14.298°C
31/05/2019 19:39:01,14.674°C
31/05/2019 19:59:01,15.487°C
31/05/2019 20:19:01,15.8°C
31/05/2019 20:39:01,15.613°C
31/05/2019 20:59:01,15.55°C
31/05/2019 21:19:01,15.613°C
31/05/2019 21:39:01,15.675°C
31/05/2019 21:59:01,15.362°C
31/05/2019 22:19:01,14.924°C
31/05/2019 22:39:01,14.799°C
31/05/2019 22:59:01,14.736°C
31/05/2019 23:19:01,14.423°C
31/05/2019 23:39:01,14.862°C
31/05/2019 23:59:01,14.862°C
01/06/2019 00:19:01,14.987°C
01/06/2019 00:39:01,15.049°C
01/06/2019 00:59:01,15.049°C
01/06/2019 01:19:01,15.049°C
01/06/2019 01:39:01,14.549°C
01/06/2019 01:59:01,14.423°C
01/06/2019 02:19:01,14.486°C
01/06/2019 02:39:01,14.549°C
01/06/2019 02:59:01,14.549°C
01/06/2019 03:19:01,14.549°C
01/06/2019 03:39:01,14.736°C
01/06/2019 03:59:01,14.799°C
01/06/2019 04:19:01,14.736°C
01/06/2019 04:39:01,14.549°C
01/06/2019 04:59:01,14.423°C
01/06/2019 05:19:01,14.611°C
01/06/2019 05:39:01,14.611°C
01/06/2019 05:59:01,14.799°C
01/06/2019 06:19:01,14.799°C
01/06/2019 06:39:01,14.862°C
01/06/2019 06:59:01,14.799°C
01/06/2019 07:19:01,15.049°C
01/06/2019 07:39:01,15.174°C
01/06/2019 07:59:01,15.362°C
01/06/2019 08:19:01,15.675°C
01/06/2019 08:39:01,16.426°C
01/06/2019 08:59:01,16.489°C
01/06/2019 09:19:01,16.802°C
01/06/2019 09:39:01,16.739°C
01/06/2019 09:59:01,16.989°C
01/06/2019 10:19:01,17.24°C
01/06/2019 10:39:01,17.427°C
01/06/2019 10:59:01,17.678°C
01/06/2019 11:19:01,17.052°C
01/06/2019 11:39:01,16.864°C
01/06/2019 11:59:01,17.615°C
01/06/2019 12:19:01,19.054°C
01/06/2019 12:39:01,18.053°C
01/06/2019 12:59:01,18.366°C
01/06/2019 13:19:01,19.679°C
01/06/2019 13:39:01,19.992°C
01/06/2019 13:59:01,20.18°C
01/06/2019 14:19:01,20.055°C
01/06/2019 14:39:01,19.492°C
01/06/2019 14:59:01,19.367°C
01/06/2019 15:19:01,18.866°C
01/06/2019 15:39:01,18.053°C
01/06/2019 15:59:01,17.49°C
01/06/2019 16:19:01,17.24°C
01/06/2019 16:39:01,17.052°C
01/06/2019 16:59:01,17.114°C
01/06/2019 17:19:01,17.177°C
01/06/2019 17:39:01,17.052°C
01/06/2019 17:59:01,16.927°C
01/06/2019 18:19:01,16.614°C
01/06/2019 18:39:01,16.426°C
01/06/2019 18:59:01,16.238°C
01/06/2019 19:19:01,16.051°C
01/06/2019 19:39:01,16.051°C
01/06/2019 19:59:01,16.051°C
01/06/2019 20:19:01,16.051°C
01/06/2019 20:39:01,16.051°C
01/06/2019 20:59:01,16.051°C
01/06/2019 21:19:01,16.051°C
01/06/2019 21:39:01,15.8°C
01/06/2019 21:59:01,15.675°C
01/06/2019 22:19:01,15.675°C
01/06/2019 22:39:01,15.8°C
01/06/2019 22:59:01,15.8°C
01/06/2019 23:19:01,15.8°C
01/06/2019 23:39:01,15.8°C
01/06/2019 23:59:01,15.8°C
02/06/2019 00:19:01,15.738°C
02/06/2019 00:39:01,15.675°C
02/06/2019 00:59:01,15.613°C
02/06/2019 01:19:01,15.55°C
02/06/2019 01:39:01,15.362°C
02/06/2019 01:59:01,15.3°C
02/06/2019 02:19:01,15.3°C
02/06/2019 02:39:01,15.174°C
02/06/2019 02:59:01,14.987°C
02/06/2019 03:19:01,14.862°C
02/06/2019 03:39:01,14.862°C
02/06/2019 03:59:01,14.799°C
02/06/2019 04:19:01,14.799°C
02/06/2019 04:39:01,14.799°C
02/06/2019 04:59:01,14.799°C
02/06/2019 05:19:01,14.799°C
02/06/2019 05:39:01,14.736°C
02/06/2019 05:59:01,14.674°C
02/06/2019 06:19:01,14.674°C
02/06/2019 06:39:01,14.611°C
02/06/2019 06:59:01,14.736°C
02/06/2019 07:19:01,14.924°C
02/06/2019 07:39:01,15.237°C
02/06/2019 07:59:01,15.362°C
02/06/2019 08:19:01,15.487°C
02/06/2019 08:39:01,15.487°C
02/06/2019 08:59:01,15.613°C
02/06/2019 09:19:01,15.8°C
02/06/2019 09:39:01,15.863°C
02/06/2019 09:59:01,16.113°C
02/06/2019 10:19:01,16.238°C
02/06/2019 10:39:01,16.364°C
02/06/2019 10:59:01,16.551°C
02/06/2019 11:19:01,16.927°C
02/06/2019 11:39:01,17.302°C
02/06/2019 11:59:01,19.617°C
02/06/2019 12:19:01,18.741°C
02/06/2019 12:39:01,18.866°C
