Log Values
Reading , Values
29/05/2019 15:39:01,26.557°C
29/05/2019 15:59:01,26.244°C
29/05/2019 16:19:01,23.181°C
29/05/2019 16:39:01,19.991°C
29/05/2019 16:59:01,20.303°C
29/05/2019 17:19:01,18.363°C
29/05/2019 17:39:01,18.05°C
29/05/2019 17:59:01,17.486°C
29/05/2019 18:19:01,16.171°C
29/05/2019 18:39:01,16.234°C
29/05/2019 18:59:01,16.109°C
29/05/2019 19:19:01,16.422°C
29/05/2019 19:39:01,16.359°C
29/05/2019 19:59:01,16.422°C
29/05/2019 20:19:01,16.422°C
29/05/2019 20:39:01,16.297°C
29/05/2019 20:59:01,16.359°C
29/05/2019 21:19:01,16.234°C
29/05/2019 21:39:01,16.547°C
29/05/2019 21:59:01,16.547°C
29/05/2019 22:19:01,16.672°C
29/05/2019 22:39:01,16.672°C
29/05/2019 22:59:01,16.672°C
29/05/2019 23:19:01,16.735°C
29/05/2019 23:39:01,16.547°C
29/05/2019 23:59:01,16.61°C
30/05/2019 00:19:01,16.422°C
30/05/2019 00:39:01,16.484°C
30/05/2019 00:59:01,16.61°C
30/05/2019 01:19:01,16.61°C
30/05/2019 01:39:01,16.61°C
30/05/2019 01:59:01,16.547°C
30/05/2019 02:19:01,16.359°C
30/05/2019 02:39:01,16.297°C
30/05/2019 02:59:01,16.297°C
30/05/2019 03:19:01,16.234°C
30/05/2019 03:39:01,16.109°C
30/05/2019 03:59:01,16.234°C
30/05/2019 04:19:01,16.171°C
30/05/2019 04:39:01,16.046°C
30/05/2019 04:59:01,16.046°C
30/05/2019 05:19:01,15.983°C
30/05/2019 05:39:01,15.983°C
30/05/2019 05:59:01,16.109°C
30/05/2019 06:19:01,16.046°C
30/05/2019 06:39:01,15.983°C
30/05/2019 06:59:01,15.921°C
30/05/2019 07:19:01,15.921°C
30/05/2019 07:39:01,16.359°C
30/05/2019 07:59:01,16.735°C
30/05/2019 08:19:01,16.86°C
30/05/2019 08:39:01,17.111°C
30/05/2019 08:59:01,17.299°C
30/05/2019 09:19:01,17.925°C
30/05/2019 09:39:01,19.239°C
30/05/2019 09:59:01,20.116°C
30/05/2019 10:19:01,20.116°C
30/05/2019 10:39:01,20.804°C
30/05/2019 10:59:01,22.055°C
30/05/2019 11:19:01,23.744°C
30/05/2019 11:39:01,24.432°C
30/05/2019 11:59:01,21.993°C
30/05/2019 12:19:01,22.493°C
30/05/2019 12:39:01,22.993°C
30/05/2019 12:59:01,22.243°C
30/05/2019 13:19:01,22.493°C
30/05/2019 13:39:01,22.993°C
30/05/2019 13:59:01,23.619°C
30/05/2019 14:19:01,24.119°C
30/05/2019 14:39:01,22.993°C
30/05/2019 14:59:01,23.244°C
30/05/2019 15:19:01,21.93°C
30/05/2019 15:39:01,20.616°C
30/05/2019 15:59:01,19.615°C
30/05/2019 16:19:01,19.052°C
30/05/2019 16:39:01,18.739°C
30/05/2019 16:59:01,18.113°C
30/05/2019 17:19:01,17.549°C
30/05/2019 17:39:01,16.923°C
30/05/2019 17:59:01,16.547°C
30/05/2019 18:19:01,16.547°C
30/05/2019 18:39:01,16.484°C
30/05/2019 18:59:01,16.484°C
30/05/2019 19:19:01,16.484°C
30/05/2019 19:39:01,16.61°C
30/05/2019 19:59:01,16.672°C
