Log Values
Reading , Values
26/06/2019 11:39:01,20.603°C
26/06/2019 11:59:01,20.603°C
26/06/2019 12:19:01,20.477°C
26/06/2019 12:39:01,20.603°C
26/06/2019 12:59:01,20.728°C
26/06/2019 13:19:01,20.728°C
26/06/2019 13:39:01,20.79°C
26/06/2019 13:59:01,20.665°C
26/06/2019 14:19:01,20.352°C
26/06/2019 14:39:01,20.79°C
26/06/2019 14:59:01,20.853°C
26/06/2019 15:19:01,20.79°C
26/06/2019 15:39:01,20.853°C
26/06/2019 15:59:01,20.915°C
26/06/2019 16:19:01,20.915°C
26/06/2019 16:39:01,21.103°C
26/06/2019 16:59:01,21.103°C
26/06/2019 17:19:01,21.041°C
26/06/2019 17:39:01,20.853°C
26/06/2019 17:59:01,20.853°C
26/06/2019 18:19:01,20.978°C
26/06/2019 18:39:01,21.041°C
26/06/2019 18:59:01,21.291°C
26/06/2019 19:19:01,21.353°C
26/06/2019 19:39:01,21.353°C
26/06/2019 19:59:01,21.041°C
26/06/2019 20:19:01,21.103°C
26/06/2019 20:39:01,21.166°C
26/06/2019 20:59:01,20.79°C
26/06/2019 21:19:01,20.603°C
26/06/2019 21:39:01,20.415°C
26/06/2019 21:59:01,20.29°C
26/06/2019 22:19:01,20.039°C
26/06/2019 22:39:01,19.726°C
26/06/2019 22:59:01,19.476°C
26/06/2019 23:19:01,19.101°C
26/06/2019 23:39:01,19.038°C
26/06/2019 23:59:01,19.101°C
27/06/2019 00:19:01,19.226°C
27/06/2019 00:39:01,19.038°C
27/06/2019 00:59:01,19.101°C
27/06/2019 01:19:01,19.476°C
27/06/2019 01:39:01,19.601°C
27/06/2019 01:59:01,19.977°C
27/06/2019 02:19:01,19.664°C
27/06/2019 02:39:01,19.101°C
27/06/2019 02:59:01,19.038°C
27/06/2019 03:19:01,19.226°C
27/06/2019 03:39:01,19.351°C
27/06/2019 03:59:01,19.601°C
27/06/2019 04:19:01,20.039°C
27/06/2019 04:39:01,20.227°C
27/06/2019 04:59:01,20.477°C
27/06/2019 05:19:01,20.477°C
27/06/2019 05:39:01,20.54°C
27/06/2019 05:59:01,20.665°C
27/06/2019 06:19:01,20.477°C
27/06/2019 06:39:01,19.977°C
27/06/2019 06:59:01,19.664°C
27/06/2019 07:19:01,19.539°C
27/06/2019 07:39:01,19.539°C
27/06/2019 07:59:01,19.601°C
27/06/2019 08:19:01,19.726°C
27/06/2019 08:39:01,19.789°C
27/06/2019 08:59:01,19.852°C
27/06/2019 09:19:01,19.852°C
27/06/2019 09:39:01,19.977°C
27/06/2019 09:59:01,19.977°C
27/06/2019 10:19:01,20.165°C
27/06/2019 10:39:01,20.477°C
27/06/2019 10:59:01,20.665°C
27/06/2019 11:19:01,20.853°C
27/06/2019 11:39:01,20.978°C
27/06/2019 11:59:01,21.353°C
27/06/2019 12:19:01,21.666°C
27/06/2019 12:39:01,21.666°C
27/06/2019 12:59:01,21.666°C
27/06/2019 13:19:01,21.666°C
27/06/2019 13:39:01,21.666°C
27/06/2019 13:59:01,21.729°C
27/06/2019 14:19:01,21.791°C
27/06/2019 14:39:01,21.604°C
27/06/2019 14:59:01,21.916°C
27/06/2019 15:19:01,21.791°C
27/06/2019 15:39:01,21.604°C
27/06/2019 15:59:01,21.666°C
27/06/2019 16:19:01,21.604°C
27/06/2019 16:39:01,21.478°C
27/06/2019 16:59:01,21.478°C
27/06/2019 17:19:01,21.228°C
27/06/2019 17:39:01,21.103°C
27/06/2019 17:59:01,21.228°C
27/06/2019 18:19:01,21.228°C
27/06/2019 18:39:01,21.103°C
27/06/2019 18:59:01,21.166°C
27/06/2019 19:19:01,20.978°C
27/06/2019 19:39:01,20.978°C
27/06/2019 19:59:01,20.728°C
27/06/2019 20:19:01,20.728°C
27/06/2019 20:39:01,21.041°C
27/06/2019 20:59:01,21.103°C
27/06/2019 21:19:01,21.103°C
27/06/2019 21:39:01,20.853°C
27/06/2019 21:59:01,20.603°C
27/06/2019 22:19:01,20.603°C
27/06/2019 22:39:01,20.603°C
27/06/2019 22:59:01,20.728°C
27/06/2019 23:19:01,20.728°C
27/06/2019 23:39:01,20.728°C
27/06/2019 23:59:01,20.79°C
28/06/2019 00:19:01,20.603°C
28/06/2019 00:39:01,20.665°C
28/06/2019 00:59:01,20.79°C
28/06/2019 01:19:01,20.915°C
28/06/2019 01:39:01,20.853°C
28/06/2019 01:59:01,20.79°C
28/06/2019 02:19:01,20.915°C
