Log Values
Reading , Values
26/06/2019 16:39:01,25.73°C
26/06/2019 16:59:01,27.168°C
26/06/2019 17:19:01,25.918°C
26/06/2019 17:39:01,23.668°C
26/06/2019 17:59:01,21.416°C
26/06/2019 18:19:01,20.165°C
26/06/2019 18:39:01,19.351°C
26/06/2019 18:59:01,18.913°C
26/06/2019 19:19:01,18.537°C
26/06/2019 19:39:01,18.099°C
26/06/2019 19:59:01,17.723°C
26/06/2019 20:19:01,17.598°C
26/06/2019 20:39:01,17.41°C
26/06/2019 20:59:01,17.035°C
26/06/2019 21:19:01,16.847°C
26/06/2019 21:39:01,16.534°C
26/06/2019 21:59:01,16.471°C
26/06/2019 22:19:01,16.408°C
26/06/2019 22:39:01,16.659°C
26/06/2019 22:59:01,16.722°C
26/06/2019 23:19:01,16.408°C
26/06/2019 23:39:01,15.72°C
26/06/2019 23:59:01,15.281°C
27/06/2019 00:19:01,14.78°C
27/06/2019 00:39:01,14.216°C
27/06/2019 00:59:01,14.091°C
27/06/2019 01:19:01,13.777°C
27/06/2019 01:39:01,13.589°C
27/06/2019 01:59:01,13.276°C
27/06/2019 02:19:01,13.276°C
27/06/2019 02:39:01,13.464°C
27/06/2019 02:59:01,13.589°C
27/06/2019 03:19:01,14.968°C
27/06/2019 03:39:01,16.221°C
27/06/2019 03:59:01,16.596°C
27/06/2019 04:19:01,16.659°C
27/06/2019 04:39:01,16.784°C
27/06/2019 04:59:01,16.909°C
27/06/2019 05:19:01,16.784°C
27/06/2019 05:39:01,16.596°C
27/06/2019 05:59:01,16.158°C
27/06/2019 06:19:01,16.033°C
27/06/2019 06:39:01,15.845°C
27/06/2019 06:59:01,14.905°C
27/06/2019 07:19:01,14.717°C
27/06/2019 07:39:01,15.97°C
27/06/2019 07:59:01,17.097°C
27/06/2019 08:19:01,17.849°C
27/06/2019 08:39:01,18.475°C
27/06/2019 08:59:01,19.163°C
27/06/2019 09:19:01,20.477°C
27/06/2019 09:39:01,22.917°C
27/06/2019 09:59:01,22.98°C
27/06/2019 10:19:01,24.918°C
27/06/2019 10:39:01,26.23°C
27/06/2019 10:59:01,25.73°C
27/06/2019 11:19:01,26.293°C
