Log Values
Reading , Values
26/06/2019 17:39:01,23.804°C
26/06/2019 17:59:01,22.804°C
26/06/2019 18:19:01,22.053°C
26/06/2019 18:39:01,22.303°C
26/06/2019 18:59:01,22.241°C
26/06/2019 19:19:01,22.303°C
26/06/2019 19:39:01,21.302°C
26/06/2019 19:59:01,20.739°C
26/06/2019 20:19:01,18.987°C
26/06/2019 20:39:01,17.985°C
26/06/2019 20:59:01,16.169°C
26/06/2019 21:19:01,16.044°C
26/06/2019 21:39:01,15.73°C
26/06/2019 21:59:01,14.728°C
26/06/2019 22:19:01,14.227°C
26/06/2019 22:39:01,14.227°C
26/06/2019 22:59:01,13.537°C
26/06/2019 23:19:01,14.791°C
26/06/2019 23:39:01,13.725°C
26/06/2019 23:59:01,13.412°C
27/06/2019 00:19:01,13.537°C
27/06/2019 00:39:01,13.036°C
27/06/2019 00:59:01,12.472°C
27/06/2019 01:19:01,12.033°C
27/06/2019 01:39:01,11.719°C
27/06/2019 01:59:01,11.656°C
27/06/2019 02:19:01,11.406°C
27/06/2019 02:39:01,11.155°C
27/06/2019 02:59:01,11.029°C
27/06/2019 03:19:01,10.841°C
27/06/2019 03:39:01,10.779°C
27/06/2019 03:59:01,10.59°C
27/06/2019 04:19:01,10.402°C
27/06/2019 04:39:01,10.402°C
27/06/2019 04:59:01,10.402°C
27/06/2019 05:19:01,10.402°C
27/06/2019 05:39:01,10.59°C
27/06/2019 05:59:01,10.904°C
27/06/2019 06:19:01,10.653°C
27/06/2019 06:39:01,10.716°C
27/06/2019 06:59:01,10.59°C
27/06/2019 07:19:01,11.029°C
27/06/2019 07:39:01,12.472°C
27/06/2019 07:59:01,14.665°C
27/06/2019 08:19:01,16.983°C
27/06/2019 08:39:01,20.113°C
27/06/2019 08:59:01,23.241°C
27/06/2019 09:19:01,24.054°C
27/06/2019 09:39:01,28.929°C
27/06/2019 09:59:01,29.428°C
27/06/2019 10:19:01,30.864°C
27/06/2019 10:39:01,31.925°C
27/06/2019 10:59:01,32.05°C
27/06/2019 11:19:01,31.676°C
27/06/2019 11:39:01,32.862°C
27/06/2019 11:59:01,32.55°C
27/06/2019 12:19:01,33.361°C
27/06/2019 12:39:01,32.612°C
27/06/2019 12:59:01,30.989°C
27/06/2019 13:19:01,32.3°C
27/06/2019 13:39:01,33.922°C
