Log Values
Reading , Values
26/06/2019 17:59:01,22.765°C
26/06/2019 18:19:01,22.014°C
26/06/2019 18:39:01,22.265°C
26/06/2019 18:59:01,22.202°C
26/06/2019 19:19:01,22.327°C
26/06/2019 19:39:01,21.264°C
26/06/2019 19:59:01,20.889°C
26/06/2019 20:19:01,19.387°C
26/06/2019 20:39:01,18.261°C
26/06/2019 20:59:01,16.696°C
26/06/2019 21:19:01,16.07°C
26/06/2019 21:39:01,15.819°C
26/06/2019 21:59:01,15.13°C
26/06/2019 22:19:01,14.817°C
26/06/2019 22:39:01,14.754°C
26/06/2019 22:59:01,14.191°C
26/06/2019 23:19:01,15.193°C
26/06/2019 23:39:01,14.316°C
26/06/2019 23:59:01,14.128°C
27/06/2019 00:19:01,14.191°C
27/06/2019 00:39:01,13.376°C
27/06/2019 00:59:01,12.75°C
27/06/2019 01:19:01,12.499°C
27/06/2019 01:39:01,12.249°C
27/06/2019 01:59:01,12.061°C
27/06/2019 02:19:01,11.873°C
27/06/2019 02:39:01,11.685°C
27/06/2019 02:59:01,11.497°C
27/06/2019 03:19:01,11.371°C
27/06/2019 03:39:01,11.183°C
27/06/2019 03:59:01,11.058°C
27/06/2019 04:19:01,10.995°C
27/06/2019 04:39:01,10.995°C
27/06/2019 04:59:01,10.682°C
27/06/2019 05:19:01,10.745°C
27/06/2019 05:39:01,10.87°C
27/06/2019 05:59:01,11.121°C
27/06/2019 06:19:01,11.121°C
27/06/2019 06:39:01,10.995°C
27/06/2019 06:59:01,11.309°C
27/06/2019 07:19:01,11.622°C
27/06/2019 07:39:01,12.625°C
27/06/2019 07:59:01,15.005°C
27/06/2019 08:19:01,17.509°C
27/06/2019 08:39:01,19.074°C
27/06/2019 08:59:01,20.638°C
27/06/2019 09:19:01,22.702°C
27/06/2019 09:39:01,24.703°C
27/06/2019 09:59:01,27.89°C
27/06/2019 10:19:01,31.263°C
27/06/2019 10:39:01,32.761°C
27/06/2019 10:59:01,32.823°C
27/06/2019 11:19:01,33.01°C
27/06/2019 11:39:01,33.947°C
27/06/2019 11:59:01,34.009°C
27/06/2019 12:19:01,33.947°C
27/06/2019 12:39:01,32.137°C
27/06/2019 12:59:01,30.95°C
27/06/2019 13:19:01,32.511°C
27/06/2019 13:39:01,33.759°C
27/06/2019 13:59:01,35.506°C
27/06/2019 14:19:01,33.26°C
27/06/2019 14:39:01,33.634°C
27/06/2019 14:59:01,35.132°C
27/06/2019 15:19:01,34.695°C
27/06/2019 15:39:01,31.138°C
27/06/2019 15:59:01,30.513°C
27/06/2019 16:19:01,29.639°C
27/06/2019 16:39:01,28.452°C
27/06/2019 16:59:01,26.453°C
27/06/2019 17:19:01,25.203°C
27/06/2019 17:39:01,23.828°C
27/06/2019 17:59:01,22.265°C
27/06/2019 18:19:01,21.201°C
27/06/2019 18:39:01,20.451°C
27/06/2019 18:59:01,19.512°C
27/06/2019 19:19:01,19.95°C
27/06/2019 19:39:01,19.637°C
27/06/2019 19:59:01,19.137°C
27/06/2019 20:19:01,19.199°C
27/06/2019 20:39:01,18.699°C
27/06/2019 20:59:01,17.635°C
27/06/2019 21:19:01,17.009°C
27/06/2019 21:39:01,16.257°C
27/06/2019 21:59:01,15.443°C
27/06/2019 22:19:01,14.692°C
27/06/2019 22:39:01,14.253°C
27/06/2019 22:59:01,13.69°C
27/06/2019 23:19:01,13.126°C
27/06/2019 23:39:01,12.813°C
27/06/2019 23:59:01,12.374°C
28/06/2019 00:19:01,12.625°C
28/06/2019 00:39:01,12.249°C
28/06/2019 00:59:01,11.998°C
28/06/2019 01:19:01,11.81°C
28/06/2019 01:39:01,11.747°C
28/06/2019 01:59:01,11.747°C
28/06/2019 02:19:01,11.559°C
28/06/2019 02:39:01,11.434°C
28/06/2019 02:59:01,11.183°C
28/06/2019 03:19:01,11.497°C
28/06/2019 03:39:01,12.562°C
28/06/2019 03:59:01,13.126°C
28/06/2019 04:19:01,13.94°C
28/06/2019 04:39:01,14.253°C
28/06/2019 04:59:01,14.817°C
28/06/2019 05:19:01,14.316°C
28/06/2019 05:39:01,12.938°C
28/06/2019 05:59:01,12.499°C
28/06/2019 06:19:01,12.249°C
28/06/2019 06:39:01,11.873°C
28/06/2019 06:59:01,11.622°C
28/06/2019 07:19:01,11.747°C
28/06/2019 07:39:01,12.875°C
28/06/2019 07:59:01,17.071°C
28/06/2019 08:19:01,20.763°C
28/06/2019 08:39:01,23.453°C
28/06/2019 08:59:01,23.765°C
28/06/2019 09:19:01,24.578°C
28/06/2019 09:39:01,25.141°C
28/06/2019 09:59:01,28.327°C
28/06/2019 10:19:01,29.327°C
28/06/2019 10:39:01,33.135°C
28/06/2019 10:59:01,35.07°C
28/06/2019 11:19:01,34.57°C
28/06/2019 11:39:01,36.442°C
28/06/2019 11:59:01,37.128°C
28/06/2019 12:19:01,34.882°C
28/06/2019 12:39:01,34.758°C
28/06/2019 12:59:01,31.824°C
28/06/2019 13:19:01,35.07°C
28/06/2019 13:39:01,35.257°C
28/06/2019 13:59:01,35.943°C
28/06/2019 14:19:01,35.257°C
28/06/2019 14:39:01,35.943°C
28/06/2019 14:59:01,37.19°C
28/06/2019 15:19:01,36.317°C
28/06/2019 15:39:01,33.01°C
28/06/2019 15:59:01,33.322°C
28/06/2019 16:19:01,33.51°C
28/06/2019 16:39:01,30.576°C
28/06/2019 16:59:01,30.576°C
28/06/2019 17:19:01,30.513°C
28/06/2019 17:39:01,28.89°C
28/06/2019 17:59:01,26.016°C
28/06/2019 18:19:01,25.391°C
28/06/2019 18:39:01,24.453°C
28/06/2019 18:59:01,23.953°C
28/06/2019 19:19:01,23.828°C
28/06/2019 19:39:01,22.452°C
28/06/2019 19:59:01,21.952°C
28/06/2019 20:19:01,22.077°C
28/06/2019 20:39:01,22.452°C
28/06/2019 20:59:01,22.765°C
28/06/2019 21:19:01,22.702°C
28/06/2019 21:39:01,22.765°C
28/06/2019 21:59:01,22.827°C
28/06/2019 22:19:01,21.577°C
28/06/2019 22:39:01,21.326°C
28/06/2019 22:59:01,22.077°C
28/06/2019 23:19:01,21.639°C
28/06/2019 23:39:01,22.14°C
28/06/2019 23:59:01,21.264°C
29/06/2019 00:19:01,21.764°C
29/06/2019 00:39:01,22.14°C
29/06/2019 00:59:01,22.39°C
29/06/2019 01:19:01,22.14°C
29/06/2019 01:39:01,21.889°C
29/06/2019 01:59:01,21.577°C
29/06/2019 02:19:01,21.889°C
29/06/2019 02:39:01,21.952°C
29/06/2019 02:59:01,21.827°C
29/06/2019 03:19:01,21.827°C
29/06/2019 03:39:01,21.889°C
29/06/2019 03:59:01,21.889°C
29/06/2019 04:19:01,21.639°C
29/06/2019 04:39:01,21.201°C
29/06/2019 04:59:01,21.514°C
29/06/2019 05:19:01,21.577°C
29/06/2019 05:39:01,20.826°C
29/06/2019 05:59:01,20.951°C
29/06/2019 06:19:01,20.513°C
29/06/2019 06:39:01,20.388°C
29/06/2019 06:59:01,20.826°C
29/06/2019 07:19:01,20.701°C
29/06/2019 07:39:01,20.513°C
29/06/2019 07:59:01,20.513°C
29/06/2019 08:19:01,21.889°C
29/06/2019 08:39:01,23.14°C
29/06/2019 08:59:01,24.265°C
29/06/2019 09:19:01,25.453°C
29/06/2019 09:39:01,25.703°C
29/06/2019 09:59:01,28.702°C
29/06/2019 10:19:01,31.949°C
29/06/2019 10:39:01,32.511°C
29/06/2019 10:59:01,30.95°C
29/06/2019 11:19:01,32.261°C
29/06/2019 11:39:01,32.386°C
29/06/2019 11:59:01,30.763°C
29/06/2019 12:19:01,33.385°C
29/06/2019 12:39:01,33.51°C
29/06/2019 12:59:01,33.385°C
29/06/2019 13:19:01,32.137°C
29/06/2019 13:39:01,33.073°C
29/06/2019 13:59:01,31.824°C
29/06/2019 14:19:01,30.95°C
29/06/2019 14:39:01,29.639°C
29/06/2019 14:59:01,33.135°C
29/06/2019 15:19:01,35.194°C
29/06/2019 15:39:01,30.388°C
29/06/2019 15:59:01,29.327°C
29/06/2019 16:19:01,30.763°C
29/06/2019 16:39:01,29.077°C
29/06/2019 16:59:01,27.765°C
29/06/2019 17:19:01,27.89°C
29/06/2019 17:39:01,26.328°C
29/06/2019 17:59:01,23.64°C
29/06/2019 18:19:01,21.764°C
29/06/2019 18:39:01,20.826°C
29/06/2019 18:59:01,20.075°C
29/06/2019 19:19:01,19.888°C
29/06/2019 19:39:01,19.825°C
29/06/2019 19:59:01,19.262°C
29/06/2019 20:19:01,19.262°C
29/06/2019 20:39:01,19.137°C
29/06/2019 20:59:01,18.761°C
29/06/2019 21:19:01,18.448°C
29/06/2019 21:39:01,18.261°C
29/06/2019 21:59:01,18.073°C
29/06/2019 22:19:01,17.885°C
29/06/2019 22:39:01,17.009°C
29/06/2019 22:59:01,16.696°C
29/06/2019 23:19:01,16.821°C
29/06/2019 23:39:01,17.572°C
29/06/2019 23:59:01,16.946°C
30/06/2019 00:19:01,15.819°C
30/06/2019 00:39:01,14.754°C
30/06/2019 00:59:01,14.253°C
30/06/2019 01:19:01,13.94°C
30/06/2019 01:39:01,13.627°C
30/06/2019 01:59:01,13.001°C
30/06/2019 02:19:01,13.001°C
30/06/2019 02:39:01,12.687°C
30/06/2019 02:59:01,12.499°C
30/06/2019 03:19:01,12.123°C
30/06/2019 03:39:01,11.685°C
30/06/2019 03:59:01,11.309°C
30/06/2019 04:19:01,11.497°C
30/06/2019 04:39:01,11.497°C
30/06/2019 04:59:01,11.309°C
