Log Values
Reading , Values
26/06/2019 17:59:01,22.78°C
26/06/2019 18:19:01,22.218°C
26/06/2019 18:39:01,22.343°C
26/06/2019 18:59:01,22.155°C
26/06/2019 19:19:01,22.155°C
26/06/2019 19:39:01,21.217°C
26/06/2019 19:59:01,20.779°C
26/06/2019 20:19:01,19.465°C
26/06/2019 20:39:01,18.589°C
26/06/2019 20:59:01,16.774°C
26/06/2019 21:19:01,16.273°C
26/06/2019 21:39:01,16.273°C
26/06/2019 21:59:01,15.333°C
26/06/2019 22:19:01,14.895°C
26/06/2019 22:39:01,14.832°C
26/06/2019 22:59:01,14.081°C
26/06/2019 23:19:01,15.208°C
26/06/2019 23:39:01,14.457°C
26/06/2019 23:59:01,14.331°C
27/06/2019 00:19:01,14.457°C
27/06/2019 00:39:01,13.329°C
27/06/2019 00:59:01,12.577°C
27/06/2019 01:19:01,12.139°C
27/06/2019 01:39:01,11.888°C
27/06/2019 01:59:01,11.763°C
27/06/2019 02:19:01,11.763°C
27/06/2019 02:39:01,11.763°C
27/06/2019 02:59:01,11.575°C
27/06/2019 03:19:01,11.449°C
27/06/2019 03:39:01,11.324°C
27/06/2019 03:59:01,11.136°C
27/06/2019 04:19:01,11.073°C
27/06/2019 04:39:01,11.011°C
27/06/2019 04:59:01,10.76°C
27/06/2019 05:19:01,10.885°C
27/06/2019 05:39:01,11.073°C
27/06/2019 05:59:01,11.449°C
27/06/2019 06:19:01,11.261°C
27/06/2019 06:39:01,11.136°C
27/06/2019 06:59:01,11.387°C
27/06/2019 07:19:01,11.7°C
27/06/2019 07:39:01,12.765°C
27/06/2019 07:59:01,15.271°C
27/06/2019 08:19:01,19.715°C
27/06/2019 08:39:01,20.967°C
27/06/2019 08:59:01,21.655°C
27/06/2019 09:19:01,24.969°C
27/06/2019 09:39:01,25.531°C
27/06/2019 09:59:01,27.406°C
27/06/2019 10:19:01,28.843°C
27/06/2019 10:39:01,28.905°C
27/06/2019 10:59:01,28.655°C
27/06/2019 11:19:01,28.281°C
27/06/2019 11:39:01,30.467°C
27/06/2019 11:59:01,30.716°C
27/06/2019 12:19:01,31.278°C
27/06/2019 12:39:01,31.341°C
27/06/2019 12:59:01,29.967°C
27/06/2019 13:19:01,31.278°C
27/06/2019 13:39:01,32.527°C
27/06/2019 13:59:01,34.337°C
27/06/2019 14:19:01,34.212°C
27/06/2019 14:39:01,31.84°C
27/06/2019 14:59:01,32.839°C
27/06/2019 15:19:01,32.777°C
27/06/2019 15:39:01,30.467°C
27/06/2019 15:59:01,30.404°C
