id,year,month,day,hour,minute,second,Etime,Tcham
0,2018,12,12,15,41,4,-60,32.57
1,2018,12,12,15,41,5,-59,32.57
2,2018,12,12,15,41,6,-58,32.57
3,2018,12,12,15,41,7,-57,32.57
4,2018,12,12,15,41,8,-56,32.57
5,2018,12,12,15,41,9,-55,32.57
6,2018,12,12,15,41,10,-54,32.66
7,2018,12,12,15,41,11,-53,32.66
8,2018,12,12,15,41,12,-52,32.66
9,2018,12,12,15,41,13,-51,32.66
10,2018,12,12,15,41,14,-50,32.57
11,2018,12,12,15,41,15,-49,32.66
12,2018,12,12,15,41,16,-48,32.66
13,2018,12,12,15,41,17,-47,32.66
14,2018,12,12,15,41,18,-46,32.66
15,2018,12,12,15,41,19,-45,32.66
16,2018,12,12,15,41,21,-44,32.66
17,2018,12,12,15,41,22,-43,32.66
18,2018,12,12,15,41,23,-42,32.66
19,2018,12,12,15,41,24,-41,32.66
20,2018,12,12,15,41,25,-40,32.66
21,2018,12,12,15,41,26,-39,32.66
22,2018,12,12,15,41,27,-38,32.66
23,2018,12,12,15,41,28,-37,32.66
24,2018,12,12,15,41,29,-36,32.75
25,2018,12,12,15,41,30,-35,32.66
26,2018,12,12,15,41,31,-34,32.66
27,2018,12,12,15,41,32,-33,32.75
28,2018,12,12,15,41,33,-32,32.66
29,2018,12,12,15,41,34,-31,32.75
30,2018,12,12,15,41,35,-30,32.75
31,2018,12,12,15,41,36,-29,32.75
32,2018,12,12,15,41,37,-28,32.75
33,2018,12,12,15,41,38,-27,32.75
34,2018,12,12,15,41,39,-26,32.75
35,2018,12,12,15,41,40,-25,32.75
36,2018,12,12,15,41,41,-24,32.75
37,2018,12,12,15,41,42,-23,32.75
38,2018,12,12,15,41,43,-22,32.75
39,2018,12,12,15,41,44,-21,32.75
40,2018,12,12,15,41,45,-20,32.75
41,2018,12,12,15,41,46,-19,32.75
42,2018,12,12,15,41,47,-18,32.75
43,2018,12,12,15,41,48,-17,32.75
44,2018,12,12,15,41,49,-16,32.75
45,2018,12,12,15,41,50,-15,32.84
46,2018,12,12,15,41,51,-14,32.84
47,2018,12,12,15,41,52,-13,32.84
48,2018,12,12,15,41,53,-12,32.75
49,2018,12,12,15,41,54,-11,32.75
50,2018,12,12,15,41,55,-10,32.75
51,2018,12,12,15,41,57,-9,32.75
52,2018,12,12,15,41,58,-8,32.84
53,2018,12,12,15,41,59,-7,32.84
54,2018,12,12,15,42,0,-6,32.75
55,2018,12,12,15,42,1,-5,32.84
56,2018,12,12,15,42,2,-4,32.75
57,2018,12,12,15,42,3,-3,32.84
58,2018,12,12,15,42,4,-2,32.84
59,2018,12,12,15,42,5,-1,32.84
60,2018,12,12,15,42,6,0,32.84
61,2018,12,12,15,42,7,1,32.75
62,2018,12,12,15,42,8,2,32.75
63,2018,12,12,15,42,9,3,32.75
64,2018,12,12,15,42,10,4,32.75
