id,year,month,day,hour,minute,second,Etime,Tcham
0,2018,12,13,15,5,43,-60,26.44
1,2018,12,13,15,5,44,-59,26.44
2,2018,12,13,15,5,45,-58,26.44
3,2018,12,13,15,5,46,-57,26.35
4,2018,12,13,15,5,47,-56,26.35
5,2018,12,13,15,5,49,-55,26.35
6,2018,12,13,15,5,50,-54,26.35
7,2018,12,13,15,5,51,-53,26.35
8,2018,12,13,15,5,52,-52,26.35
9,2018,12,13,15,5,53,-51,26.35
10,2018,12,13,15,5,54,-50,26.35
11,2018,12,13,15,5,55,-49,26.35
12,2018,12,13,15,5,56,-48,26.35
13,2018,12,13,15,5,57,-47,26.35
14,2018,12,13,15,5,58,-46,26.35
15,2018,12,13,15,5,59,-45,26.27
16,2018,12,13,15,6,0,-44,26.35
17,2018,12,13,15,6,1,-43,26.27
18,2018,12,13,15,6,2,-42,26.27
19,2018,12,13,15,6,3,-41,26.35
20,2018,12,13,15,6,4,-40,26.27
21,2018,12,13,15,6,5,-39,26.27
22,2018,12,13,15,6,6,-38,26.35
23,2018,12,13,15,6,7,-37,26.27
24,2018,12,13,15,6,8,-36,26.27
25,2018,12,13,15,6,9,-35,26.27
26,2018,12,13,15,6,10,-34,26.27
27,2018,12,13,15,6,11,-33,26.27
28,2018,12,13,15,6,12,-32,26.27
29,2018,12,13,15,6,13,-31,26.27
30,2018,12,13,15,6,14,-30,26.27
31,2018,12,13,15,6,15,-29,26.35
32,2018,12,13,15,6,16,-28,26.27
33,2018,12,13,15,6,17,-27,26.27
34,2018,12,13,15,6,18,-26,26.35
35,2018,12,13,15,6,19,-25,26.35
36,2018,12,13,15,6,20,-24,26.35
37,2018,12,13,15,6,21,-23,26.27
38,2018,12,13,15,6,22,-22,26.35
39,2018,12,13,15,6,23,-21,26.27
40,2018,12,13,15,6,25,-20,26.27
41,2018,12,13,15,6,26,-19,26.27
42,2018,12,13,15,6,27,-18,26.27
43,2018,12,13,15,6,28,-17,26.27
44,2018,12,13,15,6,29,-16,26.27
45,2018,12,13,15,6,30,-15,26.27
46,2018,12,13,15,6,31,-14,26.27
47,2018,12,13,15,6,32,-13,26.27
48,2018,12,13,15,6,33,-12,26.27
49,2018,12,13,15,6,34,-11,26.35
50,2018,12,13,15,6,35,-10,26.35
51,2018,12,13,15,6,36,-9,26.27
52,2018,12,13,15,6,37,-8,26.27
53,2018,12,13,15,6,38,-7,26.27
54,2018,12,13,15,6,39,-6,26.27
55,2018,12,13,15,6,40,-5,26.27
56,2018,12,13,15,6,41,-4,26.27
57,2018,12,13,15,6,42,-3,26.27
58,2018,12,13,15,6,43,-2,26.35
59,2018,12,13,15,6,44,-1,26.27
60,2018,12,13,15,6,45,0,26.27
61,2018,12,13,15,6,46,1,26.27
62,2018,12,13,15,6,47,2,26.19
63,2018,12,13,15,6,48,3,26.27
64,2018,12,13,15,6,49,4,26.19
65,2018,12,13,15,6,50,5,26.19
66,2018,12,13,15,6,51,6,26.27
67,2018,12,13,15,6,52,7,26.27
68,2018,12,13,15,6,53,8,26.19
69,2018,12,13,15,6,54,9,26.19
70,2018,12,13,15,6,55,10,26.19
71,2018,12,13,15,6,56,11,26.27
72,2018,12,13,15,6,57,12,26.27
73,2018,12,13,15,6,58,13,26.27
74,2018,12,13,15,6,59,14,26.19
75,2018,12,13,15,7,0,15,26.19
76,2018,12,13,15,7,1,16,26.19
77,2018,12,13,15,7,3,17,26.19
78,2018,12,13,15,7,4,18,26.19
79,2018,12,13,15,7,5,19,26.27
80,2018,12,13,15,7,6,20,26.19
81,2018,12,13,15,7,7,21,26.19
82,2018,12,13,15,7,8,22,26.19
83,2018,12,13,15,7,9,23,26.19
84,2018,12,13,15,7,10,24,26.19
85,2018,12,13,15,7,11,25,26.27
86,2018,12,13,15,7,12,26,26.19
87,2018,12,13,15,7,13,27,26.19
88,2018,12,13,15,7,14,28,26.19
89,2018,12,13,15,7,15,29,26.19
90,2018,12,13,15,7,16,30,26.19
91,2018,12,13,15,7,17,31,26.19
92,2018,12,13,15,7,18,32,26.19
93,2018,12,13,15,7,19,33,26.19
94,2018,12,13,15,7,20,34,26.19
95,2018,12,13,15,7,21,35,26.19
96,2018,12,13,15,7,22,36,26.19
97,2018,12,13,15,7,23,37,26.19
98,2018,12,13,15,7,24,38,26.19
99,2018,12,13,15,7,25,39,26.19
100,2018,12,13,15,7,26,40,26.19
101,2018,12,13,15,7,27,41,26.19
102,2018,12,13,15,7,28,42,26.19
103,2018,12,13,15,7,29,43,26.19
104,2018,12,13,15,7,30,44,26.19
105,2018,12,13,15,7,31,45,26.19
106,2018,12,13,15,7,32,46,26.19
107,2018,12,13,15,7,33,47,26.19
108,2018,12,13,15,7,34,48,26.19
109,2018,12,13,15,7,35,49,26.19
110,2018,12,13,15,7,36,50,26.19
111,2018,12,13,15,7,37,51,26.19
112,2018,12,13,15,7,38,52,26.19
113,2018,12,13,15,7,40,53,26.19
114,2018,12,13,15,7,41,54,26.19
115,2018,12,13,15,7,42,55,26.19
116,2018,12,13,15,7,43,56,26.19
117,2018,12,13,15,7,44,57,26.19
118,2018,12,13,15,7,45,58,26.19
119,2018,12,13,15,7,46,59,26.19
120,2018,12,13,15,7,47,60,26.19
121,2018,12,13,15,7,48,61,26.19
122,2018,12,13,15,7,49,62,26.19
123,2018,12,13,15,7,50,63,26.19
124,2018,12,13,15,7,51,64,26.19
125,2018,12,13,15,7,52,65,26.19
126,2018,12,13,15,7,53,66,26.19
127,2018,12,13,15,7,54,67,26.19
128,2018,12,13,15,7,55,68,26.19
129,2018,12,13,15,7,56,69,26.19
130,2018,12,13,15,7,57,70,26.19
131,2018,12,13,15,7,58,71,26.19
132,2018,12,13,15,7,59,72,26.10
133,2018,12,13,15,8,0,73,26.19
134,2018,12,13,15,8,1,74,26.10
135,2018,12,13,15,8,2,75,26.19
136,2018,12,13,15,8,3,76,26.19
137,2018,12,13,15,8,4,77,26.19
138,2018,12,13,15,8,5,78,26.19
139,2018,12,13,15,8,6,79,26.19
140,2018,12,13,15,8,7,80,26.19
141,2018,12,13,15,8,8,81,26.19
142,2018,12,13,15,8,9,82,26.19
143,2018,12,13,15,8,10,83,26.19
144,2018,12,13,15,8,11,84,26.19
145,2018,12,13,15,8,12,85,26.10
146,2018,12,13,15,8,13,86,26.10
147,2018,12,13,15,8,14,87,26.19
148,2018,12,13,15,8,15,88,26.10
149,2018,12,13,15,8,17,89,26.19
150,2018,12,13,15,8,18,90,26.10
151,2018,12,13,15,8,19,91,26.19
152,2018,12,13,15,8,20,92,26.10
153,2018,12,13,15,8,21,93,26.19
154,2018,12,13,15,8,22,94,26.10
155,2018,12,13,15,8,23,95,26.10
156,2018,12,13,15,8,24,96,26.19
157,2018,12,13,15,8,25,97,26.19
158,2018,12,13,15,8,26,98,26.10
159,2018,12,13,15,8,27,99,26.10
160,2018,12,13,15,8,28,100,26.10
161,2018,12,13,15,8,29,101,26.19
162,2018,12,13,15,8,30,102,26.10
163,2018,12,13,15,8,31,103,26.10
164,2018,12,13,15,8,32,104,26.10
165,2018,12,13,15,8,33,105,26.10
166,2018,12,13,15,8,34,106,26.19
167,2018,12,13,15,8,35,107,26.10
168,2018,12,13,15,8,36,108,26.19
169,2018,12,13,15,8,37,109,26.19
170,2018,12,13,15,8,38,110,26.10
171,2018,12,13,15,8,39,111,26.10
172,2018,12,13,15,8,40,112,26.19
173,2018,12,13,15,8,41,113,26.10
174,2018,12,13,15,8,42,114,26.10
175,2018,12,13,15,8,43,115,26.10
176,2018,12,13,15,8,44,116,26.10
177,2018,12,13,15,8,45,117,26.10
178,2018,12,13,15,8,46,118,26.10
179,2018,12,13,15,8,47,119,26.10
180,2018,12,13,15,8,48,120,26.10
