id,year,month,day,hour,minute,second,Etime,Tcham
0,2018,12,13,9,46,46,-60,22.34
1,2018,12,13,9,46,47,-59,22.34
2,2018,12,13,9,46,48,-58,22.34
3,2018,12,13,9,46,49,-57,22.34
4,2018,12,13,9,46,50,-56,22.34
5,2018,12,13,9,46,51,-55,22.34
6,2018,12,13,9,46,52,-54,22.42
7,2018,12,13,9,46,53,-53,22.34
8,2018,12,13,9,46,54,-52,22.34
9,2018,12,13,9,46,55,-51,22.34
10,2018,12,13,9,46,56,-50,22.42
11,2018,12,13,9,46,57,-49,22.34
12,2018,12,13,9,46,58,-48,22.34
13,2018,12,13,9,46,59,-47,22.42
14,2018,12,13,9,47,0,-46,22.34
15,2018,12,13,9,47,1,-45,22.42
16,2018,12,13,9,47,2,-44,22.34
17,2018,12,13,9,47,3,-43,22.34
18,2018,12,13,9,47,4,-42,22.42
19,2018,12,13,9,47,5,-41,22.34
20,2018,12,13,9,47,6,-40,22.34
21,2018,12,13,9,47,7,-39,22.34
22,2018,12,13,9,47,8,-38,22.42
23,2018,12,13,9,47,9,-37,22.42
24,2018,12,13,9,47,10,-36,22.34
25,2018,12,13,9,47,11,-35,22.34
26,2018,12,13,9,47,12,-34,22.34
27,2018,12,13,9,47,13,-33,22.42
28,2018,12,13,9,47,14,-32,22.34
29,2018,12,13,9,47,16,-31,22.34
30,2018,12,13,9,47,17,-30,22.34
31,2018,12,13,9,47,18,-29,22.34
32,2018,12,13,9,47,19,-28,22.34
33,2018,12,13,9,47,20,-27,22.34
34,2018,12,13,9,47,21,-26,22.34
35,2018,12,13,9,47,22,-25,22.42
36,2018,12,13,9,47,23,-24,22.34
37,2018,12,13,9,47,24,-23,22.34
38,2018,12,13,9,47,25,-22,22.34
39,2018,12,13,9,47,26,-21,22.34
40,2018,12,13,9,47,27,-20,22.34
41,2018,12,13,9,47,28,-19,22.34
42,2018,12,13,9,47,29,-18,22.34
43,2018,12,13,9,47,30,-17,22.34
44,2018,12,13,9,47,31,-16,22.42
45,2018,12,13,9,47,32,-15,22.42
46,2018,12,13,9,47,33,-14,22.34
47,2018,12,13,9,47,34,-13,22.34
48,2018,12,13,9,47,35,-12,22.42
49,2018,12,13,9,47,36,-11,22.34
50,2018,12,13,9,47,37,-10,22.34
51,2018,12,13,9,47,38,-9,22.34
52,2018,12,13,9,47,39,-8,22.34
53,2018,12,13,9,47,40,-7,22.42
54,2018,12,13,9,47,41,-6,22.34
55,2018,12,13,9,47,42,-5,22.42
56,2018,12,13,9,47,43,-4,22.34
57,2018,12,13,9,47,44,-3,22.34
58,2018,12,13,9,47,45,-2,22.42
59,2018,12,13,9,47,46,-1,22.42
60,2018,12,13,9,47,47,0,22.26
61,2018,12,13,9,47,48,1,22.26
62,2018,12,13,9,47,49,2,22.26
63,2018,12,13,9,47,50,3,22.26
64,2018,12,13,9,47,51,4,22.26
65,2018,12,13,9,47,53,5,22.26
66,2018,12,13,9,47,54,6,22.26
67,2018,12,13,9,47,55,7,22.34
68,2018,12,13,9,47,56,8,22.26
69,2018,12,13,9,47,57,9,22.26
70,2018,12,13,9,47,58,10,22.26
71,2018,12,13,9,47,59,11,22.26
72,2018,12,13,9,48,0,12,22.26
73,2018,12,13,9,48,1,13,22.26
74,2018,12,13,9,48,2,14,22.26
75,2018,12,13,9,48,3,15,22.26
76,2018,12,13,9,48,4,16,22.26
77,2018,12,13,9,48,5,17,22.26
78,2018,12,13,9,48,6,18,22.17
79,2018,12,13,9,48,7,19,22.26
80,2018,12,13,9,48,8,20,22.26
81,2018,12,13,9,48,9,21,22.26
