id,year,month,day,hour,minute,second,Etime,Tcham
0,2019,12,5,15,8,8,-60,36.69
1,2019,12,5,15,8,9,-59,36.69
2,2019,12,5,15,8,10,-58,36.69
3,2019,12,5,15,8,11,-57,36.69
4,2019,12,5,15,8,12,-56,36.69
5,2019,12,5,15,8,13,-55,36.69
6,2019,12,5,15,8,14,-54,36.69
7,2019,12,5,15,8,15,-53,36.69
8,2019,12,5,15,8,16,-52,36.69
9,2019,12,5,15,8,18,-51,36.69
10,2019,12,5,15,8,19,-50,36.69
11,2019,12,5,15,8,20,-49,36.69
12,2019,12,5,15,8,21,-48,36.69
13,2019,12,5,15,8,22,-47,36.69
14,2019,12,5,15,8,23,-46,36.69
15,2019,12,5,15,8,24,-45,36.69
16,2019,12,5,15,8,25,-44,36.69
17,2019,12,5,15,8,26,-43,36.69
18,2019,12,5,15,8,27,-42,36.69
19,2019,12,5,15,8,28,-41,36.69
20,2019,12,5,15,8,29,-40,36.69
21,2019,12,5,15,8,30,-39,36.69
22,2019,12,5,15,8,31,-38,36.69
23,2019,12,5,15,8,32,-37,36.69
24,2019,12,5,15,8,33,-36,36.69
25,2019,12,5,15,8,34,-35,36.69
26,2019,12,5,15,8,35,-34,36.69
27,2019,12,5,15,8,36,-33,36.69
28,2019,12,5,15,8,37,-32,36.69
29,2019,12,5,15,8,38,-31,36.69
30,2019,12,5,15,8,39,-30,36.78
31,2019,12,5,15,8,40,-29,36.69
32,2019,12,5,15,8,41,-28,36.69
33,2019,12,5,15,8,42,-27,36.69
34,2019,12,5,15,8,43,-26,36.69
35,2019,12,5,15,8,44,-25,36.78
36,2019,12,5,15,8,45,-24,36.69
37,2019,12,5,15,8,46,-23,36.69
38,2019,12,5,15,8,47,-22,36.69
39,2019,12,5,15,8,48,-21,36.78
40,2019,12,5,15,8,49,-20,36.69
41,2019,12,5,15,8,50,-19,36.78
42,2019,12,5,15,8,51,-18,36.78
43,2019,12,5,15,8,52,-17,36.78
44,2019,12,5,15,8,53,-16,36.78
45,2019,12,5,15,8,55,-15,36.78
46,2019,12,5,15,8,56,-14,36.69
47,2019,12,5,15,8,57,-13,36.69
48,2019,12,5,15,8,58,-12,36.78
49,2019,12,5,15,8,59,-11,36.69
50,2019,12,5,15,9,0,-10,36.69
51,2019,12,5,15,9,1,-9,36.78
52,2019,12,5,15,9,2,-8,36.69
53,2019,12,5,15,9,3,-7,36.78
54,2019,12,5,15,9,4,-6,36.69
55,2019,12,5,15,9,5,-5,36.78
56,2019,12,5,15,9,6,-4,36.69
57,2019,12,5,15,9,7,-3,36.78
58,2019,12,5,15,9,8,-2,36.78
59,2019,12,5,15,9,9,-1,36.78
60,2019,12,5,15,9,10,0,36.69
61,2019,12,5,15,9,11,1,36.59
62,2019,12,5,15,9,12,2,36.59
63,2019,12,5,15,9,13,3,36.59
64,2019,12,5,15,9,14,4,36.69
65,2019,12,5,15,9,15,5,36.69
66,2019,12,5,15,9,16,6,36.69
67,2019,12,5,15,9,17,7,36.59
68,2019,12,5,15,9,18,8,36.69
69,2019,12,5,15,9,19,9,36.69
70,2019,12,5,15,9,20,10,36.69
71,2019,12,5,15,9,21,11,36.69
72,2019,12,5,15,9,22,12,36.69
73,2019,12,5,15,9,23,13,36.69
74,2019,12,5,15,9,24,14,36.69
75,2019,12,5,15,9,25,15,36.59
76,2019,12,5,15,9,26,16,36.69
77,2019,12,5,15,9,27,17,36.69
78,2019,12,5,15,9,28,18,36.59
79,2019,12,5,15,9,29,19,36.69
80,2019,12,5,15,9,30,20,36.69
81,2019,12,5,15,9,32,21,36.69
82,2019,12,5,15,9,33,22,36.59
83,2019,12,5,15,9,34,23,36.59
84,2019,12,5,15,9,35,24,36.69
85,2019,12,5,15,9,36,25,36.69
86,2019,12,5,15,9,37,26,36.69
87,2019,12,5,15,9,38,27,36.69
88,2019,12,5,15,9,39,28,36.69
89,2019,12,5,15,9,40,29,36.69
90,2019,12,5,15,9,41,30,36.69
91,2019,12,5,15,9,42,31,36.69
92,2019,12,5,15,9,43,32,36.69
93,2019,12,5,15,9,44,33,36.69
94,2019,12,5,15,9,45,34,36.69
95,2019,12,5,15,9,46,35,36.69
96,2019,12,5,15,9,47,36,36.69
97,2019,12,5,15,9,48,37,36.69
98,2019,12,5,15,9,49,38,36.69
99,2019,12,5,15,9,50,39,36.69
100,2019,12,5,15,9,51,40,36.69
101,2019,12,5,15,9,52,41,36.69
102,2019,12,5,15,9,53,42,36.69
103,2019,12,5,15,9,54,43,36.69
104,2019,12,5,15,9,55,44,36.69
105,2019,12,5,15,9,56,45,36.69
106,2019,12,5,15,9,57,46,36.69
107,2019,12,5,15,9,58,47,36.69
108,2019,12,5,15,9,59,48,36.69
109,2019,12,5,15,10,0,49,36.69
110,2019,12,5,15,10,1,50,36.69
111,2019,12,5,15,10,2,51,36.69
112,2019,12,5,15,10,3,52,36.69
113,2019,12,5,15,10,4,53,36.78
114,2019,12,5,15,10,5,54,36.69
115,2019,12,5,15,10,6,55,36.69
116,2019,12,5,15,10,7,56,36.69
117,2019,12,5,15,10,9,57,36.78
118,2019,12,5,15,10,10,58,36.69
119,2019,12,5,15,10,11,59,36.69
120,2019,12,5,15,10,12,60,36.69
121,2019,12,5,15,10,13,61,36.69
122,2019,12,5,15,10,14,62,36.78
123,2019,12,5,15,10,15,63,36.69
124,2019,12,5,15,10,16,64,36.69
125,2019,12,5,15,10,17,65,36.69
126,2019,12,5,15,10,18,66,36.78
127,2019,12,5,15,10,19,67,36.69
128,2019,12,5,15,10,20,68,36.69
129,2019,12,5,15,10,21,69,36.78
130,2019,12,5,15,10,22,70,36.78
131,2019,12,5,15,10,23,71,36.78
132,2019,12,5,15,10,24,72,36.78
133,2019,12,5,15,10,25,73,36.69
134,2019,12,5,15,10,26,74,36.78
135,2019,12,5,15,10,27,75,36.69
136,2019,12,5,15,10,28,76,36.78
137,2019,12,5,15,10,29,77,36.78
138,2019,12,5,15,10,30,78,36.78
139,2019,12,5,15,10,31,79,36.78
140,2019,12,5,15,10,32,80,36.69
141,2019,12,5,15,10,33,81,36.78
142,2019,12,5,15,10,34,82,36.78
143,2019,12,5,15,10,35,83,36.78
144,2019,12,5,15,10,36,84,36.78
145,2019,12,5,15,10,37,85,36.78
146,2019,12,5,15,10,38,86,36.78
147,2019,12,5,15,10,39,87,36.78
148,2019,12,5,15,10,40,88,36.78
149,2019,12,5,15,10,41,89,36.78
150,2019,12,5,15,10,42,90,36.78
151,2019,12,5,15,10,43,91,36.78
152,2019,12,5,15,10,44,92,36.78
153,2019,12,5,15,10,45,93,36.78
154,2019,12,5,15,10,47,94,36.78
155,2019,12,5,15,10,48,95,36.78
156,2019,12,5,15,10,49,96,36.78
157,2019,12,5,15,10,50,97,36.78
158,2019,12,5,15,10,51,98,36.78
159,2019,12,5,15,10,52,99,36.78
160,2019,12,5,15,10,53,100,36.78
161,2019,12,5,15,10,54,101,36.87
162,2019,12,5,15,10,55,102,36.87
163,2019,12,5,15,10,56,103,36.87
164,2019,12,5,15,10,57,104,36.78
165,2019,12,5,15,10,58,105,36.87
166,2019,12,5,15,10,59,106,36.78
167,2019,12,5,15,11,0,107,36.87
168,2019,12,5,15,11,1,108,36.78
169,2019,12,5,15,11,2,109,36.87
170,2019,12,5,15,11,3,110,36.78
171,2019,12,5,15,11,4,111,36.87
172,2019,12,5,15,11,5,112,36.87
173,2019,12,5,15,11,6,113,36.87
174,2019,12,5,15,11,7,114,36.87
175,2019,12,5,15,11,8,115,36.87
176,2019,12,5,15,11,9,116,36.87
177,2019,12,5,15,11,10,117,36.87
178,2019,12,5,15,11,11,118,36.87
179,2019,12,5,15,11,12,119,36.87
180,2019,12,5,15,11,13,120,36.87
181,2019,12,5,15,11,14,121,36.87
182,2019,12,5,15,11,15,122,36.87
183,2019,12,5,15,11,16,123,36.87
184,2019,12,5,15,11,17,124,36.87
185,2019,12,5,15,11,18,125,36.87
186,2019,12,5,15,11,19,126,36.87
187,2019,12,5,15,11,20,127,36.87
188,2019,12,5,15,11,21,128,36.87
189,2019,12,5,15,11,23,129,36.87
190,2019,12,5,15,11,24,130,36.87
191,2019,12,5,15,11,25,131,36.87
192,2019,12,5,15,11,26,132,36.87
193,2019,12,5,15,11,27,133,36.87
194,2019,12,5,15,11,28,134,36.87
195,2019,12,5,15,11,29,135,36.97
196,2019,12,5,15,11,30,136,36.97
197,2019,12,5,15,11,31,137,36.87
198,2019,12,5,15,11,32,138,36.87
199,2019,12,5,15,11,33,139,36.87
200,2019,12,5,15,11,34,140,36.87
201,2019,12,5,15,11,35,141,36.87
202,2019,12,5,15,11,36,142,36.97
203,2019,12,5,15,11,37,143,36.87
204,2019,12,5,15,11,38,144,36.87
205,2019,12,5,15,11,39,145,36.97
206,2019,12,5,15,11,40,146,36.97
207,2019,12,5,15,11,41,147,36.87
208,2019,12,5,15,11,42,148,36.87
209,2019,12,5,15,11,43,149,36.87
210,2019,12,5,15,11,44,150,36.97
211,2019,12,5,15,11,45,151,36.97
212,2019,12,5,15,11,46,152,36.97
213,2019,12,5,15,11,47,153,36.87
214,2019,12,5,15,11,48,154,36.87
215,2019,12,5,15,11,49,155,36.97
