id,year,month,day,hour,minute,second,Etime,Tcham
0,2019,6,20,11,27,40,-60,15.22
1,2019,6,20,11,27,41,-59,15.14
2,2019,6,20,11,27,42,-58,15.22
3,2019,6,20,11,27,43,-57,15.22
4,2019,6,20,11,27,44,-56,15.14
5,2019,6,20,11,27,45,-55,15.22
6,2019,6,20,11,27,46,-54,15.22
7,2019,6,20,11,27,48,-53,15.22
8,2019,6,20,11,27,49,-52,15.14
9,2019,6,20,11,27,50,-51,15.14
10,2019,6,20,11,27,51,-50,15.14
11,2019,6,20,11,27,52,-49,15.14
12,2019,6,20,11,27,53,-48,15.22
13,2019,6,20,11,27,54,-47,15.22
14,2019,6,20,11,27,55,-46,15.14
15,2019,6,20,11,27,56,-45,15.14
16,2019,6,20,11,27,57,-44,15.22
17,2019,6,20,11,27,58,-43,15.14
18,2019,6,20,11,27,59,-42,15.22
19,2019,6,20,11,28,0,-41,15.14
20,2019,6,20,11,28,1,-40,15.14
21,2019,6,20,11,28,2,-39,15.22
22,2019,6,20,11,28,3,-38,15.22
23,2019,6,20,11,28,4,-37,15.14
24,2019,6,20,11,28,5,-36,15.14
25,2019,6,20,11,28,6,-35,15.14
26,2019,6,20,11,28,7,-34,15.14
27,2019,6,20,11,28,8,-33,15.14
28,2019,6,20,11,28,9,-32,15.14
29,2019,6,20,11,28,10,-31,15.22
30,2019,6,20,11,28,11,-30,15.22
31,2019,6,20,11,28,12,-29,15.22
32,2019,6,20,11,28,13,-28,15.14
33,2019,6,20,11,28,14,-27,15.14
34,2019,6,20,11,28,15,-26,15.22
35,2019,6,20,11,28,16,-25,15.14
36,2019,6,20,11,28,17,-24,15.22
37,2019,6,20,11,28,18,-23,15.22
38,2019,6,20,11,28,19,-22,15.22
39,2019,6,20,11,28,20,-21,15.22
40,2019,6,20,11,28,21,-20,15.22
41,2019,6,20,11,28,22,-19,15.14
42,2019,6,20,11,28,23,-18,15.14
43,2019,6,20,11,28,25,-17,15.22
44,2019,6,20,11,28,26,-16,15.22
45,2019,6,20,11,28,27,-15,15.22
46,2019,6,20,11,28,28,-14,15.14
47,2019,6,20,11,28,29,-13,15.22
48,2019,6,20,11,28,30,-12,15.14
49,2019,6,20,11,28,31,-11,15.22
50,2019,6,20,11,28,32,-10,15.14
51,2019,6,20,11,28,33,-9,15.22
52,2019,6,20,11,28,34,-8,15.14
53,2019,6,20,11,28,35,-7,15.22
54,2019,6,20,11,28,36,-6,15.22
55,2019,6,20,11,28,37,-5,15.22
56,2019,6,20,11,28,38,-4,15.22
57,2019,6,20,11,28,39,-3,15.22
58,2019,6,20,11,28,40,-2,15.22
59,2019,6,20,11,28,41,-1,15.22
60,2019,6,20,11,28,42,0,15.14
61,2019,6,20,11,28,43,1,15.14
62,2019,6,20,11,28,44,2,15.14
63,2019,6,20,11,28,45,3,15.14
64,2019,6,20,11,28,46,4,15.14
65,2019,6,20,11,28,47,5,15.14
66,2019,6,20,11,28,48,6,15.14
67,2019,6,20,11,28,49,7,15.14
68,2019,6,20,11,28,50,8,15.14
69,2019,6,20,11,28,51,9,15.14
70,2019,6,20,11,28,52,10,15.05
71,2019,6,20,11,28,53,11,15.14
72,2019,6,20,11,28,54,12,15.14
73,2019,6,20,11,28,55,13,15.14
74,2019,6,20,11,28,56,14,15.14
75,2019,6,20,11,28,57,15,15.14
76,2019,6,20,11,28,58,16,15.14
77,2019,6,20,11,28,59,17,15.14
78,2019,6,20,11,29,0,18,15.14
79,2019,6,20,11,29,2,19,15.14
80,2019,6,20,11,29,3,20,15.05
81,2019,6,20,11,29,4,21,15.14
82,2019,6,20,11,29,5,22,15.14
83,2019,6,20,11,29,6,23,15.14
84,2019,6,20,11,29,7,24,15.14
85,2019,6,20,11,29,8,25,15.14
86,2019,6,20,11,29,9,26,15.05
87,2019,6,20,11,29,10,27,15.14
88,2019,6,20,11,29,11,28,15.14
89,2019,6,20,11,29,12,29,15.14
90,2019,6,20,11,29,13,30,15.05
91,2019,6,20,11,29,14,31,15.14
92,2019,6,20,11,29,15,32,15.14
93,2019,6,20,11,29,16,33,15.14
94,2019,6,20,11,29,17,34,15.05
95,2019,6,20,11,29,18,35,15.14
96,2019,6,20,11,29,19,36,15.14
97,2019,6,20,11,29,20,37,15.14
98,2019,6,20,11,29,21,38,15.14
99,2019,6,20,11,29,22,39,15.14
100,2019,6,20,11,29,23,40,15.14
101,2019,6,20,11,29,24,41,15.22
102,2019,6,20,11,29,25,42,15.14
103,2019,6,20,11,29,26,43,15.14
104,2019,6,20,11,29,27,44,15.14
105,2019,6,20,11,29,28,45,15.05
106,2019,6,20,11,29,29,46,15.05
107,2019,6,20,11,29,30,47,15.14
108,2019,6,20,11,29,31,48,15.14
109,2019,6,20,11,29,32,49,15.14
110,2019,6,20,11,29,33,50,15.05
111,2019,6,20,11,29,34,51,15.14
112,2019,6,20,11,29,35,52,15.14
113,2019,6,20,11,29,36,53,15.22
114,2019,6,20,11,29,37,54,15.14
115,2019,6,20,11,29,38,55,15.14
116,2019,6,20,11,29,40,56,15.14
