id,year,month,day,hour,minute,second,Etime,Tcham
0,2019,6,20,17,22,8,-60,20.67
1,2019,6,20,17,22,9,-59,20.67
2,2019,6,20,17,22,10,-58,20.76
3,2019,6,20,17,22,11,-57,20.76
4,2019,6,20,17,22,12,-56,20.67
5,2019,6,20,17,22,13,-55,20.67
6,2019,6,20,17,22,14,-54,20.67
7,2019,6,20,17,22,15,-53,20.67
8,2019,6,20,17,22,16,-52,20.67
9,2019,6,20,17,22,17,-51,20.67
10,2019,6,20,17,22,18,-50,20.67
11,2019,6,20,17,22,19,-49,20.67
12,2019,6,20,17,22,20,-48,20.76
13,2019,6,20,17,22,21,-47,20.67
14,2019,6,20,17,22,22,-46,20.67
15,2019,6,20,17,22,23,-45,20.67
16,2019,6,20,17,22,24,-44,20.67
17,2019,6,20,17,22,25,-43,20.67
18,2019,6,20,17,22,26,-42,20.67
19,2019,6,20,17,22,27,-41,20.67
20,2019,6,20,17,22,29,-40,20.67
21,2019,6,20,17,22,30,-39,20.67
22,2019,6,20,17,22,31,-38,20.59
23,2019,6,20,17,22,32,-37,20.67
24,2019,6,20,17,22,33,-36,20.67
25,2019,6,20,17,22,34,-35,20.67
26,2019,6,20,17,22,35,-34,20.59
27,2019,6,20,17,22,36,-33,20.67
28,2019,6,20,17,22,37,-32,20.67
29,2019,6,20,17,22,38,-31,20.67
30,2019,6,20,17,22,39,-30,20.59
31,2019,6,20,17,22,40,-29,20.59
32,2019,6,20,17,22,41,-28,20.59
33,2019,6,20,17,22,42,-27,20.59
34,2019,6,20,17,22,43,-26,20.59
35,2019,6,20,17,22,44,-25,20.67
36,2019,6,20,17,22,45,-24,20.59
37,2019,6,20,17,22,46,-23,20.59
38,2019,6,20,17,22,47,-22,20.59
39,2019,6,20,17,22,48,-21,20.59
40,2019,6,20,17,22,49,-20,20.67
41,2019,6,20,17,22,50,-19,20.59
42,2019,6,20,17,22,51,-18,20.59
43,2019,6,20,17,22,52,-17,20.59
44,2019,6,20,17,22,53,-16,20.59
45,2019,6,20,17,22,54,-15,20.59
46,2019,6,20,17,22,55,-14,20.59
47,2019,6,20,17,22,56,-13,20.59
48,2019,6,20,17,22,57,-12,20.51
49,2019,6,20,17,22,58,-11,20.59
50,2019,6,20,17,22,59,-10,20.59
51,2019,6,20,17,23,0,-9,20.59
52,2019,6,20,17,23,1,-8,20.59
53,2019,6,20,17,23,2,-7,20.59
54,2019,6,20,17,23,3,-6,20.59
55,2019,6,20,17,23,5,-5,20.59
56,2019,6,20,17,23,6,-4,20.59
57,2019,6,20,17,23,7,-3,20.51
58,2019,6,20,17,23,8,-2,20.59
59,2019,6,20,17,23,9,-1,20.59
60,2019,6,20,17,23,10,0,20.51
61,2019,6,20,17,23,11,1,20.51
62,2019,6,20,17,23,12,2,20.51
63,2019,6,20,17,23,13,3,20.51
64,2019,6,20,17,23,14,4,20.51
65,2019,6,20,17,23,15,5,20.51
66,2019,6,20,17,23,16,6,20.43
67,2019,6,20,17,23,17,7,20.51
68,2019,6,20,17,23,18,8,20.51
69,2019,6,20,17,23,19,9,20.43
70,2019,6,20,17,23,20,10,20.51
71,2019,6,20,17,23,21,11,20.51
72,2019,6,20,17,23,22,12,20.43
73,2019,6,20,17,23,23,13,20.51
74,2019,6,20,17,23,24,14,20.43
75,2019,6,20,17,23,25,15,20.51
76,2019,6,20,17,23,26,16,20.43
77,2019,6,20,17,23,27,17,20.43
78,2019,6,20,17,23,28,18,20.51
79,2019,6,20,17,23,29,19,20.43
80,2019,6,20,17,23,30,20,20.43
81,2019,6,20,17,23,31,21,20.51
82,2019,6,20,17,23,32,22,20.51
83,2019,6,20,17,23,33,23,20.43
84,2019,6,20,17,23,34,24,20.43
85,2019,6,20,17,23,35,25,20.43
86,2019,6,20,17,23,36,26,20.43
