id,year,month,day,hour,minute,second,Etime,Tcham
0,2019,6,21,11,4,7,-60,27.88
1,2019,6,21,11,4,8,-59,27.97
2,2019,6,21,11,4,9,-58,27.88
3,2019,6,21,11,4,10,-57,27.97
4,2019,6,21,11,4,11,-56,27.97
5,2019,6,21,11,4,12,-55,27.97
6,2019,6,21,11,4,13,-54,27.97
7,2019,6,21,11,4,14,-53,27.97
8,2019,6,21,11,4,15,-52,27.97
9,2019,6,21,11,4,16,-51,27.97
10,2019,6,21,11,4,17,-50,27.97
11,2019,6,21,11,4,18,-49,27.97
12,2019,6,21,11,4,19,-48,28.05
13,2019,6,21,11,4,21,-47,27.97
14,2019,6,21,11,4,22,-46,27.97
15,2019,6,21,11,4,23,-45,28.05
16,2019,6,21,11,4,24,-44,27.97
17,2019,6,21,11,4,25,-43,27.97
18,2019,6,21,11,4,26,-42,27.97
19,2019,6,21,11,4,27,-41,28.05
20,2019,6,21,11,4,28,-40,28.05
21,2019,6,21,11,4,29,-39,28.05
22,2019,6,21,11,4,30,-38,28.05
23,2019,6,21,11,4,31,-37,28.05
24,2019,6,21,11,4,32,-36,28.05
25,2019,6,21,11,4,33,-35,28.05
26,2019,6,21,11,4,34,-34,28.05
27,2019,6,21,11,4,35,-33,28.05
28,2019,6,21,11,4,36,-32,28.14
29,2019,6,21,11,4,37,-31,28.14
30,2019,6,21,11,4,38,-30,28.14
31,2019,6,21,11,4,39,-29,28.14
32,2019,6,21,11,4,40,-28,28.14
33,2019,6,21,11,4,41,-27,28.14
34,2019,6,21,11,4,42,-26,28.14
35,2019,6,21,11,4,43,-25,28.14
36,2019,6,21,11,4,44,-24,28.14
37,2019,6,21,11,4,45,-23,28.14
38,2019,6,21,11,4,46,-22,28.14
39,2019,6,21,11,4,47,-21,28.14
40,2019,6,21,11,4,48,-20,28.14
41,2019,6,21,11,4,49,-19,28.14
42,2019,6,21,11,4,50,-18,28.14
43,2019,6,21,11,4,51,-17,28.22
44,2019,6,21,11,4,52,-16,28.22
45,2019,6,21,11,4,53,-15,28.22
46,2019,6,21,11,4,54,-14,28.22
47,2019,6,21,11,4,56,-13,28.22
48,2019,6,21,11,4,57,-12,28.22
49,2019,6,21,11,4,58,-11,28.22
50,2019,6,21,11,4,59,-10,28.22
51,2019,6,21,11,5,0,-9,28.22
52,2019,6,21,11,5,1,-8,28.22
53,2019,6,21,11,5,2,-7,28.22
54,2019,6,21,11,5,3,-6,28.22
55,2019,6,21,11,5,4,-5,28.22
56,2019,6,21,11,5,5,-4,28.22
57,2019,6,21,11,5,6,-3,28.22
58,2019,6,21,11,5,7,-2,28.22
59,2019,6,21,11,5,8,-1,28.22
60,2019,6,21,11,5,9,0,28.22
61,2019,6,21,11,5,10,1,28.22
62,2019,6,21,11,5,11,2,28.22
63,2019,6,21,11,5,12,3,28.14
64,2019,6,21,11,5,13,4,28.22
65,2019,6,21,11,5,14,5,28.22
66,2019,6,21,11,5,15,6,28.22
67,2019,6,21,11,5,16,7,28.14
68,2019,6,21,11,5,17,8,28.14
69,2019,6,21,11,5,18,9,28.22
70,2019,6,21,11,5,19,10,28.22
71,2019,6,21,11,5,20,11,28.22
72,2019,6,21,11,5,21,12,28.22
73,2019,6,21,11,5,22,13,28.22
74,2019,6,21,11,5,23,14,28.22
75,2019,6,21,11,5,24,15,28.22
76,2019,6,21,11,5,25,16,28.22
77,2019,6,21,11,5,26,17,28.22
78,2019,6,21,11,5,27,18,28.22
79,2019,6,21,11,5,28,19,28.22
80,2019,6,21,11,5,29,20,28.22
81,2019,6,21,11,5,30,21,28.22
82,2019,6,21,11,5,31,22,28.22
83,2019,6,21,11,5,32,23,28.22
84,2019,6,21,11,5,34,24,28.22
85,2019,6,21,11,5,35,25,28.22
86,2019,6,21,11,5,36,26,28.31
87,2019,6,21,11,5,37,27,28.22
88,2019,6,21,11,5,38,28,28.22
89,2019,6,21,11,5,39,29,28.22
90,2019,6,21,11,5,40,30,28.22
91,2019,6,21,11,5,41,31,28.31
92,2019,6,21,11,5,42,32,28.22
93,2019,6,21,11,5,43,33,28.31
94,2019,6,21,11,5,44,34,28.31
95,2019,6,21,11,5,45,35,28.31
96,2019,6,21,11,5,46,36,28.31
97,2019,6,21,11,5,47,37,28.31
98,2019,6,21,11,5,48,38,28.31
99,2019,6,21,11,5,49,39,28.31
100,2019,6,21,11,5,50,40,28.31
101,2019,6,21,11,5,51,41,28.31
102,2019,6,21,11,5,52,42,28.31
103,2019,6,21,11,5,53,43,28.31
104,2019,6,21,11,5,54,44,28.31
105,2019,6,21,11,5,55,45,28.31
106,2019,6,21,11,5,56,46,28.31
107,2019,6,21,11,5,57,47,28.31
108,2019,6,21,11,5,58,48,28.31
109,2019,6,21,11,5,59,49,28.31
110,2019,6,21,11,6,0,50,28.39
111,2019,6,21,11,6,1,51,28.31
112,2019,6,21,11,6,2,52,28.39
113,2019,6,21,11,6,3,53,28.31
114,2019,6,21,11,6,4,54,28.39
115,2019,6,21,11,6,5,55,28.39
116,2019,6,21,11,6,6,56,28.39
117,2019,6,21,11,6,7,57,28.39
118,2019,6,21,11,6,8,58,28.31
119,2019,6,21,11,6,9,59,28.39
120,2019,6,21,11,6,11,60,28.39
121,2019,6,21,11,6,12,61,28.31
122,2019,6,21,11,6,13,62,28.39
123,2019,6,21,11,6,14,63,28.31
124,2019,6,21,11,6,15,64,28.39
125,2019,6,21,11,6,16,65,28.39
126,2019,6,21,11,6,17,66,28.39
127,2019,6,21,11,6,18,67,28.39
128,2019,6,21,11,6,19,68,28.39
129,2019,6,21,11,6,20,69,28.39
130,2019,6,21,11,6,21,70,28.39
131,2019,6,21,11,6,22,71,28.39
132,2019,6,21,11,6,23,72,28.39
133,2019,6,21,11,6,24,73,28.39
134,2019,6,21,11,6,25,74,28.39
135,2019,6,21,11,6,26,75,28.39
136,2019,6,21,11,6,27,76,28.39
137,2019,6,21,11,6,28,77,28.39
138,2019,6,21,11,6,29,78,28.39
139,2019,6,21,11,6,30,79,28.39
140,2019,6,21,11,6,31,80,28.39
141,2019,6,21,11,6,32,81,28.39
142,2019,6,21,11,6,33,82,28.39
143,2019,6,21,11,6,34,83,28.39
144,2019,6,21,11,6,35,84,28.39
145,2019,6,21,11,6,36,85,28.39
146,2019,6,21,11,6,37,86,28.39
147,2019,6,21,11,6,38,87,28.39
148,2019,6,21,11,6,39,88,28.39
149,2019,6,21,11,6,40,89,28.39
150,2019,6,21,11,6,41,90,28.39
151,2019,6,21,11,6,42,91,28.39
152,2019,6,21,11,6,43,92,28.39
153,2019,6,21,11,6,44,93,28.39
154,2019,6,21,11,6,45,94,28.39
155,2019,6,21,11,6,46,95,28.39
156,2019,6,21,11,6,47,96,28.39
157,2019,6,21,11,6,49,97,28.39
158,2019,6,21,11,6,50,98,28.48
159,2019,6,21,11,6,51,99,28.39
160,2019,6,21,11,6,52,100,28.39
161,2019,6,21,11,6,53,101,28.39
162,2019,6,21,11,6,54,102,28.48
163,2019,6,21,11,6,55,103,28.48
164,2019,6,21,11,6,56,104,28.48
165,2019,6,21,11,6,57,105,28.48
166,2019,6,21,11,6,58,106,28.48
167,2019,6,21,11,6,59,107,28.48
168,2019,6,21,11,7,0,108,28.48
169,2019,6,21,11,7,1,109,28.39
170,2019,6,21,11,7,2,110,28.48
171,2019,6,21,11,7,3,111,28.48
172,2019,6,21,11,7,4,112,28.39
173,2019,6,21,11,7,5,113,28.48
174,2019,6,21,11,7,6,114,28.48
175,2019,6,21,11,7,7,115,28.48
176,2019,6,21,11,7,8,116,28.48
177,2019,6,21,11,7,9,117,28.48
178,2019,6,21,11,7,10,118,28.39
179,2019,6,21,11,7,11,119,28.48
180,2019,6,21,11,7,12,120,28.48
181,2019,6,21,11,7,13,121,28.48
182,2019,6,21,11,7,14,122,28.48
183,2019,6,21,11,7,15,123,28.48
184,2019,6,21,11,7,16,124,28.48
185,2019,6,21,11,7,17,125,28.48
186,2019,6,21,11,7,18,126,28.48
187,2019,6,21,11,7,19,127,28.48
188,2019,6,21,11,7,20,128,28.48
189,2019,6,21,11,7,21,129,28.48
190,2019,6,21,11,7,22,130,28.48
191,2019,6,21,11,7,24,131,28.48
192,2019,6,21,11,7,25,132,28.48
193,2019,6,21,11,7,26,133,28.48
194,2019,6,21,11,7,27,134,28.48
195,2019,6,21,11,7,28,135,28.48
196,2019,6,21,11,7,29,136,28.48
197,2019,6,21,11,7,30,137,28.48
198,2019,6,21,11,7,31,138,28.48
199,2019,6,21,11,7,32,139,28.48
200,2019,6,21,11,7,33,140,28.48
201,2019,6,21,11,7,34,141,28.48
202,2019,6,21,11,7,35,142,28.48
203,2019,6,21,11,7,36,143,28.48
204,2019,6,21,11,7,37,144,28.48
205,2019,6,21,11,7,38,145,28.48
206,2019,6,21,11,7,39,146,28.48
207,2019,6,21,11,7,40,147,28.48
208,2019,6,21,11,7,41,148,26.52
209,2019,6,21,11,7,42,149,27.12
210,2019,6,21,11,7,43,150,27.29
211,2019,6,21,11,7,44,151,27.29
212,2019,6,21,11,7,45,152,27.29
213,2019,6,21,11,7,46,153,27.29
214,2019,6,21,11,7,47,154,27.29
215,2019,6,21,11,7,48,155,27.37
216,2019,6,21,11,7,49,156,27.37
217,2019,6,21,11,7,50,157,27.29
218,2019,6,21,11,7,51,158,27.37
219,2019,6,21,11,7,52,159,27.29
220,2019,6,21,11,7,53,160,27.37
221,2019,6,21,11,7,54,161,27.37
222,2019,6,21,11,7,55,162,27.37
223,2019,6,21,11,7,56,163,27.37
224,2019,6,21,11,7,57,164,27.37
225,2019,6,21,11,7,58,165,27.37
226,2019,6,21,11,7,59,166,27.37
227,2019,6,21,11,8,1,167,27.37
228,2019,6,21,11,8,2,168,27.37
229,2019,6,21,11,8,3,169,27.37
230,2019,6,21,11,8,4,170,27.37
231,2019,6,21,11,8,5,171,27.37
232,2019,6,21,11,8,6,172,27.37
233,2019,6,21,11,8,7,173,27.37
234,2019,6,21,11,8,8,174,27.37
235,2019,6,21,11,8,9,175,27.37
236,2019,6,21,11,8,10,176,27.37
237,2019,6,21,11,8,11,177,27.37
238,2019,6,21,11,8,12,178,27.37
239,2019,6,21,11,8,13,179,27.37
240,2019,6,21,11,8,14,180,27.37
241,2019,6,21,11,8,15,181,27.37
242,2019,6,21,11,8,16,182,27.37
243,2019,6,21,11,8,17,183,27.37
244,2019,6,21,11,8,18,184,27.37
245,2019,6,21,11,8,19,185,27.37
246,2019,6,21,11,8,20,186,27.45
247,2019,6,21,11,8,21,187,27.37
248,2019,6,21,11,8,22,188,27.37
249,2019,6,21,11,8,23,189,27.37
250,2019,6,21,11,8,24,190,27.37
251,2019,6,21,11,8,25,191,27.37
252,2019,6,21,11,8,26,192,27.37
253,2019,6,21,11,8,27,193,27.37
254,2019,6,21,11,8,28,194,27.37
255,2019,6,21,11,8,29,195,27.37
256,2019,6,21,11,8,30,196,27.45
257,2019,6,21,11,8,31,197,27.37
258,2019,6,21,11,8,32,198,27.45
259,2019,6,21,11,8,33,199,27.37
260,2019,6,21,11,8,34,200,27.45
261,2019,6,21,11,8,36,201,27.37
