id,year,month,day,hour,minute,second,Etime,Tcham
0,2020,12,4,20,44,51,-60,25.43
1,2020,12,4,20,44,52,-59,17.50
2,2020,12,4,20,44,53,-58,17.50
3,2020,12,4,20,44,54,-57,17.50
4,2020,12,4,20,44,55,-56,17.50
5,2020,12,4,20,44,56,-55,17.50
6,2020,12,4,20,44,57,-54,17.50
7,2020,12,4,20,44,58,-53,17.50
8,2020,12,4,20,44,59,-52,17.59
9,2020,12,4,20,45,0,-51,17.50
10,2020,12,4,20,45,1,-50,17.50
11,2020,12,4,20,45,2,-49,17.50
12,2020,12,4,20,45,3,-48,17.59
13,2020,12,4,20,45,4,-47,17.50
14,2020,12,4,20,45,5,-46,17.50
15,2020,12,4,20,45,6,-45,17.59
16,2020,12,4,20,45,7,-44,17.59
17,2020,12,4,20,45,8,-43,17.59
18,2020,12,4,20,45,9,-42,17.50
19,2020,12,4,20,45,10,-41,17.50
20,2020,12,4,20,45,11,-40,17.59
21,2020,12,4,20,45,12,-39,17.59
22,2020,12,4,20,45,13,-38,17.59
23,2020,12,4,20,45,14,-37,17.59
24,2020,12,4,20,45,15,-36,17.59
25,2020,12,4,20,45,16,-35,17.59
26,2020,12,4,20,45,17,-34,17.59
27,2020,12,4,20,45,18,-33,17.59
28,2020,12,4,20,45,19,-32,17.59
29,2020,12,4,20,45,20,-31,17.59
30,2020,12,4,20,45,21,-30,17.59
31,2020,12,4,20,45,22,-29,17.59
32,2020,12,4,20,45,24,-28,17.59
33,2020,12,4,20,45,25,-27,17.59
34,2020,12,4,20,45,26,-26,17.59
35,2020,12,4,20,45,27,-25,17.59
36,2020,12,4,20,45,28,-24,17.59
37,2020,12,4,20,45,29,-23,17.59
38,2020,12,4,20,45,30,-22,17.59
39,2020,12,4,20,45,31,-21,17.59
40,2020,12,4,20,45,32,-20,17.67
41,2020,12,4,20,45,33,-19,17.67
42,2020,12,4,20,45,34,-18,17.59
43,2020,12,4,20,45,35,-17,17.59
44,2020,12,4,20,45,36,-16,17.59
45,2020,12,4,20,45,37,-15,17.59
46,2020,12,4,20,45,38,-14,17.67
47,2020,12,4,20,45,39,-13,17.59
48,2020,12,4,20,45,40,-12,17.67
49,2020,12,4,20,45,41,-11,17.67
50,2020,12,4,20,45,42,-10,17.67
51,2020,12,4,20,45,43,-9,17.67
52,2020,12,4,20,45,44,-8,17.59
53,2020,12,4,20,45,45,-7,17.67
54,2020,12,4,20,45,46,-6,17.67
55,2020,12,4,20,45,47,-5,17.67
56,2020,12,4,20,45,48,-4,17.59
57,2020,12,4,20,45,49,-3,17.59
58,2020,12,4,20,45,50,-2,17.67
59,2020,12,4,20,45,51,-1,17.67
60,2020,12,4,20,45,52,0,17.59
61,2020,12,4,20,45,53,1,17.50
62,2020,12,4,20,45,54,2,17.50
63,2020,12,4,20,45,55,3,17.42
64,2020,12,4,20,45,56,4,17.50
65,2020,12,4,20,45,57,5,17.50
66,2020,12,4,20,45,58,6,17.50
67,2020,12,4,20,45,59,7,17.50
68,2020,12,4,20,46,1,8,17.50
69,2020,12,4,20,46,2,9,17.50
70,2020,12,4,20,46,3,10,17.50
71,2020,12,4,20,46,4,11,17.50
72,2020,12,4,20,46,5,12,17.50
73,2020,12,4,20,46,6,13,17.50
74,2020,12,4,20,46,7,14,17.50
75,2020,12,4,20,46,8,15,17.50
76,2020,12,4,20,46,9,16,17.50
77,2020,12,4,20,46,10,17,17.50
78,2020,12,4,20,46,11,18,17.50
79,2020,12,4,20,46,12,19,17.50
80,2020,12,4,20,46,13,20,17.50
81,2020,12,4,20,46,14,21,17.50
82,2020,12,4,20,46,15,22,17.50
83,2020,12,4,20,46,16,23,17.50
84,2020,12,4,20,46,17,24,17.59
85,2020,12,4,20,46,18,25,17.50
86,2020,12,4,20,46,19,26,17.50
87,2020,12,4,20,46,20,27,17.59
88,2020,12,4,20,46,21,28,17.59
89,2020,12,4,20,46,22,29,17.59
90,2020,12,4,20,46,23,30,17.59
91,2020,12,4,20,46,24,31,17.50
92,2020,12,4,20,46,25,32,17.59
93,2020,12,4,20,46,26,33,17.59
94,2020,12,4,20,46,27,34,17.59
95,2020,12,4,20,46,28,35,17.59
96,2020,12,4,20,46,29,36,17.59
97,2020,12,4,20,46,30,37,17.50
98,2020,12,4,20,46,31,38,17.59
99,2020,12,4,20,46,32,39,17.59
100,2020,12,4,20,46,33,40,17.59
101,2020,12,4,20,46,34,41,17.59
102,2020,12,4,20,46,35,42,17.50
103,2020,12,4,20,46,36,43,17.59
104,2020,12,4,20,46,37,44,17.50
105,2020,12,4,20,46,39,45,17.59
106,2020,12,4,20,46,40,46,17.59
107,2020,12,4,20,46,41,47,17.50
108,2020,12,4,20,46,42,48,17.59
109,2020,12,4,20,46,43,49,17.59
110,2020,12,4,20,46,44,50,17.59
111,2020,12,4,20,46,45,51,17.59
112,2020,12,4,20,46,46,52,17.59
113,2020,12,4,20,46,47,53,17.59
114,2020,12,4,20,46,48,54,17.59
115,2020,12,4,20,46,49,55,17.59
116,2020,12,4,20,46,50,56,17.59
117,2020,12,4,20,46,51,57,17.59
118,2020,12,4,20,46,52,58,17.59
119,2020,12,4,20,46,53,59,17.59
120,2020,12,4,20,46,54,60,17.59
121,2020,12,4,20,46,55,61,17.59
122,2020,12,4,20,46,56,62,17.59
123,2020,12,4,20,46,57,63,17.59
124,2020,12,4,20,46,58,64,17.59
125,2020,12,4,20,46,59,65,17.59
126,2020,12,4,20,47,0,66,17.59
127,2020,12,4,20,47,1,67,17.59
128,2020,12,4,20,47,2,68,17.59
129,2020,12,4,20,47,3,69,17.59
130,2020,12,4,20,47,4,70,17.59
131,2020,12,4,20,47,5,71,17.59
132,2020,12,4,20,47,6,72,17.59
133,2020,12,4,20,47,7,73,17.59
134,2020,12,4,20,47,8,74,17.59
135,2020,12,4,20,47,9,75,17.59
136,2020,12,4,20,47,10,76,17.59
137,2020,12,4,20,47,11,77,17.59
138,2020,12,4,20,47,12,78,17.59
139,2020,12,4,20,47,13,79,17.59
140,2020,12,4,20,47,14,80,17.59
141,2020,12,4,20,47,16,81,17.59
142,2020,12,4,20,47,17,82,17.59
143,2020,12,4,20,47,18,83,17.59
144,2020,12,4,20,47,19,84,17.59
145,2020,12,4,20,47,20,85,17.59
146,2020,12,4,20,47,21,86,17.59
147,2020,12,4,20,47,22,87,17.59
148,2020,12,4,20,47,23,88,17.59
149,2020,12,4,20,47,24,89,17.59
150,2020,12,4,20,47,25,90,17.59
151,2020,12,4,20,47,26,91,17.59
152,2020,12,4,20,47,27,92,17.59
153,2020,12,4,20,47,28,93,17.59
154,2020,12,4,20,47,29,94,17.59
155,2020,12,4,20,47,30,95,17.59
156,2020,12,4,20,47,31,96,17.59
157,2020,12,4,20,47,32,97,17.59
158,2020,12,4,20,47,33,98,17.59
159,2020,12,4,20,47,34,99,17.59
160,2020,12,4,20,47,35,100,17.59
161,2020,12,4,20,47,36,101,17.59
162,2020,12,4,20,47,37,102,17.59
163,2020,12,4,20,47,38,103,17.59
164,2020,12,4,20,47,39,104,17.59
165,2020,12,4,20,47,40,105,17.59
166,2020,12,4,20,47,41,106,17.59
167,2020,12,4,20,47,42,107,17.59
168,2020,12,4,20,47,43,108,17.59
169,2020,12,4,20,47,44,109,17.67
170,2020,12,4,20,47,45,110,17.59
171,2020,12,4,20,47,46,111,17.59
172,2020,12,4,20,47,47,112,17.67
173,2020,12,4,20,47,48,113,17.59
174,2020,12,4,20,47,49,114,17.59
175,2020,12,4,20,47,50,115,17.67
176,2020,12,4,20,47,51,116,17.59
177,2020,12,4,20,47,52,117,17.59
178,2020,12,4,20,47,54,118,17.59
179,2020,12,4,20,47,55,119,17.59
180,2020,12,4,20,47,56,120,17.67
181,2020,12,4,20,47,57,121,17.67
182,2020,12,4,20,47,58,122,17.59
183,2020,12,4,20,47,59,123,17.59
184,2020,12,4,20,48,0,124,17.67
185,2020,12,4,20,48,1,125,17.59
186,2020,12,4,20,48,2,126,17.67
187,2020,12,4,20,48,3,127,17.59
188,2020,12,4,20,48,4,128,17.59
189,2020,12,4,20,48,5,129,17.67
190,2020,12,4,20,48,6,130,17.59
191,2020,12,4,20,48,7,131,17.59
192,2020,12,4,20,48,8,132,17.59
193,2020,12,4,20,48,9,133,17.67
194,2020,12,4,20,48,10,134,17.67
195,2020,12,4,20,48,11,135,17.59
196,2020,12,4,20,48,12,136,17.67
197,2020,12,4,20,48,13,137,17.59
198,2020,12,4,20,48,14,138,17.59
199,2020,12,4,20,48,15,139,17.67
200,2020,12,4,20,48,16,140,17.59
201,2020,12,4,20,48,17,141,17.59
202,2020,12,4,20,48,18,142,17.59
203,2020,12,4,20,48,19,143,17.67
204,2020,12,4,20,48,20,144,17.59
205,2020,12,4,20,48,21,145,17.67
206,2020,12,4,20,48,22,146,17.59
207,2020,12,4,20,48,23,147,17.67
208,2020,12,4,20,48,24,148,17.67
209,2020,12,4,20,48,25,149,17.59
210,2020,12,4,20,48,26,150,17.67
211,2020,12,4,20,48,27,151,17.59
212,2020,12,4,20,48,28,152,17.67
213,2020,12,4,20,48,30,153,17.67
214,2020,12,4,20,48,31,154,17.67
215,2020,12,4,20,48,32,155,17.59
216,2020,12,4,20,48,33,156,17.59
217,2020,12,4,20,48,34,157,17.67
218,2020,12,4,20,48,35,158,17.67
219,2020,12,4,20,48,36,159,17.59
220,2020,12,4,20,48,37,160,17.59
221,2020,12,4,20,48,38,161,17.67
222,2020,12,4,20,48,39,162,17.59
223,2020,12,4,20,48,40,163,17.67
224,2020,12,4,20,48,41,164,17.67
225,2020,12,4,20,48,42,165,17.59
226,2020,12,4,20,48,43,166,17.59
227,2020,12,4,20,48,44,167,17.59
228,2020,12,4,20,48,45,168,17.67
229,2020,12,4,20,48,46,169,17.59
230,2020,12,4,20,48,47,170,17.67
231,2020,12,4,20,48,48,171,17.67
232,2020,12,4,20,48,49,172,17.67
233,2020,12,4,20,48,50,173,17.59
234,2020,12,4,20,48,51,174,17.59
235,2020,12,4,20,48,52,175,17.67
236,2020,12,4,20,48,53,176,17.59
237,2020,12,4,20,48,54,177,17.59
238,2020,12,4,20,48,55,178,17.67
239,2020,12,4,20,48,56,179,17.59
240,2020,12,4,20,48,57,180,17.67
241,2020,12,4,20,48,58,181,17.59
242,2020,12,4,20,48,59,182,17.67
243,2020,12,4,20,49,0,183,17.59
244,2020,12,4,20,49,1,184,17.59
245,2020,12,4,20,49,2,185,17.67
246,2020,12,4,20,49,3,186,17.67
247,2020,12,4,20,49,4,187,17.67
248,2020,12,4,20,49,6,188,17.67
249,2020,12,4,20,49,7,189,17.59
250,2020,12,4,20,49,8,190,17.67
251,2020,12,4,20,49,9,191,17.67
252,2020,12,4,20,49,10,192,17.67
253,2020,12,4,20,49,11,193,17.59
254,2020,12,4,20,49,12,194,17.67
255,2020,12,4,20,49,13,195,17.59
256,2020,12,4,20,49,14,196,17.67
257,2020,12,4,20,49,15,197,17.67
258,2020,12,4,20,49,16,198,17.59
259,2020,12,4,20,49,17,199,17.59
260,2020,12,4,20,49,18,200,17.67
261,2020,12,4,20,49,19,201,17.67
262,2020,12,4,20,49,20,202,17.67
263,2020,12,4,20,49,21,203,17.59
264,2020,12,4,20,49,22,204,17.67
265,2020,12,4,20,49,23,205,17.59
266,2020,12,4,20,49,24,206,17.59
267,2020,12,4,20,49,25,207,17.59
268,2020,12,4,20,49,26,208,17.59
269,2020,12,4,20,49,27,209,17.67
270,2020,12,4,20,49,28,210,17.59
271,2020,12,4,20,49,29,211,17.59
272,2020,12,4,20,49,30,212,17.59
273,2020,12,4,20,49,31,213,17.59
274,2020,12,4,20,49,32,214,17.59
275,2020,12,4,20,49,33,215,17.67
276,2020,12,4,20,49,34,216,17.59
277,2020,12,4,20,49,35,217,17.59
278,2020,12,4,20,49,36,218,17.67
279,2020,12,4,20,49,37,219,17.67
280,2020,12,4,20,49,38,220,17.59
281,2020,12,4,20,49,39,221,17.59
282,2020,12,4,20,49,40,222,17.59
283,2020,12,4,20,49,41,223,17.67
284,2020,12,4,20,49,43,224,17.59
285,2020,12,4,20,49,44,225,17.59
286,2020,12,4,20,49,45,226,17.59
287,2020,12,4,20,49,46,227,17.59
288,2020,12,4,20,49,47,228,17.59
289,2020,12,4,20,49,48,229,17.59
290,2020,12,4,20,49,49,230,17.59
291,2020,12,4,20,49,50,231,17.59
292,2020,12,4,20,49,51,232,17.59
293,2020,12,4,20,49,52,233,17.59
294,2020,12,4,20,49,53,234,17.59
295,2020,12,4,20,49,54,235,17.59
296,2020,12,4,20,49,55,236,17.59
297,2020,12,4,20,49,56,237,17.59
298,2020,12,4,20,49,57,238,17.67
299,2020,12,4,20,49,58,239,17.67
300,2020,12,4,20,49,59,240,17.59
301,2020,12,4,20,50,0,241,17.59
302,2020,12,4,20,50,1,242,17.59
303,2020,12,4,20,50,2,243,17.59
304,2020,12,4,20,50,3,244,17.59
305,2020,12,4,20,50,4,245,17.59
306,2020,12,4,20,50,5,246,17.67
307,2020,12,4,20,50,6,247,17.59
308,2020,12,4,20,50,7,248,17.67
309,2020,12,4,20,50,8,249,17.59
310,2020,12,4,20,50,9,250,17.59
311,2020,12,4,20,50,10,251,17.59
312,2020,12,4,20,50,11,252,17.59
313,2020,12,4,20,50,12,253,17.59
314,2020,12,4,20,50,13,254,17.59
315,2020,12,4,20,50,14,255,17.59
316,2020,12,4,20,50,15,256,17.59
317,2020,12,4,20,50,16,257,17.59
318,2020,12,4,20,50,17,258,17.59
319,2020,12,4,20,50,19,259,17.59
320,2020,12,4,20,50,20,260,17.59
321,2020,12,4,20,50,21,261,17.59
322,2020,12,4,20,50,22,262,17.59
323,2020,12,4,20,50,23,263,17.59
324,2020,12,4,20,50,24,264,17.59
325,2020,12,4,20,50,25,265,17.59
326,2020,12,4,20,50,26,266,17.59
327,2020,12,4,20,50,27,267,17.59
328,2020,12,4,20,50,28,268,17.59
329,2020,12,4,20,50,29,269,17.59
330,2020,12,4,20,50,30,270,17.59
331,2020,12,4,20,50,31,271,17.59
332,2020,12,4,20,50,32,272,17.59
333,2020,12,4,20,50,33,273,17.59
334,2020,12,4,20,50,34,274,17.59
335,2020,12,4,20,50,35,275,17.59
336,2020,12,4,20,50,36,276,17.59
337,2020,12,4,20,50,37,277,17.59
338,2020,12,4,20,50,38,278,17.59
339,2020,12,4,20,50,39,279,17.59
340,2020,12,4,20,50,40,280,17.59
341,2020,12,4,20,50,41,281,17.59
342,2020,12,4,20,50,42,282,17.59
343,2020,12,4,20,50,43,283,17.59
344,2020,12,4,20,50,44,284,17.59
345,2020,12,4,20,50,45,285,17.59
346,2020,12,4,20,50,46,286,17.59
347,2020,12,4,20,50,47,287,17.59
348,2020,12,4,20,50,48,288,17.59
349,2020,12,4,20,50,49,289,17.59
