id,year,month,day,hour,minute,second,Etime,Tcham
0,2020,12,4,19,18,10,-60,25.60
1,2020,12,4,19,18,11,-59,18.26
2,2020,12,4,19,18,12,-58,18.26
3,2020,12,4,19,18,13,-57,18.26
4,2020,12,4,19,18,14,-56,18.26
5,2020,12,4,19,18,15,-55,18.26
6,2020,12,4,19,18,16,-54,18.26
7,2020,12,4,19,18,17,-53,18.26
8,2020,12,4,19,18,18,-52,18.26
9,2020,12,4,19,18,19,-51,18.26
10,2020,12,4,19,18,20,-50,18.26
11,2020,12,4,19,18,21,-49,18.26
12,2020,12,4,19,18,22,-48,18.26
13,2020,12,4,19,18,23,-47,18.26
14,2020,12,4,19,18,24,-46,18.26
15,2020,12,4,19,18,25,-45,18.26
16,2020,12,4,19,18,26,-44,18.26
17,2020,12,4,19,18,27,-43,18.26
18,2020,12,4,19,18,28,-42,18.26
19,2020,12,4,19,18,29,-41,18.26
20,2020,12,4,19,18,30,-40,18.26
21,2020,12,4,19,18,31,-39,18.26
22,2020,12,4,19,18,32,-38,18.26
23,2020,12,4,19,18,33,-37,18.26
24,2020,12,4,19,18,34,-36,18.26
25,2020,12,4,19,18,35,-35,18.26
26,2020,12,4,19,18,36,-34,18.26
27,2020,12,4,19,18,37,-33,18.26
28,2020,12,4,19,18,38,-32,18.26
29,2020,12,4,19,18,39,-31,18.26
30,2020,12,4,19,18,40,-30,18.26
31,2020,12,4,19,18,41,-29,18.26
32,2020,12,4,19,18,42,-28,18.26
33,2020,12,4,19,18,43,-27,18.26
34,2020,12,4,19,18,45,-26,18.26
35,2020,12,4,19,18,46,-25,18.26
36,2020,12,4,19,18,47,-24,18.26
37,2020,12,4,19,18,48,-23,18.26
38,2020,12,4,19,18,49,-22,18.26
39,2020,12,4,19,18,50,-21,18.26
40,2020,12,4,19,18,51,-20,18.26
41,2020,12,4,19,18,52,-19,18.26
42,2020,12,4,19,18,53,-18,18.26
43,2020,12,4,19,18,54,-17,18.26
44,2020,12,4,19,18,55,-16,18.26
45,2020,12,4,19,18,56,-15,18.26
46,2020,12,4,19,18,57,-14,18.26
47,2020,12,4,19,18,58,-13,18.26
48,2020,12,4,19,18,59,-12,18.34
49,2020,12,4,19,19,0,-11,18.26
50,2020,12,4,19,19,1,-10,18.26
51,2020,12,4,19,19,2,-9,18.26
