id,year,month,day,hour,minute,second,Etime,Tcham
0,2020,12,4,18,38,21,-60,18.51
1,2020,12,4,18,38,22,-59,18.59
2,2020,12,4,18,38,23,-58,18.59
3,2020,12,4,18,38,24,-57,18.59
4,2020,12,4,18,38,25,-56,18.51
5,2020,12,4,18,38,26,-55,18.51
6,2020,12,4,18,38,27,-54,18.59
7,2020,12,4,18,38,28,-53,18.59
8,2020,12,4,18,38,29,-52,18.59
9,2020,12,4,18,38,30,-51,18.59
10,2020,12,4,18,38,31,-50,18.59
11,2020,12,4,18,38,32,-49,18.59
12,2020,12,4,18,38,33,-48,18.59
13,2020,12,4,18,38,34,-47,18.59
14,2020,12,4,18,38,35,-46,18.51
15,2020,12,4,18,38,36,-45,18.59
16,2020,12,4,18,38,37,-44,18.59
17,2020,12,4,18,38,38,-43,18.59
18,2020,12,4,18,38,39,-42,18.51
19,2020,12,4,18,38,40,-41,18.51
20,2020,12,4,18,38,41,-40,18.51
21,2020,12,4,18,38,42,-39,18.59
22,2020,12,4,18,38,43,-38,18.59
23,2020,12,4,18,38,44,-37,18.59
24,2020,12,4,18,38,45,-36,18.51
25,2020,12,4,18,38,46,-35,18.59
26,2020,12,4,18,38,48,-34,18.51
27,2020,12,4,18,38,49,-33,18.59
28,2020,12,4,18,38,50,-32,18.59
29,2020,12,4,18,38,51,-31,18.59
30,2020,12,4,18,38,52,-30,18.51
31,2020,12,4,18,38,53,-29,18.51
32,2020,12,4,18,38,54,-28,18.59
33,2020,12,4,18,38,55,-27,18.51
34,2020,12,4,18,38,56,-26,18.59
35,2020,12,4,18,38,57,-25,18.59
36,2020,12,4,18,38,58,-24,18.59
37,2020,12,4,18,38,59,-23,18.59
38,2020,12,4,18,39,0,-22,18.51
39,2020,12,4,18,39,1,-21,18.59
40,2020,12,4,18,39,2,-20,18.59
41,2020,12,4,18,39,3,-19,18.59
42,2020,12,4,18,39,4,-18,18.59
43,2020,12,4,18,39,5,-17,18.51
44,2020,12,4,18,39,6,-16,18.59
45,2020,12,4,18,39,7,-15,18.59
46,2020,12,4,18,39,8,-14,18.59
47,2020,12,4,18,39,9,-13,18.59
48,2020,12,4,18,39,10,-12,18.51
49,2020,12,4,18,39,11,-11,18.59
50,2020,12,4,18,39,12,-10,18.59
51,2020,12,4,18,39,13,-9,18.59
52,2020,12,4,18,39,14,-8,18.59
53,2020,12,4,18,39,15,-7,18.51
54,2020,12,4,18,39,16,-6,18.59
55,2020,12,4,18,39,17,-5,18.59
56,2020,12,4,18,39,18,-4,18.59
57,2020,12,4,18,39,19,-3,18.59
58,2020,12,4,18,39,20,-2,18.59
59,2020,12,4,18,39,21,-1,18.59
60,2020,12,4,18,39,22,0,18.51
61,2020,12,4,18,39,23,1,18.51
62,2020,12,4,18,39,25,2,18.51
63,2020,12,4,18,39,26,3,18.42
64,2020,12,4,18,39,27,4,18.42
65,2020,12,4,18,39,28,5,18.51
66,2020,12,4,18,39,29,6,18.51
67,2020,12,4,18,39,30,7,18.51
68,2020,12,4,18,39,31,8,18.51
69,2020,12,4,18,39,32,9,18.51
70,2020,12,4,18,39,33,10,18.42
71,2020,12,4,18,39,34,11,18.51
72,2020,12,4,18,39,35,12,18.51
73,2020,12,4,18,39,36,13,18.51
74,2020,12,4,18,39,37,14,18.51
75,2020,12,4,18,39,38,15,18.51
76,2020,12,4,18,39,39,16,18.42
77,2020,12,4,18,39,40,17,18.51
78,2020,12,4,18,39,41,18,18.51
79,2020,12,4,18,39,42,19,18.51
80,2020,12,4,18,39,43,20,18.51
81,2020,12,4,18,39,44,21,18.51
82,2020,12,4,18,39,45,22,18.51
83,2020,12,4,18,39,46,23,18.51
84,2020,12,4,18,39,47,24,18.51
85,2020,12,4,18,39,48,25,18.51
86,2020,12,4,18,39,49,26,18.51
87,2020,12,4,18,39,50,27,18.51
88,2020,12,4,18,39,51,28,18.51
89,2020,12,4,18,39,52,29,18.51
90,2020,12,4,18,39,53,30,18.51
91,2020,12,4,18,39,54,31,18.51
92,2020,12,4,18,39,55,32,18.42
93,2020,12,4,18,39,56,33,18.51
94,2020,12,4,18,39,57,34,18.51
95,2020,12,4,18,39,58,35,18.51
96,2020,12,4,18,39,59,36,18.51
97,2020,12,4,18,40,0,37,18.51
98,2020,12,4,18,40,1,38,18.51
99,2020,12,4,18,40,3,39,18.51
100,2020,12,4,18,40,4,40,18.51
101,2020,12,4,18,40,5,41,18.51
102,2020,12,4,18,40,6,42,18.51
103,2020,12,4,18,40,7,43,18.51
104,2020,12,4,18,40,8,44,18.51
105,2020,12,4,18,40,9,45,18.51
106,2020,12,4,18,40,10,46,18.51
107,2020,12,4,18,40,11,47,18.51
108,2020,12,4,18,40,12,48,18.51
109,2020,12,4,18,40,13,49,18.51
110,2020,12,4,18,40,14,50,18.51
111,2020,12,4,18,40,15,51,18.51
112,2020,12,4,18,40,16,52,18.51
113,2020,12,4,18,40,17,53,18.51
114,2020,12,4,18,40,18,54,18.42
115,2020,12,4,18,40,19,55,18.51
116,2020,12,4,18,40,20,56,18.51
117,2020,12,4,18,40,21,57,18.51
118,2020,12,4,18,40,22,58,18.51
119,2020,12,4,18,40,23,59,18.51
120,2020,12,4,18,40,24,60,18.51
121,2020,12,4,18,40,25,61,18.51
122,2020,12,4,18,40,26,62,18.59
123,2020,12,4,18,40,27,63,18.51
124,2020,12,4,18,40,28,64,18.51
125,2020,12,4,18,40,29,65,18.51
126,2020,12,4,18,40,30,66,18.51
127,2020,12,4,18,40,31,67,18.51
128,2020,12,4,18,40,32,68,18.51
129,2020,12,4,18,40,33,69,18.59
130,2020,12,4,18,40,34,70,18.51
131,2020,12,4,18,40,35,71,18.59
132,2020,12,4,18,40,36,72,18.51
133,2020,12,4,18,40,37,73,18.59
134,2020,12,4,18,40,38,74,18.51
135,2020,12,4,18,40,39,75,18.59
136,2020,12,4,18,40,41,76,18.51
137,2020,12,4,18,40,42,77,18.51
138,2020,12,4,18,40,43,78,18.59
139,2020,12,4,18,40,44,79,18.51
140,2020,12,4,18,40,45,80,18.59
141,2020,12,4,18,40,46,81,18.51
142,2020,12,4,18,40,47,82,18.59
143,2020,12,4,18,40,48,83,18.59
144,2020,12,4,18,40,49,84,18.59
145,2020,12,4,18,40,50,85,18.59
146,2020,12,4,18,40,51,86,18.59
147,2020,12,4,18,40,52,87,18.51
148,2020,12,4,18,40,53,88,18.59
149,2020,12,4,18,40,54,89,18.59
150,2020,12,4,18,40,55,90,18.59
151,2020,12,4,18,40,56,91,18.59
152,2020,12,4,18,40,57,92,18.51
153,2020,12,4,18,40,58,93,18.59
154,2020,12,4,18,40,59,94,18.51
155,2020,12,4,18,41,0,95,18.51
156,2020,12,4,18,41,1,96,18.59
157,2020,12,4,18,41,2,97,18.59
158,2020,12,4,18,41,3,98,18.59
159,2020,12,4,18,41,4,99,18.59
160,2020,12,4,18,41,5,100,18.59
161,2020,12,4,18,41,6,101,18.59
162,2020,12,4,18,41,7,102,18.59
163,2020,12,4,18,41,8,103,18.59
164,2020,12,4,18,41,9,104,18.59
165,2020,12,4,18,41,10,105,18.51
166,2020,12,4,18,41,11,106,18.51
167,2020,12,4,18,41,12,107,18.51
168,2020,12,4,18,41,13,108,18.59
169,2020,12,4,18,41,14,109,18.51
170,2020,12,4,18,41,15,110,18.59
171,2020,12,4,18,41,16,111,18.59
172,2020,12,4,18,41,18,112,18.51
173,2020,12,4,18,41,19,113,18.51
174,2020,12,4,18,41,20,114,18.59
175,2020,12,4,18,41,21,115,18.59
176,2020,12,4,18,41,22,116,18.59
177,2020,12,4,18,41,23,117,18.59
178,2020,12,4,18,41,24,118,18.59
179,2020,12,4,18,41,25,119,18.59
180,2020,12,4,18,41,26,120,18.59
181,2020,12,4,18,41,27,121,18.51
182,2020,12,4,18,41,28,122,18.59
183,2020,12,4,18,41,29,123,18.59
184,2020,12,4,18,41,30,124,18.59
185,2020,12,4,18,41,31,125,18.59
186,2020,12,4,18,41,32,126,18.51
187,2020,12,4,18,41,33,127,18.59
188,2020,12,4,18,41,34,128,18.59
189,2020,12,4,18,41,35,129,18.59
190,2020,12,4,18,41,36,130,18.51
191,2020,12,4,18,41,37,131,18.59
