id,year,month,day,hour,minute,second,Etime,Tcham
0,2020,12,5,19,38,36,-60,24.42
1,2020,12,5,19,38,37,-59,24.42
2,2020,12,5,19,38,38,-58,24.42
3,2020,12,5,19,38,39,-57,24.42
4,2020,12,5,19,38,40,-56,24.42
5,2020,12,5,19,38,41,-55,24.51
6,2020,12,5,19,38,42,-54,24.42
7,2020,12,5,19,38,43,-53,24.42
8,2020,12,5,19,38,44,-52,24.42
9,2020,12,5,19,38,45,-51,24.42
10,2020,12,5,19,38,46,-50,24.42
11,2020,12,5,19,38,47,-49,24.42
12,2020,12,5,19,38,48,-48,24.42
13,2020,12,5,19,38,49,-47,24.42
14,2020,12,5,19,38,50,-46,24.42
15,2020,12,5,19,38,51,-45,24.42
16,2020,12,5,19,38,53,-44,24.42
17,2020,12,5,19,38,54,-43,24.42
18,2020,12,5,19,38,55,-42,24.42
19,2020,12,5,19,38,56,-41,24.42
20,2020,12,5,19,38,57,-40,24.51
21,2020,12,5,19,38,58,-39,24.42
22,2020,12,5,19,38,59,-38,24.42
23,2020,12,5,19,39,0,-37,24.42
24,2020,12,5,19,39,1,-36,24.42
25,2020,12,5,19,39,2,-35,24.51
26,2020,12,5,19,39,3,-34,24.42
27,2020,12,5,19,39,4,-33,24.42
28,2020,12,5,19,39,5,-32,24.51
29,2020,12,5,19,39,6,-31,24.42
30,2020,12,5,19,39,7,-30,24.42
31,2020,12,5,19,39,8,-29,24.42
32,2020,12,5,19,39,9,-28,24.42
33,2020,12,5,19,39,10,-27,24.42
34,2020,12,5,19,39,11,-26,24.42
35,2020,12,5,19,39,12,-25,24.42
36,2020,12,5,19,39,13,-24,24.42
37,2020,12,5,19,39,14,-23,24.42
38,2020,12,5,19,39,15,-22,24.42
39,2020,12,5,19,39,16,-21,24.42
40,2020,12,5,19,39,17,-20,24.51
41,2020,12,5,19,39,18,-19,24.42
42,2020,12,5,19,39,19,-18,24.51
43,2020,12,5,19,39,20,-17,24.51
44,2020,12,5,19,39,21,-16,24.42
45,2020,12,5,19,39,22,-15,24.42
46,2020,12,5,19,39,23,-14,24.51
47,2020,12,5,19,39,24,-13,24.51
48,2020,12,5,19,39,25,-12,24.42
49,2020,12,5,19,39,26,-11,24.42
50,2020,12,5,19,39,27,-10,24.51
51,2020,12,5,19,39,29,-9,24.42
52,2020,12,5,19,39,30,-8,24.51
53,2020,12,5,19,39,31,-7,24.42
54,2020,12,5,19,39,32,-6,24.42
55,2020,12,5,19,39,33,-5,24.42
56,2020,12,5,19,39,34,-4,24.42
57,2020,12,5,19,39,35,-3,24.42
58,2020,12,5,19,39,36,-2,24.42
59,2020,12,5,19,39,37,-1,24.42
