id,year,month,day,hour,minute,second,Etime,Tcham
0,2021,12,7,12,18,12,-60,27.45
1,2021,12,7,12,18,13,-59,27.37
2,2021,12,7,12,18,14,-58,27.37
3,2021,12,7,12,18,15,-57,27.37
4,2021,12,7,12,18,16,-56,27.37
5,2021,12,7,12,18,17,-55,27.37
6,2021,12,7,12,18,18,-54,27.37
7,2021,12,7,12,18,19,-53,27.37
8,2021,12,7,12,18,20,-52,27.37
9,2021,12,7,12,18,21,-51,27.45
10,2021,12,7,12,18,22,-50,27.37
11,2021,12,7,12,18,23,-49,27.37
12,2021,12,7,12,18,24,-48,27.37
13,2021,12,7,12,18,25,-47,27.37
14,2021,12,7,12,18,26,-46,27.37
15,2021,12,7,12,18,27,-45,27.37
16,2021,12,7,12,18,29,-44,27.37
17,2021,12,7,12,18,30,-43,27.37
18,2021,12,7,12,18,31,-42,27.37
19,2021,12,7,12,18,32,-41,27.37
20,2021,12,7,12,18,33,-40,27.37
21,2021,12,7,12,18,34,-39,27.37
22,2021,12,7,12,18,35,-38,27.37
23,2021,12,7,12,18,36,-37,27.37
24,2021,12,7,12,18,37,-36,27.29
25,2021,12,7,12,18,38,-35,27.37
26,2021,12,7,12,18,39,-34,27.29
27,2021,12,7,12,18,40,-33,27.29
28,2021,12,7,12,18,41,-32,27.37
29,2021,12,7,12,18,42,-31,27.37
30,2021,12,7,12,18,43,-30,27.37
31,2021,12,7,12,18,44,-29,27.37
32,2021,12,7,12,18,45,-28,27.29
33,2021,12,7,12,18,46,-27,27.37
34,2021,12,7,12,18,47,-26,27.37
35,2021,12,7,12,18,48,-25,27.29
36,2021,12,7,12,18,49,-24,27.37
37,2021,12,7,12,18,50,-23,27.29
38,2021,12,7,12,18,51,-22,27.37
39,2021,12,7,12,18,52,-21,27.37
40,2021,12,7,12,18,53,-20,27.29
41,2021,12,7,12,18,54,-19,27.29
42,2021,12,7,12,18,55,-18,27.29
43,2021,12,7,12,18,56,-17,27.29
44,2021,12,7,12,18,57,-16,27.29
45,2021,12,7,12,18,58,-15,27.37
46,2021,12,7,12,18,59,-14,27.37
47,2021,12,7,12,19,0,-13,27.29
48,2021,12,7,12,19,1,-12,27.29
49,2021,12,7,12,19,2,-11,27.29
50,2021,12,7,12,19,3,-10,27.29
51,2021,12,7,12,19,5,-9,27.29
52,2021,12,7,12,19,6,-8,27.29
53,2021,12,7,12,19,7,-7,27.29
54,2021,12,7,12,19,8,-6,27.29
55,2021,12,7,12,19,9,-5,27.29
56,2021,12,7,12,19,10,-4,27.29
57,2021,12,7,12,19,11,-3,27.29
58,2021,12,7,12,19,12,-2,27.29
59,2021,12,7,12,19,13,-1,27.29
60,2021,12,7,12,19,14,0,27.29
61,2021,12,7,12,19,15,1,27.20
62,2021,12,7,12,19,16,2,27.29
63,2021,12,7,12,19,17,3,27.29
64,2021,12,7,12,19,18,4,27.20
65,2021,12,7,12,19,19,5,27.29
66,2021,12,7,12,19,20,6,27.20
67,2021,12,7,12,19,21,7,27.29
68,2021,12,7,12,19,22,8,27.29
69,2021,12,7,12,19,23,9,27.20
70,2021,12,7,12,19,24,10,27.29
71,2021,12,7,12,19,25,11,27.20
72,2021,12,7,12,19,26,12,27.20
73,2021,12,7,12,19,27,13,27.29
74,2021,12,7,12,19,28,14,27.29
75,2021,12,7,12,19,29,15,27.20
76,2021,12,7,12,19,30,16,27.20
77,2021,12,7,12,19,31,17,27.20
78,2021,12,7,12,19,32,18,27.20
79,2021,12,7,12,19,33,19,27.20
80,2021,12,7,12,19,34,20,27.20
81,2021,12,7,12,19,35,21,27.29
