id,year,month,day,hour,minute,second,Etime,Tcham
0,2021,12,8,18,30,39,-60,25.43
1,2021,12,8,18,30,40,-59,25.35
2,2021,12,8,18,30,41,-58,25.35
3,2021,12,8,18,30,42,-57,25.35
4,2021,12,8,18,30,43,-56,25.35
5,2021,12,8,18,30,44,-55,25.43
6,2021,12,8,18,30,45,-54,25.43
7,2021,12,8,18,30,46,-53,25.43
8,2021,12,8,18,30,47,-52,25.35
9,2021,12,8,18,30,48,-51,25.35
10,2021,12,8,18,30,49,-50,25.35
11,2021,12,8,18,30,50,-49,25.35
12,2021,12,8,18,30,52,-48,25.35
13,2021,12,8,18,30,53,-47,25.35
14,2021,12,8,18,30,54,-46,25.35
15,2021,12,8,18,30,55,-45,25.35
16,2021,12,8,18,30,56,-44,25.35
17,2021,12,8,18,30,57,-43,25.35
18,2021,12,8,18,30,58,-42,25.26
19,2021,12,8,18,30,59,-41,25.35
20,2021,12,8,18,31,0,-40,25.35
21,2021,12,8,18,31,1,-39,25.35
22,2021,12,8,18,31,2,-38,25.35
23,2021,12,8,18,31,3,-37,25.43
24,2021,12,8,18,31,4,-36,25.35
25,2021,12,8,18,31,5,-35,25.35
26,2021,12,8,18,31,6,-34,25.43
27,2021,12,8,18,31,7,-33,25.35
28,2021,12,8,18,31,8,-32,25.35
29,2021,12,8,18,31,9,-31,25.35
30,2021,12,8,18,31,10,-30,25.43
31,2021,12,8,18,31,11,-29,25.35
32,2021,12,8,18,31,12,-28,25.43
33,2021,12,8,18,31,13,-27,25.35
34,2021,12,8,18,31,14,-26,25.43
35,2021,12,8,18,31,15,-25,25.35
36,2021,12,8,18,31,16,-24,25.43
37,2021,12,8,18,31,17,-23,25.43
38,2021,12,8,18,31,18,-22,25.26
39,2021,12,8,18,31,19,-21,25.35
40,2021,12,8,18,31,20,-20,25.43
41,2021,12,8,18,31,21,-19,25.35
42,2021,12,8,18,31,22,-18,25.35
43,2021,12,8,18,31,23,-17,25.43
44,2021,12,8,18,31,24,-16,25.35
45,2021,12,8,18,31,25,-15,25.43
46,2021,12,8,18,31,26,-14,25.35
47,2021,12,8,18,31,28,-13,25.35
48,2021,12,8,18,31,29,-12,25.35
49,2021,12,8,18,31,30,-11,25.35
50,2021,12,8,18,31,31,-10,25.35
51,2021,12,8,18,31,32,-9,25.43
52,2021,12,8,18,31,33,-8,25.43
53,2021,12,8,18,31,34,-7,25.35
54,2021,12,8,18,31,35,-6,25.43
55,2021,12,8,18,31,36,-5,25.35
56,2021,12,8,18,31,37,-4,25.35
57,2021,12,8,18,31,38,-3,25.43
58,2021,12,8,18,31,39,-2,25.43
59,2021,12,8,18,31,40,-1,25.35
60,2021,12,8,18,31,41,0,25.35
61,2021,12,8,18,31,42,1,25.35
62,2021,12,8,18,31,43,2,25.26
63,2021,12,8,18,31,44,3,25.35
64,2021,12,8,18,31,45,4,25.35
65,2021,12,8,18,31,46,5,25.35
66,2021,12,8,18,31,47,6,25.35
67,2021,12,8,18,31,48,7,25.35
68,2021,12,8,18,31,49,8,25.35
69,2021,12,8,18,31,50,9,25.35
70,2021,12,8,18,31,51,10,25.35
71,2021,12,8,18,31,52,11,25.35
72,2021,12,8,18,31,53,12,25.35
73,2021,12,8,18,31,54,13,25.26
74,2021,12,8,18,31,55,14,25.35
75,2021,12,8,18,31,56,15,25.35
76,2021,12,8,18,31,57,16,25.35
77,2021,12,8,18,31,58,17,25.35
78,2021,12,8,18,31,59,18,25.35
79,2021,12,8,18,32,0,19,25.35
80,2021,12,8,18,32,1,20,25.26
81,2021,12,8,18,32,2,21,25.35
82,2021,12,8,18,32,3,22,25.26
83,2021,12,8,18,32,5,23,25.35
84,2021,12,8,18,32,6,24,25.26
85,2021,12,8,18,32,7,25,25.35
86,2021,12,8,18,32,8,26,25.35
87,2021,12,8,18,32,9,27,25.26
88,2021,12,8,18,32,10,28,25.35
89,2021,12,8,18,32,11,29,25.35
90,2021,12,8,18,32,12,30,25.26
91,2021,12,8,18,32,13,31,25.35
92,2021,12,8,18,32,14,32,25.35
93,2021,12,8,18,32,15,33,25.26
94,2021,12,8,18,32,16,34,25.35
95,2021,12,8,18,32,17,35,25.35
96,2021,12,8,18,32,18,36,25.35
97,2021,12,8,18,32,19,37,25.35
98,2021,12,8,18,32,20,38,25.35
99,2021,12,8,18,32,21,39,25.35
100,2021,12,8,18,32,22,40,25.35
101,2021,12,8,18,32,23,41,25.35
102,2021,12,8,18,32,24,42,25.35
103,2021,12,8,18,32,25,43,25.35
104,2021,12,8,18,32,26,44,25.26
105,2021,12,8,18,32,27,45,25.35
106,2021,12,8,18,32,28,46,25.35
107,2021,12,8,18,32,29,47,25.35
108,2021,12,8,18,32,30,48,25.35
109,2021,12,8,18,32,31,49,25.35
110,2021,12,8,18,32,32,50,25.35
111,2021,12,8,18,32,33,51,25.35
112,2021,12,8,18,32,34,52,25.35
113,2021,12,8,18,32,35,53,25.35
114,2021,12,8,18,32,36,54,25.35
115,2021,12,8,18,32,37,55,25.35
116,2021,12,8,18,32,38,56,25.35
117,2021,12,8,18,32,39,57,25.35
118,2021,12,8,18,32,40,58,25.35
119,2021,12,8,18,32,41,59,25.35
120,2021,12,8,18,32,43,60,25.35
121,2021,12,8,18,32,44,61,25.35
122,2021,12,8,18,32,45,62,25.35
123,2021,12,8,18,32,46,63,25.35
124,2021,12,8,18,32,47,64,25.26
125,2021,12,8,18,32,48,65,25.35
126,2021,12,8,18,32,49,66,25.35
127,2021,12,8,18,32,50,67,25.35
128,2021,12,8,18,32,51,68,25.35
129,2021,12,8,18,32,52,69,25.35
130,2021,12,8,18,32,53,70,25.35
131,2021,12,8,18,32,54,71,25.26
132,2021,12,8,18,32,55,72,25.26
133,2021,12,8,18,32,56,73,25.35
134,2021,12,8,18,32,57,74,25.35
135,2021,12,8,18,32,58,75,25.35
136,2021,12,8,18,32,59,76,25.26
137,2021,12,8,18,33,0,77,25.35
138,2021,12,8,18,33,1,78,25.26
139,2021,12,8,18,33,2,79,25.35
140,2021,12,8,18,33,3,80,25.35
141,2021,12,8,18,33,4,81,25.26
142,2021,12,8,18,33,5,82,25.35
143,2021,12,8,18,33,6,83,25.35
144,2021,12,8,18,33,7,84,25.35
145,2021,12,8,18,33,8,85,25.35
146,2021,12,8,18,33,9,86,25.35
147,2021,12,8,18,33,10,87,25.35
148,2021,12,8,18,33,11,88,25.35
149,2021,12,8,18,33,12,89,25.35
150,2021,12,8,18,33,13,90,25.35
151,2021,12,8,18,33,14,91,25.35
152,2021,12,8,18,33,15,92,25.35
153,2021,12,8,18,33,16,93,25.35
154,2021,12,8,18,33,17,94,25.26
155,2021,12,8,18,33,18,95,25.35
156,2021,12,8,18,33,20,96,25.35
157,2021,12,8,18,33,21,97,25.35
158,2021,12,8,18,33,22,98,25.35
159,2021,12,8,18,33,23,99,25.26
160,2021,12,8,18,33,24,100,25.26
161,2021,12,8,18,33,25,101,25.35
162,2021,12,8,18,33,26,102,25.35
163,2021,12,8,18,33,27,103,25.35
164,2021,12,8,18,33,28,104,25.35
165,2021,12,8,18,33,29,105,25.35
166,2021,12,8,18,33,30,106,25.35
167,2021,12,8,18,33,31,107,25.35
168,2021,12,8,18,33,32,108,25.35
169,2021,12,8,18,33,33,109,25.35
170,2021,12,8,18,33,34,110,25.26
171,2021,12,8,18,33,35,111,25.35
172,2021,12,8,18,33,36,112,25.35
173,2021,12,8,18,33,37,113,25.35
174,2021,12,8,18,33,38,114,25.35
175,2021,12,8,18,33,39,115,25.26
176,2021,12,8,18,33,40,116,25.35
177,2021,12,8,18,33,41,117,25.26
178,2021,12,8,18,33,42,118,25.26
179,2021,12,8,18,33,43,119,25.35
180,2021,12,8,18,33,44,120,25.26
181,2021,12,8,18,33,45,121,25.35
182,2021,12,8,18,33,46,122,25.35
183,2021,12,8,18,33,47,123,25.26
184,2021,12,8,18,33,48,124,25.35
185,2021,12,8,18,33,49,125,25.35
186,2021,12,8,18,33,50,126,25.35
187,2021,12,8,18,33,51,127,25.26
188,2021,12,8,18,33,52,128,25.35
189,2021,12,8,18,33,53,129,25.35
190,2021,12,8,18,33,54,130,25.26
191,2021,12,8,18,33,56,131,25.35
192,2021,12,8,18,33,57,132,25.35
193,2021,12,8,18,33,58,133,25.35
194,2021,12,8,18,33,59,134,25.35
195,2021,12,8,18,34,0,135,25.35
196,2021,12,8,18,34,1,136,25.35
197,2021,12,8,18,34,2,137,25.35
198,2021,12,8,18,34,3,138,25.26
199,2021,12,8,18,34,4,139,25.35
200,2021,12,8,18,34,5,140,25.35
201,2021,12,8,18,34,6,141,25.35
202,2021,12,8,18,34,7,142,25.35
203,2021,12,8,18,34,8,143,25.35
204,2021,12,8,18,34,9,144,25.26
205,2021,12,8,18,34,10,145,25.26
206,2021,12,8,18,34,11,146,25.35
207,2021,12,8,18,34,12,147,25.35
208,2021,12,8,18,34,13,148,25.35
209,2021,12,8,18,34,14,149,25.26
210,2021,12,8,18,34,15,150,25.35
211,2021,12,8,18,34,16,151,25.35
212,2021,12,8,18,34,17,152,25.35
213,2021,12,8,18,34,18,153,25.35
214,2021,12,8,18,34,19,154,25.35
215,2021,12,8,18,34,20,155,25.35
216,2021,12,8,18,34,21,156,25.35
217,2021,12,8,18,34,22,157,25.35
218,2021,12,8,18,34,23,158,25.35
219,2021,12,8,18,34,24,159,25.35
220,2021,12,8,18,34,25,160,25.35
221,2021,12,8,18,34,26,161,25.35
222,2021,12,8,18,34,27,162,25.26
223,2021,12,8,18,34,28,163,25.26
224,2021,12,8,18,34,29,164,25.26
225,2021,12,8,18,34,30,165,25.35
226,2021,12,8,18,34,32,166,25.35
227,2021,12,8,18,34,33,167,25.35
228,2021,12,8,18,34,34,168,25.35
229,2021,12,8,18,34,35,169,25.26
230,2021,12,8,18,34,36,170,25.35
231,2021,12,8,18,34,37,171,25.35
232,2021,12,8,18,34,38,172,25.35
233,2021,12,8,18,34,39,173,25.35
234,2021,12,8,18,34,40,174,25.35
235,2021,12,8,18,34,41,175,25.26
236,2021,12,8,18,34,42,176,25.35
237,2021,12,8,18,34,43,177,25.35
238,2021,12,8,18,34,44,178,25.35
239,2021,12,8,18,34,45,179,25.35
240,2021,12,8,18,34,46,180,25.35
