id,year,month,day,hour,minute,second,Etime,Tcham
0,2021,12,9,10,18,28,-60,31.07
1,2021,12,9,10,18,29,-59,31.07
2,2021,12,9,10,18,30,-58,30.98
3,2021,12,9,10,18,31,-57,30.98
4,2021,12,9,10,18,32,-56,31.07
5,2021,12,9,10,18,33,-55,31.07
6,2021,12,9,10,18,34,-54,31.07
7,2021,12,9,10,18,35,-53,30.98
8,2021,12,9,10,18,36,-52,31.07
9,2021,12,9,10,18,37,-51,30.98
10,2021,12,9,10,18,38,-50,31.07
11,2021,12,9,10,18,39,-49,31.07
12,2021,12,9,10,18,40,-48,31.07
13,2021,12,9,10,18,41,-47,31.07
14,2021,12,9,10,18,42,-46,31.07
15,2021,12,9,10,18,43,-45,31.07
16,2021,12,9,10,18,44,-44,31.16
17,2021,12,9,10,18,45,-43,31.16
18,2021,12,9,10,18,46,-42,31.07
19,2021,12,9,10,18,47,-41,31.16
20,2021,12,9,10,18,48,-40,31.16
21,2021,12,9,10,18,49,-39,31.16
22,2021,12,9,10,18,50,-38,31.16
23,2021,12,9,10,18,51,-37,31.16
24,2021,12,9,10,18,52,-36,31.16
25,2021,12,9,10,18,53,-35,31.16
26,2021,12,9,10,18,54,-34,31.16
27,2021,12,9,10,18,55,-33,31.16
28,2021,12,9,10,18,56,-32,31.16
29,2021,12,9,10,18,57,-31,31.16
30,2021,12,9,10,18,58,-30,31.25
31,2021,12,9,10,18,59,-29,31.25
32,2021,12,9,10,19,0,-28,31.25
33,2021,12,9,10,19,2,-27,31.25
34,2021,12,9,10,19,3,-26,31.25
35,2021,12,9,10,19,4,-25,31.25
36,2021,12,9,10,19,5,-24,31.25
37,2021,12,9,10,19,6,-23,31.25
38,2021,12,9,10,19,7,-22,31.25
39,2021,12,9,10,19,8,-21,31.25
40,2021,12,9,10,19,9,-20,31.25
41,2021,12,9,10,19,10,-19,31.25
42,2021,12,9,10,19,11,-18,31.25
43,2021,12,9,10,19,12,-17,31.25
44,2021,12,9,10,19,13,-16,31.25
45,2021,12,9,10,19,14,-15,31.25
46,2021,12,9,10,19,15,-14,31.34
47,2021,12,9,10,19,16,-13,31.34
48,2021,12,9,10,19,17,-12,31.34
49,2021,12,9,10,19,18,-11,31.34
50,2021,12,9,10,19,19,-10,31.25
51,2021,12,9,10,19,20,-9,31.25
52,2021,12,9,10,19,21,-8,31.34
53,2021,12,9,10,19,22,-7,31.34
54,2021,12,9,10,19,23,-6,31.34
55,2021,12,9,10,19,24,-5,31.34
56,2021,12,9,10,19,25,-4,31.34
57,2021,12,9,10,19,26,-3,31.34
58,2021,12,9,10,19,27,-2,31.34
59,2021,12,9,10,19,28,-1,31.34
60,2021,12,9,10,19,29,0,31.34
61,2021,12,9,10,19,30,1,31.34
62,2021,12,9,10,19,31,2,31.34
63,2021,12,9,10,19,32,3,31.34
64,2021,12,9,10,19,33,4,31.34
65,2021,12,9,10,19,34,5,31.34
66,2021,12,9,10,19,35,6,31.34
67,2021,12,9,10,19,36,7,31.34
68,2021,12,9,10,19,37,8,31.34
69,2021,12,9,10,19,39,9,31.42
70,2021,12,9,10,19,40,10,31.42
71,2021,12,9,10,19,41,11,31.34
72,2021,12,9,10,19,42,12,31.42
73,2021,12,9,10,19,43,13,31.34
74,2021,12,9,10,19,44,14,31.42
75,2021,12,9,10,19,45,15,31.42
76,2021,12,9,10,19,46,16,31.42
77,2021,12,9,10,19,47,17,31.42
78,2021,12,9,10,19,48,18,31.42
79,2021,12,9,10,19,49,19,31.42
80,2021,12,9,10,19,50,20,31.42
81,2021,12,9,10,19,51,21,31.42
82,2021,12,9,10,19,52,22,31.42
83,2021,12,9,10,19,53,23,31.42
84,2021,12,9,10,19,54,24,31.42
85,2021,12,9,10,19,55,25,31.42
86,2021,12,9,10,19,56,26,31.42
87,2021,12,9,10,19,57,27,31.51
88,2021,12,9,10,19,58,28,31.51
89,2021,12,9,10,19,59,29,31.42
90,2021,12,9,10,20,0,30,31.51
91,2021,12,9,10,20,1,31,31.51
92,2021,12,9,10,20,2,32,31.51
93,2021,12,9,10,20,3,33,31.42
94,2021,12,9,10,20,4,34,31.51
95,2021,12,9,10,20,5,35,31.42
96,2021,12,9,10,20,6,36,31.51
97,2021,12,9,10,20,7,37,31.51
98,2021,12,9,10,20,8,38,31.51
99,2021,12,9,10,20,9,39,31.51
100,2021,12,9,10,20,10,40,31.51
101,2021,12,9,10,20,11,41,31.51
102,2021,12,9,10,20,12,42,31.51
103,2021,12,9,10,20,13,43,31.51
104,2021,12,9,10,20,14,44,31.51
105,2021,12,9,10,20,16,45,31.51
106,2021,12,9,10,20,17,46,31.60
107,2021,12,9,10,20,18,47,31.51
108,2021,12,9,10,20,19,48,31.51
109,2021,12,9,10,20,20,49,31.60
110,2021,12,9,10,20,21,50,31.60
111,2021,12,9,10,20,22,51,31.60
112,2021,12,9,10,20,23,52,31.51
113,2021,12,9,10,20,24,53,31.60
114,2021,12,9,10,20,25,54,31.60
115,2021,12,9,10,20,26,55,31.60
116,2021,12,9,10,20,27,56,31.60
117,2021,12,9,10,20,28,57,31.60
118,2021,12,9,10,20,29,58,31.60
119,2021,12,9,10,20,30,59,31.60
120,2021,12,9,10,20,31,60,31.51
121,2021,12,9,10,20,32,61,31.60
122,2021,12,9,10,20,33,62,31.60
123,2021,12,9,10,20,34,63,31.60
124,2021,12,9,10,20,35,64,31.60
125,2021,12,9,10,20,36,65,31.60
126,2021,12,9,10,20,37,66,31.60
127,2021,12,9,10,20,38,67,31.60
128,2021,12,9,10,20,39,68,31.60
129,2021,12,9,10,20,40,69,31.69
130,2021,12,9,10,20,41,70,31.60
131,2021,12,9,10,20,42,71,31.69
132,2021,12,9,10,20,43,72,31.60
133,2021,12,9,10,20,44,73,31.69
134,2021,12,9,10,20,45,74,31.60
135,2021,12,9,10,20,46,75,31.60
136,2021,12,9,10,20,47,76,31.69
137,2021,12,9,10,20,48,77,31.69
138,2021,12,9,10,20,49,78,31.69
139,2021,12,9,10,20,50,79,31.69
140,2021,12,9,10,20,51,80,31.69
141,2021,12,9,10,20,52,81,31.69
