id,year,month,day,hour,minute,second,Etime,Tcham
0,2021,6,11,10,40,44,-60,24.01
1,2021,6,11,10,40,46,-59,24.01
2,2021,6,11,10,40,47,-58,24.01
3,2021,6,11,10,40,48,-57,24.01
4,2021,6,11,10,40,49,-56,24.01
5,2021,6,11,10,40,50,-55,24.01
6,2021,6,11,10,40,51,-54,24.01
7,2021,6,11,10,40,52,-53,24.01
8,2021,6,11,10,40,53,-52,23.92
9,2021,6,11,10,40,54,-51,24.01
10,2021,6,11,10,40,55,-50,24.01
11,2021,6,11,10,40,56,-49,24.01
12,2021,6,11,10,40,57,-48,24.01
13,2021,6,11,10,40,58,-47,24.01
14,2021,6,11,10,40,59,-46,24.01
15,2021,6,11,10,41,0,-45,24.01
16,2021,6,11,10,41,1,-44,23.92
17,2021,6,11,10,41,2,-43,23.92
18,2021,6,11,10,41,3,-42,23.92
19,2021,6,11,10,41,4,-41,24.01
20,2021,6,11,10,41,5,-40,24.01
21,2021,6,11,10,41,6,-39,24.01
22,2021,6,11,10,41,7,-38,24.01
23,2021,6,11,10,41,8,-37,23.92
24,2021,6,11,10,41,9,-36,24.01
25,2021,6,11,10,41,10,-35,24.01
26,2021,6,11,10,41,11,-34,24.01
27,2021,6,11,10,41,12,-33,24.01
28,2021,6,11,10,41,13,-32,24.01
29,2021,6,11,10,41,14,-31,24.01
30,2021,6,11,10,41,15,-30,24.01
31,2021,6,11,10,41,16,-29,24.01
32,2021,6,11,10,41,17,-28,24.01
33,2021,6,11,10,41,18,-27,23.92
34,2021,6,11,10,41,19,-26,23.92
35,2021,6,11,10,41,20,-25,23.84
36,2021,6,11,10,41,22,-24,23.84
37,2021,6,11,10,41,23,-23,23.84
38,2021,6,11,10,41,24,-22,23.76
39,2021,6,11,10,41,25,-21,23.84
40,2021,6,11,10,41,26,-20,23.76
41,2021,6,11,10,41,27,-19,23.76
42,2021,6,11,10,41,28,-18,23.84
43,2021,6,11,10,41,29,-17,23.76
44,2021,6,11,10,41,30,-16,23.76
45,2021,6,11,10,41,31,-15,23.76
46,2021,6,11,10,41,32,-14,23.76
47,2021,6,11,10,41,33,-13,23.76
48,2021,6,11,10,41,34,-12,23.76
49,2021,6,11,10,41,35,-11,23.84
50,2021,6,11,10,41,36,-10,23.92
51,2021,6,11,10,41,37,-9,23.92
52,2021,6,11,10,41,38,-8,24.01
53,2021,6,11,10,41,39,-7,23.84
54,2021,6,11,10,41,40,-6,24.01
55,2021,6,11,10,41,41,-5,24.01
