id,year,month,day,hour,minute,second,Etime,Tcham
0,2021,6,15,12,53,10,-60,24.93
1,2021,6,15,12,53,11,-59,24.84
2,2021,6,15,12,53,12,-58,24.93
3,2021,6,15,12,53,13,-57,24.93
4,2021,6,15,12,53,14,-56,24.93
5,2021,6,15,12,53,15,-55,24.84
6,2021,6,15,12,53,16,-54,24.84
7,2021,6,15,12,53,17,-53,24.84
8,2021,6,15,12,53,19,-52,24.76
9,2021,6,15,12,53,20,-51,24.84
10,2021,6,15,12,53,21,-50,24.84
11,2021,6,15,12,53,22,-49,24.93
12,2021,6,15,12,53,23,-48,24.84
13,2021,6,15,12,53,24,-47,24.84
14,2021,6,15,12,53,25,-46,24.84
15,2021,6,15,12,53,26,-45,24.84
16,2021,6,15,12,53,27,-44,24.84
17,2021,6,15,12,53,28,-43,24.84
18,2021,6,15,12,53,29,-42,24.84
19,2021,6,15,12,53,30,-41,24.84
20,2021,6,15,12,53,31,-40,24.84
21,2021,6,15,12,53,32,-39,24.84
22,2021,6,15,12,53,33,-38,24.84
23,2021,6,15,12,53,34,-37,24.76
24,2021,6,15,12,53,35,-36,24.84
25,2021,6,15,12,53,36,-35,24.76
26,2021,6,15,12,53,37,-34,24.76
27,2021,6,15,12,53,38,-33,24.84
28,2021,6,15,12,53,39,-32,24.76
29,2021,6,15,12,53,40,-31,24.84
30,2021,6,15,12,53,41,-30,24.84
31,2021,6,15,12,53,42,-29,24.84
32,2021,6,15,12,53,43,-28,24.84
33,2021,6,15,12,53,44,-27,24.84
34,2021,6,15,12,53,45,-26,24.84
35,2021,6,15,12,53,46,-25,24.76
36,2021,6,15,12,53,47,-24,24.67
37,2021,6,15,12,53,48,-23,24.76
38,2021,6,15,12,53,49,-22,24.76
39,2021,6,15,12,53,50,-21,24.76
40,2021,6,15,12,53,51,-20,24.76
41,2021,6,15,12,53,52,-19,24.76
42,2021,6,15,12,53,53,-18,24.76
43,2021,6,15,12,53,55,-17,24.76
44,2021,6,15,12,53,56,-16,24.76
45,2021,6,15,12,53,57,-15,24.76
46,2021,6,15,12,53,58,-14,24.76
47,2021,6,15,12,53,59,-13,24.76
48,2021,6,15,12,54,0,-12,24.76
49,2021,6,15,12,54,1,-11,24.76
50,2021,6,15,12,54,2,-10,24.67
51,2021,6,15,12,54,3,-9,24.76
52,2021,6,15,12,54,4,-8,24.76
53,2021,6,15,12,54,5,-7,24.76
54,2021,6,15,12,54,6,-6,24.76
55,2021,6,15,12,54,7,-5,24.76
56,2021,6,15,12,54,8,-4,24.67
57,2021,6,15,12,54,9,-3,24.76
58,2021,6,15,12,54,10,-2,24.67
59,2021,6,15,12,54,11,-1,24.76
60,2021,6,15,12,54,12,0,24.67
61,2021,6,15,12,54,13,1,24.67
62,2021,6,15,12,54,14,2,24.67
63,2021,6,15,12,54,15,3,24.67
64,2021,6,15,12,54,16,4,24.67
65,2021,6,15,12,54,17,5,24.67
66,2021,6,15,12,54,18,6,24.59
67,2021,6,15,12,54,19,7,24.67
68,2021,6,15,12,54,20,8,24.67
69,2021,6,15,12,54,21,9,24.67
70,2021,6,15,12,54,22,10,24.67
71,2021,6,15,12,54,23,11,24.67
72,2021,6,15,12,54,24,12,24.67
73,2021,6,15,12,54,25,13,24.67
74,2021,6,15,12,54,26,14,24.67
75,2021,6,15,12,54,27,15,24.67
76,2021,6,15,12,54,28,16,24.59
77,2021,6,15,12,54,29,17,24.67
78,2021,6,15,12,54,30,18,24.67
79,2021,6,15,12,54,31,19,24.67
80,2021,6,15,12,54,33,20,24.67
81,2021,6,15,12,54,34,21,24.67
82,2021,6,15,12,54,35,22,24.67
83,2021,6,15,12,54,36,23,24.59
84,2021,6,15,12,54,37,24,24.59
85,2021,6,15,12,54,38,25,24.67
86,2021,6,15,12,54,39,26,24.67
87,2021,6,15,12,54,40,27,24.67
88,2021,6,15,12,54,41,28,24.67
89,2021,6,15,12,54,42,29,24.67
90,2021,6,15,12,54,43,30,24.59
91,2021,6,15,12,54,44,31,24.67
92,2021,6,15,12,54,45,32,24.59
93,2021,6,15,12,54,46,33,24.59
94,2021,6,15,12,54,47,34,24.59
95,2021,6,15,12,54,48,35,24.59
96,2021,6,15,12,54,49,36,24.67
97,2021,6,15,12,54,50,37,24.59
98,2021,6,15,12,54,51,38,24.59
99,2021,6,15,12,54,52,39,24.67
100,2021,6,15,12,54,53,40,24.59
101,2021,6,15,12,54,54,41,24.59
102,2021,6,15,12,54,55,42,24.67
103,2021,6,15,12,54,56,43,24.59
104,2021,6,15,12,54,57,44,24.59
105,2021,6,15,12,54,58,45,24.59
106,2021,6,15,12,54,59,46,24.59
107,2021,6,15,12,55,0,47,24.59
108,2021,6,15,12,55,1,48,24.59
109,2021,6,15,12,55,2,49,24.59
110,2021,6,15,12,55,3,50,24.59
111,2021,6,15,12,55,4,51,24.59
112,2021,6,15,12,55,5,52,24.59
113,2021,6,15,12,55,6,53,24.59
114,2021,6,15,12,55,7,54,24.59
115,2021,6,15,12,55,8,55,24.51
116,2021,6,15,12,55,10,56,24.59
117,2021,6,15,12,55,11,57,24.59
118,2021,6,15,12,55,12,58,24.59
119,2021,6,15,12,55,13,59,24.59
120,2021,6,15,12,55,14,60,24.59
121,2021,6,15,12,55,15,61,24.51
122,2021,6,15,12,55,16,62,24.59
123,2021,6,15,12,55,17,63,24.59
124,2021,6,15,12,55,18,64,24.59
125,2021,6,15,12,55,19,65,24.51
126,2021,6,15,12,55,20,66,24.51
127,2021,6,15,12,55,21,67,24.59
128,2021,6,15,12,55,22,68,24.59
129,2021,6,15,12,55,23,69,24.59
130,2021,6,15,12,55,24,70,24.59
131,2021,6,15,12,55,25,71,24.51
132,2021,6,15,12,55,26,72,24.51
133,2021,6,15,12,55,27,73,24.59
134,2021,6,15,12,55,28,74,24.59
135,2021,6,15,12,55,29,75,24.59
136,2021,6,15,12,55,30,76,24.51
137,2021,6,15,12,55,31,77,24.59
