id,year,month,day,hour,minute,second,Etime,Tcham
0,2021,6,17,13,15,55,-60,30.11
1,2021,6,17,13,15,56,-59,30.03
2,2021,6,17,13,15,57,-58,30.11
3,2021,6,17,13,15,58,-57,30.11
4,2021,6,17,13,15,59,-56,30.11
5,2021,6,17,13,16,0,-55,30.11
6,2021,6,17,13,16,1,-54,30.11
7,2021,6,17,13,16,2,-53,30.20
8,2021,6,17,13,16,3,-52,30.11
9,2021,6,17,13,16,4,-51,30.11
10,2021,6,17,13,16,5,-50,30.11
11,2021,6,17,13,16,6,-49,30.20
12,2021,6,17,13,16,7,-48,30.11
13,2021,6,17,13,16,8,-47,30.11
14,2021,6,17,13,16,10,-46,30.11
15,2021,6,17,13,16,11,-45,30.20
16,2021,6,17,13,16,12,-44,30.20
17,2021,6,17,13,16,13,-43,30.20
18,2021,6,17,13,16,14,-42,30.20
19,2021,6,17,13,16,15,-41,30.11
20,2021,6,17,13,16,16,-40,30.20
21,2021,6,17,13,16,17,-39,30.20
22,2021,6,17,13,16,18,-38,30.20
23,2021,6,17,13,16,19,-37,30.20
24,2021,6,17,13,16,20,-36,30.11
25,2021,6,17,13,16,21,-35,30.20
26,2021,6,17,13,16,22,-34,30.20
27,2021,6,17,13,16,23,-33,30.20
28,2021,6,17,13,16,24,-32,30.20
29,2021,6,17,13,16,25,-31,30.20
30,2021,6,17,13,16,26,-30,30.20
31,2021,6,17,13,16,27,-29,30.20
32,2021,6,17,13,16,28,-28,30.29
33,2021,6,17,13,16,29,-27,30.20
34,2021,6,17,13,16,30,-26,30.20
35,2021,6,17,13,16,31,-25,30.29
36,2021,6,17,13,16,32,-24,30.20
37,2021,6,17,13,16,33,-23,30.20
38,2021,6,17,13,16,34,-22,30.20
39,2021,6,17,13,16,35,-21,30.29
40,2021,6,17,13,16,36,-20,30.29
41,2021,6,17,13,16,37,-19,30.29
42,2021,6,17,13,16,38,-18,30.29
43,2021,6,17,13,16,39,-17,30.29
44,2021,6,17,13,16,40,-16,30.29
45,2021,6,17,13,16,41,-15,30.29
46,2021,6,17,13,16,42,-14,30.29
47,2021,6,17,13,16,43,-13,30.29
48,2021,6,17,13,16,44,-12,30.29
49,2021,6,17,13,16,46,-11,30.20
50,2021,6,17,13,16,47,-10,30.37
51,2021,6,17,13,16,48,-9,30.29
52,2021,6,17,13,16,49,-8,30.29
53,2021,6,17,13,16,50,-7,30.29
54,2021,6,17,13,16,51,-6,30.29
55,2021,6,17,13,16,52,-5,30.29
56,2021,6,17,13,16,53,-4,30.37
57,2021,6,17,13,16,54,-3,30.37
58,2021,6,17,13,16,55,-2,30.29
59,2021,6,17,13,16,56,-1,30.37
60,2021,6,17,13,16,57,0,30.29
61,2021,6,17,13,16,58,1,30.37
62,2021,6,17,13,16,59,2,30.29
63,2021,6,17,13,17,0,3,30.29
64,2021,6,17,13,17,1,4,30.37
65,2021,6,17,13,17,2,5,30.37
66,2021,6,17,13,17,3,6,30.29
67,2021,6,17,13,17,4,7,30.37
68,2021,6,17,13,17,5,8,30.37
69,2021,6,17,13,17,6,9,30.37
70,2021,6,17,13,17,7,10,30.37
71,2021,6,17,13,17,8,11,30.37
72,2021,6,17,13,17,9,12,30.37
73,2021,6,17,13,17,10,13,30.37
74,2021,6,17,13,17,11,14,30.37
75,2021,6,17,13,17,12,15,30.46
76,2021,6,17,13,17,13,16,30.37
77,2021,6,17,13,17,14,17,30.37
78,2021,6,17,13,17,15,18,30.37
79,2021,6,17,13,17,16,19,30.37
80,2021,6,17,13,17,17,20,30.46
81,2021,6,17,13,17,18,21,30.46
82,2021,6,17,13,17,19,22,30.46
83,2021,6,17,13,17,20,23,30.46
84,2021,6,17,13,17,21,24,30.46
85,2021,6,17,13,17,22,25,30.46
86,2021,6,17,13,17,24,26,30.46
