id,year,month,day,hour,minute,second,Etime,Tcham
0,2021,6,9,18,50,26,-60,21.51
1,2021,6,9,18,50,27,-59,21.51
2,2021,6,9,18,50,28,-58,21.51
3,2021,6,9,18,50,29,-57,21.51
4,2021,6,9,18,50,30,-56,21.59
5,2021,6,9,18,50,31,-55,21.51
6,2021,6,9,18,50,32,-54,21.59
7,2021,6,9,18,50,33,-53,21.51
8,2021,6,9,18,50,34,-52,21.42
9,2021,6,9,18,50,35,-51,21.51
10,2021,6,9,18,50,36,-50,21.51
11,2021,6,9,18,50,37,-49,21.51
12,2021,6,9,18,50,38,-48,21.51
13,2021,6,9,18,50,39,-47,21.42
14,2021,6,9,18,50,41,-46,21.51
15,2021,6,9,18,50,42,-45,21.59
16,2021,6,9,18,50,43,-44,21.51
17,2021,6,9,18,50,44,-43,21.51
18,2021,6,9,18,50,45,-42,21.59
19,2021,6,9,18,50,46,-41,21.51
20,2021,6,9,18,50,47,-40,21.59
21,2021,6,9,18,50,48,-39,21.51
22,2021,6,9,18,50,49,-38,21.51
23,2021,6,9,18,50,50,-37,21.51
24,2021,6,9,18,50,51,-36,21.59
25,2021,6,9,18,50,52,-35,21.59
26,2021,6,9,18,50,53,-34,21.51
27,2021,6,9,18,50,54,-33,21.51
28,2021,6,9,18,50,55,-32,21.51
29,2021,6,9,18,50,56,-31,21.51
30,2021,6,9,18,50,57,-30,21.51
31,2021,6,9,18,50,58,-29,21.59
32,2021,6,9,18,50,59,-28,21.51
33,2021,6,9,18,51,0,-27,21.59
34,2021,6,9,18,51,1,-26,21.51
35,2021,6,9,18,51,2,-25,21.59
36,2021,6,9,18,51,3,-24,21.51
37,2021,6,9,18,51,4,-23,21.51
38,2021,6,9,18,51,5,-22,21.51
39,2021,6,9,18,51,6,-21,21.51
40,2021,6,9,18,51,7,-20,21.51
41,2021,6,9,18,51,8,-19,21.51
42,2021,6,9,18,51,9,-18,21.59
43,2021,6,9,18,51,10,-17,21.59
44,2021,6,9,18,51,11,-16,21.51
45,2021,6,9,18,51,12,-15,21.59
46,2021,6,9,18,51,13,-14,21.42
47,2021,6,9,18,51,14,-13,21.59
48,2021,6,9,18,51,15,-12,21.59
49,2021,6,9,18,51,16,-11,21.51
50,2021,6,9,18,51,18,-10,21.51
51,2021,6,9,18,51,19,-9,21.51
52,2021,6,9,18,51,20,-8,21.59
53,2021,6,9,18,51,21,-7,21.59
54,2021,6,9,18,51,22,-6,21.51
55,2021,6,9,18,51,23,-5,21.59
56,2021,6,9,18,51,24,-4,21.59
57,2021,6,9,18,51,25,-3,21.51
58,2021,6,9,18,51,26,-2,21.51
