id,year,month,day,hour,minute,second,Etime,Tcham
0,2022,6,10,13,31,54,-60,17.17
1,2022,6,10,13,31,55,-59,17.17
2,2022,6,10,13,31,56,-58,17.08
3,2022,6,10,13,31,58,-57,17.17
4,2022,6,10,13,31,59,-56,17.08
5,2022,6,10,13,32,0,-55,17.17
6,2022,6,10,13,32,1,-54,17.17
7,2022,6,10,13,32,2,-53,17.17
8,2022,6,10,13,32,3,-52,17.17
9,2022,6,10,13,32,4,-51,17.17
10,2022,6,10,13,32,5,-50,17.08
11,2022,6,10,13,32,6,-49,17.08
12,2022,6,10,13,32,7,-48,17.17
13,2022,6,10,13,32,8,-47,17.17
14,2022,6,10,13,32,9,-46,17.08
15,2022,6,10,13,32,10,-45,17.17
16,2022,6,10,13,32,11,-44,17.08
17,2022,6,10,13,32,12,-43,17.17
18,2022,6,10,13,32,13,-42,17.17
19,2022,6,10,13,32,14,-41,17.17
20,2022,6,10,13,32,15,-40,17.08
21,2022,6,10,13,32,16,-39,17.17
22,2022,6,10,13,32,17,-38,17.17
23,2022,6,10,13,32,18,-37,17.17
24,2022,6,10,13,32,19,-36,17.17
25,2022,6,10,13,32,20,-35,17.17
26,2022,6,10,13,32,21,-34,17.17
27,2022,6,10,13,32,22,-33,17.17
28,2022,6,10,13,32,23,-32,17.17
29,2022,6,10,13,32,24,-31,17.08
30,2022,6,10,13,32,25,-30,17.17
31,2022,6,10,13,32,26,-29,17.08
32,2022,6,10,13,32,27,-28,17.08
33,2022,6,10,13,32,28,-27,17.17
34,2022,6,10,13,32,29,-26,17.08
35,2022,6,10,13,32,30,-25,17.08
36,2022,6,10,13,32,31,-24,17.17
37,2022,6,10,13,32,32,-23,17.08
38,2022,6,10,13,32,34,-22,17.08
39,2022,6,10,13,32,35,-21,17.17
40,2022,6,10,13,32,36,-20,17.08
41,2022,6,10,13,32,37,-19,17.17
42,2022,6,10,13,32,38,-18,17.17
43,2022,6,10,13,32,39,-17,17.08
44,2022,6,10,13,32,40,-16,17.08
45,2022,6,10,13,32,41,-15,17.08
46,2022,6,10,13,32,42,-14,17.17
47,2022,6,10,13,32,43,-13,17.17
48,2022,6,10,13,32,44,-12,17.08
49,2022,6,10,13,32,45,-11,17.17
50,2022,6,10,13,32,46,-10,17.17
51,2022,6,10,13,32,47,-9,17.08
52,2022,6,10,13,32,48,-8,17.08
53,2022,6,10,13,32,49,-7,17.08
54,2022,6,10,13,32,50,-6,17.17
55,2022,6,10,13,32,51,-5,17.17
56,2022,6,10,13,32,52,-4,17.17
57,2022,6,10,13,32,53,-3,17.17
58,2022,6,10,13,32,54,-2,17.08
59,2022,6,10,13,32,55,-1,17.17
60,2022,6,10,13,32,56,0,17.17
61,2022,6,10,13,32,57,1,17.08
62,2022,6,10,13,32,58,2,17.08
63,2022,6,10,13,32,59,3,17.08
64,2022,6,10,13,33,0,4,17.08
65,2022,6,10,13,33,1,5,17.08
66,2022,6,10,13,33,2,6,17.08
67,2022,6,10,13,33,3,7,17.17
68,2022,6,10,13,33,4,8,17.17
69,2022,6,10,13,33,5,9,17.08
70,2022,6,10,13,33,6,10,17.08
71,2022,6,10,13,33,7,11,17.08
72,2022,6,10,13,33,8,12,17.08
73,2022,6,10,13,33,9,13,17.08
74,2022,6,10,13,33,10,14,17.08
75,2022,6,10,13,33,12,15,17.08
76,2022,6,10,13,33,13,16,17.17
77,2022,6,10,13,33,14,17,17.08
78,2022,6,10,13,33,15,18,17.08
79,2022,6,10,13,33,16,19,17.08
80,2022,6,10,13,33,17,20,17.08
81,2022,6,10,13,33,18,21,17.08
82,2022,6,10,13,33,19,22,17.08
83,2022,6,10,13,33,20,23,17.08
84,2022,6,10,13,33,21,24,17.17
85,2022,6,10,13,33,22,25,17.17
86,2022,6,10,13,33,23,26,17.08
87,2022,6,10,13,33,24,27,17.08
88,2022,6,10,13,33,25,28,17.17
89,2022,6,10,13,33,26,29,17.08
90,2022,6,10,13,33,27,30,17.08
91,2022,6,10,13,33,28,31,17.08
92,2022,6,10,13,33,29,32,17.17
93,2022,6,10,13,33,30,33,17.08
94,2022,6,10,13,33,31,34,17.17
95,2022,6,10,13,33,32,35,17.08
96,2022,6,10,13,33,33,36,17.17
97,2022,6,10,13,33,34,37,17.08
98,2022,6,10,13,33,35,38,17.17
99,2022,6,10,13,33,36,39,17.08
100,2022,6,10,13,33,37,40,17.08
101,2022,6,10,13,33,38,41,17.08
102,2022,6,10,13,33,39,42,17.08
103,2022,6,10,13,33,40,43,17.08
104,2022,6,10,13,33,41,44,17.00
