id,year,month,day,hour,minute,second,Etime,Tcham
0,2022,6,10,13,16,4,-60,17.17
1,2022,6,10,13,16,5,-59,17.17
2,2022,6,10,13,16,6,-58,17.17
3,2022,6,10,13,16,7,-57,17.17
4,2022,6,10,13,16,8,-56,17.17
5,2022,6,10,13,16,9,-55,17.08
6,2022,6,10,13,16,10,-54,17.17
7,2022,6,10,13,16,11,-53,17.17
8,2022,6,10,13,16,12,-52,17.17
9,2022,6,10,13,16,13,-51,17.17
10,2022,6,10,13,16,14,-50,17.17
11,2022,6,10,13,16,15,-49,17.08
12,2022,6,10,13,16,16,-48,17.17
13,2022,6,10,13,16,17,-47,17.08
14,2022,6,10,13,16,18,-46,17.17
15,2022,6,10,13,16,19,-45,17.17
16,2022,6,10,13,16,20,-44,17.08
17,2022,6,10,13,16,21,-43,17.17
18,2022,6,10,13,16,22,-42,17.08
19,2022,6,10,13,16,23,-41,17.17
20,2022,6,10,13,16,24,-40,17.08
21,2022,6,10,13,16,25,-39,17.17
22,2022,6,10,13,16,26,-38,17.08
23,2022,6,10,13,16,27,-37,17.17
24,2022,6,10,13,16,28,-36,17.08
25,2022,6,10,13,16,29,-35,17.08
26,2022,6,10,13,16,30,-34,17.17
27,2022,6,10,13,16,31,-33,17.17
28,2022,6,10,13,16,32,-32,17.17
29,2022,6,10,13,16,34,-31,17.17
30,2022,6,10,13,16,35,-30,17.17
31,2022,6,10,13,16,36,-29,17.17
32,2022,6,10,13,16,37,-28,17.17
33,2022,6,10,13,16,38,-27,17.17
34,2022,6,10,13,16,39,-26,17.08
35,2022,6,10,13,16,40,-25,17.08
36,2022,6,10,13,16,41,-24,17.17
37,2022,6,10,13,16,42,-23,17.08
38,2022,6,10,13,16,43,-22,17.17
39,2022,6,10,13,16,44,-21,17.17
40,2022,6,10,13,16,45,-20,17.17
41,2022,6,10,13,16,46,-19,17.17
42,2022,6,10,13,16,47,-18,17.17
43,2022,6,10,13,16,48,-17,17.08
44,2022,6,10,13,16,49,-16,17.08
45,2022,6,10,13,16,50,-15,17.08
46,2022,6,10,13,16,51,-14,17.17
47,2022,6,10,13,16,52,-13,17.17
48,2022,6,10,13,16,53,-12,17.08
49,2022,6,10,13,16,54,-11,17.17
50,2022,6,10,13,16,55,-10,17.08
51,2022,6,10,13,16,56,-9,17.17
52,2022,6,10,13,16,57,-8,17.17
53,2022,6,10,13,16,58,-7,17.00
54,2022,6,10,13,16,59,-6,17.17
55,2022,6,10,13,17,0,-5,17.08
56,2022,6,10,13,17,1,-4,17.08
57,2022,6,10,13,17,2,-3,17.17
58,2022,6,10,13,17,3,-2,17.17
59,2022,6,10,13,17,4,-1,17.08
60,2022,6,10,13,17,5,0,17.08
61,2022,6,10,13,17,6,1,17.00
62,2022,6,10,13,17,7,2,17.08
63,2022,6,10,13,17,8,3,17.08
64,2022,6,10,13,17,9,4,17.08
65,2022,6,10,13,17,11,5,17.08
66,2022,6,10,13,17,12,6,17.08
67,2022,6,10,13,17,13,7,17.08
68,2022,6,10,13,17,14,8,17.08
69,2022,6,10,13,17,15,9,17.08
70,2022,6,10,13,17,16,10,17.08
71,2022,6,10,13,17,17,11,17.08
72,2022,6,10,13,17,18,12,17.17
73,2022,6,10,13,17,19,13,17.08
74,2022,6,10,13,17,20,14,17.08
75,2022,6,10,13,17,21,15,17.08
76,2022,6,10,13,17,22,16,17.08
77,2022,6,10,13,17,23,17,17.08
78,2022,6,10,13,17,24,18,17.08
79,2022,6,10,13,17,25,19,17.08
80,2022,6,10,13,17,26,20,17.08
81,2022,6,10,13,17,27,21,17.17
82,2022,6,10,13,17,28,22,17.08
83,2022,6,10,13,17,29,23,17.17
84,2022,6,10,13,17,30,24,17.08
85,2022,6,10,13,17,31,25,17.08
86,2022,6,10,13,17,32,26,17.08
