VC:cf32204 BD:May 26 2016 SN:US4300161200001274
                     Time,      [CH4]_ppm,   [CH4]_ppm_sd,      [H2O]_ppm,   [H2O]_ppm_sd,      [CO2]_ppm,   [CO2]_ppm_sd,     [CH4]d_ppm,  [CH4]d_ppm_sd,     [CO2]d_ppm,  [CO2]d_ppm_sd,      GasP_torr,   GasP_torr_sd,         GasT_C,      GasT_C_sd,         AmbT_C,      AmbT_C_sd,         RD0_us,      RD0_us_sd,         RD1_us,      RD1_us_sd,       Fit_Flag,      MIU_VALVE,       MIU_DESC
  15/07/2020 16:28:02.799,   1.753482e+00,   0.000000e+00,   1.831615e+04,   0.000000e+00,   4.149657e+02,   0.000000e+00,   1.786198e+00,   0.000000e+00,   4.227081e+02,   0.000000e+00,   1.405019e+02,   0.000000e+00,   2.854397e+01,   0.000000e+00,   2.926515e+01,   0.000000e+00,   8.519043e+00,   0.000000e+00,   1.081398e+01,   0.000000e+00,              3,              0,       1 meters
  15/07/2020 16:28:03.776,   1.755553e+00,   0.000000e+00,   1.824241e+04,   0.000000e+00,   4.150325e+02,   0.000000e+00,   1.788174e+00,   0.000000e+00,   4.227444e+02,   0.000000e+00,   1.404434e+02,   0.000000e+00,   2.854384e+01,   0.000000e+00,   2.926566e+01,   0.000000e+00,   8.515505e+00,   0.000000e+00,   1.080433e+01,   0.000000e+00,              3,              0,       1 meters
  15/07/2020 16:28:04.753,   1.754847e+00,   0.000000e+00,   1.831266e+04,   0.000000e+00,   4.145915e+02,   0.000000e+00,   1.787582e+00,   0.000000e+00,   4.223254e+02,   0.000000e+00,   1.404377e+02,   0.000000e+00,   2.854402e+01,   0.000000e+00,   2.926425e+01,   0.000000e+00,   8.512206e+00,   0.000000e+00,   1.080322e+01,   0.000000e+00,              3,              0,       1 meters
  15/07/2020 16:28:05.771,   1.754857e+00,   0.000000e+00,   1.822037e+04,   0.000000e+00,   4.130895e+02,   0.000000e+00,   1.787425e+00,   0.000000e+00,   4.207559e+02,   0.000000e+00,   1.404794e+02,   0.000000e+00,   2.854313e+01,   0.000000e+00,   2.925912e+01,   0.000000e+00,   8.514627e+00,   0.000000e+00,   1.080545e+01,   0.000000e+00,              3,              0,       1 meters
  15/07/2020 16:28:06.708,   1.753818e+00,   0.000000e+00,   1.823953e+04,   0.000000e+00,   4.124624e+02,   0.000000e+00,   1.786401e+00,   0.000000e+00,   4.201253e+02,   0.000000e+00,   1.404924e+02,   0.000000e+00,   2.854322e+01,   0.000000e+00,   2.925786e+01,   0.000000e+00,   8.513905e+00,   0.000000e+00,   1.080466e+01,   0.000000e+00,              3,              0,       1 meters
  15/07/2020 16:28:07.748,   1.754559e+00,   0.000000e+00,   1.826095e+04,   0.000000e+00,   4.120160e+02,   0.000000e+00,   1.787194e+00,   0.000000e+00,   4.196798e+02,   0.000000e+00,   1.404498e+02,   0.000000e+00,   2.854170e+01,   0.000000e+00,   2.925521e+01,   0.000000e+00,   8.518080e+00,   0.000000e+00,   1.080593e+01,   0.000000e+00,              3,              0,       1 meters
  15/07/2020 16:28:08.667,   1.757435e+00,   0.000000e+00,   1.836066e+04,   0.000000e+00,   4.110441e+02,   0.000000e+00,   1.790306e+00,   0.000000e+00,   4.187323e+02,   0.000000e+00,   1.404255e+02,   0.000000e+00,   2.854230e+01,   0.000000e+00,   2.925139e+01,   0.000000e+00,   8.510463e+00,   0.000000e+00,   1.082080e+01,   0.000000e+00,              3,              0,       1 meters
  15/07/2020 16:28:09.644,   1.753999e+00,   0.000000e+00,   1.822997e+04,   0.000000e+00,   4.114346e+02,   0.000000e+00,   1.786568e+00,   0.000000e+00,   4.190743e+02,   0.000000e+00,   1.405024e+02,   0.000000e+00,   2.854337e+01,   0.000000e+00,   2.924878e+01,   0.000000e+00,   8.513616e+00,   0.000000e+00,   1.080838e+01,   0.000000e+00,              3,              0,       1 meters
  15/07/2020 16:28:10.620,   1.754611e+00,   0.000000e+00,   1.819197e+04,   0.000000e+00,   4.119119e+02,   0.000000e+00,   1.787122e+00,   0.000000e+00,   4.195442e+02,   0.000000e+00,   1.404533e+02,   0.000000e+00,   2.854122e+01,   0.000000e+00,   2.924888e+01,   0.000000e+00,   8.513033e+00,   0.000000e+00,   1.080552e+01,   0.000000e+00,              3,              0,       1 meters
  15/07/2020 16:28:11.597,   1.756783e+00,   0.000000e+00,   1.827329e+04,   0.000000e+00,   4.121912e+02,   0.000000e+00,   1.789483e+00,   0.000000e+00,   4.198635e+02,   0.000000e+00,   1.404101e+02,   0.000000e+00,   2.854143e+01,   0.000000e+00,   2.924782e+01,   0.000000e+00,   8.516211e+00,   0.000000e+00,   1.080623e+01,   0.000000e+00,              3,              0,       1 meters
