site,Months,V3
DRO,6,0.111571064622134
DRO,12,0.233499368971022
DRO,18,0.345373761080176
DRO,24,0.460146755362008
DRO,30,0.569359674392778
DRO,36,0.692887878220248
DRO,42,0.837436330168688
DRO,48,0.972513148073181
MLRF,6,0.0648352046440055
MLRF,12,0.143375267653736
MLRF,18,0.209282974913313
MLRF,24,0.274110273523361
MLRF,30,0.339294083780018
MLRF,36,0.407987528197995
MLRF,42,0.4756278834501
MLRF,48,0.543707692931363
MLES,6,0.0704648793923153
MLES,12,0.149402330805852
MLES,18,0.21972799671003
MLES,24,0.292099087166617
MLES,30,0.362628539044723
MLES,36,0.437030273362284
MLES,42,0.510247206348188
MLES,48,0.585539198877786
STCK,6,0.0356762815836632
STCK,12,0.0729034539459146
STCK,18,0.108458529222083
STCK,24,0.144158269056825
STCK,30,0.179665439192563
STCK,36,0.215584084463664
STCK,42,0.251277404965743
STCK,48,0.287130124815537
PNW,6,0.0254455125150953
PNW,12,0.0511684313881419
PNW,18,0.0766367250696988
PNW,24,0.102326721988226
PNW,30,0.128033433657546
PNW,36,0.153616407438489
PNW,42,0.178926068722141
PNW,48,0.204188276451628
