"site,Months,V3"
"DRO,6,0.0889030948755014"
"DRO,12,0.186182367869012"
"DRO,18,0.275352340213978"
"DRO,24,0.36677290184516"
"DRO,30,0.453538660748219"
"DRO,36,0.554719659739284"
"DRO,42,0.663182469966549"
"DRO,48,0.762480129727551"
"MLRF,6,0.0516367416611647"
"MLRF,12,0.113946426310809"
"MLRF,18,0.166326260801111"
"MLRF,24,0.217949986723486"
"MLRF,30,0.269622269233803"
"MLRF,36,0.324009620119394"
"MLRF,42,0.377616703218978"
"MLRF,48,0.431675498065765"
"MLES,6,0.0562389974926088"
"MLES,12,0.119113669719514"
"MLES,18,0.175188806463932"
"MLES,24,0.232962507076571"
"MLES,30,0.289048038181425"
"MLES,36,0.348042413486298"
"MLES,42,0.40629954519019"
"MLES,48,0.466122418985725"
"STCK,6,0.028594531293028"
"STCK,12,0.058446256672354"
"STCK,18,0.0869930959797702"
"STCK,24,0.115665116763214"
"STCK,30,0.144092367876068"
"STCK,36,0.172811214450177"
"STCK,42,0.201364522461449"
"STCK,48,0.230024918589401"
"PNW,6,0.0202858185236772"
"PNW,12,0.0408200507535473"
"PNW,18,0.0610864262327519"
"PNW,24,0.081559818004906"
"PNW,30,0.102032013873129"
"PNW,36,0.122447600342379"
"PNW,42,0.142658536776286"
"PNW,48,0.162820015695478"
