Log Values
Reading , Values
06/09/2018 23:59:01,18.611°C
07/09/2018 00:19:01,19.362°C
07/09/2018 00:39:01,18.987°C
07/09/2018 00:59:01,18.549°C
07/09/2018 01:19:01,18.423°C
07/09/2018 01:39:01,18.987°C
07/09/2018 01:59:01,18.924°C
07/09/2018 02:19:01,18.173°C
07/09/2018 02:39:01,17.421°C
07/09/2018 02:59:01,17.985°C
07/09/2018 03:19:01,17.922°C
07/09/2018 03:39:01,17.735°C
07/09/2018 03:59:01,17.234°C
07/09/2018 04:19:01,16.983°C
07/09/2018 04:39:01,16.169°C
07/09/2018 04:59:01,15.981°C
07/09/2018 05:19:01,16.419°C
07/09/2018 05:39:01,16.858°C
07/09/2018 05:59:01,17.296°C
07/09/2018 06:19:01,17.046°C
07/09/2018 06:39:01,15.981°C
07/09/2018 06:59:01,16.733°C
07/09/2018 07:19:01,17.672°C
07/09/2018 07:39:01,21.803°C
07/09/2018 07:59:01,23.429°C
07/09/2018 08:19:01,28.179°C
07/09/2018 08:39:01,29.116°C
07/09/2018 08:59:01,31.114°C
07/09/2018 09:19:01,31.988°C
07/09/2018 09:39:01,32.3°C
07/09/2018 09:59:01,33.423°C
07/09/2018 10:19:01,34.733°C
07/09/2018 10:39:01,34.671°C
07/09/2018 10:59:01,34.546°C
07/09/2018 11:19:01,34.671°C
07/09/2018 11:39:01,36.043°C
07/09/2018 11:59:01,34.92°C
07/09/2018 12:19:01,35.918°C
07/09/2018 12:39:01,36.479°C
07/09/2018 12:59:01,36.542°C
07/09/2018 13:19:01,36.916°C
07/09/2018 13:39:01,37.227°C
07/09/2018 13:59:01,35.419°C
07/09/2018 14:19:01,37.788°C
07/09/2018 14:39:01,35.918°C
07/09/2018 14:59:01,35.357°C
07/09/2018 15:19:01,33.797°C
07/09/2018 15:39:01,33.486°C
07/09/2018 15:59:01,34.484°C
07/09/2018 16:19:01,34.421°C
07/09/2018 16:39:01,33.985°C
07/09/2018 16:59:01,32.674°C
07/09/2018 17:19:01,31.176°C
07/09/2018 17:39:01,28.804°C
07/09/2018 17:59:01,27.18°C
07/09/2018 18:19:01,25.867°C
07/09/2018 18:39:01,24.742°C
07/09/2018 18:59:01,24.179°C
07/09/2018 19:19:01,23.554°C
07/09/2018 19:39:01,22.616°C
07/09/2018 19:59:01,21.49°C
07/09/2018 20:19:01,20.989°C
07/09/2018 20:39:01,19.988°C
07/09/2018 20:59:01,19.863°C
07/09/2018 21:19:01,19.049°C
07/09/2018 21:39:01,18.736°C
07/09/2018 21:59:01,18.361°C
07/09/2018 22:19:01,19.049°C
07/09/2018 22:39:01,18.048°C
07/09/2018 22:59:01,17.484°C
07/09/2018 23:19:01,16.858°C
07/09/2018 23:39:01,16.733°C
07/09/2018 23:59:01,16.294°C
08/09/2018 00:19:01,15.48°C
08/09/2018 00:39:01,15.292°C
08/09/2018 00:59:01,14.853°C
08/09/2018 01:19:01,14.728°C
08/09/2018 01:39:01,16.106°C
08/09/2018 01:59:01,15.605°C
08/09/2018 02:19:01,15.104°C
08/09/2018 02:39:01,14.54°C
08/09/2018 02:59:01,14.415°C
08/09/2018 03:19:01,14.227°C
08/09/2018 03:39:01,14.039°C
08/09/2018 03:59:01,14.164°C
08/09/2018 04:19:01,15.167°C
08/09/2018 04:39:01,15.668°C
08/09/2018 04:59:01,15.73°C
08/09/2018 05:19:01,15.104°C
08/09/2018 05:39:01,14.791°C
08/09/2018 05:59:01,14.665°C
08/09/2018 06:19:01,14.54°C
08/09/2018 06:39:01,14.853°C
08/09/2018 06:59:01,15.793°C
08/09/2018 07:19:01,16.858°C
08/09/2018 07:39:01,20.989°C
08/09/2018 07:59:01,23.179°C
08/09/2018 08:19:01,27.867°C
08/09/2018 08:39:01,29.678°C
08/09/2018 08:59:01,30.427°C
08/09/2018 09:19:01,31.988°C
08/09/2018 09:39:01,32.55°C
08/09/2018 09:59:01,32.674°C
08/09/2018 10:19:01,33.735°C
08/09/2018 10:39:01,34.546°C
08/09/2018 10:59:01,35.107°C
08/09/2018 11:19:01,35.606°C
08/09/2018 11:39:01,37.227°C
08/09/2018 11:59:01,38.412°C
08/09/2018 12:19:01,38.1°C
08/09/2018 12:39:01,38.786°C
08/09/2018 12:59:01,38.972°C
08/09/2018 13:19:01,38.536°C
08/09/2018 13:39:01,39.035°C
08/09/2018 13:59:01,38.162°C
08/09/2018 14:19:01,38.786°C
08/09/2018 14:39:01,38.474°C
08/09/2018 14:59:01,37.227°C
08/09/2018 15:19:01,35.669°C
08/09/2018 15:39:01,35.669°C
08/09/2018 15:59:01,36.168°C
08/09/2018 16:19:01,36.542°C
08/09/2018 16:39:01,36.729°C
08/09/2018 16:59:01,35.419°C
08/09/2018 17:19:01,33.236°C
08/09/2018 17:39:01,30.864°C
08/09/2018 17:59:01,28.929°C
08/09/2018 18:19:01,27.304°C
08/09/2018 18:39:01,26.055°C
08/09/2018 18:59:01,25.18°C
08/09/2018 19:19:01,24.242°C
08/09/2018 19:39:01,23.679°C
08/09/2018 19:59:01,23.179°C
08/09/2018 20:19:01,22.929°C
08/09/2018 20:39:01,22.366°C
08/09/2018 20:59:01,22.491°C
08/09/2018 21:19:01,22.303°C
08/09/2018 21:39:01,20.864°C
08/09/2018 21:59:01,20.113°C
08/09/2018 22:19:01,19.362°C
08/09/2018 22:39:01,18.549°C
08/09/2018 22:59:01,17.86°C
08/09/2018 23:19:01,17.359°C
08/09/2018 23:39:01,17.609°C
08/09/2018 23:59:01,17.735°C
09/09/2018 00:19:01,17.359°C
09/09/2018 00:39:01,16.858°C
09/09/2018 00:59:01,16.482°C
09/09/2018 01:19:01,16.106°C
09/09/2018 01:39:01,15.542°C
09/09/2018 01:59:01,15.354°C
09/09/2018 02:19:01,15.292°C
09/09/2018 02:39:01,15.73°C
09/09/2018 02:59:01,15.668°C
09/09/2018 03:19:01,15.918°C
09/09/2018 03:39:01,15.605°C
09/09/2018 03:59:01,14.791°C
09/09/2018 04:19:01,14.728°C
09/09/2018 04:39:01,14.728°C
09/09/2018 04:59:01,14.289°C
09/09/2018 05:19:01,14.352°C
09/09/2018 05:39:01,15.354°C
09/09/2018 05:59:01,15.605°C
09/09/2018 06:19:01,16.044°C
09/09/2018 06:39:01,15.73°C
09/09/2018 06:59:01,17.046°C
09/09/2018 07:19:01,18.11°C
09/09/2018 07:39:01,21.115°C
09/09/2018 07:59:01,23.116°C
09/09/2018 08:19:01,27.242°C
09/09/2018 08:39:01,29.054°C
09/09/2018 08:59:01,30.365°C
09/09/2018 09:19:01,31.364°C
09/09/2018 09:39:01,33.423°C
09/09/2018 09:59:01,34.297°C
09/09/2018 10:19:01,35.107°C
09/09/2018 10:39:01,36.479°C
09/09/2018 10:59:01,35.918°C
09/09/2018 11:19:01,36.978°C
09/09/2018 11:39:01,38.162°C
09/09/2018 11:59:01,38.786°C
09/09/2018 12:19:01,38.412°C
09/09/2018 12:39:01,39.284°C
09/09/2018 12:59:01,40.156°C
09/09/2018 13:19:01,40.904°C
09/09/2018 13:39:01,39.471°C
09/09/2018 13:59:01,40.779°C
09/09/2018 14:19:01,40.156°C
09/09/2018 14:39:01,40.779°C
09/09/2018 14:59:01,37.601°C
09/09/2018 15:19:01,36.729°C
09/09/2018 15:39:01,36.479°C
09/09/2018 15:59:01,36.355°C
09/09/2018 16:19:01,37.165°C
09/09/2018 16:39:01,36.043°C
09/09/2018 16:59:01,34.608°C
09/09/2018 17:19:01,33.423°C
09/09/2018 17:39:01,30.365°C
09/09/2018 17:59:01,28.054°C
09/09/2018 18:19:01,26.492°C
09/09/2018 18:39:01,25.43°C
09/09/2018 18:59:01,24.492°C
09/09/2018 19:19:01,23.867°C
09/09/2018 19:39:01,23.429°C
09/09/2018 19:59:01,22.866°C
09/09/2018 20:19:01,21.99°C
09/09/2018 20:39:01,22.491°C
09/09/2018 20:59:01,20.802°C
09/09/2018 21:19:01,19.425°C
09/09/2018 21:39:01,18.799°C
09/09/2018 21:59:01,18.361°C
09/09/2018 22:19:01,17.797°C
09/09/2018 22:39:01,17.484°C
09/09/2018 22:59:01,18.11°C
09/09/2018 23:19:01,18.423°C
09/09/2018 23:39:01,18.361°C
09/09/2018 23:59:01,18.799°C
10/09/2018 00:19:01,18.173°C
10/09/2018 00:39:01,17.108°C
10/09/2018 00:59:01,17.735°C
10/09/2018 01:19:01,17.359°C
10/09/2018 01:39:01,16.482°C
10/09/2018 01:59:01,15.542°C
10/09/2018 02:19:01,15.041°C
10/09/2018 02:39:01,14.603°C
10/09/2018 02:59:01,14.164°C
10/09/2018 03:19:01,14.227°C
10/09/2018 03:39:01,14.164°C
10/09/2018 03:59:01,13.976°C
10/09/2018 04:19:01,14.352°C
10/09/2018 04:39:01,16.67°C
10/09/2018 04:59:01,19.112°C
10/09/2018 05:19:01,19.112°C
10/09/2018 05:39:01,19.237°C
10/09/2018 05:59:01,19.425°C
10/09/2018 06:19:01,19.738°C
10/09/2018 06:39:01,19.55°C
10/09/2018 06:59:01,20.864°C
10/09/2018 07:19:01,21.365°C
10/09/2018 07:39:01,24.492°C
10/09/2018 07:59:01,25.555°C
10/09/2018 08:19:01,28.242°C
10/09/2018 08:39:01,28.741°C
10/09/2018 08:59:01,30.24°C
10/09/2018 09:19:01,31.114°C
10/09/2018 09:39:01,31.988°C
10/09/2018 09:59:01,32.113°C
10/09/2018 10:19:01,31.925°C
10/09/2018 10:39:01,33.548°C
10/09/2018 10:59:01,34.047°C
10/09/2018 11:19:01,35.731°C
10/09/2018 11:39:01,35.045°C
10/09/2018 11:59:01,35.482°C
10/09/2018 12:19:01,35.793°C
10/09/2018 12:39:01,36.542°C
10/09/2018 12:59:01,36.168°C
10/09/2018 13:19:01,37.04°C
10/09/2018 13:39:01,36.666°C
10/09/2018 13:59:01,36.729°C
10/09/2018 14:19:01,37.227°C
10/09/2018 14:39:01,35.856°C
10/09/2018 14:59:01,33.922°C
10/09/2018 15:19:01,33.174°C
10/09/2018 15:39:01,32.612°C
10/09/2018 15:59:01,32.425°C
10/09/2018 16:19:01,31.676°C
10/09/2018 16:39:01,30.178°C
10/09/2018 16:59:01,28.804°C
10/09/2018 17:19:01,27.742°C
10/09/2018 17:39:01,25.93°C
10/09/2018 17:59:01,24.304°C
10/09/2018 18:19:01,23.241°C
10/09/2018 18:39:01,22.491°C
10/09/2018 18:59:01,22.303°C
10/09/2018 19:19:01,22.053°C
10/09/2018 19:39:01,21.678°C
10/09/2018 19:59:01,21.49°C
10/09/2018 20:19:01,21.115°C
10/09/2018 20:39:01,21.052°C
10/09/2018 20:59:01,20.677°C
10/09/2018 21:19:01,20.551°C
10/09/2018 21:39:01,20.489°C
10/09/2018 21:59:01,20.364°C
10/09/2018 22:19:01,20.239°C
10/09/2018 22:39:01,20.239°C
10/09/2018 22:59:01,20.239°C
10/09/2018 23:19:01,19.863°C
10/09/2018 23:39:01,19.863°C
10/09/2018 23:59:01,19.8°C
11/09/2018 00:19:01,19.926°C
11/09/2018 00:39:01,19.8°C
11/09/2018 00:59:01,19.55°C
11/09/2018 01:19:01,19.362°C
11/09/2018 01:39:01,19.487°C
11/09/2018 01:59:01,19.55°C
11/09/2018 02:19:01,18.987°C
11/09/2018 02:39:01,18.924°C
11/09/2018 02:59:01,19.3°C
11/09/2018 03:19:01,19.112°C
11/09/2018 03:39:01,19.175°C
11/09/2018 03:59:01,18.862°C
11/09/2018 04:19:01,18.924°C
11/09/2018 04:39:01,18.799°C
11/09/2018 04:59:01,18.799°C
11/09/2018 05:19:01,18.674°C
11/09/2018 05:39:01,18.611°C
11/09/2018 05:59:01,18.924°C
11/09/2018 06:19:01,18.736°C
11/09/2018 06:39:01,18.799°C
11/09/2018 06:59:01,19.988°C
11/09/2018 07:19:01,20.551°C
11/09/2018 07:39:01,23.742°C
11/09/2018 07:59:01,25.117°C
11/09/2018 08:19:01,26.742°C
11/09/2018 08:39:01,28.491°C
11/09/2018 08:59:01,29.116°C
11/09/2018 09:19:01,30.053°C
11/09/2018 09:39:01,30.677°C
11/09/2018 09:59:01,31.489°C
11/09/2018 10:19:01,32.238°C
11/09/2018 10:39:01,32.487°C
11/09/2018 10:59:01,33.361°C
11/09/2018 11:19:01,33.174°C
11/09/2018 11:39:01,34.671°C
11/09/2018 11:59:01,34.92°C
11/09/2018 12:19:01,35.606°C
11/09/2018 12:39:01,36.604°C
11/09/2018 12:59:01,36.043°C
11/09/2018 13:19:01,35.357°C
11/09/2018 13:39:01,37.352°C
11/09/2018 13:59:01,34.92°C
11/09/2018 14:19:01,35.731°C
11/09/2018 14:39:01,33.111°C
11/09/2018 14:59:01,30.739°C
11/09/2018 15:19:01,31.301°C
11/09/2018 15:39:01,30.927°C
11/09/2018 15:59:01,29.241°C
11/09/2018 16:19:01,30.864°C
11/09/2018 16:39:01,30.053°C
11/09/2018 16:59:01,28.491°C
11/09/2018 17:19:01,27.18°C
11/09/2018 17:39:01,24.93°C
11/09/2018 17:59:01,23.617°C
11/09/2018 18:19:01,22.491°C
11/09/2018 18:39:01,21.865°C
11/09/2018 18:59:01,21.49°C
11/09/2018 19:19:01,21.115°C
11/09/2018 19:39:01,20.802°C
11/09/2018 19:59:01,20.551°C
11/09/2018 20:19:01,20.426°C
11/09/2018 20:39:01,20.239°C
11/09/2018 20:59:01,20.051°C
11/09/2018 21:19:01,20.051°C
11/09/2018 21:39:01,19.863°C
11/09/2018 21:59:01,19.8°C
11/09/2018 22:19:01,19.8°C
11/09/2018 22:39:01,19.613°C
11/09/2018 22:59:01,19.613°C
11/09/2018 23:19:01,19.675°C
11/09/2018 23:39:01,19.237°C
11/09/2018 23:59:01,18.924°C
12/09/2018 00:19:01,18.736°C
12/09/2018 00:39:01,18.799°C
12/09/2018 00:59:01,18.611°C
12/09/2018 01:19:01,18.799°C
12/09/2018 01:39:01,18.924°C
12/09/2018 01:59:01,18.674°C
12/09/2018 02:19:01,18.674°C
12/09/2018 02:39:01,18.048°C
12/09/2018 02:59:01,18.173°C
12/09/2018 03:19:01,18.423°C
12/09/2018 03:39:01,18.173°C
12/09/2018 03:59:01,18.361°C
12/09/2018 04:19:01,18.298°C
12/09/2018 04:39:01,18.486°C
12/09/2018 04:59:01,18.486°C
12/09/2018 05:19:01,18.235°C
12/09/2018 05:39:01,18.298°C
12/09/2018 05:59:01,18.298°C
12/09/2018 06:19:01,17.922°C
12/09/2018 06:39:01,17.484°C
12/09/2018 06:59:01,18.611°C
12/09/2018 07:19:01,19.988°C
12/09/2018 07:39:01,23.804°C
12/09/2018 07:59:01,25.68°C
12/09/2018 08:19:01,27.367°C
12/09/2018 08:39:01,29.054°C
12/09/2018 08:59:01,30.552°C
12/09/2018 09:19:01,30.989°C
12/09/2018 09:39:01,31.988°C
12/09/2018 09:59:01,32.113°C
12/09/2018 10:19:01,32.674°C
12/09/2018 10:39:01,33.922°C
12/09/2018 10:59:01,33.922°C
