Log Values
Reading , Values
06/09/2018 23:59:01,18.886°C
07/09/2018 00:19:01,19.512°C
07/09/2018 00:39:01,19.45°C
07/09/2018 00:59:01,19.199°C
07/09/2018 01:19:01,19.074°C
07/09/2018 01:39:01,19.387°C
07/09/2018 01:59:01,19.45°C
07/09/2018 02:19:01,18.636°C
07/09/2018 02:39:01,17.697°C
07/09/2018 02:59:01,17.885°C
07/09/2018 03:19:01,17.948°C
07/09/2018 03:39:01,17.572°C
07/09/2018 03:59:01,17.572°C
07/09/2018 04:19:01,17.322°C
07/09/2018 04:39:01,17.009°C
07/09/2018 04:59:01,16.508°C
07/09/2018 05:19:01,17.009°C
07/09/2018 05:39:01,17.384°C
07/09/2018 05:59:01,17.822°C
07/09/2018 06:19:01,17.509°C
07/09/2018 06:39:01,16.383°C
07/09/2018 06:59:01,16.758°C
07/09/2018 07:19:01,20.2°C
07/09/2018 07:39:01,23.265°C
07/09/2018 07:59:01,26.141°C
07/09/2018 08:19:01,27.39°C
07/09/2018 08:39:01,26.328°C
07/09/2018 08:59:01,29.577°C
07/09/2018 09:19:01,31.075°C
07/09/2018 09:39:01,32.012°C
07/09/2018 09:59:01,32.886°C
07/09/2018 10:19:01,33.759°C
07/09/2018 10:39:01,34.446°C
07/09/2018 10:59:01,34.695°C
07/09/2018 11:19:01,34.321°C
07/09/2018 11:39:01,36.192°C
07/09/2018 11:59:01,35.444°C
07/09/2018 12:19:01,35.319°C
07/09/2018 12:39:01,36.192°C
07/09/2018 12:59:01,36.068°C
07/09/2018 13:19:01,36.504°C
07/09/2018 13:39:01,37.315°C
07/09/2018 13:59:01,35.444°C
07/09/2018 14:19:01,37.752°C
07/09/2018 14:39:01,35.818°C
07/09/2018 14:59:01,36.192°C
07/09/2018 15:19:01,35.319°C
07/09/2018 15:39:01,32.761°C
07/09/2018 15:59:01,32.386°C
07/09/2018 16:19:01,32.261°C
07/09/2018 16:39:01,31.7°C
07/09/2018 16:59:01,31.887°C
07/09/2018 17:19:01,31.2°C
07/09/2018 17:39:01,30.264°C
07/09/2018 17:59:01,27.765°C
07/09/2018 18:19:01,26.203°C
07/09/2018 18:39:01,25.266°C
07/09/2018 18:59:01,24.641°C
07/09/2018 19:19:01,24.015°C
07/09/2018 19:39:01,23.078°C
07/09/2018 19:59:01,22.14°C
07/09/2018 20:19:01,21.952°C
07/09/2018 20:39:01,20.701°C
07/09/2018 20:59:01,20.075°C
07/09/2018 21:19:01,19.45°C
07/09/2018 21:39:01,19.45°C
07/09/2018 21:59:01,19.324°C
07/09/2018 22:19:01,19.575°C
07/09/2018 22:39:01,19.012°C
07/09/2018 22:59:01,18.573°C
07/09/2018 23:19:01,17.697°C
07/09/2018 23:39:01,17.509°C
07/09/2018 23:59:01,17.009°C
08/09/2018 00:19:01,16.32°C
08/09/2018 00:39:01,16.007°C
08/09/2018 00:59:01,15.756°C
08/09/2018 01:19:01,15.506°C
08/09/2018 01:39:01,16.946°C
08/09/2018 01:59:01,16.132°C
08/09/2018 02:19:01,15.506°C
08/09/2018 02:39:01,15.13°C
08/09/2018 02:59:01,14.942°C
08/09/2018 03:19:01,14.754°C
08/09/2018 03:39:01,14.629°C
08/09/2018 03:59:01,15.13°C
08/09/2018 04:19:01,16.07°C
08/09/2018 04:39:01,16.132°C
08/09/2018 04:59:01,15.882°C
08/09/2018 05:19:01,15.569°C
08/09/2018 05:39:01,15.193°C
08/09/2018 05:59:01,15.13°C
08/09/2018 06:19:01,14.942°C
08/09/2018 06:39:01,15.256°C
08/09/2018 06:59:01,16.257°C
08/09/2018 07:19:01,19.637°C
08/09/2018 07:39:01,22.327°C
08/09/2018 07:59:01,25.828°C
08/09/2018 08:19:01,27.14°C
08/09/2018 08:39:01,26.703°C
08/09/2018 08:59:01,28.64°C
08/09/2018 09:19:01,31.138°C
08/09/2018 09:39:01,32.074°C
08/09/2018 09:59:01,32.574°C
08/09/2018 10:19:01,33.759°C
08/09/2018 10:39:01,35.444°C
08/09/2018 10:59:01,35.631°C
08/09/2018 11:19:01,35.693°C
08/09/2018 11:39:01,36.816°C
08/09/2018 11:59:01,37.253°C
08/09/2018 12:19:01,37.814°C
08/09/2018 12:39:01,38.437°C
08/09/2018 12:59:01,38.936°C
08/09/2018 13:19:01,38.375°C
08/09/2018 13:39:01,38.874°C
08/09/2018 13:59:01,38.5°C
08/09/2018 14:19:01,38.936°C
08/09/2018 14:39:01,38.811°C
08/09/2018 14:59:01,38.998°C
08/09/2018 15:19:01,37.939°C
08/09/2018 15:39:01,35.132°C
08/09/2018 15:59:01,34.258°C
08/09/2018 16:19:01,34.57°C
08/09/2018 16:39:01,34.633°C
08/09/2018 16:59:01,34.258°C
08/09/2018 17:19:01,33.198°C
08/09/2018 17:39:01,31.762°C
08/09/2018 17:59:01,29.452°C
08/09/2018 18:19:01,27.765°C
08/09/2018 18:39:01,26.578°C
08/09/2018 18:59:01,25.578°C
08/09/2018 19:19:01,24.766°C
08/09/2018 19:39:01,24.328°C
08/09/2018 19:59:01,23.765°C
08/09/2018 20:19:01,23.515°C
08/09/2018 20:39:01,22.952°C
08/09/2018 20:59:01,22.89°C
08/09/2018 21:19:01,22.827°C
08/09/2018 21:39:01,21.577°C
08/09/2018 21:59:01,20.701°C
08/09/2018 22:19:01,20.013°C
08/09/2018 22:39:01,19.324°C
08/09/2018 22:59:01,18.573°C
08/09/2018 23:19:01,18.323°C
08/09/2018 23:39:01,18.573°C
08/09/2018 23:59:01,18.573°C
09/09/2018 00:19:01,17.885°C
09/09/2018 00:39:01,17.384°C
09/09/2018 00:59:01,16.946°C
09/09/2018 01:19:01,16.445°C
09/09/2018 01:39:01,16.07°C
09/09/2018 01:59:01,15.819°C
09/09/2018 02:19:01,15.819°C
09/09/2018 02:39:01,16.195°C
