Log Values
Reading , Values
06/09/2018 23:59:01,15.44°C
07/09/2018 00:19:01,15.44°C
07/09/2018 00:39:01,15.44°C
07/09/2018 00:59:01,15.44°C
07/09/2018 01:19:01,15.44°C
07/09/2018 01:39:01,15.315°C
07/09/2018 01:59:01,15.315°C
07/09/2018 02:19:01,15.315°C
07/09/2018 02:39:01,15.315°C
07/09/2018 02:59:01,15.315°C
07/09/2018 03:19:01,15.315°C
07/09/2018 03:39:01,15.315°C
07/09/2018 03:59:01,15.064°C
07/09/2018 04:19:01,14.938°C
07/09/2018 04:39:01,15.001°C
07/09/2018 04:59:01,14.938°C
07/09/2018 05:19:01,14.938°C
07/09/2018 05:39:01,15.064°C
07/09/2018 05:59:01,15.064°C
07/09/2018 06:19:01,15.001°C
07/09/2018 06:39:01,14.938°C
07/09/2018 06:59:01,14.938°C
07/09/2018 07:19:01,15.064°C
07/09/2018 07:39:01,15.189°C
07/09/2018 07:59:01,15.377°C
07/09/2018 08:19:01,15.565°C
07/09/2018 08:39:01,15.754°C
07/09/2018 08:59:01,16.318°C
07/09/2018 09:19:01,16.506°C
07/09/2018 09:39:01,16.569°C
07/09/2018 09:59:01,16.757°C
07/09/2018 10:19:01,17.195°C
07/09/2018 10:39:01,17.07°C
07/09/2018 10:59:01,16.757°C
07/09/2018 11:19:01,16.694°C
07/09/2018 11:39:01,16.945°C
07/09/2018 11:59:01,17.133°C
07/09/2018 12:19:01,17.634°C
07/09/2018 12:39:01,18.01°C
07/09/2018 12:59:01,18.135°C
07/09/2018 13:19:01,18.386°C
07/09/2018 13:39:01,18.95°C
07/09/2018 13:59:01,19.2°C
07/09/2018 14:19:01,19.2°C
07/09/2018 14:39:01,19.263°C
07/09/2018 14:59:01,19.2°C
07/09/2018 15:19:01,19.2°C
07/09/2018 15:39:01,19.263°C
07/09/2018 15:59:01,19.075°C
07/09/2018 16:19:01,18.95°C
07/09/2018 16:39:01,18.699°C
07/09/2018 16:59:01,18.386°C
07/09/2018 17:19:01,18.01°C
07/09/2018 17:39:01,17.759°C
07/09/2018 17:59:01,17.321°C
07/09/2018 18:19:01,16.882°C
07/09/2018 18:39:01,16.443°C
07/09/2018 18:59:01,16.255°C
07/09/2018 19:19:01,15.942°C
07/09/2018 19:39:01,15.754°C
07/09/2018 19:59:01,15.44°C
07/09/2018 20:19:01,15.252°C
07/09/2018 20:39:01,15.064°C
07/09/2018 20:59:01,15.064°C
07/09/2018 21:19:01,15.064°C
07/09/2018 21:39:01,15.315°C
07/09/2018 21:59:01,15.44°C
07/09/2018 22:19:01,15.44°C
07/09/2018 22:39:01,15.44°C
07/09/2018 22:59:01,15.503°C
07/09/2018 23:19:01,15.565°C
07/09/2018 23:39:01,15.565°C
07/09/2018 23:59:01,15.565°C
08/09/2018 00:19:01,15.503°C
08/09/2018 00:39:01,15.503°C
08/09/2018 00:59:01,15.377°C
08/09/2018 01:19:01,15.377°C
08/09/2018 01:39:01,15.315°C
08/09/2018 01:59:01,15.252°C
08/09/2018 02:19:01,15.127°C
08/09/2018 02:39:01,15.001°C
08/09/2018 02:59:01,15.001°C
08/09/2018 03:19:01,14.938°C
08/09/2018 03:39:01,14.813°C
08/09/2018 03:59:01,14.562°C
08/09/2018 04:19:01,14.374°C
08/09/2018 04:39:01,14.499°C
08/09/2018 04:59:01,14.562°C
08/09/2018 05:19:01,14.625°C
08/09/2018 05:39:01,14.625°C
08/09/2018 05:59:01,14.688°C
08/09/2018 06:19:01,14.75°C
08/09/2018 06:39:01,14.813°C
08/09/2018 06:59:01,14.938°C
08/09/2018 07:19:01,15.127°C
08/09/2018 07:39:01,15.189°C
08/09/2018 07:59:01,15.44°C
08/09/2018 08:19:01,15.691°C
08/09/2018 08:39:01,15.879°C
08/09/2018 08:59:01,16.192°C
08/09/2018 09:19:01,16.381°C
08/09/2018 09:39:01,16.757°C
