Log Values
Reading , Values
06/09/2018 23:59:01,21.003°C
07/09/2018 00:19:01,20.753°C
07/09/2018 00:39:01,20.816°C
07/09/2018 00:59:01,20.941°C
07/09/2018 01:19:01,21.003°C
07/09/2018 01:39:01,21.003°C
07/09/2018 01:59:01,21.003°C
07/09/2018 02:19:01,21.003°C
07/09/2018 02:39:01,20.941°C
07/09/2018 02:59:01,20.816°C
07/09/2018 03:19:01,20.69°C
07/09/2018 03:39:01,20.816°C
07/09/2018 03:59:01,21.066°C
07/09/2018 04:19:01,21.379°C
07/09/2018 04:39:01,21.128°C
07/09/2018 04:59:01,20.69°C
07/09/2018 05:19:01,20.503°C
07/09/2018 05:39:01,20.44°C
07/09/2018 05:59:01,20.44°C
07/09/2018 06:19:01,20.378°C
07/09/2018 06:39:01,20.44°C
07/09/2018 06:59:01,20.565°C
07/09/2018 07:19:01,20.816°C
07/09/2018 07:39:01,21.191°C
07/09/2018 07:59:01,21.629°C
07/09/2018 08:19:01,22.317°C
07/09/2018 08:39:01,22.692°C
07/09/2018 08:59:01,23.005°C
07/09/2018 09:19:01,23.255°C
07/09/2018 09:39:01,23.505°C
07/09/2018 09:59:01,22.63°C
07/09/2018 10:19:01,22.317°C
07/09/2018 10:39:01,22.38°C
07/09/2018 10:59:01,22.63°C
07/09/2018 11:19:01,23.193°C
07/09/2018 11:39:01,23.88°C
07/09/2018 11:59:01,24.318°C
07/09/2018 12:19:01,24.693°C
07/09/2018 12:39:01,24.756°C
07/09/2018 12:59:01,25.193°C
07/09/2018 13:19:01,25.131°C
07/09/2018 13:39:01,24.943°C
07/09/2018 13:59:01,25.131°C
07/09/2018 14:19:01,26.506°C
07/09/2018 14:39:01,25.756°C
07/09/2018 14:59:01,24.943°C
07/09/2018 15:19:01,24.568°C
07/09/2018 15:39:01,24.318°C
07/09/2018 15:59:01,24.131°C
07/09/2018 16:19:01,24.006°C
07/09/2018 16:39:01,23.693°C
07/09/2018 16:59:01,23.38°C
07/09/2018 17:19:01,22.88°C
07/09/2018 17:39:01,22.254°C
07/09/2018 17:59:01,21.754°C
07/09/2018 18:19:01,21.191°C
07/09/2018 18:39:01,20.753°C
07/09/2018 18:59:01,20.315°C
07/09/2018 19:19:01,20.127°C
07/09/2018 19:39:01,20.065°C
07/09/2018 19:59:01,20.19°C
07/09/2018 20:19:01,20.378°C
07/09/2018 20:39:01,20.628°C
07/09/2018 20:59:01,20.753°C
07/09/2018 21:19:01,20.941°C
07/09/2018 21:39:01,21.003°C
07/09/2018 21:59:01,21.066°C
07/09/2018 22:19:01,21.254°C
07/09/2018 22:39:01,21.817°C
07/09/2018 22:59:01,21.879°C
07/09/2018 23:19:01,21.879°C
07/09/2018 23:39:01,21.879°C
07/09/2018 23:59:01,22.067°C
08/09/2018 00:19:01,21.942°C
08/09/2018 00:39:01,21.754°C
08/09/2018 00:59:01,21.504°C
08/09/2018 01:19:01,21.316°C
08/09/2018 01:39:01,21.316°C
08/09/2018 01:59:01,21.504°C
08/09/2018 02:19:01,21.566°C
08/09/2018 02:39:01,21.441°C
08/09/2018 02:59:01,21.504°C
08/09/2018 03:19:01,21.504°C
08/09/2018 03:39:01,21.254°C
08/09/2018 03:59:01,21.316°C
08/09/2018 04:19:01,21.379°C
08/09/2018 04:39:01,21.504°C
08/09/2018 04:59:01,21.692°C
08/09/2018 05:19:01,21.629°C
08/09/2018 05:39:01,21.754°C
08/09/2018 05:59:01,21.817°C
08/09/2018 06:19:01,21.754°C
08/09/2018 06:39:01,21.817°C
08/09/2018 06:59:01,21.879°C
08/09/2018 07:19:01,22.004°C
08/09/2018 07:39:01,22.192°C
08/09/2018 07:59:01,22.442°C
08/09/2018 08:19:01,22.63°C
08/09/2018 08:39:01,22.88°C
08/09/2018 08:59:01,23.318°C
08/09/2018 09:19:01,23.755°C
08/09/2018 09:39:01,24.068°C
08/09/2018 09:59:01,24.381°C
08/09/2018 10:19:01,24.693°C
