Log Values
Reading , Values
16/10/2018 17:39:01,26.316°C
16/10/2018 17:59:01,25.066°C
16/10/2018 18:19:01,24.629°C
16/10/2018 18:39:01,23.879°C
16/10/2018 18:59:01,23.691°C
16/10/2018 19:19:01,23.691°C
16/10/2018 19:39:01,23.879°C
16/10/2018 19:59:01,23.754°C
16/10/2018 20:19:01,23.754°C
16/10/2018 20:39:01,23.629°C
16/10/2018 20:59:01,23.254°C
16/10/2018 21:19:01,22.941°C
16/10/2018 21:39:01,22.878°C
16/10/2018 21:59:01,22.753°C
16/10/2018 22:19:01,22.503°C
16/10/2018 22:39:01,22.316°C
16/10/2018 22:59:01,22.066°C
16/10/2018 23:19:01,21.878°C
16/10/2018 23:39:01,21.753°C
16/10/2018 23:59:01,21.691°C
17/10/2018 00:19:01,21.691°C
17/10/2018 00:39:01,21.378°C
17/10/2018 00:59:01,21.065°C
17/10/2018 01:19:01,21.128°C
17/10/2018 01:39:01,21.503°C
17/10/2018 01:59:01,21.503°C
17/10/2018 02:19:01,21.378°C
17/10/2018 02:39:01,21.315°C
17/10/2018 02:59:01,21.253°C
17/10/2018 03:19:01,21.19°C
17/10/2018 03:39:01,21.128°C
17/10/2018 03:59:01,21.128°C
17/10/2018 04:19:01,20.94°C
17/10/2018 04:39:01,20.878°C
17/10/2018 04:59:01,20.94°C
17/10/2018 05:19:01,20.753°C
17/10/2018 05:39:01,21.003°C
17/10/2018 05:59:01,20.878°C
17/10/2018 06:19:01,20.44°C
17/10/2018 06:39:01,20.127°C
17/10/2018 06:59:01,21.065°C
17/10/2018 07:19:01,21.816°C
17/10/2018 07:39:01,24.441°C
17/10/2018 07:59:01,26.254°C
17/10/2018 08:19:01,27.316°C
17/10/2018 08:39:01,28.754°C
17/10/2018 08:59:01,30.69°C
17/10/2018 09:19:01,33.376°C
17/10/2018 09:39:01,34.625°C
17/10/2018 09:59:01,33.001°C
17/10/2018 10:19:01,32.252°C
17/10/2018 10:39:01,32.689°C
17/10/2018 10:59:01,32.065°C
17/10/2018 11:19:01,32.627°C
17/10/2018 11:39:01,33.938°C
17/10/2018 11:59:01,34.251°C
17/10/2018 12:19:01,34.375°C
17/10/2018 12:39:01,33.938°C
17/10/2018 12:59:01,34.438°C
17/10/2018 13:19:01,35°C
17/10/2018 13:39:01,35.125°C
17/10/2018 13:59:01,35.062°C
17/10/2018 14:19:01,35.25°C
17/10/2018 14:39:01,33.064°C
17/10/2018 14:59:01,34.375°C
17/10/2018 15:19:01,30.565°C
17/10/2018 15:39:01,29.253°C
17/10/2018 15:59:01,28.816°C
17/10/2018 16:19:01,27.879°C
17/10/2018 16:39:01,27.316°C
17/10/2018 16:59:01,27.566°C
17/10/2018 17:19:01,30.191°C
17/10/2018 17:39:01,28.566°C
17/10/2018 17:59:01,25.691°C
17/10/2018 18:19:01,24.066°C
17/10/2018 18:39:01,23.504°C
17/10/2018 18:59:01,23.379°C
17/10/2018 19:19:01,23.316°C
17/10/2018 19:39:01,22.753°C
17/10/2018 19:59:01,22.441°C
17/10/2018 20:19:01,22.316°C
17/10/2018 20:39:01,22.003°C
17/10/2018 20:59:01,21.503°C
17/10/2018 21:19:01,20.815°C
17/10/2018 21:39:01,20.44°C
17/10/2018 21:59:01,20.002°C
17/10/2018 22:19:01,20.69°C
17/10/2018 22:39:01,20.753°C
17/10/2018 22:59:01,20.127°C
17/10/2018 23:19:01,20.565°C
17/10/2018 23:39:01,20.315°C
17/10/2018 23:59:01,20.002°C
18/10/2018 00:19:01,20.502°C
18/10/2018 00:39:01,20.94°C
18/10/2018 00:59:01,20.377°C
18/10/2018 01:19:01,19.564°C
18/10/2018 01:39:01,19.564°C
18/10/2018 01:59:01,20.94°C
18/10/2018 02:19:01,21.565°C
18/10/2018 02:39:01,21.003°C
18/10/2018 02:59:01,20.502°C
18/10/2018 03:19:01,20.19°C
18/10/2018 03:39:01,20.065°C
18/10/2018 03:59:01,19.752°C
18/10/2018 04:19:01,19.127°C
18/10/2018 04:39:01,18.689°C
18/10/2018 04:59:01,18.814°C
18/10/2018 05:19:01,19.189°C
18/10/2018 05:39:01,19.69°C
18/10/2018 05:59:01,19.752°C
18/10/2018 06:19:01,19.564°C
18/10/2018 06:39:01,20.44°C
18/10/2018 06:59:01,21.065°C
18/10/2018 07:19:01,21.753°C
18/10/2018 07:39:01,23.379°C
18/10/2018 07:59:01,23.754°C
18/10/2018 08:19:01,25.691°C
18/10/2018 08:39:01,26.754°C
18/10/2018 08:59:01,27.691°C
18/10/2018 09:19:01,28.129°C
18/10/2018 09:39:01,30.066°C
18/10/2018 09:59:01,31.94°C
18/10/2018 10:19:01,32.065°C
18/10/2018 10:39:01,32.127°C
18/10/2018 10:59:01,32.127°C
18/10/2018 11:19:01,32.814°C
18/10/2018 11:39:01,34.438°C
18/10/2018 11:59:01,35.25°C
18/10/2018 12:19:01,35.062°C
18/10/2018 12:39:01,35.437°C
18/10/2018 12:59:01,35.624°C
18/10/2018 13:19:01,34.563°C
18/10/2018 13:39:01,33.126°C
18/10/2018 13:59:01,33.439°C
18/10/2018 14:19:01,31.253°C
18/10/2018 14:39:01,30.44°C
18/10/2018 14:59:01,33.626°C
18/10/2018 15:19:01,35.687°C
18/10/2018 15:39:01,35.812°C
18/10/2018 15:59:01,35.25°C
18/10/2018 16:19:01,33.439°C
18/10/2018 16:39:01,31.253°C
18/10/2018 16:59:01,30.191°C
18/10/2018 17:19:01,28.878°C
18/10/2018 17:39:01,27.754°C
18/10/2018 17:59:01,25.816°C
18/10/2018 18:19:01,24.566°C
18/10/2018 18:39:01,23.816°C
18/10/2018 18:59:01,23.441°C
18/10/2018 19:19:01,23.191°C
18/10/2018 19:39:01,22.878°C
18/10/2018 19:59:01,22.878°C
18/10/2018 20:19:01,22.816°C
18/10/2018 20:39:01,22.691°C
18/10/2018 20:59:01,22.628°C
18/10/2018 21:19:01,22.691°C
18/10/2018 21:39:01,22.691°C
18/10/2018 21:59:01,22.628°C
18/10/2018 22:19:01,22.503°C
18/10/2018 22:39:01,22.316°C
18/10/2018 22:59:01,22.378°C
18/10/2018 23:19:01,22.378°C
18/10/2018 23:39:01,22.253°C
18/10/2018 23:59:01,22.503°C
19/10/2018 00:19:01,22.441°C
19/10/2018 00:39:01,22.628°C
19/10/2018 00:59:01,22.503°C
19/10/2018 01:19:01,22.503°C
19/10/2018 01:39:01,22.378°C
19/10/2018 01:59:01,22.128°C
19/10/2018 02:19:01,22.441°C
19/10/2018 02:39:01,22.566°C
19/10/2018 02:59:01,21.378°C
19/10/2018 03:19:01,20.815°C
19/10/2018 03:39:01,20.19°C
19/10/2018 03:59:01,20.315°C
19/10/2018 04:19:01,20.502°C
19/10/2018 04:39:01,20.44°C
19/10/2018 04:59:01,20.753°C
19/10/2018 05:19:01,21.19°C
19/10/2018 05:39:01,21.128°C
19/10/2018 05:59:01,20.628°C
19/10/2018 06:19:01,20.815°C
19/10/2018 06:39:01,21.065°C
19/10/2018 06:59:01,21.315°C
19/10/2018 07:19:01,22.566°C
19/10/2018 07:39:01,24.316°C
19/10/2018 07:59:01,25.254°C
19/10/2018 08:19:01,26.504°C
19/10/2018 08:39:01,27.754°C
19/10/2018 08:59:01,28.066°C
19/10/2018 09:19:01,29.503°C
19/10/2018 09:39:01,30.94°C
19/10/2018 09:59:01,31.315°C
19/10/2018 10:19:01,31.94°C
19/10/2018 10:39:01,31.128°C
19/10/2018 10:59:01,31.69°C
19/10/2018 11:19:01,32.502°C
19/10/2018 11:39:01,32.939°C
19/10/2018 11:59:01,34.563°C
19/10/2018 12:19:01,33.126°C
19/10/2018 12:39:01,33.376°C
19/10/2018 12:59:01,33.439°C
19/10/2018 13:19:01,32.689°C
19/10/2018 13:39:01,33.813°C
19/10/2018 13:59:01,35.624°C
19/10/2018 14:19:01,35.187°C
19/10/2018 14:39:01,33.938°C
19/10/2018 14:59:01,34.563°C
19/10/2018 15:19:01,32.627°C
19/10/2018 15:39:01,33.001°C
19/10/2018 15:59:01,32.439°C
19/10/2018 16:19:01,31.003°C
19/10/2018 16:39:01,29.753°C
19/10/2018 16:59:01,29.503°C
19/10/2018 17:19:01,27.879°C
19/10/2018 17:39:01,26.691°C
19/10/2018 17:59:01,25.004°C
19/10/2018 18:19:01,24.254°C
19/10/2018 18:39:01,23.754°C
19/10/2018 18:59:01,23.629°C
19/10/2018 19:19:01,23.441°C
19/10/2018 19:39:01,23.254°C
19/10/2018 19:59:01,23.254°C
19/10/2018 20:19:01,23.379°C
19/10/2018 20:39:01,23.504°C
19/10/2018 20:59:01,23.316°C
19/10/2018 21:19:01,23.191°C
19/10/2018 21:39:01,23.191°C
19/10/2018 21:59:01,22.941°C
19/10/2018 22:19:01,23.129°C
19/10/2018 22:39:01,22.941°C
19/10/2018 22:59:01,22.816°C
19/10/2018 23:19:01,22.566°C
19/10/2018 23:39:01,22.316°C
19/10/2018 23:59:01,21.753°C
20/10/2018 00:19:01,21.503°C
20/10/2018 00:39:01,21.44°C
20/10/2018 00:59:01,21.253°C
20/10/2018 01:19:01,21.253°C
20/10/2018 01:39:01,21.378°C
20/10/2018 01:59:01,21.378°C
20/10/2018 02:19:01,21.128°C
20/10/2018 02:39:01,21.378°C
20/10/2018 02:59:01,21.253°C
20/10/2018 03:19:01,21.253°C
20/10/2018 03:39:01,20.878°C
20/10/2018 03:59:01,20.19°C
20/10/2018 04:19:01,20.502°C
20/10/2018 04:39:01,21.003°C
20/10/2018 04:59:01,20.878°C
20/10/2018 05:19:01,20.753°C
20/10/2018 05:39:01,20.878°C
20/10/2018 05:59:01,21.253°C
20/10/2018 06:19:01,21.19°C
20/10/2018 06:39:01,21.691°C
20/10/2018 06:59:01,22.566°C
20/10/2018 07:19:01,23.504°C
