Log Values
Reading , Values
16/10/2018 17:39:01,25.906°C
16/10/2018 17:59:01,25.094°C
16/10/2018 18:19:01,24.781°C
16/10/2018 18:39:01,24.031°C
16/10/2018 18:59:01,23.843°C
16/10/2018 19:19:01,23.843°C
16/10/2018 19:39:01,23.968°C
16/10/2018 19:59:01,23.906°C
16/10/2018 20:19:01,23.843°C
16/10/2018 20:39:01,23.781°C
16/10/2018 20:59:01,23.406°C
16/10/2018 21:19:01,23.156°C
16/10/2018 21:39:01,23.031°C
16/10/2018 21:59:01,22.906°C
16/10/2018 22:19:01,22.655°C
16/10/2018 22:39:01,22.53°C
16/10/2018 22:59:01,22.405°C
16/10/2018 23:19:01,22.218°C
16/10/2018 23:39:01,22.03°C
16/10/2018 23:59:01,21.905°C
17/10/2018 00:19:01,21.905°C
17/10/2018 00:39:01,21.592°C
17/10/2018 00:59:01,21.217°C
17/10/2018 01:19:01,21.342°C
17/10/2018 01:39:01,21.592°C
17/10/2018 01:59:01,21.655°C
17/10/2018 02:19:01,21.592°C
17/10/2018 02:39:01,21.53°C
17/10/2018 02:59:01,21.404°C
17/10/2018 03:19:01,21.404°C
17/10/2018 03:39:01,21.342°C
17/10/2018 03:59:01,21.342°C
17/10/2018 04:19:01,21.217°C
17/10/2018 04:39:01,21.092°C
17/10/2018 04:59:01,21.092°C
17/10/2018 05:19:01,20.967°C
17/10/2018 05:39:01,21.154°C
17/10/2018 05:59:01,21.029°C
17/10/2018 06:19:01,20.716°C
17/10/2018 06:39:01,20.341°C
17/10/2018 06:59:01,21.905°C
17/10/2018 07:19:01,25.219°C
17/10/2018 07:39:01,28.593°C
17/10/2018 07:59:01,28.718°C
17/10/2018 08:19:01,29.218°C
17/10/2018 08:39:01,28.281°C
17/10/2018 08:59:01,29.343°C
17/10/2018 09:19:01,31.528°C
17/10/2018 09:39:01,33.962°C
17/10/2018 09:59:01,35.772°C
17/10/2018 10:19:01,35.709°C
17/10/2018 10:39:01,36.832°C
17/10/2018 10:59:01,36.271°C
17/10/2018 11:19:01,37.081°C
17/10/2018 11:39:01,37.206°C
17/10/2018 11:59:01,35.46°C
17/10/2018 12:19:01,35.148°C
17/10/2018 12:39:01,33.837°C
17/10/2018 12:59:01,33.837°C
17/10/2018 13:19:01,35.522°C
17/10/2018 13:39:01,35.085°C
17/10/2018 13:59:01,34.461°C
17/10/2018 14:19:01,34.961°C
17/10/2018 14:39:01,32.464°C
17/10/2018 14:59:01,33.525°C
17/10/2018 15:19:01,30.154°C
17/10/2018 15:39:01,29.093°C
17/10/2018 15:59:01,28.531°C
17/10/2018 16:19:01,27.718°C
17/10/2018 16:39:01,27.031°C
17/10/2018 16:59:01,27.344°C
17/10/2018 17:19:01,28.593°C
17/10/2018 17:39:01,26.781°C
17/10/2018 17:59:01,25.781°C
17/10/2018 18:19:01,24.031°C
17/10/2018 18:39:01,23.531°C
17/10/2018 18:59:01,23.468°C
17/10/2018 19:19:01,23.406°C
17/10/2018 19:39:01,22.843°C
17/10/2018 19:59:01,22.593°C
17/10/2018 20:19:01,22.53°C
17/10/2018 20:39:01,22.155°C
17/10/2018 20:59:01,21.717°C
17/10/2018 21:19:01,20.967°C
17/10/2018 21:39:01,20.716°C
17/10/2018 21:59:01,20.216°C
17/10/2018 22:19:01,20.716°C
17/10/2018 22:39:01,20.841°C
17/10/2018 22:59:01,20.341°C
17/10/2018 23:19:01,20.779°C
17/10/2018 23:39:01,20.466°C
17/10/2018 23:59:01,20.216°C
18/10/2018 00:19:01,20.654°C
18/10/2018 00:39:01,21.029°C
18/10/2018 00:59:01,20.654°C
18/10/2018 01:19:01,19.778°C
18/10/2018 01:39:01,19.966°C
18/10/2018 01:59:01,21.092°C
18/10/2018 02:19:01,21.717°C
18/10/2018 02:39:01,21.154°C
18/10/2018 02:59:01,20.841°C
18/10/2018 03:19:01,20.404°C
18/10/2018 03:39:01,20.216°C
18/10/2018 03:59:01,19.966°C
18/10/2018 04:19:01,19.34°C
18/10/2018 04:39:01,18.902°C
18/10/2018 04:59:01,19.027°C
18/10/2018 05:19:01,19.34°C
18/10/2018 05:39:01,19.84°C
18/10/2018 05:59:01,19.903°C
18/10/2018 06:19:01,19.778°C
18/10/2018 06:39:01,20.654°C
18/10/2018 06:59:01,21.404°C
18/10/2018 07:19:01,22.968°C
18/10/2018 07:39:01,25.344°C
18/10/2018 07:59:01,24.344°C
18/10/2018 08:19:01,26.031°C
18/10/2018 08:39:01,26.719°C
18/10/2018 08:59:01,27.468°C
18/10/2018 09:19:01,28.281°C
18/10/2018 09:39:01,30.092°C
18/10/2018 09:59:01,32.777°C
18/10/2018 10:19:01,35.023°C
18/10/2018 10:39:01,36.395°C
18/10/2018 10:59:01,36.957°C
18/10/2018 11:19:01,36.707°C
18/10/2018 11:39:01,37.456°C
18/10/2018 11:59:01,36.333°C
18/10/2018 12:19:01,35.647°C
18/10/2018 12:39:01,35.397°C
18/10/2018 12:59:01,35.085°C
18/10/2018 13:19:01,34.399°C
18/10/2018 13:39:01,32.714°C
18/10/2018 13:59:01,33.401°C
18/10/2018 14:19:01,30.966°C
18/10/2018 14:39:01,30.404°C
18/10/2018 14:59:01,33.151°C
18/10/2018 15:19:01,34.649°C
18/10/2018 15:39:01,34.711°C
18/10/2018 15:59:01,33.713°C
18/10/2018 16:19:01,32.714°C
18/10/2018 16:39:01,30.03°C
18/10/2018 16:59:01,28.156°C
18/10/2018 17:19:01,27.281°C
18/10/2018 17:39:01,26.281°C
18/10/2018 17:59:01,25.844°C
18/10/2018 18:19:01,24.406°C
18/10/2018 18:39:01,23.781°C
18/10/2018 18:59:01,23.468°C
18/10/2018 19:19:01,23.218°C
18/10/2018 19:39:01,22.968°C
18/10/2018 19:59:01,22.968°C
18/10/2018 20:19:01,22.968°C
18/10/2018 20:39:01,22.78°C
18/10/2018 20:59:01,22.78°C
18/10/2018 21:19:01,22.843°C
18/10/2018 21:39:01,22.843°C
18/10/2018 21:59:01,22.718°C
18/10/2018 22:19:01,22.593°C
18/10/2018 22:39:01,22.468°C
18/10/2018 22:59:01,22.468°C
18/10/2018 23:19:01,22.53°C
18/10/2018 23:39:01,22.405°C
18/10/2018 23:59:01,22.593°C
19/10/2018 00:19:01,22.53°C
19/10/2018 00:39:01,22.78°C
19/10/2018 00:59:01,22.593°C
19/10/2018 01:19:01,22.593°C
19/10/2018 01:39:01,22.468°C
19/10/2018 01:59:01,22.218°C
19/10/2018 02:19:01,22.53°C
19/10/2018 02:39:01,22.655°C
19/10/2018 02:59:01,21.53°C
19/10/2018 03:19:01,20.841°C
19/10/2018 03:39:01,20.404°C
19/10/2018 03:59:01,20.466°C
19/10/2018 04:19:01,20.779°C
19/10/2018 04:39:01,20.591°C
19/10/2018 04:59:01,20.841°C
19/10/2018 05:19:01,21.279°C
19/10/2018 05:39:01,21.217°C
19/10/2018 05:59:01,20.716°C
19/10/2018 06:19:01,20.904°C
19/10/2018 06:39:01,21.154°C
19/10/2018 06:59:01,22.405°C
19/10/2018 07:19:01,25.094°C
19/10/2018 07:39:01,27.843°C
19/10/2018 07:59:01,26.469°C
19/10/2018 08:19:01,28.218°C
19/10/2018 08:39:01,27.781°C
19/10/2018 08:59:01,28.156°C
19/10/2018 09:19:01,29.093°C
19/10/2018 09:39:01,31.341°C
19/10/2018 09:59:01,33.775°C
19/10/2018 10:19:01,34.898°C
19/10/2018 10:39:01,33.837°C
19/10/2018 10:59:01,36.77°C
19/10/2018 11:19:01,37.019°C
19/10/2018 11:39:01,35.959°C
19/10/2018 11:59:01,35.709°C
19/10/2018 12:19:01,33.525°C
19/10/2018 12:39:01,33.338°C
19/10/2018 12:59:01,32.777°C
19/10/2018 13:19:01,33.089°C
19/10/2018 13:39:01,33.525°C
19/10/2018 13:59:01,35.273°C
19/10/2018 14:19:01,34.274°C
19/10/2018 14:39:01,33.463°C
19/10/2018 14:59:01,33.713°C
