Log Values
Reading , Values
14/03/2019 17:59:01,27.855°C
14/03/2019 18:19:01,26.855°C
14/03/2019 18:39:01,25.793°C
14/03/2019 18:59:01,24.855°C
14/03/2019 19:19:01,24.48°C
14/03/2019 19:39:01,24.23°C
14/03/2019 19:59:01,24.168°C
14/03/2019 20:19:01,23.98°C
14/03/2019 20:39:01,23.98°C
14/03/2019 20:59:01,23.73°C
14/03/2019 21:19:01,23.542°C
14/03/2019 21:39:01,23.605°C
14/03/2019 21:59:01,23.605°C
14/03/2019 22:19:01,23.668°C
14/03/2019 22:39:01,23.855°C
14/03/2019 22:59:01,23.542°C
14/03/2019 23:19:01,23.793°C
14/03/2019 23:39:01,23.417°C
14/03/2019 23:59:01,23.48°C
15/03/2019 00:19:01,23.042°C
15/03/2019 00:39:01,22.917°C
15/03/2019 00:59:01,22.604°C
15/03/2019 01:19:01,22.855°C
15/03/2019 01:39:01,23.23°C
15/03/2019 01:59:01,23.417°C
15/03/2019 02:19:01,22.98°C
15/03/2019 02:39:01,22.98°C
15/03/2019 02:59:01,23.167°C
15/03/2019 03:19:01,23.105°C
15/03/2019 03:39:01,23.042°C
15/03/2019 03:59:01,23.167°C
15/03/2019 04:19:01,23.105°C
15/03/2019 04:39:01,22.855°C
15/03/2019 04:59:01,22.542°C
15/03/2019 05:19:01,22.542°C
15/03/2019 05:39:01,22.229°C
15/03/2019 05:59:01,21.979°C
15/03/2019 06:19:01,21.979°C
15/03/2019 06:39:01,21.604°C
15/03/2019 06:59:01,21.729°C
15/03/2019 07:19:01,22.229°C
15/03/2019 07:39:01,22.604°C
15/03/2019 07:59:01,23.105°C
15/03/2019 08:19:01,23.668°C
15/03/2019 08:39:01,24.48°C
15/03/2019 08:59:01,25.668°C
15/03/2019 09:19:01,26.543°C
15/03/2019 09:39:01,28.417°C
15/03/2019 09:59:01,29.978°C
15/03/2019 10:19:01,30.54°C
15/03/2019 10:39:01,32.163°C
15/03/2019 10:59:01,31.726°C
15/03/2019 11:19:01,31.414°C
15/03/2019 11:39:01,33.349°C
15/03/2019 11:59:01,35.595°C
15/03/2019 12:19:01,34.347°C
15/03/2019 12:39:01,38.587°C
15/03/2019 12:59:01,40.456°C
15/03/2019 13:19:01,39.21°C
15/03/2019 13:39:01,34.721°C
15/03/2019 13:59:01,34.472°C
15/03/2019 14:19:01,32.475°C
15/03/2019 14:39:01,31.726°C
15/03/2019 14:59:01,31.664°C
15/03/2019 15:19:01,31.102°C
15/03/2019 15:39:01,31.04°C
15/03/2019 15:59:01,31.102°C
15/03/2019 16:19:01,31.602°C
15/03/2019 16:39:01,31.29°C
15/03/2019 16:59:01,29.978°C
15/03/2019 17:19:01,28.729°C
15/03/2019 17:39:01,27.917°C
15/03/2019 17:59:01,27.355°C
15/03/2019 18:19:01,26.043°C
15/03/2019 18:39:01,25.168°C
15/03/2019 18:59:01,24.48°C
15/03/2019 19:19:01,23.98°C
15/03/2019 19:39:01,23.793°C
15/03/2019 19:59:01,23.48°C
15/03/2019 20:19:01,22.792°C
15/03/2019 20:39:01,22.417°C
15/03/2019 20:59:01,22.292°C
15/03/2019 21:19:01,22.042°C
15/03/2019 21:39:01,21.979°C
15/03/2019 21:59:01,21.791°C
15/03/2019 22:19:01,21.854°C
15/03/2019 22:39:01,21.916°C
15/03/2019 22:59:01,21.729°C
15/03/2019 23:19:01,21.729°C
15/03/2019 23:39:01,21.666°C
15/03/2019 23:59:01,21.604°C
16/03/2019 00:19:01,21.541°C
16/03/2019 00:39:01,21.479°C
16/03/2019 00:59:01,21.479°C
