Log Values
Reading , Values
14/03/2019 17:59:01,29.217°C
14/03/2019 18:19:01,27.843°C
14/03/2019 18:39:01,26.594°C
14/03/2019 18:59:01,25.531°C
14/03/2019 19:19:01,25.094°C
14/03/2019 19:39:01,24.781°C
14/03/2019 19:59:01,24.594°C
14/03/2019 20:19:01,24.469°C
14/03/2019 20:39:01,24.469°C
14/03/2019 20:59:01,24.156°C
14/03/2019 21:19:01,24.031°C
14/03/2019 21:39:01,24.093°C
14/03/2019 21:59:01,24.031°C
14/03/2019 22:19:01,24.093°C
14/03/2019 22:39:01,24.156°C
14/03/2019 22:59:01,24.031°C
14/03/2019 23:19:01,24.156°C
14/03/2019 23:39:01,23.906°C
14/03/2019 23:59:01,23.781°C
15/03/2019 00:19:01,23.468°C
15/03/2019 00:39:01,23.406°C
15/03/2019 00:59:01,23.155°C
15/03/2019 01:19:01,23.218°C
15/03/2019 01:39:01,23.656°C
15/03/2019 01:59:01,23.843°C
15/03/2019 02:19:01,23.468°C
15/03/2019 02:39:01,23.531°C
15/03/2019 02:59:01,23.656°C
15/03/2019 03:19:01,23.468°C
15/03/2019 03:39:01,23.468°C
15/03/2019 03:59:01,23.593°C
15/03/2019 04:19:01,23.468°C
15/03/2019 04:39:01,23.218°C
15/03/2019 04:59:01,22.905°C
15/03/2019 05:19:01,22.968°C
15/03/2019 05:39:01,22.655°C
15/03/2019 05:59:01,22.405°C
15/03/2019 06:19:01,22.342°C
15/03/2019 06:39:01,22.092°C
15/03/2019 06:59:01,22.28°C
15/03/2019 07:19:01,22.655°C
15/03/2019 07:39:01,22.968°C
15/03/2019 07:59:01,23.468°C
15/03/2019 08:19:01,24.031°C
15/03/2019 08:39:01,25.156°C
15/03/2019 08:59:01,26.281°C
15/03/2019 09:19:01,26.969°C
15/03/2019 09:39:01,28.218°C
15/03/2019 09:59:01,29.904°C
15/03/2019 10:19:01,30.653°C
15/03/2019 10:39:01,31.901°C
15/03/2019 10:59:01,33.086°C
15/03/2019 11:19:01,32.712°C
15/03/2019 11:39:01,32.213°C
15/03/2019 11:59:01,34.77°C
15/03/2019 12:19:01,38.446°C
15/03/2019 12:39:01,41.559°C
15/03/2019 12:59:01,42.181°C
15/03/2019 13:19:01,42.43°C
15/03/2019 13:39:01,42.554°C
15/03/2019 13:59:01,42.305°C
15/03/2019 14:19:01,42.99°C
15/03/2019 14:39:01,43.86°C
15/03/2019 14:59:01,41.123°C
15/03/2019 15:19:01,39.318°C
15/03/2019 15:39:01,39.069°C
15/03/2019 15:59:01,40.314°C
15/03/2019 16:19:01,38.384°C
15/03/2019 16:39:01,34.583°C
15/03/2019 16:59:01,32.026°C
15/03/2019 17:19:01,30.528°C
15/03/2019 17:39:01,30.091°C
15/03/2019 17:59:01,29.279°C
15/03/2019 18:19:01,27.406°C
15/03/2019 18:39:01,26.219°C
15/03/2019 18:59:01,25.469°C
15/03/2019 19:19:01,24.906°C
15/03/2019 19:39:01,24.594°C
15/03/2019 19:59:01,24.219°C
15/03/2019 20:19:01,23.656°C
15/03/2019 20:39:01,23.281°C
15/03/2019 20:59:01,23.093°C
15/03/2019 21:19:01,22.843°C
15/03/2019 21:39:01,22.78°C
15/03/2019 21:59:01,22.593°C
15/03/2019 22:19:01,22.593°C
15/03/2019 22:39:01,22.53°C
15/03/2019 22:59:01,22.405°C
15/03/2019 23:19:01,22.405°C
15/03/2019 23:39:01,22.28°C
15/03/2019 23:59:01,22.155°C
16/03/2019 00:19:01,22.03°C
16/03/2019 00:39:01,21.967°C
16/03/2019 00:59:01,22.03°C
16/03/2019 01:19:01,22.155°C
16/03/2019 01:39:01,21.967°C
