Log Values
Reading , Values
24/04/2019 12:59:01,26.432°C
24/04/2019 13:19:01,27.494°C
24/04/2019 13:39:01,26.369°C
24/04/2019 13:59:01,25.619°C
24/04/2019 14:19:01,27.806°C
24/04/2019 14:39:01,26.619°C
24/04/2019 14:59:01,25.307°C
24/04/2019 15:19:01,24.932°C
24/04/2019 15:39:01,26.869°C
24/04/2019 15:59:01,25.182°C
24/04/2019 16:19:01,23.744°C
24/04/2019 16:39:01,23.244°C
24/04/2019 16:59:01,22.743°C
24/04/2019 17:19:01,22.368°C
24/04/2019 17:39:01,21.93°C
24/04/2019 17:59:01,21.555°C
24/04/2019 18:19:01,21.054°C
24/04/2019 18:39:01,20.679°C
24/04/2019 18:59:01,20.429°C
24/04/2019 19:19:01,20.366°C
24/04/2019 19:39:01,20.178°C
24/04/2019 19:59:01,20.116°C
24/04/2019 20:19:01,20.116°C
24/04/2019 20:39:01,20.053°C
24/04/2019 20:59:01,20.116°C
24/04/2019 21:19:01,20.178°C
24/04/2019 21:39:01,20.366°C
24/04/2019 21:59:01,20.491°C
24/04/2019 22:19:01,20.554°C
24/04/2019 22:39:01,20.491°C
24/04/2019 22:59:01,20.429°C
24/04/2019 23:19:01,20.429°C
24/04/2019 23:39:01,20.429°C
24/04/2019 23:59:01,20.366°C
25/04/2019 00:19:01,20.116°C
25/04/2019 00:39:01,19.928°C
25/04/2019 00:59:01,19.866°C
25/04/2019 01:19:01,19.74°C
25/04/2019 01:39:01,19.615°C
25/04/2019 01:59:01,19.49°C
25/04/2019 02:19:01,19.428°C
25/04/2019 02:39:01,19.428°C
25/04/2019 02:59:01,19.49°C
25/04/2019 03:19:01,19.615°C
25/04/2019 03:39:01,19.553°C
25/04/2019 03:59:01,19.49°C
25/04/2019 04:19:01,19.553°C
25/04/2019 04:39:01,19.615°C
25/04/2019 04:59:01,19.615°C
25/04/2019 05:19:01,19.553°C
25/04/2019 05:39:01,19.428°C
25/04/2019 05:59:01,19.49°C
25/04/2019 06:19:01,19.24°C
25/04/2019 06:39:01,19.365°C
25/04/2019 06:59:01,19.49°C
25/04/2019 07:19:01,19.49°C
25/04/2019 07:39:01,19.553°C
25/04/2019 07:59:01,19.678°C
25/04/2019 08:19:01,19.678°C
25/04/2019 08:39:01,19.74°C
25/04/2019 08:59:01,21.054°C
25/04/2019 09:19:01,22.493°C
25/04/2019 09:39:01,22.055°C
25/04/2019 09:59:01,23.118°C
25/04/2019 10:19:01,25.682°C
25/04/2019 10:39:01,25.119°C
25/04/2019 10:59:01,24.306°C
25/04/2019 11:19:01,23.494°C
25/04/2019 11:39:01,24.181°C
25/04/2019 11:59:01,24.994°C
25/04/2019 12:19:01,25.119°C
25/04/2019 12:39:01,23.556°C
25/04/2019 12:59:01,22.993°C
25/04/2019 13:19:01,24.119°C
25/04/2019 13:39:01,23.619°C
25/04/2019 13:59:01,22.868°C
25/04/2019 14:19:01,23.681°C
25/04/2019 14:39:01,23.369°C
25/04/2019 14:59:01,23.681°C
25/04/2019 15:19:01,23.244°C
25/04/2019 15:39:01,24.369°C
25/04/2019 15:59:01,23.118°C
25/04/2019 16:19:01,21.868°C
25/04/2019 16:39:01,21.43°C
25/04/2019 16:59:01,21.18°C
25/04/2019 17:19:01,20.929°C
25/04/2019 17:39:01,20.804°C
25/04/2019 17:59:01,20.366°C
25/04/2019 18:19:01,19.866°C
25/04/2019 18:39:01,19.49°C
25/04/2019 18:59:01,19.302°C
25/04/2019 19:19:01,19.177°C
