Log Values
Reading , Values
26/06/2019 14:39:01,18.135°C
26/06/2019 14:59:01,17.759°C
26/06/2019 15:19:01,17.509°C
26/06/2019 15:39:01,17.384°C
26/06/2019 15:59:01,17.07°C
26/06/2019 16:19:01,16.82°C
26/06/2019 16:39:01,16.507°C
26/06/2019 16:59:01,16.381°C
26/06/2019 17:19:01,16.131°C
26/06/2019 17:39:01,15.88°C
26/06/2019 17:59:01,15.567°C
26/06/2019 18:19:01,15.379°C
26/06/2019 18:39:01,15.128°C
26/06/2019 18:59:01,14.877°C
26/06/2019 19:19:01,14.439°C
26/06/2019 19:39:01,14.251°C
26/06/2019 19:59:01,14.251°C
26/06/2019 20:19:01,14.063°C
26/06/2019 20:39:01,14°C
26/06/2019 20:59:01,14.251°C
26/06/2019 21:19:01,14.188°C
26/06/2019 21:39:01,14.125°C
26/06/2019 21:59:01,13.937°C
26/06/2019 22:19:01,13.812°C
26/06/2019 22:39:01,13.624°C
26/06/2019 22:59:01,13.373°C
26/06/2019 23:19:01,13.561°C
26/06/2019 23:39:01,13.749°C
26/06/2019 23:59:01,13.812°C
27/06/2019 00:19:01,13.812°C
27/06/2019 00:39:01,13.874°C
27/06/2019 00:59:01,13.812°C
27/06/2019 01:19:01,14°C
27/06/2019 01:39:01,14°C
27/06/2019 01:59:01,14.063°C
27/06/2019 02:19:01,14.188°C
27/06/2019 02:39:01,14°C
27/06/2019 02:59:01,14.063°C
27/06/2019 03:19:01,14.188°C
27/06/2019 03:39:01,14.125°C
27/06/2019 03:59:01,14°C
27/06/2019 04:19:01,14°C
27/06/2019 04:39:01,14.063°C
27/06/2019 04:59:01,14.188°C
27/06/2019 05:19:01,14.188°C
27/06/2019 05:39:01,14.125°C
27/06/2019 05:59:01,14°C
27/06/2019 06:19:01,13.874°C
27/06/2019 06:39:01,13.874°C
27/06/2019 06:59:01,13.874°C
27/06/2019 07:19:01,14°C
27/06/2019 07:39:01,14.125°C
27/06/2019 07:59:01,14.188°C
27/06/2019 08:19:01,14.376°C
27/06/2019 08:39:01,14.564°C
27/06/2019 08:59:01,14.627°C
27/06/2019 09:19:01,14.815°C
27/06/2019 09:39:01,15.065°C
27/06/2019 09:59:01,15.253°C
27/06/2019 10:19:01,15.629°C
27/06/2019 10:39:01,16.883°C
27/06/2019 10:59:01,17.321°C
27/06/2019 11:19:01,17.947°C
27/06/2019 11:39:01,18.198°C
27/06/2019 11:59:01,18.574°C
27/06/2019 12:19:01,18.386°C
27/06/2019 12:39:01,17.634°C
27/06/2019 12:59:01,18.073°C
27/06/2019 13:19:01,18.073°C
27/06/2019 13:39:01,17.947°C
27/06/2019 13:59:01,18.135°C
27/06/2019 14:19:01,17.697°C
27/06/2019 14:39:01,18.135°C
27/06/2019 14:59:01,17.885°C
27/06/2019 15:19:01,17.759°C
27/06/2019 15:39:01,17.885°C
27/06/2019 15:59:01,17.509°C
27/06/2019 16:19:01,17.822°C
27/06/2019 16:39:01,17.697°C
27/06/2019 16:59:01,17.258°C
27/06/2019 17:19:01,16.319°C
27/06/2019 17:39:01,15.817°C
27/06/2019 17:59:01,15.504°C
27/06/2019 18:19:01,15.316°C
27/06/2019 18:39:01,15.128°C
27/06/2019 18:59:01,15.003°C
27/06/2019 19:19:01,15.003°C
27/06/2019 19:39:01,14.877°C
27/06/2019 19:59:01,14.564°C
27/06/2019 20:19:01,14.376°C
27/06/2019 20:39:01,14.063°C
27/06/2019 20:59:01,13.937°C
27/06/2019 21:19:01,13.686°C
27/06/2019 21:39:01,13.436°C
27/06/2019 21:59:01,13.624°C
27/06/2019 22:19:01,13.561°C
27/06/2019 22:39:01,13.31°C
27/06/2019 22:59:01,13.373°C
27/06/2019 23:19:01,13.436°C
27/06/2019 23:39:01,13.498°C
27/06/2019 23:59:01,13.561°C
28/06/2019 00:19:01,13.812°C
28/06/2019 00:39:01,14.063°C
28/06/2019 00:59:01,14.251°C
28/06/2019 01:19:01,14.376°C
28/06/2019 01:39:01,14.376°C
28/06/2019 01:59:01,14.376°C
28/06/2019 02:19:01,14.376°C
28/06/2019 02:39:01,14.439°C
28/06/2019 02:59:01,14.439°C
28/06/2019 03:19:01,14.564°C
28/06/2019 03:39:01,14.752°C
28/06/2019 03:59:01,14.815°C
28/06/2019 04:19:01,14.815°C
28/06/2019 04:39:01,14.877°C
28/06/2019 04:59:01,15.003°C
28/06/2019 05:19:01,15.128°C
28/06/2019 05:39:01,15.253°C
28/06/2019 05:59:01,15.316°C
28/06/2019 06:19:01,15.441°C
28/06/2019 06:39:01,15.316°C
28/06/2019 06:59:01,15.379°C
28/06/2019 07:19:01,15.567°C
28/06/2019 07:39:01,15.567°C
28/06/2019 07:59:01,15.567°C
28/06/2019 08:19:01,15.441°C
28/06/2019 08:39:01,15.441°C
28/06/2019 08:59:01,15.629°C
28/06/2019 09:19:01,15.88°C
28/06/2019 09:39:01,16.005°C
28/06/2019 09:59:01,16.695°C
28/06/2019 10:19:01,17.196°C
28/06/2019 10:39:01,17.822°C
28/06/2019 10:59:01,18.761°C
28/06/2019 11:19:01,18.511°C
28/06/2019 11:39:01,19.2°C
28/06/2019 11:59:01,19.325°C
28/06/2019 12:19:01,19.951°C
28/06/2019 12:39:01,20.076°C
28/06/2019 12:59:01,20.577°C
28/06/2019 13:19:01,20.389°C
28/06/2019 13:39:01,21.453°C
28/06/2019 13:59:01,20.639°C
28/06/2019 14:19:01,20.264°C
28/06/2019 14:39:01,20.452°C
28/06/2019 14:59:01,19.888°C
28/06/2019 15:19:01,19.763°C
28/06/2019 15:39:01,20.201°C
28/06/2019 15:59:01,20.139°C
28/06/2019 16:19:01,19.137°C
28/06/2019 16:39:01,19.387°C
28/06/2019 16:59:01,18.699°C
28/06/2019 17:19:01,18.574°C
28/06/2019 17:39:01,18.511°C
28/06/2019 17:59:01,18.073°C
28/06/2019 18:19:01,17.822°C
28/06/2019 18:39:01,17.885°C
28/06/2019 18:59:01,17.697°C
28/06/2019 19:19:01,17.822°C
28/06/2019 19:39:01,17.822°C
28/06/2019 19:59:01,17.822°C
28/06/2019 20:19:01,17.759°C
28/06/2019 20:39:01,17.697°C
28/06/2019 20:59:01,17.572°C
28/06/2019 21:19:01,17.572°C
28/06/2019 21:39:01,17.446°C
28/06/2019 21:59:01,17.446°C
28/06/2019 22:19:01,17.321°C
28/06/2019 22:39:01,17.384°C
28/06/2019 22:59:01,17.321°C
28/06/2019 23:19:01,17.258°C
28/06/2019 23:39:01,17.196°C
28/06/2019 23:59:01,17.133°C
29/06/2019 00:19:01,17.07°C
29/06/2019 00:39:01,17.07°C
29/06/2019 00:59:01,16.82°C
29/06/2019 01:19:01,16.82°C
29/06/2019 01:39:01,16.82°C
29/06/2019 01:59:01,16.757°C
29/06/2019 02:19:01,16.569°C
29/06/2019 02:39:01,16.569°C
29/06/2019 02:59:01,16.632°C
29/06/2019 03:19:01,16.507°C
29/06/2019 03:39:01,16.381°C
29/06/2019 03:59:01,16.131°C
29/06/2019 04:19:01,15.755°C
29/06/2019 04:39:01,15.629°C
29/06/2019 04:59:01,15.504°C
29/06/2019 05:19:01,15.441°C
29/06/2019 05:39:01,15.629°C
29/06/2019 05:59:01,15.629°C
29/06/2019 06:19:01,15.692°C
29/06/2019 06:39:01,15.755°C
29/06/2019 06:59:01,15.692°C
29/06/2019 07:19:01,15.629°C
29/06/2019 07:39:01,15.504°C
29/06/2019 07:59:01,15.504°C
29/06/2019 08:19:01,15.128°C
29/06/2019 08:39:01,15.379°C
29/06/2019 08:59:01,15.817°C
29/06/2019 09:19:01,15.567°C
29/06/2019 09:39:01,15.441°C
29/06/2019 09:59:01,16.005°C
29/06/2019 10:19:01,16.068°C
29/06/2019 10:39:01,15.629°C
29/06/2019 10:59:01,15.88°C
29/06/2019 11:19:01,16.068°C
29/06/2019 11:39:01,16.381°C
29/06/2019 11:59:01,16.632°C
29/06/2019 12:19:01,16.695°C
29/06/2019 12:39:01,17.07°C
29/06/2019 12:59:01,16.883°C
29/06/2019 13:19:01,16.945°C
29/06/2019 13:39:01,17.07°C
29/06/2019 13:59:01,17.196°C
29/06/2019 14:19:01,17.446°C
29/06/2019 14:39:01,17.133°C
29/06/2019 14:59:01,16.632°C
29/06/2019 15:19:01,16.757°C
29/06/2019 15:39:01,16.569°C
29/06/2019 15:59:01,16.444°C
29/06/2019 16:19:01,16.569°C
29/06/2019 16:39:01,16.632°C
29/06/2019 16:59:01,16.82°C
29/06/2019 17:19:01,16.193°C
29/06/2019 17:39:01,16.005°C
29/06/2019 17:59:01,15.692°C
29/06/2019 18:19:01,15.379°C
29/06/2019 18:39:01,15.253°C
29/06/2019 18:59:01,15.316°C
29/06/2019 19:19:01,15.253°C
29/06/2019 19:39:01,14.815°C
29/06/2019 19:59:01,14.564°C
29/06/2019 20:19:01,14.689°C
29/06/2019 20:39:01,14.564°C
29/06/2019 20:59:01,14.376°C
29/06/2019 21:19:01,14.188°C
29/06/2019 21:39:01,14.063°C
29/06/2019 21:59:01,13.874°C
29/06/2019 22:19:01,13.812°C
29/06/2019 22:39:01,13.686°C
29/06/2019 22:59:01,13.624°C
29/06/2019 23:19:01,13.561°C
29/06/2019 23:39:01,13.436°C
29/06/2019 23:59:01,13.247°C
30/06/2019 00:19:01,13.185°C
30/06/2019 00:39:01,13.059°C
30/06/2019 00:59:01,12.997°C
30/06/2019 01:19:01,12.871°C
30/06/2019 01:39:01,12.809°C
30/06/2019 01:59:01,12.809°C
30/06/2019 02:19:01,12.809°C
30/06/2019 02:39:01,12.809°C
30/06/2019 02:59:01,12.746°C
30/06/2019 03:19:01,12.746°C
30/06/2019 03:39:01,13.059°C
30/06/2019 03:59:01,13.185°C
30/06/2019 04:19:01,13.247°C
30/06/2019 04:39:01,13.059°C
30/06/2019 04:59:01,12.934°C
30/06/2019 05:19:01,13.059°C
30/06/2019 05:39:01,13.059°C
30/06/2019 05:59:01,12.934°C
30/06/2019 06:19:01,12.934°C
30/06/2019 06:39:01,12.934°C
30/06/2019 06:59:01,13.059°C
30/06/2019 07:19:01,13.122°C
30/06/2019 07:39:01,13.059°C
30/06/2019 07:59:01,13.31°C
30/06/2019 08:19:01,13.624°C
30/06/2019 08:39:01,13.937°C
30/06/2019 08:59:01,14.188°C
30/06/2019 09:19:01,14.815°C
30/06/2019 09:39:01,14.877°C
30/06/2019 09:59:01,15.567°C
30/06/2019 10:19:01,15.441°C
30/06/2019 10:39:01,17.07°C
30/06/2019 10:59:01,18.198°C
30/06/2019 11:19:01,17.07°C
30/06/2019 11:39:01,17.822°C
30/06/2019 11:59:01,17.321°C
30/06/2019 12:19:01,17.572°C
30/06/2019 12:39:01,18.574°C
30/06/2019 12:59:01,17.697°C
30/06/2019 13:19:01,17.885°C
30/06/2019 13:39:01,20.326°C
30/06/2019 13:59:01,21.891°C
30/06/2019 14:19:01,19.45°C
30/06/2019 14:39:01,18.699°C
30/06/2019 14:59:01,17.885°C
30/06/2019 15:19:01,17.196°C
30/06/2019 15:39:01,16.883°C
30/06/2019 15:59:01,16.695°C
30/06/2019 16:19:01,16.319°C
30/06/2019 16:39:01,16.131°C
30/06/2019 16:59:01,15.629°C
30/06/2019 17:19:01,15.003°C
30/06/2019 17:39:01,14.501°C
30/06/2019 17:59:01,14°C
30/06/2019 18:19:01,13.624°C
30/06/2019 18:39:01,13.247°C
30/06/2019 18:59:01,13.247°C
30/06/2019 19:19:01,13.185°C
30/06/2019 19:39:01,13.31°C
30/06/2019 19:59:01,13.436°C
30/06/2019 20:19:01,13.373°C
30/06/2019 20:39:01,13.373°C
30/06/2019 20:59:01,13.436°C
30/06/2019 21:19:01,13.31°C
30/06/2019 21:39:01,13.373°C
30/06/2019 21:59:01,13.185°C
30/06/2019 22:19:01,13.436°C
30/06/2019 22:39:01,13.561°C
30/06/2019 22:59:01,13.561°C
30/06/2019 23:19:01,13.561°C
30/06/2019 23:39:01,13.561°C
30/06/2019 23:59:01,13.373°C
01/07/2019 00:19:01,13.247°C
01/07/2019 00:39:01,13.31°C
01/07/2019 00:59:01,13.31°C
01/07/2019 01:19:01,13.31°C
01/07/2019 01:39:01,13.247°C
01/07/2019 01:59:01,13.247°C
01/07/2019 02:19:01,13.247°C
01/07/2019 02:39:01,13.31°C
01/07/2019 02:59:01,13.373°C
01/07/2019 03:19:01,13.436°C
01/07/2019 03:39:01,13.31°C
