Log Values
Reading , Values
26/06/2019 16:19:01,26.172°C
26/06/2019 16:39:01,27.359°C
26/06/2019 16:59:01,27.359°C
26/06/2019 17:19:01,24.422°C
26/06/2019 17:39:01,22.108°C
26/06/2019 17:59:01,20.418°C
26/06/2019 18:19:01,19.479°C
26/06/2019 18:39:01,18.791°C
26/06/2019 18:59:01,18.54°C
26/06/2019 19:19:01,18.102°C
26/06/2019 19:39:01,17.664°C
26/06/2019 19:59:01,17.288°C
26/06/2019 20:19:01,17.1°C
26/06/2019 20:39:01,17.1°C
26/06/2019 20:59:01,16.599°C
26/06/2019 21:19:01,16.536°C
26/06/2019 21:39:01,16.16°C
26/06/2019 21:59:01,16.035°C
26/06/2019 22:19:01,16.223°C
26/06/2019 22:39:01,16.411°C
26/06/2019 22:59:01,16.286°C
26/06/2019 23:19:01,15.972°C
26/06/2019 23:39:01,15.283°C
26/06/2019 23:59:01,14.97°C
27/06/2019 00:19:01,14.281°C
27/06/2019 00:39:01,13.716°C
27/06/2019 00:59:01,13.591°C
27/06/2019 01:19:01,13.278°C
27/06/2019 01:39:01,13.09°C
27/06/2019 01:59:01,12.776°C
27/06/2019 02:19:01,13.09°C
27/06/2019 02:39:01,13.09°C
27/06/2019 02:59:01,13.466°C
27/06/2019 03:19:01,15.283°C
27/06/2019 03:39:01,16.16°C
27/06/2019 03:59:01,16.035°C
27/06/2019 04:19:01,16.16°C
27/06/2019 04:39:01,16.411°C
27/06/2019 04:59:01,16.536°C
27/06/2019 05:19:01,16.286°C
27/06/2019 05:39:01,16.16°C
27/06/2019 05:59:01,15.659°C
27/06/2019 06:19:01,15.597°C
27/06/2019 06:39:01,15.033°C
27/06/2019 06:59:01,14.155°C
27/06/2019 07:19:01,14.719°C
27/06/2019 07:39:01,16.16°C
27/06/2019 07:59:01,17.037°C
27/06/2019 08:19:01,17.789°C
27/06/2019 08:39:01,18.29°C
27/06/2019 08:59:01,19.479°C
27/06/2019 09:19:01,21.482°C
27/06/2019 09:39:01,27.047°C
27/06/2019 09:59:01,26.172°C
27/06/2019 10:19:01,25.484°C
27/06/2019 10:39:01,28.983°C
27/06/2019 10:59:01,28.733°C
27/06/2019 11:19:01,26.359°C
27/06/2019 11:39:01,26.172°C
27/06/2019 11:59:01,25.984°C
27/06/2019 12:19:01,27.172°C
27/06/2019 12:39:01,26.922°C
27/06/2019 12:59:01,27.859°C
27/06/2019 13:19:01,28.296°C
27/06/2019 13:39:01,28.046°C
27/06/2019 13:59:01,30.045°C
27/06/2019 14:19:01,31.044°C
27/06/2019 14:39:01,28.733°C
27/06/2019 14:59:01,29.67°C
27/06/2019 15:19:01,27.422°C
27/06/2019 15:39:01,24.984°C
27/06/2019 15:59:01,25.547°C
27/06/2019 16:19:01,28.484°C
27/06/2019 16:39:01,25.109°C
27/06/2019 16:59:01,23.108°C
27/06/2019 17:19:01,22.545°C
27/06/2019 17:39:01,21.294°C
27/06/2019 17:59:01,19.792°C
27/06/2019 18:19:01,18.415°C
27/06/2019 18:39:01,17.977°C
27/06/2019 18:59:01,17.789°C
27/06/2019 19:19:01,16.536°C
27/06/2019 19:39:01,15.784°C
27/06/2019 19:59:01,15.91°C
27/06/2019 20:19:01,17.1°C
27/06/2019 20:39:01,16.975°C
27/06/2019 20:59:01,16.098°C
27/06/2019 21:19:01,14.907°C
27/06/2019 21:39:01,14.218°C
27/06/2019 21:59:01,13.654°C
27/06/2019 22:19:01,13.215°C
27/06/2019 22:39:01,13.215°C
27/06/2019 22:59:01,13.027°C
27/06/2019 23:19:01,13.654°C
27/06/2019 23:39:01,13.278°C
27/06/2019 23:59:01,12.839°C
28/06/2019 00:19:01,13.152°C
28/06/2019 00:39:01,13.779°C
28/06/2019 00:59:01,14.531°C
28/06/2019 01:19:01,15.346°C
28/06/2019 01:39:01,15.91°C
28/06/2019 01:59:01,16.098°C
28/06/2019 02:19:01,15.847°C
28/06/2019 02:39:01,15.847°C
28/06/2019 02:59:01,15.283°C
28/06/2019 03:19:01,14.97°C
28/06/2019 03:39:01,15.346°C
28/06/2019 03:59:01,15.597°C
28/06/2019 04:19:01,16.035°C
28/06/2019 04:39:01,17.538°C
28/06/2019 04:59:01,18.102°C
28/06/2019 05:19:01,18.165°C
28/06/2019 05:39:01,18.165°C
28/06/2019 05:59:01,18.039°C
28/06/2019 06:19:01,18.039°C
28/06/2019 06:39:01,17.789°C
28/06/2019 06:59:01,18.039°C
28/06/2019 07:19:01,18.165°C
28/06/2019 07:39:01,18.29°C
28/06/2019 07:59:01,18.227°C
28/06/2019 08:19:01,18.54°C
28/06/2019 08:39:01,19.605°C
28/06/2019 08:59:01,23.046°C
28/06/2019 09:19:01,25.297°C
28/06/2019 09:39:01,30.919°C
28/06/2019 09:59:01,28.858°C
28/06/2019 10:19:01,28.109°C
28/06/2019 10:39:01,33.041°C
28/06/2019 10:59:01,31.855°C
28/06/2019 11:19:01,30.045°C
28/06/2019 11:39:01,30.107°C
28/06/2019 11:59:01,29.046°C
28/06/2019 12:19:01,28.983°C
28/06/2019 12:39:01,28.921°C
28/06/2019 12:59:01,30.857°C
28/06/2019 13:19:01,31.668°C
28/06/2019 13:39:01,32.292°C
28/06/2019 13:59:01,32.542°C
28/06/2019 14:19:01,33.79°C
28/06/2019 14:39:01,33.415°C
28/06/2019 14:59:01,30.42°C
28/06/2019 15:19:01,29.545°C
28/06/2019 15:39:01,29.046°C
28/06/2019 15:59:01,30.107°C
28/06/2019 16:19:01,30.42°C
28/06/2019 16:39:01,29.358°C
28/06/2019 16:59:01,28.109°C
28/06/2019 17:19:01,25.922°C
28/06/2019 17:39:01,25.547°C
28/06/2019 17:59:01,22.358°C
28/06/2019 18:19:01,21.107°C
28/06/2019 18:39:01,20.794°C
28/06/2019 18:59:01,20.606°C
28/06/2019 19:19:01,20.606°C
28/06/2019 19:39:01,20.606°C
28/06/2019 19:59:01,20.481°C
28/06/2019 20:19:01,20.481°C
28/06/2019 20:39:01,20.356°C
28/06/2019 20:59:01,20.23°C
28/06/2019 21:19:01,20.168°C
28/06/2019 21:39:01,19.98°C
28/06/2019 21:59:01,19.917°C
28/06/2019 22:19:01,20.043°C
28/06/2019 22:39:01,19.917°C
28/06/2019 22:59:01,19.917°C
28/06/2019 23:19:01,19.855°C
28/06/2019 23:39:01,19.667°C
28/06/2019 23:59:01,19.542°C
29/06/2019 00:19:01,19.479°C
29/06/2019 00:39:01,19.417°C
29/06/2019 00:59:01,19.417°C
29/06/2019 01:19:01,19.354°C
29/06/2019 01:39:01,19.229°C
29/06/2019 01:59:01,19.166°C
29/06/2019 02:19:01,18.979°C
29/06/2019 02:39:01,18.979°C
29/06/2019 02:59:01,19.041°C
29/06/2019 03:19:01,18.979°C
29/06/2019 03:39:01,18.665°C
29/06/2019 03:59:01,18.415°C
29/06/2019 04:19:01,18.227°C
29/06/2019 04:39:01,18.227°C
29/06/2019 04:59:01,18.352°C
29/06/2019 05:19:01,18.478°C
29/06/2019 05:39:01,18.54°C
29/06/2019 05:59:01,18.603°C
29/06/2019 06:19:01,18.603°C
29/06/2019 06:39:01,18.352°C
29/06/2019 06:59:01,18.478°C
29/06/2019 07:19:01,18.728°C
29/06/2019 07:39:01,18.853°C
29/06/2019 07:59:01,18.728°C
29/06/2019 08:19:01,18.728°C
29/06/2019 08:39:01,18.979°C
29/06/2019 08:59:01,19.855°C
29/06/2019 09:19:01,20.293°C
29/06/2019 09:39:01,24.234°C
29/06/2019 09:59:01,23.859°C
29/06/2019 10:19:01,24.234°C
29/06/2019 10:39:01,23.796°C
29/06/2019 10:59:01,25.172°C
29/06/2019 11:19:01,24.234°C
29/06/2019 11:39:01,23.609°C
29/06/2019 11:59:01,23.734°C
29/06/2019 12:19:01,25.297°C
29/06/2019 12:39:01,25.047°C
29/06/2019 12:59:01,24.359°C
29/06/2019 13:19:01,28.546°C
29/06/2019 13:39:01,28.046°C
29/06/2019 13:59:01,27.609°C
29/06/2019 14:19:01,28.733°C
29/06/2019 14:39:01,26.547°C
29/06/2019 14:59:01,26.547°C
29/06/2019 15:19:01,27.047°C
29/06/2019 15:39:01,27.234°C
29/06/2019 15:59:01,27.234°C
29/06/2019 16:19:01,26.672°C
29/06/2019 16:39:01,24.297°C
29/06/2019 16:59:01,21.857°C
29/06/2019 17:19:01,20.794°C
29/06/2019 17:39:01,20.794°C
29/06/2019 17:59:01,20.105°C
29/06/2019 18:19:01,19.792°C
29/06/2019 18:39:01,19.229°C
29/06/2019 18:59:01,19.292°C
29/06/2019 19:19:01,19.104°C
29/06/2019 19:39:01,18.227°C
29/06/2019 19:59:01,18.227°C
29/06/2019 20:19:01,18.102°C
29/06/2019 20:39:01,17.789°C
29/06/2019 20:59:01,17.664°C
29/06/2019 21:19:01,16.975°C
29/06/2019 21:39:01,16.286°C
29/06/2019 21:59:01,15.972°C
29/06/2019 22:19:01,15.91°C
29/06/2019 22:39:01,16.098°C
29/06/2019 22:59:01,16.035°C
29/06/2019 23:19:01,16.223°C
29/06/2019 23:39:01,16.098°C
29/06/2019 23:59:01,15.847°C
30/06/2019 00:19:01,16.098°C
30/06/2019 00:39:01,15.722°C
30/06/2019 00:59:01,15.409°C
30/06/2019 01:19:01,15.095°C
30/06/2019 01:39:01,14.782°C
30/06/2019 01:59:01,14.97°C
30/06/2019 02:19:01,14.845°C
30/06/2019 02:39:01,14.845°C
30/06/2019 02:59:01,14.907°C
30/06/2019 03:19:01,14.907°C
30/06/2019 03:39:01,14.97°C
30/06/2019 03:59:01,14.97°C
30/06/2019 04:19:01,15.033°C
30/06/2019 04:39:01,14.782°C
30/06/2019 04:59:01,14.531°C
30/06/2019 05:19:01,14.281°C
30/06/2019 05:39:01,14.03°C
30/06/2019 05:59:01,13.779°C
30/06/2019 06:19:01,13.591°C
30/06/2019 06:39:01,13.403°C
30/06/2019 06:59:01,13.403°C
30/06/2019 07:19:01,13.215°C
30/06/2019 07:39:01,13.09°C
30/06/2019 07:59:01,13.152°C
30/06/2019 08:19:01,15.471°C
30/06/2019 08:39:01,16.286°C
30/06/2019 08:59:01,18.415°C
30/06/2019 09:19:01,20.168°C
30/06/2019 09:39:01,26.484°C
30/06/2019 09:59:01,25.484°C
30/06/2019 10:19:01,24.547°C
30/06/2019 10:39:01,28.733°C
30/06/2019 10:59:01,28.109°C
30/06/2019 11:19:01,24.422°C
30/06/2019 11:39:01,25.172°C
30/06/2019 11:59:01,23.546°C
30/06/2019 12:19:01,24.672°C
30/06/2019 12:39:01,24.484°C
30/06/2019 12:59:01,25.672°C
30/06/2019 13:19:01,29.42°C
30/06/2019 13:39:01,27.796°C
30/06/2019 13:59:01,28.733°C
30/06/2019 14:19:01,30.544°C
30/06/2019 14:39:01,30.919°C
30/06/2019 14:59:01,30.357°C
30/06/2019 15:19:01,27.109°C
30/06/2019 15:39:01,27.484°C
30/06/2019 15:59:01,27.297°C
30/06/2019 16:19:01,26.922°C
30/06/2019 16:39:01,26.234°C
30/06/2019 16:59:01,24.609°C
30/06/2019 17:19:01,22.233°C
30/06/2019 17:39:01,20.731°C
30/06/2019 17:59:01,19.354°C
30/06/2019 18:19:01,17.977°C
30/06/2019 18:39:01,16.975°C
30/06/2019 18:59:01,16.348°C
30/06/2019 19:19:01,15.659°C
30/06/2019 19:39:01,14.719°C
30/06/2019 19:59:01,14.03°C
30/06/2019 20:19:01,13.654°C
30/06/2019 20:39:01,13.528°C
30/06/2019 20:59:01,14.281°C
30/06/2019 21:19:01,14.782°C
30/06/2019 21:39:01,14.218°C
30/06/2019 21:59:01,13.027°C
30/06/2019 22:19:01,12.274°C
30/06/2019 22:39:01,12.024°C
30/06/2019 22:59:01,11.898°C
30/06/2019 23:19:01,11.836°C
30/06/2019 23:39:01,11.585°C
30/06/2019 23:59:01,11.585°C
01/07/2019 00:19:01,11.647°C
