id,year,month,day,hour,minute,second,Etime,Tcham
0,2018,12,10,16,56,6,-60,24.34
1,2018,12,10,16,56,7,-59,24.42
2,2018,12,10,16,56,8,-58,24.34
3,2018,12,10,16,56,9,-57,24.34
4,2018,12,10,16,56,10,-56,24.42
5,2018,12,10,16,56,11,-55,24.34
6,2018,12,10,16,56,12,-54,24.34
7,2018,12,10,16,56,13,-53,24.42
8,2018,12,10,16,56,14,-52,24.34
9,2018,12,10,16,56,15,-51,24.42
10,2018,12,10,16,56,16,-50,24.42
11,2018,12,10,16,56,17,-49,24.34
12,2018,12,10,16,56,18,-48,24.42
13,2018,12,10,16,56,19,-47,24.42
14,2018,12,10,16,56,21,-46,24.34
15,2018,12,10,16,56,22,-45,24.42
16,2018,12,10,16,56,23,-44,24.34
17,2018,12,10,16,56,24,-43,24.42
18,2018,12,10,16,56,25,-42,24.42
19,2018,12,10,16,56,26,-41,24.42
20,2018,12,10,16,56,27,-40,24.42
21,2018,12,10,16,56,28,-39,24.34
22,2018,12,10,16,56,29,-38,24.42
23,2018,12,10,16,56,30,-37,24.42
24,2018,12,10,16,56,31,-36,24.42
25,2018,12,10,16,56,32,-35,24.42
26,2018,12,10,16,56,33,-34,24.42
27,2018,12,10,16,56,34,-33,24.42
28,2018,12,10,16,56,35,-32,24.42
29,2018,12,10,16,56,36,-31,24.42
30,2018,12,10,16,56,37,-30,24.42
31,2018,12,10,16,56,38,-29,24.42
32,2018,12,10,16,56,39,-28,24.42
33,2018,12,10,16,56,40,-27,24.42
34,2018,12,10,16,56,41,-26,24.42
35,2018,12,10,16,56,42,-25,24.42
36,2018,12,10,16,56,43,-24,24.42
37,2018,12,10,16,56,44,-23,24.42
38,2018,12,10,16,56,45,-22,24.42
39,2018,12,10,16,56,46,-21,24.42
40,2018,12,10,16,56,47,-20,24.42
41,2018,12,10,16,56,48,-19,24.42
42,2018,12,10,16,56,49,-18,24.42
43,2018,12,10,16,56,50,-17,24.42
44,2018,12,10,16,56,51,-16,24.42
45,2018,12,10,16,56,52,-15,24.42
46,2018,12,10,16,56,53,-14,24.42
47,2018,12,10,16,56,54,-13,24.42
48,2018,12,10,16,56,55,-12,24.42
49,2018,12,10,16,56,57,-11,24.42
50,2018,12,10,16,56,58,-10,24.42
51,2018,12,10,16,56,59,-9,24.42
52,2018,12,10,16,57,0,-8,24.42
53,2018,12,10,16,57,1,-7,24.42
54,2018,12,10,16,57,2,-6,24.42
55,2018,12,10,16,57,3,-5,24.42
56,2018,12,10,16,57,4,-4,24.42
57,2018,12,10,16,57,5,-3,24.42
58,2018,12,10,16,57,6,-2,24.42
59,2018,12,10,16,57,7,-1,24.42
60,2018,12,10,16,57,8,0,24.42
61,2018,12,10,16,57,9,1,24.34
62,2018,12,10,16,57,10,2,24.34
63,2018,12,10,16,57,11,3,24.34
64,2018,12,10,16,57,12,4,24.34
65,2018,12,10,16,57,13,5,24.34
66,2018,12,10,16,57,14,6,24.34
67,2018,12,10,16,57,15,7,24.34
68,2018,12,10,16,57,16,8,24.34
69,2018,12,10,16,57,17,9,24.34
70,2018,12,10,16,57,18,10,24.34
71,2018,12,10,16,57,19,11,24.34
72,2018,12,10,16,57,20,12,24.34
73,2018,12,10,16,57,21,13,24.34
74,2018,12,10,16,57,22,14,24.34
75,2018,12,10,16,57,23,15,24.34
76,2018,12,10,16,57,24,16,24.34
77,2018,12,10,16,57,25,17,24.42
78,2018,12,10,16,57,26,18,24.34
79,2018,12,10,16,57,27,19,24.34
80,2018,12,10,16,57,28,20,24.34
81,2018,12,10,16,57,29,21,24.42
82,2018,12,10,16,57,30,22,24.34
83,2018,12,10,16,57,31,23,24.34
84,2018,12,10,16,57,32,24,24.34
85,2018,12,10,16,57,33,25,24.34
86,2018,12,10,16,57,35,26,24.34
87,2018,12,10,16,57,36,27,24.34
88,2018,12,10,16,57,37,28,24.34
89,2018,12,10,16,57,38,29,24.34
90,2018,12,10,16,57,39,30,24.34
91,2018,12,10,16,57,40,31,24.34
92,2018,12,10,16,57,41,32,24.34
93,2018,12,10,16,57,42,33,24.34
94,2018,12,10,16,57,43,34,24.34
95,2018,12,10,16,57,44,35,24.34
96,2018,12,10,16,57,45,36,24.34
97,2018,12,10,16,57,46,37,24.34
98,2018,12,10,16,57,47,38,24.42
99,2018,12,10,16,57,48,39,24.34
100,2018,12,10,16,57,49,40,24.34
101,2018,12,10,16,57,50,41,24.34
102,2018,12,10,16,57,51,42,24.34
103,2018,12,10,16,57,52,43,24.34
104,2018,12,10,16,57,53,44,24.34
105,2018,12,10,16,57,54,45,24.34
106,2018,12,10,16,57,55,46,24.34
107,2018,12,10,16,57,56,47,24.34
108,2018,12,10,16,57,57,48,24.34
109,2018,12,10,16,57,58,49,24.34
110,2018,12,10,16,57,59,50,24.34
111,2018,12,10,16,58,0,51,24.42
112,2018,12,10,16,58,1,52,24.34
113,2018,12,10,16,58,2,53,24.42
114,2018,12,10,16,58,3,54,24.34
115,2018,12,10,16,58,4,55,24.34
116,2018,12,10,16,58,5,56,24.34
117,2018,12,10,16,58,6,57,24.34
118,2018,12,10,16,58,7,58,24.34
119,2018,12,10,16,58,8,59,24.34
120,2018,12,10,16,58,9,60,24.34
121,2018,12,10,16,58,10,61,24.34
122,2018,12,10,16,58,11,62,24.34
123,2018,12,10,16,58,13,63,24.34
124,2018,12,10,16,58,14,64,24.42
125,2018,12,10,16,58,15,65,24.42
126,2018,12,10,16,58,16,66,24.34
127,2018,12,10,16,58,17,67,24.34
128,2018,12,10,16,58,18,68,24.34
129,2018,12,10,16,58,19,69,24.34
130,2018,12,10,16,58,20,70,24.34
131,2018,12,10,16,58,21,71,24.34
132,2018,12,10,16,58,22,72,24.42
133,2018,12,10,16,58,23,73,24.42
134,2018,12,10,16,58,24,74,24.34
135,2018,12,10,16,58,25,75,24.34
136,2018,12,10,16,58,26,76,24.42
137,2018,12,10,16,58,27,77,24.34
138,2018,12,10,16,58,28,78,24.34
139,2018,12,10,16,58,29,79,24.34
140,2018,12,10,16,58,30,80,24.34
141,2018,12,10,16,58,31,81,24.42
142,2018,12,10,16,58,32,82,24.34
143,2018,12,10,16,58,33,83,24.42
144,2018,12,10,16,58,34,84,24.34
145,2018,12,10,16,58,35,85,24.34
146,2018,12,10,16,58,36,86,24.34
147,2018,12,10,16,58,37,87,24.42
148,2018,12,10,16,58,38,88,24.34
149,2018,12,10,16,58,39,89,24.42
150,2018,12,10,16,58,40,90,24.42
151,2018,12,10,16,58,41,91,24.34
152,2018,12,10,16,58,42,92,24.34
153,2018,12,10,16,58,43,93,24.34
154,2018,12,10,16,58,44,94,24.34
155,2018,12,10,16,58,45,95,24.34
156,2018,12,10,16,58,46,96,24.34
157,2018,12,10,16,58,47,97,24.42
158,2018,12,10,16,58,48,98,24.34
159,2018,12,10,16,58,50,99,24.34
160,2018,12,10,16,58,51,100,24.34
161,2018,12,10,16,58,52,101,24.34
162,2018,12,10,16,58,53,102,24.34
163,2018,12,10,16,58,54,103,24.34
164,2018,12,10,16,58,55,104,24.34
165,2018,12,10,16,58,56,105,24.34
166,2018,12,10,16,58,57,106,24.34
167,2018,12,10,16,58,58,107,24.34
168,2018,12,10,16,58,59,108,24.34
169,2018,12,10,16,59,0,109,24.34
170,2018,12,10,16,59,1,110,24.42
171,2018,12,10,16,59,2,111,24.42
172,2018,12,10,16,59,3,112,24.34
173,2018,12,10,16,59,4,113,24.34
174,2018,12,10,16,59,5,114,24.34
175,2018,12,10,16,59,6,115,24.34
176,2018,12,10,16,59,7,116,24.34
177,2018,12,10,16,59,8,117,24.34
178,2018,12,10,16,59,9,118,24.34
179,2018,12,10,16,59,10,119,24.34
180,2018,12,10,16,59,11,120,24.34
181,2018,12,10,16,59,12,121,24.34
182,2018,12,10,16,59,13,122,24.34
183,2018,12,10,16,59,14,123,24.34
184,2018,12,10,16,59,15,124,24.34
185,2018,12,10,16,59,16,125,24.34
186,2018,12,10,16,59,17,126,24.34
187,2018,12,10,16,59,18,127,24.34
188,2018,12,10,16,59,19,128,24.34
189,2018,12,10,16,59,20,129,24.34
190,2018,12,10,16,59,21,130,24.34
191,2018,12,10,16,59,22,131,24.34
192,2018,12,10,16,59,23,132,24.34
