id,year,month,day,hour,minute,second,Etime,Tcham
0,2018,12,13,15,58,15,-60,25.43
1,2018,12,13,15,58,16,-59,25.43
2,2018,12,13,15,58,17,-58,25.43
3,2018,12,13,15,58,18,-57,25.43
4,2018,12,13,15,58,20,-56,25.43
5,2018,12,13,15,58,21,-55,25.43
6,2018,12,13,15,58,22,-54,25.43
7,2018,12,13,15,58,23,-53,25.43
8,2018,12,13,15,58,24,-52,25.43
9,2018,12,13,15,58,25,-51,25.43
10,2018,12,13,15,58,26,-50,25.43
11,2018,12,13,15,58,27,-49,25.43
12,2018,12,13,15,58,28,-48,25.43
13,2018,12,13,15,58,29,-47,25.43
14,2018,12,13,15,58,30,-46,25.43
15,2018,12,13,15,58,31,-45,25.43
16,2018,12,13,15,58,32,-44,25.43
17,2018,12,13,15,58,33,-43,25.43
18,2018,12,13,15,58,34,-42,25.43
19,2018,12,13,15,58,35,-41,25.43
20,2018,12,13,15,58,36,-40,25.51
21,2018,12,13,15,58,37,-39,25.51
22,2018,12,13,15,58,38,-38,25.43
23,2018,12,13,15,58,39,-37,25.51
24,2018,12,13,15,58,40,-36,25.51
25,2018,12,13,15,58,41,-35,25.43
26,2018,12,13,15,58,42,-34,25.43
27,2018,12,13,15,58,43,-33,25.43
28,2018,12,13,15,58,44,-32,25.43
29,2018,12,13,15,58,45,-31,25.43
30,2018,12,13,15,58,46,-30,25.51
31,2018,12,13,15,58,47,-29,25.51
32,2018,12,13,15,58,48,-28,25.43
33,2018,12,13,15,58,49,-27,25.43
34,2018,12,13,15,58,50,-26,25.51
35,2018,12,13,15,58,51,-25,25.51
36,2018,12,13,15,58,52,-24,25.51
37,2018,12,13,15,58,53,-23,25.51
38,2018,12,13,15,58,54,-22,25.43
39,2018,12,13,15,58,56,-21,25.51
40,2018,12,13,15,58,57,-20,25.51
41,2018,12,13,15,58,58,-19,25.51
42,2018,12,13,15,58,59,-18,25.51
43,2018,12,13,15,59,0,-17,25.51
44,2018,12,13,15,59,1,-16,25.51
45,2018,12,13,15,59,2,-15,25.51
46,2018,12,13,15,59,3,-14,25.51
47,2018,12,13,15,59,4,-13,25.51
48,2018,12,13,15,59,5,-12,25.51
49,2018,12,13,15,59,6,-11,25.51
50,2018,12,13,15,59,7,-10,25.51
51,2018,12,13,15,59,8,-9,25.51
52,2018,12,13,15,59,9,-8,25.51
53,2018,12,13,15,59,10,-7,25.51
54,2018,12,13,15,59,11,-6,25.51
55,2018,12,13,15,59,12,-5,25.51
56,2018,12,13,15,59,13,-4,25.51
57,2018,12,13,15,59,14,-3,25.51
58,2018,12,13,15,59,15,-2,25.51
59,2018,12,13,15,59,16,-1,25.51
60,2018,12,13,15,59,17,0,25.51
61,2018,12,13,15,59,18,1,25.43
62,2018,12,13,15,59,19,2,25.43
63,2018,12,13,15,59,20,3,25.43
64,2018,12,13,15,59,21,4,25.43
65,2018,12,13,15,59,22,5,25.43
66,2018,12,13,15,59,23,6,25.43
67,2018,12,13,15,59,24,7,25.43
68,2018,12,13,15,59,25,8,25.43
69,2018,12,13,15,59,26,9,25.51
70,2018,12,13,15,59,27,10,25.43
71,2018,12,13,15,59,28,11,25.43
72,2018,12,13,15,59,29,12,25.43
73,2018,12,13,15,59,30,13,25.43
74,2018,12,13,15,59,31,14,25.43
75,2018,12,13,15,59,32,15,25.51
76,2018,12,13,15,59,34,16,25.51
77,2018,12,13,15,59,35,17,25.43
78,2018,12,13,15,59,36,18,25.51
79,2018,12,13,15,59,37,19,25.51
