id,year,month,day,hour,minute,second,Etime,Tcham
0,2018,12,13,10,25,9,-60,24.09
1,2018,12,13,10,25,10,-59,24.09
2,2018,12,13,10,25,11,-58,24.09
3,2018,12,13,10,25,12,-57,24.17
4,2018,12,13,10,25,13,-56,24.09
5,2018,12,13,10,25,14,-55,24.09
6,2018,12,13,10,25,15,-54,24.09
7,2018,12,13,10,25,16,-53,24.17
8,2018,12,13,10,25,17,-52,24.09
9,2018,12,13,10,25,18,-51,24.17
10,2018,12,13,10,25,19,-50,24.09
11,2018,12,13,10,25,20,-49,24.09
12,2018,12,13,10,25,21,-48,24.09
13,2018,12,13,10,25,22,-47,24.17
14,2018,12,13,10,25,23,-46,24.09
15,2018,12,13,10,25,25,-45,24.09
16,2018,12,13,10,25,26,-44,24.09
17,2018,12,13,10,25,27,-43,24.09
18,2018,12,13,10,25,28,-42,24.17
19,2018,12,13,10,25,29,-41,24.17
20,2018,12,13,10,25,30,-40,24.09
21,2018,12,13,10,25,31,-39,24.09
22,2018,12,13,10,25,32,-38,24.09
23,2018,12,13,10,25,33,-37,24.09
24,2018,12,13,10,25,34,-36,24.17
25,2018,12,13,10,25,35,-35,24.17
26,2018,12,13,10,25,36,-34,24.09
27,2018,12,13,10,25,37,-33,24.09
28,2018,12,13,10,25,38,-32,24.09
29,2018,12,13,10,25,39,-31,24.17
30,2018,12,13,10,25,40,-30,24.09
31,2018,12,13,10,25,41,-29,24.09
32,2018,12,13,10,25,42,-28,24.09
33,2018,12,13,10,25,43,-27,24.17
34,2018,12,13,10,25,44,-26,24.09
35,2018,12,13,10,25,45,-25,24.09
36,2018,12,13,10,25,46,-24,24.09
37,2018,12,13,10,25,47,-23,24.09
38,2018,12,13,10,25,48,-22,24.09
39,2018,12,13,10,25,49,-21,24.09
40,2018,12,13,10,25,50,-20,24.09
41,2018,12,13,10,25,51,-19,24.17
42,2018,12,13,10,25,52,-18,24.17
43,2018,12,13,10,25,53,-17,24.09
44,2018,12,13,10,25,54,-16,24.09
45,2018,12,13,10,25,55,-15,24.09
46,2018,12,13,10,25,56,-14,24.09
47,2018,12,13,10,25,57,-13,24.09
48,2018,12,13,10,25,58,-12,24.17
49,2018,12,13,10,25,59,-11,24.09
50,2018,12,13,10,26,1,-10,24.17
51,2018,12,13,10,26,2,-9,24.17
52,2018,12,13,10,26,3,-8,24.17
53,2018,12,13,10,26,4,-7,24.17
54,2018,12,13,10,26,5,-6,24.17
55,2018,12,13,10,26,6,-5,24.09
56,2018,12,13,10,26,7,-4,24.09
57,2018,12,13,10,26,8,-3,24.17
58,2018,12,13,10,26,9,-2,24.09
59,2018,12,13,10,26,10,-1,24.09
60,2018,12,13,10,26,11,0,24.01
61,2018,12,13,10,26,12,1,24.01
62,2018,12,13,10,26,13,2,24.01
63,2018,12,13,10,26,14,3,24.01
64,2018,12,13,10,26,15,4,24.01
65,2018,12,13,10,26,16,5,24.01
66,2018,12,13,10,26,17,6,24.01
67,2018,12,13,10,26,18,7,24.01
68,2018,12,13,10,26,19,8,24.01
69,2018,12,13,10,26,20,9,24.01
70,2018,12,13,10,26,21,10,24.01
71,2018,12,13,10,26,22,11,24.01
72,2018,12,13,10,26,23,12,24.01
73,2018,12,13,10,26,24,13,24.01
74,2018,12,13,10,26,25,14,24.01
75,2018,12,13,10,26,26,15,24.09
76,2018,12,13,10,26,27,16,24.01
77,2018,12,13,10,26,28,17,24.01
78,2018,12,13,10,26,29,18,24.01
79,2018,12,13,10,26,30,19,24.01
80,2018,12,13,10,26,31,20,24.01
81,2018,12,13,10,26,32,21,24.01
82,2018,12,13,10,26,33,22,24.01
83,2018,12,13,10,26,34,23,24.01
84,2018,12,13,10,26,35,24,24.01
85,2018,12,13,10,26,36,25,24.01
86,2018,12,13,10,26,37,26,24.01
87,2018,12,13,10,26,39,27,24.01
88,2018,12,13,10,26,40,28,24.01
89,2018,12,13,10,26,41,29,24.01
90,2018,12,13,10,26,42,30,24.01
91,2018,12,13,10,26,43,31,24.01
92,2018,12,13,10,26,44,32,24.01
93,2018,12,13,10,26,45,33,24.01
94,2018,12,13,10,26,46,34,24.01
95,2018,12,13,10,26,47,35,24.01
96,2018,12,13,10,26,48,36,24.01
97,2018,12,13,10,26,49,37,24.01
98,2018,12,13,10,26,50,38,24.01
99,2018,12,13,10,26,51,39,24.01
100,2018,12,13,10,26,52,40,24.01
101,2018,12,13,10,26,53,41,24.01
102,2018,12,13,10,26,54,42,24.01
103,2018,12,13,10,26,55,43,24.01
104,2018,12,13,10,26,56,44,24.01
105,2018,12,13,10,26,57,45,24.01
106,2018,12,13,10,26,58,46,24.01
107,2018,12,13,10,26,59,47,24.01
108,2018,12,13,10,27,0,48,24.01
109,2018,12,13,10,27,1,49,24.01
110,2018,12,13,10,27,2,50,24.01
111,2018,12,13,10,27,3,51,24.01
112,2018,12,13,10,27,4,52,24.01
113,2018,12,13,10,27,5,53,24.01
114,2018,12,13,10,27,6,54,24.01
115,2018,12,13,10,27,7,55,24.01
116,2018,12,13,10,27,8,56,24.01
117,2018,12,13,10,27,9,57,24.01
118,2018,12,13,10,27,10,58,24.01
119,2018,12,13,10,27,11,59,24.01
120,2018,12,13,10,27,12,60,24.01
121,2018,12,13,10,27,13,61,24.01
122,2018,12,13,10,27,14,62,24.01
123,2018,12,13,10,27,16,63,24.01
