id,year,month,day,hour,minute,second,Etime,Tcham
0,2019,12,3,14,15,51,-60,30.90
1,2019,12,3,14,15,52,-59,30.98
2,2019,12,3,14,15,53,-58,30.98
3,2019,12,3,14,15,54,-57,31.07
4,2019,12,3,14,15,55,-56,30.90
5,2019,12,3,14,15,56,-55,30.98
6,2019,12,3,14,15,57,-54,30.98
7,2019,12,3,14,15,58,-53,30.98
8,2019,12,3,14,15,59,-52,30.98
9,2019,12,3,14,16,0,-51,31.07
10,2019,12,3,14,16,1,-50,30.98
11,2019,12,3,14,16,2,-49,30.98
12,2019,12,3,14,16,3,-48,31.07
13,2019,12,3,14,16,4,-47,30.98
14,2019,12,3,14,16,5,-46,30.98
15,2019,12,3,14,16,6,-45,31.07
16,2019,12,3,14,16,7,-44,31.07
17,2019,12,3,14,16,8,-43,30.98
18,2019,12,3,14,16,9,-42,31.07
19,2019,12,3,14,16,10,-41,31.07
20,2019,12,3,14,16,11,-40,31.07
21,2019,12,3,14,16,12,-39,31.07
22,2019,12,3,14,16,13,-38,31.07
23,2019,12,3,14,16,14,-37,31.07
24,2019,12,3,14,16,15,-36,31.07
25,2019,12,3,14,16,16,-35,31.16
26,2019,12,3,14,16,17,-34,30.98
27,2019,12,3,14,16,18,-33,31.07
28,2019,12,3,14,16,19,-32,31.16
29,2019,12,3,14,16,20,-31,31.16
30,2019,12,3,14,16,21,-30,31.07
31,2019,12,3,14,16,23,-29,31.07
32,2019,12,3,14,16,24,-28,31.07
33,2019,12,3,14,16,25,-27,31.16
34,2019,12,3,14,16,26,-26,31.07
35,2019,12,3,14,16,27,-25,31.07
36,2019,12,3,14,16,28,-24,31.07
37,2019,12,3,14,16,29,-23,31.16
38,2019,12,3,14,16,30,-22,31.16
39,2019,12,3,14,16,31,-21,31.07
40,2019,12,3,14,16,32,-20,31.07
41,2019,12,3,14,16,33,-19,31.07
42,2019,12,3,14,16,34,-18,31.07
43,2019,12,3,14,16,35,-17,31.16
44,2019,12,3,14,16,36,-16,31.16
45,2019,12,3,14,16,37,-15,31.16
46,2019,12,3,14,16,38,-14,31.16
47,2019,12,3,14,16,39,-13,31.07
48,2019,12,3,14,16,40,-12,31.07
49,2019,12,3,14,16,41,-11,31.07
50,2019,12,3,14,16,42,-10,31.07
51,2019,12,3,14,16,43,-9,30.98
52,2019,12,3,14,16,44,-8,31.16
53,2019,12,3,14,16,45,-7,31.16
54,2019,12,3,14,16,46,-6,31.16
55,2019,12,3,14,16,47,-5,31.07
56,2019,12,3,14,16,48,-4,31.07
57,2019,12,3,14,16,49,-3,31.16
58,2019,12,3,14,16,50,-2,31.07
59,2019,12,3,14,16,51,-1,31.16
60,2019,12,3,14,16,52,0,31.07
61,2019,12,3,14,16,53,1,30.98
62,2019,12,3,14,16,54,2,30.98
63,2019,12,3,14,16,55,3,30.98
64,2019,12,3,14,16,56,4,30.98
65,2019,12,3,14,16,57,5,30.98
66,2019,12,3,14,16,58,6,30.98
67,2019,12,3,14,17,0,7,30.98
68,2019,12,3,14,17,1,8,30.98
69,2019,12,3,14,17,2,9,30.98
70,2019,12,3,14,17,3,10,30.98
71,2019,12,3,14,17,4,11,30.98
72,2019,12,3,14,17,5,12,30.98
73,2019,12,3,14,17,6,13,30.98
74,2019,12,3,14,17,7,14,30.98
75,2019,12,3,14,17,8,15,30.98
76,2019,12,3,14,17,9,16,30.98
77,2019,12,3,14,17,10,17,31.07
78,2019,12,3,14,17,11,18,30.98
79,2019,12,3,14,17,12,19,30.98
80,2019,12,3,14,17,13,20,30.98
81,2019,12,3,14,17,14,21,30.98
82,2019,12,3,14,17,15,22,30.98
83,2019,12,3,14,17,16,23,30.98
84,2019,12,3,14,17,17,24,30.98
85,2019,12,3,14,17,18,25,30.98
86,2019,12,3,14,17,19,26,30.98
87,2019,12,3,14,17,20,27,31.07
88,2019,12,3,14,17,21,28,30.98
89,2019,12,3,14,17,22,29,30.98
90,2019,12,3,14,17,23,30,30.98
91,2019,12,3,14,17,24,31,30.98
92,2019,12,3,14,17,25,32,30.98
93,2019,12,3,14,17,26,33,30.98
94,2019,12,3,14,17,27,34,30.98
95,2019,12,3,14,17,28,35,30.98
96,2019,12,3,14,17,29,36,31.07
97,2019,12,3,14,17,30,37,30.98
98,2019,12,3,14,17,31,38,30.98
99,2019,12,3,14,17,32,39,30.98
100,2019,12,3,14,17,33,40,30.98
101,2019,12,3,14,17,34,41,30.98
102,2019,12,3,14,17,35,42,30.98
103,2019,12,3,14,17,37,43,31.07
104,2019,12,3,14,17,38,44,30.98
105,2019,12,3,14,17,39,45,30.98
106,2019,12,3,14,17,40,46,30.98
107,2019,12,3,14,17,41,47,30.98
108,2019,12,3,14,17,42,48,30.98
109,2019,12,3,14,17,43,49,30.98
110,2019,12,3,14,17,44,50,30.98
111,2019,12,3,14,17,45,51,30.98
112,2019,12,3,14,17,46,52,30.98
113,2019,12,3,14,17,47,53,31.07
114,2019,12,3,14,17,48,54,30.98
115,2019,12,3,14,17,49,55,31.07
116,2019,12,3,14,17,50,56,30.98
117,2019,12,3,14,17,51,57,30.98
118,2019,12,3,14,17,52,58,30.98
119,2019,12,3,14,17,53,59,30.98
120,2019,12,3,14,17,54,60,31.07
121,2019,12,3,14,17,55,61,30.98
122,2019,12,3,14,17,56,62,30.98
123,2019,12,3,14,17,57,63,31.07
124,2019,12,3,14,17,58,64,30.98
125,2019,12,3,14,17,59,65,30.98
126,2019,12,3,14,18,0,66,30.98
127,2019,12,3,14,18,1,67,30.98
128,2019,12,3,14,18,2,68,30.98
129,2019,12,3,14,18,3,69,30.98
130,2019,12,3,14,18,4,70,30.98
131,2019,12,3,14,18,5,71,30.98
132,2019,12,3,14,18,6,72,30.98
133,2019,12,3,14,18,7,73,30.98
134,2019,12,3,14,18,8,74,30.98
135,2019,12,3,14,18,9,75,30.98
136,2019,12,3,14,18,10,76,31.07
137,2019,12,3,14,18,11,77,31.07
138,2019,12,3,14,18,12,78,30.98
139,2019,12,3,14,18,14,79,30.98
140,2019,12,3,14,18,15,80,30.98
141,2019,12,3,14,18,16,81,30.98
142,2019,12,3,14,18,17,82,30.98
143,2019,12,3,14,18,18,83,31.07
144,2019,12,3,14,18,19,84,30.98
145,2019,12,3,14,18,20,85,30.98
146,2019,12,3,14,18,21,86,31.07
147,2019,12,3,14,18,22,87,31.07
148,2019,12,3,14,18,23,88,30.98
149,2019,12,3,14,18,24,89,31.07
150,2019,12,3,14,18,25,90,30.98
151,2019,12,3,14,18,26,91,30.98
152,2019,12,3,14,18,27,92,31.07
153,2019,12,3,14,18,28,93,30.98
154,2019,12,3,14,18,29,94,31.07
155,2019,12,3,14,18,30,95,31.07
156,2019,12,3,14,18,31,96,30.98
157,2019,12,3,14,18,32,97,30.98
158,2019,12,3,14,18,33,98,30.98
159,2019,12,3,14,18,34,99,30.98
160,2019,12,3,14,18,35,100,30.98
161,2019,12,3,14,18,36,101,31.07
162,2019,12,3,14,18,37,102,30.98
163,2019,12,3,14,18,38,103,30.98
164,2019,12,3,14,18,39,104,31.07
165,2019,12,3,14,18,40,105,31.07
166,2019,12,3,14,18,41,106,30.98
167,2019,12,3,14,18,42,107,30.98
168,2019,12,3,14,18,43,108,30.98
169,2019,12,3,14,18,44,109,31.07
170,2019,12,3,14,18,45,110,30.98
171,2019,12,3,14,18,46,111,31.07
172,2019,12,3,14,18,47,112,30.98
173,2019,12,3,14,18,48,113,31.07
174,2019,12,3,14,18,49,114,31.07
175,2019,12,3,14,18,51,115,31.07
176,2019,12,3,14,18,52,116,30.98
177,2019,12,3,14,18,53,117,30.98
178,2019,12,3,14,18,54,118,31.07
179,2019,12,3,14,18,55,119,30.98
180,2019,12,3,14,18,56,120,30.98
181,2019,12,3,14,18,57,121,30.98
182,2019,12,3,14,18,58,122,31.07
183,2019,12,3,14,18,59,123,30.98
184,2019,12,3,14,19,0,124,30.98
185,2019,12,3,14,19,1,125,30.98
186,2019,12,3,14,19,2,126,30.98
187,2019,12,3,14,19,3,127,31.07
188,2019,12,3,14,19,4,128,31.07
189,2019,12,3,14,19,5,129,30.98
190,2019,12,3,14,19,6,130,30.98
191,2019,12,3,14,19,7,131,31.07
192,2019,12,3,14,19,8,132,30.98
193,2019,12,3,14,19,9,133,31.07
194,2019,12,3,14,19,10,134,30.98
195,2019,12,3,14,19,11,135,31.07
196,2019,12,3,14,19,12,136,30.98
197,2019,12,3,14,19,13,137,31.07
198,2019,12,3,14,19,14,138,30.98
199,2019,12,3,14,19,15,139,30.98
200,2019,12,3,14,19,16,140,30.98
201,2019,12,3,14,19,17,141,31.07
202,2019,12,3,14,19,18,142,30.98
203,2019,12,3,14,19,19,143,30.98
204,2019,12,3,14,19,20,144,31.07
205,2019,12,3,14,19,21,145,30.98
206,2019,12,3,14,19,22,146,31.07
207,2019,12,3,14,19,23,147,31.07
208,2019,12,3,14,19,24,148,30.98
209,2019,12,3,14,19,25,149,31.07
210,2019,12,3,14,19,26,150,30.98
211,2019,12,3,14,19,28,151,31.07
212,2019,12,3,14,19,29,152,30.98
213,2019,12,3,14,19,30,153,31.07
214,2019,12,3,14,19,31,154,31.07
215,2019,12,3,14,19,32,155,30.98
216,2019,12,3,14,19,33,156,30.98
217,2019,12,3,14,19,34,157,31.07
218,2019,12,3,14,19,35,158,30.98
219,2019,12,3,14,19,36,159,31.07
220,2019,12,3,14,19,37,160,31.07
221,2019,12,3,14,19,38,161,31.07
222,2019,12,3,14,19,39,162,30.98
223,2019,12,3,14,19,40,163,31.07
224,2019,12,3,14,19,41,164,30.98
225,2019,12,3,14,19,42,165,30.98
226,2019,12,3,14,19,43,166,30.98
227,2019,12,3,14,19,44,167,30.98
228,2019,12,3,14,19,45,168,30.98
229,2019,12,3,14,19,46,169,30.98
230,2019,12,3,14,19,47,170,30.98
231,2019,12,3,14,19,48,171,30.98
232,2019,12,3,14,19,49,172,30.98
233,2019,12,3,14,19,50,173,30.98
234,2019,12,3,14,19,51,174,31.07
235,2019,12,3,14,19,52,175,31.07
236,2019,12,3,14,19,53,176,31.07
237,2019,12,3,14,19,54,177,31.07
238,2019,12,3,14,19,55,178,31.07
239,2019,12,3,14,19,56,179,30.98
240,2019,12,3,14,19,57,180,30.98
241,2019,12,3,14,19,58,181,30.98
242,2019,12,3,14,19,59,182,30.98
243,2019,12,3,14,20,0,183,31.07
244,2019,12,3,14,20,1,184,30.98
245,2019,12,3,14,20,2,185,30.98
246,2019,12,3,14,20,4,186,30.98
247,2019,12,3,14,20,5,187,31.07
248,2019,12,3,14,20,6,188,30.98
249,2019,12,3,14,20,7,189,30.98
250,2019,12,3,14,20,8,190,30.98
251,2019,12,3,14,20,9,191,31.07
252,2019,12,3,14,20,10,192,30.98
253,2019,12,3,14,20,11,193,30.98
254,2019,12,3,14,20,12,194,30.98
255,2019,12,3,14,20,13,195,31.07
256,2019,12,3,14,20,14,196,30.98
257,2019,12,3,14,20,15,197,30.98
258,2019,12,3,14,20,16,198,30.98
259,2019,12,3,14,20,17,199,30.98
260,2019,12,3,14,20,18,200,31.07
261,2019,12,3,14,20,19,201,31.07
262,2019,12,3,14,20,20,202,30.98
263,2019,12,3,14,20,21,203,30.98
264,2019,12,3,14,20,22,204,31.07
265,2019,12,3,14,20,23,205,30.98
