id,year,month,day,hour,minute,second,Etime,Tcham
0,2019,12,4,16,17,28,-60,24.01
1,2019,12,4,16,17,29,-59,24.01
2,2019,12,4,16,17,30,-58,24.09
3,2019,12,4,16,17,31,-57,24.09
4,2019,12,4,16,17,32,-56,24.09
5,2019,12,4,16,17,33,-55,24.09
6,2019,12,4,16,17,34,-54,24.09
7,2019,12,4,16,17,35,-53,24.09
8,2019,12,4,16,17,36,-52,24.09
9,2019,12,4,16,17,37,-51,24.09
10,2019,12,4,16,17,38,-50,24.09
11,2019,12,4,16,17,39,-49,24.09
12,2019,12,4,16,17,40,-48,24.09
13,2019,12,4,16,17,41,-47,24.01
14,2019,12,4,16,17,42,-46,24.01
15,2019,12,4,16,17,43,-45,24.09
16,2019,12,4,16,17,44,-44,24.09
17,2019,12,4,16,17,45,-43,24.09
18,2019,12,4,16,17,46,-42,24.01
19,2019,12,4,16,17,47,-41,24.09
20,2019,12,4,16,17,48,-40,24.09
21,2019,12,4,16,17,49,-39,24.09
22,2019,12,4,16,17,50,-38,24.09
23,2019,12,4,16,17,51,-37,24.09
24,2019,12,4,16,17,52,-36,24.09
25,2019,12,4,16,17,53,-35,24.09
26,2019,12,4,16,17,54,-34,24.09
27,2019,12,4,16,17,55,-33,24.09
28,2019,12,4,16,17,57,-32,24.09
29,2019,12,4,16,17,58,-31,24.09
30,2019,12,4,16,17,59,-30,24.09
31,2019,12,4,16,18,0,-29,24.09
32,2019,12,4,16,18,1,-28,24.09
33,2019,12,4,16,18,2,-27,24.09
34,2019,12,4,16,18,3,-26,24.09
35,2019,12,4,16,18,4,-25,24.09
36,2019,12,4,16,18,5,-24,24.09
37,2019,12,4,16,18,6,-23,24.09
38,2019,12,4,16,18,7,-22,24.09
39,2019,12,4,16,18,8,-21,24.09
40,2019,12,4,16,18,9,-20,24.09
41,2019,12,4,16,18,10,-19,24.09
42,2019,12,4,16,18,11,-18,24.09
43,2019,12,4,16,18,12,-17,24.09
44,2019,12,4,16,18,13,-16,24.09
45,2019,12,4,16,18,14,-15,24.09
46,2019,12,4,16,18,15,-14,24.09
47,2019,12,4,16,18,16,-13,24.09
48,2019,12,4,16,18,17,-12,24.09
49,2019,12,4,16,18,18,-11,24.09
50,2019,12,4,16,18,19,-10,24.09
51,2019,12,4,16,18,20,-9,24.09
52,2019,12,4,16,18,21,-8,24.09
53,2019,12,4,16,18,22,-7,24.09
54,2019,12,4,16,18,23,-6,24.09
55,2019,12,4,16,18,24,-5,24.09
56,2019,12,4,16,18,25,-4,24.09
57,2019,12,4,16,18,26,-3,24.09
58,2019,12,4,16,18,27,-2,24.09
59,2019,12,4,16,18,28,-1,24.09
60,2019,12,4,16,18,29,0,24.01
61,2019,12,4,16,18,30,1,24.01
62,2019,12,4,16,18,31,2,24.01
63,2019,12,4,16,18,32,3,24.01
64,2019,12,4,16,18,34,4,24.01
65,2019,12,4,16,18,35,5,24.01
66,2019,12,4,16,18,36,6,24.01
67,2019,12,4,16,18,37,7,24.01
68,2019,12,4,16,18,38,8,24.01
69,2019,12,4,16,18,39,9,24.01
70,2019,12,4,16,18,40,10,24.09
71,2019,12,4,16,18,41,11,24.01
72,2019,12,4,16,18,42,12,24.01
73,2019,12,4,16,18,43,13,24.01
74,2019,12,4,16,18,44,14,24.01
75,2019,12,4,16,18,45,15,24.01
76,2019,12,4,16,18,46,16,24.01
77,2019,12,4,16,18,47,17,24.01
78,2019,12,4,16,18,48,18,24.01
79,2019,12,4,16,18,49,19,24.01
80,2019,12,4,16,18,50,20,24.01
81,2019,12,4,16,18,51,21,24.01
82,2019,12,4,16,18,52,22,24.01
83,2019,12,4,16,18,53,23,24.01
84,2019,12,4,16,18,54,24,24.01
85,2019,12,4,16,18,55,25,24.01
86,2019,12,4,16,18,56,26,24.01
87,2019,12,4,16,18,57,27,24.01
88,2019,12,4,16,18,58,28,24.01
89,2019,12,4,16,18,59,29,24.01
90,2019,12,4,16,19,0,30,24.01
91,2019,12,4,16,19,1,31,24.01
92,2019,12,4,16,19,2,32,24.01
93,2019,12,4,16,19,3,33,24.01
94,2019,12,4,16,19,4,34,24.01
95,2019,12,4,16,19,5,35,24.01
