id,year,month,day,hour,minute,second,Etime,Tcham
0,2019,12,5,18,7,18,-60,33.38
1,2019,12,5,18,7,19,-59,33.29
2,2019,12,5,18,7,20,-58,33.38
3,2019,12,5,18,7,21,-57,33.29
4,2019,12,5,18,7,22,-56,33.38
5,2019,12,5,18,7,23,-55,33.38
6,2019,12,5,18,7,24,-54,33.38
7,2019,12,5,18,7,25,-53,33.38
8,2019,12,5,18,7,26,-52,33.38
9,2019,12,5,18,7,27,-51,33.38
10,2019,12,5,18,7,28,-50,33.38
11,2019,12,5,18,7,29,-49,33.38
12,2019,12,5,18,7,30,-48,33.38
13,2019,12,5,18,7,32,-47,33.38
14,2019,12,5,18,7,33,-46,33.47
15,2019,12,5,18,7,34,-45,33.47
16,2019,12,5,18,7,35,-44,33.47
17,2019,12,5,18,7,36,-43,33.47
18,2019,12,5,18,7,37,-42,33.47
19,2019,12,5,18,7,38,-41,33.38
20,2019,12,5,18,7,39,-40,33.47
21,2019,12,5,18,7,40,-39,33.47
22,2019,12,5,18,7,41,-38,33.47
23,2019,12,5,18,7,42,-37,33.47
24,2019,12,5,18,7,43,-36,33.47
25,2019,12,5,18,7,44,-35,33.38
26,2019,12,5,18,7,45,-34,33.47
27,2019,12,5,18,7,46,-33,33.47
28,2019,12,5,18,7,47,-32,33.47
29,2019,12,5,18,7,48,-31,33.47
30,2019,12,5,18,7,49,-30,33.47
31,2019,12,5,18,7,50,-29,33.47
32,2019,12,5,18,7,51,-28,33.56
33,2019,12,5,18,7,52,-27,33.56
34,2019,12,5,18,7,53,-26,33.47
35,2019,12,5,18,7,54,-25,33.47
36,2019,12,5,18,7,55,-24,33.47
37,2019,12,5,18,7,56,-23,33.56
38,2019,12,5,18,7,57,-22,33.56
39,2019,12,5,18,7,58,-21,33.56
40,2019,12,5,18,7,59,-20,33.56
41,2019,12,5,18,8,0,-19,33.47
42,2019,12,5,18,8,1,-18,33.56
43,2019,12,5,18,8,2,-17,33.56
44,2019,12,5,18,8,3,-16,33.56
45,2019,12,5,18,8,4,-15,33.56
46,2019,12,5,18,8,5,-14,33.56
47,2019,12,5,18,8,7,-13,33.56
48,2019,12,5,18,8,8,-12,33.56
49,2019,12,5,18,8,9,-11,33.56
50,2019,12,5,18,8,10,-10,33.56
51,2019,12,5,18,8,11,-9,33.56
52,2019,12,5,18,8,12,-8,33.56
53,2019,12,5,18,8,13,-7,33.56
