id,year,month,day,hour,minute,second,Etime,Tcham
0,2019,6,17,13,13,54,-60,22.67
1,2019,6,17,13,13,55,-59,22.67
2,2019,6,17,13,13,56,-58,22.76
3,2019,6,17,13,13,57,-57,22.67
4,2019,6,17,13,13,58,-56,22.67
5,2019,6,17,13,13,59,-55,22.67
6,2019,6,17,13,14,0,-54,22.67
7,2019,6,17,13,14,1,-53,22.67
8,2019,6,17,13,14,2,-52,22.67
9,2019,6,17,13,14,3,-51,22.67
10,2019,6,17,13,14,4,-50,22.67
11,2019,6,17,13,14,5,-49,22.67
12,2019,6,17,13,14,6,-48,22.67
13,2019,6,17,13,14,7,-47,22.67
14,2019,6,17,13,14,8,-46,22.76
15,2019,6,17,13,14,9,-45,22.67
16,2019,6,17,13,14,10,-44,22.67
17,2019,6,17,13,14,11,-43,22.67
18,2019,6,17,13,14,12,-42,22.67
19,2019,6,17,13,14,13,-41,22.67
20,2019,6,17,13,14,14,-40,22.84
21,2019,6,17,13,14,15,-39,22.67
22,2019,6,17,13,14,16,-38,22.67
23,2019,6,17,13,14,17,-37,22.67
24,2019,6,17,13,14,18,-36,22.76
25,2019,6,17,13,14,19,-35,22.67
26,2019,6,17,13,14,21,-34,22.67
27,2019,6,17,13,14,22,-33,22.67
28,2019,6,17,13,14,23,-32,22.67
29,2019,6,17,13,14,24,-31,22.67
30,2019,6,17,13,14,25,-30,22.67
31,2019,6,17,13,14,26,-29,22.67
32,2019,6,17,13,14,27,-28,22.76
33,2019,6,17,13,14,28,-27,22.67
34,2019,6,17,13,14,29,-26,22.67
35,2019,6,17,13,14,30,-25,22.67
36,2019,6,17,13,14,31,-24,22.67
37,2019,6,17,13,14,32,-23,22.76
38,2019,6,17,13,14,33,-22,22.76
39,2019,6,17,13,14,34,-21,22.67
40,2019,6,17,13,14,35,-20,22.76
41,2019,6,17,13,14,36,-19,22.76
42,2019,6,17,13,14,37,-18,22.67
43,2019,6,17,13,14,38,-17,22.67
44,2019,6,17,13,14,39,-16,22.67
45,2019,6,17,13,14,40,-15,22.67
46,2019,6,17,13,14,41,-14,22.76
47,2019,6,17,13,14,42,-13,22.67
48,2019,6,17,13,14,43,-12,22.67
49,2019,6,17,13,14,44,-11,22.67
50,2019,6,17,13,14,45,-10,22.76
51,2019,6,17,13,14,46,-9,22.67
