id,year,month,day,hour,minute,second,Etime,Tcham
0,2019,6,20,10,28,19,-60,14.63
1,2019,6,20,10,28,20,-59,14.54
2,2019,6,20,10,28,21,-58,14.80
3,2019,6,20,10,28,22,-57,14.63
4,2019,6,20,10,28,23,-56,14.63
5,2019,6,20,10,28,24,-55,14.63
6,2019,6,20,10,28,25,-54,14.80
7,2019,6,20,10,28,26,-53,14.54
8,2019,6,20,10,28,27,-52,14.63
9,2019,6,20,10,28,28,-51,14.63
10,2019,6,20,10,28,29,-50,14.80
11,2019,6,20,10,28,30,-49,14.63
12,2019,6,20,10,28,31,-48,14.63
13,2019,6,20,10,28,32,-47,14.54
14,2019,6,20,10,28,33,-46,14.63
15,2019,6,20,10,28,34,-45,14.54
16,2019,6,20,10,28,35,-44,14.63
17,2019,6,20,10,28,36,-43,14.63
18,2019,6,20,10,28,38,-42,14.54
19,2019,6,20,10,28,39,-41,14.63
20,2019,6,20,10,28,40,-40,14.54
21,2019,6,20,10,28,41,-39,14.63
22,2019,6,20,10,28,42,-38,14.63
23,2019,6,20,10,28,43,-37,14.63
24,2019,6,20,10,28,44,-36,14.63
25,2019,6,20,10,28,45,-35,14.63
26,2019,6,20,10,28,46,-34,14.63
27,2019,6,20,10,28,47,-33,14.63
28,2019,6,20,10,28,48,-32,14.63
29,2019,6,20,10,28,49,-31,14.63
30,2019,6,20,10,28,50,-30,14.63
31,2019,6,20,10,28,51,-29,14.63
32,2019,6,20,10,28,52,-28,14.71
33,2019,6,20,10,28,53,-27,14.63
34,2019,6,20,10,28,54,-26,14.71
35,2019,6,20,10,28,55,-25,14.63
36,2019,6,20,10,28,56,-24,14.63
37,2019,6,20,10,28,57,-23,14.37
38,2019,6,20,10,28,58,-22,14.28
39,2019,6,20,10,28,59,-21,14.37
40,2019,6,20,10,29,0,-20,14.45
41,2019,6,20,10,29,1,-19,14.45
42,2019,6,20,10,29,2,-18,14.45
43,2019,6,20,10,29,3,-17,14.37
44,2019,6,20,10,29,4,-16,14.54
45,2019,6,20,10,29,5,-15,14.45
46,2019,6,20,10,29,6,-14,14.54
47,2019,6,20,10,29,7,-13,14.45
48,2019,6,20,10,29,8,-12,14.54
49,2019,6,20,10,29,9,-11,14.45
50,2019,6,20,10,29,10,-10,14.37
51,2019,6,20,10,29,11,-9,14.37
52,2019,6,20,10,29,12,-8,14.54
53,2019,6,20,10,29,14,-7,14.37
54,2019,6,20,10,29,15,-6,14.54
55,2019,6,20,10,29,16,-5,14.45
56,2019,6,20,10,29,17,-4,14.37
57,2019,6,20,10,29,18,-3,14.37
58,2019,6,20,10,29,19,-2,14.54
59,2019,6,20,10,29,20,-1,14.37
60,2019,6,20,10,29,21,0,13.94
61,2019,6,20,10,29,22,1,13.94
62,2019,6,20,10,29,23,2,14.03
63,2019,6,20,10,29,24,3,13.94
64,2019,6,20,10,29,25,4,14.11
65,2019,6,20,10,29,26,5,14.03
66,2019,6,20,10,29,27,6,14.03
67,2019,6,20,10,29,28,7,14.03
68,2019,6,20,10,29,29,8,14.03
69,2019,6,20,10,29,30,9,14.03
70,2019,6,20,10,29,31,10,13.94
71,2019,6,20,10,29,32,11,13.94
72,2019,6,20,10,29,33,12,14.03
73,2019,6,20,10,29,34,13,14.03
74,2019,6,20,10,29,35,14,14.03
75,2019,6,20,10,29,36,15,13.94
76,2019,6,20,10,29,37,16,14.11
77,2019,6,20,10,29,38,17,14.03
78,2019,6,20,10,29,39,18,14.03
79,2019,6,20,10,29,40,19,14.03
80,2019,6,20,10,29,41,20,14.03
81,2019,6,20,10,29,42,21,14.03
82,2019,6,20,10,29,43,22,14.03
83,2019,6,20,10,29,44,23,14.03
84,2019,6,20,10,29,45,24,14.03
85,2019,6,20,10,29,46,25,14.03
86,2019,6,20,10,29,47,26,14.03
87,2019,6,20,10,29,48,27,14.11
88,2019,6,20,10,29,49,28,14.11
89,2019,6,20,10,29,50,29,14.03
90,2019,6,20,10,29,51,30,14.03
91,2019,6,20,10,29,53,31,14.03
92,2019,6,20,10,29,54,32,14.11
93,2019,6,20,10,29,55,33,14.03
94,2019,6,20,10,29,56,34,14.03
95,2019,6,20,10,29,57,35,14.03
96,2019,6,20,10,29,58,36,14.03
97,2019,6,20,10,29,59,37,14.03
98,2019,6,20,10,30,0,38,14.03
99,2019,6,20,10,30,1,39,14.03
100,2019,6,20,10,30,2,40,14.03
101,2019,6,20,10,30,3,41,14.03
102,2019,6,20,10,30,4,42,14.03
103,2019,6,20,10,30,5,43,14.03
