id,year,month,day,hour,minute,second,Etime,Tcham
0,2019,6,20,16,39,50,-60,22.09
1,2019,6,20,16,39,51,-59,22.09
2,2019,6,20,16,39,52,-58,22.09
3,2019,6,20,16,39,53,-57,22.09
4,2019,6,20,16,39,54,-56,22.09
5,2019,6,20,16,39,55,-55,22.09
6,2019,6,20,16,39,56,-54,22.01
7,2019,6,20,16,39,57,-53,22.01
8,2019,6,20,16,39,58,-52,22.01
9,2019,6,20,16,39,59,-51,22.01
10,2019,6,20,16,40,0,-50,22.09
11,2019,6,20,16,40,2,-49,22.09
12,2019,6,20,16,40,3,-48,22.09
13,2019,6,20,16,40,4,-47,22.01
14,2019,6,20,16,40,5,-46,22.17
15,2019,6,20,16,40,6,-45,22.01
16,2019,6,20,16,40,7,-44,22.17
17,2019,6,20,16,40,8,-43,22.01
18,2019,6,20,16,40,9,-42,22.01
19,2019,6,20,16,40,10,-41,21.92
20,2019,6,20,16,40,11,-40,22.09
21,2019,6,20,16,40,12,-39,22.01
22,2019,6,20,16,40,13,-38,22.01
23,2019,6,20,16,40,14,-37,21.92
24,2019,6,20,16,40,15,-36,21.92
25,2019,6,20,16,40,16,-35,22.01
26,2019,6,20,16,40,17,-34,21.92
27,2019,6,20,16,40,18,-33,21.92
28,2019,6,20,16,40,19,-32,21.92
29,2019,6,20,16,40,20,-31,21.92
30,2019,6,20,16,40,21,-30,21.92
31,2019,6,20,16,40,22,-29,21.92
32,2019,6,20,16,40,23,-28,21.92
33,2019,6,20,16,40,24,-27,22.01
34,2019,6,20,16,40,25,-26,22.01
35,2019,6,20,16,40,26,-25,21.92
36,2019,6,20,16,40,27,-24,22.01
37,2019,6,20,16,40,28,-23,21.84
38,2019,6,20,16,40,29,-22,21.92
39,2019,6,20,16,40,30,-21,21.92
40,2019,6,20,16,40,31,-20,21.84
41,2019,6,20,16,40,32,-19,21.84
42,2019,6,20,16,40,33,-18,22.01
43,2019,6,20,16,40,34,-17,21.92
44,2019,6,20,16,40,35,-16,21.92
45,2019,6,20,16,40,36,-15,21.92
46,2019,6,20,16,40,38,-14,22.01
47,2019,6,20,16,40,39,-13,21.92
48,2019,6,20,16,40,40,-12,22.01
49,2019,6,20,16,40,41,-11,21.84
50,2019,6,20,16,40,42,-10,21.84
51,2019,6,20,16,40,43,-9,21.84
52,2019,6,20,16,40,44,-8,21.92
53,2019,6,20,16,40,45,-7,21.92
54,2019,6,20,16,40,46,-6,21.84
55,2019,6,20,16,40,47,-5,21.84
56,2019,6,20,16,40,48,-4,21.92
57,2019,6,20,16,40,49,-3,21.84
58,2019,6,20,16,40,50,-2,21.84
59,2019,6,20,16,40,51,-1,21.84
60,2019,6,20,16,40,52,0,21.76
61,2019,6,20,16,40,53,1,21.76
62,2019,6,20,16,40,54,2,21.67
63,2019,6,20,16,40,55,3,21.76
64,2019,6,20,16,40,56,4,21.76
65,2019,6,20,16,40,57,5,21.76
66,2019,6,20,16,40,58,6,21.84
67,2019,6,20,16,40,59,7,21.76
68,2019,6,20,16,41,0,8,21.84
69,2019,6,20,16,41,1,9,21.76
70,2019,6,20,16,41,2,10,21.67
71,2019,6,20,16,41,3,11,21.67
72,2019,6,20,16,41,4,12,21.76
73,2019,6,20,16,41,5,13,21.67
74,2019,6,20,16,41,6,14,21.76
75,2019,6,20,16,41,7,15,21.76
76,2019,6,20,16,41,8,16,21.76
77,2019,6,20,16,41,9,17,21.76
78,2019,6,20,16,41,10,18,21.76
79,2019,6,20,16,41,11,19,21.76
80,2019,6,20,16,41,12,20,21.76
81,2019,6,20,16,41,13,21,21.76
82,2019,6,20,16,41,14,22,21.67
83,2019,6,20,16,41,16,23,21.67
84,2019,6,20,16,41,17,24,21.76
85,2019,6,20,16,41,18,25,21.76
86,2019,6,20,16,41,19,26,21.76
87,2019,6,20,16,41,20,27,21.67
88,2019,6,20,16,41,21,28,21.76
89,2019,6,20,16,41,22,29,21.67
90,2019,6,20,16,41,23,30,21.67
91,2019,6,20,16,41,24,31,21.76
92,2019,6,20,16,41,25,32,21.76
93,2019,6,20,16,41,26,33,21.67
94,2019,6,20,16,41,27,34,21.76
95,2019,6,20,16,41,28,35,21.67
96,2019,6,20,16,41,29,36,21.67
97,2019,6,20,16,41,30,37,21.67
98,2019,6,20,16,41,31,38,21.67
99,2019,6,20,16,41,32,39,21.67
100,2019,6,20,16,41,33,40,21.67
101,2019,6,20,16,41,34,41,21.67
102,2019,6,20,16,41,35,42,21.76
103,2019,6,20,16,41,36,43,21.67
104,2019,6,20,16,41,37,44,21.67
105,2019,6,20,16,41,38,45,21.59
106,2019,6,20,16,41,39,46,21.67
107,2019,6,20,16,41,40,47,21.67
108,2019,6,20,16,41,41,48,21.76
109,2019,6,20,16,41,42,49,21.67
110,2019,6,20,16,41,43,50,21.67
111,2019,6,20,16,41,44,51,21.67
112,2019,6,20,16,41,45,52,21.67
113,2019,6,20,16,41,46,53,21.59
114,2019,6,20,16,41,47,54,21.59
115,2019,6,20,16,41,48,55,21.67
116,2019,6,20,16,41,49,56,21.59
117,2019,6,20,16,41,50,57,21.67
118,2019,6,20,16,41,51,58,21.59
119,2019,6,20,16,41,53,59,21.67
120,2019,6,20,16,41,54,60,21.67
121,2019,6,20,16,41,55,61,21.67
122,2019,6,20,16,41,56,62,21.59
123,2019,6,20,16,41,57,63,21.59
124,2019,6,20,16,41,58,64,21.67
125,2019,6,20,16,41,59,65,21.67
126,2019,6,20,16,42,0,66,21.59
127,2019,6,20,16,42,1,67,21.59
128,2019,6,20,16,42,2,68,21.67
129,2019,6,20,16,42,3,69,21.67
130,2019,6,20,16,42,4,70,21.67
131,2019,6,20,16,42,5,71,21.67
132,2019,6,20,16,42,6,72,21.59
133,2019,6,20,16,42,7,73,21.59
134,2019,6,20,16,42,8,74,21.67
135,2019,6,20,16,42,9,75,21.59
136,2019,6,20,16,42,10,76,21.67
137,2019,6,20,16,42,11,77,21.67
138,2019,6,20,16,42,12,78,21.67
139,2019,6,20,16,42,13,79,21.59
140,2019,6,20,16,42,14,80,21.67
141,2019,6,20,16,42,15,81,21.67
142,2019,6,20,16,42,16,82,21.59
143,2019,6,20,16,42,17,83,21.59
144,2019,6,20,16,42,18,84,21.59
145,2019,6,20,16,42,19,85,21.67
146,2019,6,20,16,42,20,86,21.67
147,2019,6,20,16,42,21,87,21.59
148,2019,6,20,16,42,22,88,21.67
149,2019,6,20,16,42,23,89,21.59
150,2019,6,20,16,42,24,90,21.67
151,2019,6,20,16,42,25,91,21.59
152,2019,6,20,16,42,26,92,21.67
153,2019,6,20,16,42,27,93,21.59
154,2019,6,20,16,42,28,94,21.59
155,2019,6,20,16,42,29,95,21.59
156,2019,6,20,16,42,31,96,21.59
157,2019,6,20,16,42,32,97,21.51
158,2019,6,20,16,42,33,98,21.59
159,2019,6,20,16,42,34,99,21.59
160,2019,6,20,16,42,35,100,21.51
161,2019,6,20,16,42,36,101,21.59
162,2019,6,20,16,42,37,102,21.59
163,2019,6,20,16,42,38,103,21.51
164,2019,6,20,16,42,39,104,21.59
165,2019,6,20,16,42,40,105,21.59
166,2019,6,20,16,42,41,106,21.67
167,2019,6,20,16,42,42,107,21.59
168,2019,6,20,16,42,43,108,21.51
169,2019,6,20,16,42,44,109,21.59
170,2019,6,20,16,42,45,110,21.51
171,2019,6,20,16,42,46,111,21.59
172,2019,6,20,16,42,47,112,21.59
173,2019,6,20,16,42,48,113,21.51
174,2019,6,20,16,42,49,114,21.59
175,2019,6,20,16,42,50,115,21.51
176,2019,6,20,16,42,51,116,21.51
177,2019,6,20,16,42,52,117,21.51
178,2019,6,20,16,42,53,118,21.59
179,2019,6,20,16,42,54,119,21.51
180,2019,6,20,16,42,55,120,21.59
181,2019,6,20,16,42,56,121,21.51
182,2019,6,20,16,42,57,122,21.67
183,2019,6,20,16,42,58,123,21.51
184,2019,6,20,16,42,59,124,21.59
185,2019,6,20,16,43,0,125,21.51
186,2019,6,20,16,43,1,126,21.51
187,2019,6,20,16,43,2,127,21.59
188,2019,6,20,16,43,3,128,21.59
189,2019,6,20,16,43,4,129,21.51
190,2019,6,20,16,43,5,130,21.67
191,2019,6,20,16,43,7,131,21.51
192,2019,6,20,16,43,8,132,21.51
193,2019,6,20,16,43,9,133,21.51
194,2019,6,20,16,43,10,134,21.51
195,2019,6,20,16,43,11,135,21.51
196,2019,6,20,16,43,12,136,21.51
197,2019,6,20,16,43,13,137,21.51
198,2019,6,20,16,43,14,138,21.51
199,2019,6,20,16,43,15,139,21.51
200,2019,6,20,16,43,16,140,21.59
201,2019,6,20,16,43,17,141,21.51
202,2019,6,20,16,43,18,142,21.51
203,2019,6,20,16,43,19,143,21.51
204,2019,6,20,16,43,20,144,21.59
205,2019,6,20,16,43,21,145,21.51
206,2019,6,20,16,43,22,146,21.51
207,2019,6,20,16,43,23,147,21.51
208,2019,6,20,16,43,24,148,21.51
209,2019,6,20,16,43,25,149,21.51
210,2019,6,20,16,43,26,150,21.51
211,2019,6,20,16,43,27,151,21.51
212,2019,6,20,16,43,28,152,21.51
213,2019,6,20,16,43,29,153,21.51
214,2019,6,20,16,43,30,154,21.51
215,2019,6,20,16,43,31,155,21.51
216,2019,6,20,16,43,32,156,21.59
217,2019,6,20,16,43,33,157,21.59
218,2019,6,20,16,43,34,158,21.51
219,2019,6,20,16,43,35,159,21.51
220,2019,6,20,16,43,36,160,21.59
221,2019,6,20,16,43,37,161,21.51
222,2019,6,20,16,43,38,162,21.51
223,2019,6,20,16,43,39,163,21.51
224,2019,6,20,16,43,40,164,21.51
225,2019,6,20,16,43,41,165,21.51
226,2019,6,20,16,43,42,166,21.51
227,2019,6,20,16,43,44,167,21.51
228,2019,6,20,16,43,45,168,21.59
229,2019,6,20,16,43,46,169,21.51
230,2019,6,20,16,43,47,170,21.51
231,2019,6,20,16,43,48,171,21.42
232,2019,6,20,16,43,49,172,21.51
233,2019,6,20,16,43,50,173,21.51
234,2019,6,20,16,43,51,174,21.51
235,2019,6,20,16,43,52,175,21.51
236,2019,6,20,16,43,53,176,21.51
237,2019,6,20,16,43,54,177,21.51
238,2019,6,20,16,43,55,178,21.51
239,2019,6,20,16,43,56,179,21.51
240,2019,6,20,16,43,57,180,21.51
241,2019,6,20,16,43,58,181,21.42
242,2019,6,20,16,43,59,182,21.51
243,2019,6,20,16,44,0,183,21.51
244,2019,6,20,16,44,1,184,21.42
245,2019,6,20,16,44,2,185,21.59
246,2019,6,20,16,44,3,186,21.42
247,2019,6,20,16,44,4,187,21.42
248,2019,6,20,16,44,5,188,21.51
249,2019,6,20,16,44,6,189,21.51
250,2019,6,20,16,44,7,190,21.42
251,2019,6,20,16,44,8,191,21.42
252,2019,6,20,16,44,9,192,21.51
253,2019,6,20,16,44,10,193,21.51
254,2019,6,20,16,44,11,194,21.42
255,2019,6,20,16,44,12,195,21.42
256,2019,6,20,16,44,13,196,21.51
257,2019,6,20,16,44,14,197,21.42
258,2019,6,20,16,44,15,198,21.59
259,2019,6,20,16,44,16,199,21.51
260,2019,6,20,16,44,17,200,21.51
261,2019,6,20,16,44,19,201,21.51
262,2019,6,20,16,44,20,202,21.59
263,2019,6,20,16,44,21,203,21.51
264,2019,6,20,16,44,22,204,21.51
265,2019,6,20,16,44,23,205,21.51
266,2019,6,20,16,44,24,206,21.51
267,2019,6,20,16,44,25,207,21.51
268,2019,6,20,16,44,26,208,21.51
269,2019,6,20,16,44,27,209,21.42
270,2019,6,20,16,44,28,210,21.51
271,2019,6,20,16,44,29,211,21.59
272,2019,6,20,16,44,30,212,21.51
273,2019,6,20,16,44,31,213,21.42
274,2019,6,20,16,44,32,214,21.51
275,2019,6,20,16,44,33,215,21.51
276,2019,6,20,16,44,34,216,21.42
277,2019,6,20,16,44,35,217,21.42
278,2019,6,20,16,44,36,218,21.51
279,2019,6,20,16,44,37,219,21.51
280,2019,6,20,16,44,38,220,21.51
281,2019,6,20,16,44,39,221,21.51
282,2019,6,20,16,44,40,222,21.42
283,2019,6,20,16,44,41,223,21.51
284,2019,6,20,16,44,42,224,21.59
285,2019,6,20,16,44,43,225,21.51
286,2019,6,20,16,44,44,226,21.51
287,2019,6,20,16,44,45,227,21.51
288,2019,6,20,16,44,46,228,21.42
289,2019,6,20,16,44,47,229,21.51
290,2019,6,20,16,44,48,230,21.42
291,2019,6,20,16,44,49,231,21.51
292,2019,6,20,16,44,50,232,21.51
293,2019,6,20,16,44,51,233,21.42
294,2019,6,20,16,44,52,234,21.42
295,2019,6,20,16,44,53,235,21.51
296,2019,6,20,16,44,54,236,21.42
297,2019,6,20,16,44,56,237,21.42
298,2019,6,20,16,44,57,238,21.51
299,2019,6,20,16,44,58,239,21.51
300,2019,6,20,16,44,59,240,21.51
301,2019,6,20,16,45,0,241,21.51
302,2019,6,20,16,45,1,242,21.51
303,2019,6,20,16,45,2,243,21.51
304,2019,6,20,16,45,3,244,21.51
305,2019,6,20,16,45,4,245,21.51
306,2019,6,20,16,45,5,246,21.51
307,2019,6,20,16,45,6,247,21.42
