id,year,month,day,hour,minute,second,Etime,Tcham
0,2019,6,21,9,48,16,-60,22.67
1,2019,6,21,9,48,17,-59,22.76
2,2019,6,21,9,48,18,-58,22.59
3,2019,6,21,9,48,19,-57,22.59
4,2019,6,21,9,48,20,-56,22.59
5,2019,6,21,9,48,21,-55,22.76
6,2019,6,21,9,48,22,-54,22.59
7,2019,6,21,9,48,24,-53,22.59
8,2019,6,21,9,48,25,-52,22.67
9,2019,6,21,9,48,26,-51,22.59
10,2019,6,21,9,48,27,-50,22.76
11,2019,6,21,9,48,28,-49,22.84
12,2019,6,21,9,48,29,-48,22.67
13,2019,6,21,9,48,30,-47,22.59
14,2019,6,21,9,48,31,-46,22.67
15,2019,6,21,9,48,32,-45,22.59
16,2019,6,21,9,48,33,-44,22.59
17,2019,6,21,9,48,34,-43,22.67
18,2019,6,21,9,48,35,-42,22.59
19,2019,6,21,9,48,36,-41,22.67
20,2019,6,21,9,48,37,-40,22.92
21,2019,6,21,9,48,38,-39,22.76
22,2019,6,21,9,48,39,-38,22.92
23,2019,6,21,9,48,40,-37,22.76
24,2019,6,21,9,48,41,-36,22.67
25,2019,6,21,9,48,42,-35,22.84
26,2019,6,21,9,48,43,-34,22.84
27,2019,6,21,9,48,44,-33,22.92
28,2019,6,21,9,48,45,-32,22.76
29,2019,6,21,9,48,46,-31,22.67
30,2019,6,21,9,48,47,-30,22.76
31,2019,6,21,9,48,48,-29,22.67
32,2019,6,21,9,48,49,-28,22.67
33,2019,6,21,9,48,50,-27,22.67
34,2019,6,21,9,48,51,-26,22.67
35,2019,6,21,9,48,52,-25,22.92
36,2019,6,21,9,48,53,-24,22.76
37,2019,6,21,9,48,54,-23,22.51
38,2019,6,21,9,48,55,-22,22.51
39,2019,6,21,9,48,56,-21,22.51
40,2019,6,21,9,48,57,-20,22.76
41,2019,6,21,9,48,58,-19,22.67
42,2019,6,21,9,48,59,-18,22.59
43,2019,6,21,9,49,1,-17,22.67
44,2019,6,21,9,49,2,-16,22.59
45,2019,6,21,9,49,3,-15,22.51
46,2019,6,21,9,49,4,-14,22.67
47,2019,6,21,9,49,5,-13,22.84
48,2019,6,21,9,49,6,-12,22.84
49,2019,6,21,9,49,7,-11,22.51
50,2019,6,21,9,49,8,-10,22.76
51,2019,6,21,9,49,9,-9,22.51
52,2019,6,21,9,49,10,-8,22.76
53,2019,6,21,9,49,11,-7,22.76
54,2019,6,21,9,49,12,-6,22.51
55,2019,6,21,9,49,13,-5,22.59
56,2019,6,21,9,49,14,-4,22.67
57,2019,6,21,9,49,15,-3,22.59
58,2019,6,21,9,49,16,-2,22.76
59,2019,6,21,9,49,17,-1,22.59
60,2019,6,21,9,49,18,0,22.76
61,2019,6,21,9,49,19,1,22.51
62,2019,6,21,9,49,20,2,22.76
63,2019,6,21,9,49,21,3,22.42
64,2019,6,21,9,49,22,4,22.67
65,2019,6,21,9,49,23,5,22.51
66,2019,6,21,9,49,24,6,22.51
67,2019,6,21,9,49,25,7,22.42
68,2019,6,21,9,49,26,8,22.67
69,2019,6,21,9,49,27,9,22.51
70,2019,6,21,9,49,28,10,22.51
71,2019,6,21,9,49,29,11,22.51
72,2019,6,21,9,49,30,12,22.67
73,2019,6,21,9,49,31,13,22.42
74,2019,6,21,9,49,32,14,22.76
75,2019,6,21,9,49,33,15,22.51
76,2019,6,21,9,49,34,16,22.67
77,2019,6,21,9,49,35,17,22.51
78,2019,6,21,9,49,36,18,22.59
79,2019,6,21,9,49,38,19,22.59
80,2019,6,21,9,49,39,20,22.76
81,2019,6,21,9,49,40,21,22.51
82,2019,6,21,9,49,41,22,22.76
83,2019,6,21,9,49,42,23,22.42
84,2019,6,21,9,49,43,24,22.76
85,2019,6,21,9,49,44,25,22.51
86,2019,6,21,9,49,45,26,22.59
87,2019,6,21,9,49,46,27,22.42
88,2019,6,21,9,49,47,28,22.51
89,2019,6,21,9,49,48,29,22.67
90,2019,6,21,9,49,49,30,22.76
91,2019,6,21,9,49,50,31,22.51
92,2019,6,21,9,49,51,32,22.51
93,2019,6,21,9,49,52,33,22.51
94,2019,6,21,9,49,53,34,22.76
95,2019,6,21,9,49,54,35,22.51
96,2019,6,21,9,49,55,36,22.76
97,2019,6,21,9,49,56,37,22.67
98,2019,6,21,9,49,57,38,22.67
99,2019,6,21,9,49,58,39,22.51
100,2019,6,21,9,49,59,40,22.76
101,2019,6,21,9,50,0,41,22.51
102,2019,6,21,9,50,1,42,22.51
103,2019,6,21,9,50,2,43,22.51
104,2019,6,21,9,50,3,44,22.76
105,2019,6,21,9,50,4,45,22.51
106,2019,6,21,9,50,5,46,22.76
107,2019,6,21,9,50,6,47,22.51
108,2019,6,21,9,50,7,48,22.67
109,2019,6,21,9,50,8,49,22.51
110,2019,6,21,9,50,9,50,22.76
111,2019,6,21,9,50,10,51,22.51
112,2019,6,21,9,50,11,52,22.51
113,2019,6,21,9,50,12,53,22.51
114,2019,6,21,9,50,13,54,22.76
115,2019,6,21,9,50,15,55,22.59
116,2019,6,21,9,50,16,56,22.76
117,2019,6,21,9,50,17,57,22.51
118,2019,6,21,9,50,18,58,22.67
119,2019,6,21,9,50,19,59,22.76
120,2019,6,21,9,50,20,60,22.76
121,2019,6,21,9,50,21,61,22.67
122,2019,6,21,9,50,22,62,22.51
123,2019,6,21,9,50,23,63,22.59
124,2019,6,21,9,50,24,64,22.76
125,2019,6,21,9,50,25,65,22.51
126,2019,6,21,9,50,26,66,22.76
127,2019,6,21,9,50,27,67,22.59
128,2019,6,21,9,50,28,68,22.67
129,2019,6,21,9,50,29,69,22.51
130,2019,6,21,9,50,30,70,22.76
131,2019,6,21,9,50,31,71,22.67
132,2019,6,21,9,50,32,72,22.51
133,2019,6,21,9,50,33,73,22.51
134,2019,6,21,9,50,34,74,22.76
135,2019,6,21,9,50,35,75,22.51
136,2019,6,21,9,50,36,76,22.76
137,2019,6,21,9,50,37,77,22.51
138,2019,6,21,9,50,38,78,22.67
139,2019,6,21,9,50,39,79,22.51
140,2019,6,21,9,50,40,80,22.67
141,2019,6,21,9,50,41,81,22.76
142,2019,6,21,9,50,42,82,22.51
143,2019,6,21,9,50,43,83,22.51
144,2019,6,21,9,50,44,84,22.76
145,2019,6,21,9,50,45,85,22.51
146,2019,6,21,9,50,46,86,22.76
147,2019,6,21,9,50,47,87,22.67
148,2019,6,21,9,50,48,88,22.67
149,2019,6,21,9,50,49,89,22.51
150,2019,6,21,9,50,50,90,22.59
151,2019,6,21,9,50,51,91,22.76
152,2019,6,21,9,50,53,92,22.51
