id,year,month,day,hour,minute,second,Etime,Tcham
0,2019,6,21,15,26,5,-60,30.72
1,2019,6,21,15,26,6,-59,30.81
2,2019,6,21,15,26,7,-58,30.72
3,2019,6,21,15,26,8,-57,30.81
4,2019,6,21,15,26,9,-56,30.81
5,2019,6,21,15,26,10,-55,30.81
6,2019,6,21,15,26,11,-54,30.81
7,2019,6,21,15,26,12,-53,30.81
8,2019,6,21,15,26,13,-52,30.90
9,2019,6,21,15,26,14,-51,30.90
10,2019,6,21,15,26,15,-50,30.90
11,2019,6,21,15,26,16,-49,30.98
12,2019,6,21,15,26,17,-48,30.98
13,2019,6,21,15,26,18,-47,30.81
14,2019,6,21,15,26,19,-46,30.90
15,2019,6,21,15,26,20,-45,30.98
16,2019,6,21,15,26,21,-44,30.98
17,2019,6,21,15,26,22,-43,30.98
18,2019,6,21,15,26,23,-42,30.98
19,2019,6,21,15,26,24,-41,30.90
20,2019,6,21,15,26,25,-40,30.90
21,2019,6,21,15,26,26,-39,30.98
22,2019,6,21,15,26,27,-38,30.90
23,2019,6,21,15,26,28,-37,30.90
24,2019,6,21,15,26,30,-36,30.90
25,2019,6,21,15,26,31,-35,30.81
26,2019,6,21,15,26,32,-34,30.98
27,2019,6,21,15,26,33,-33,30.90
28,2019,6,21,15,26,34,-32,30.81
29,2019,6,21,15,26,35,-31,30.90
30,2019,6,21,15,26,36,-30,30.98
31,2019,6,21,15,26,37,-29,30.90
32,2019,6,21,15,26,38,-28,30.90
33,2019,6,21,15,26,39,-27,30.81
34,2019,6,21,15,26,40,-26,30.98
35,2019,6,21,15,26,41,-25,30.98
36,2019,6,21,15,26,42,-24,30.90
37,2019,6,21,15,26,43,-23,30.98
38,2019,6,21,15,26,44,-22,30.98
39,2019,6,21,15,26,45,-21,30.98
40,2019,6,21,15,26,46,-20,30.90
41,2019,6,21,15,26,47,-19,30.90
42,2019,6,21,15,26,48,-18,30.81
43,2019,6,21,15,26,49,-17,30.90
44,2019,6,21,15,26,50,-16,30.72
45,2019,6,21,15,26,51,-15,30.72
46,2019,6,21,15,26,52,-14,30.81
47,2019,6,21,15,26,53,-13,30.72
48,2019,6,21,15,26,54,-12,30.29
49,2019,6,21,15,26,55,-11,28.48
50,2019,6,21,15,26,56,-10,28.31
51,2019,6,21,15,26,57,-9,28.73
