id,year,month,day,hour,minute,second,Etime,Tcham
0,2020,12,4,17,40,18,-60,24.84
1,2020,12,4,17,40,19,-59,19.09
2,2020,12,4,17,40,20,-58,19.09
3,2020,12,4,17,40,21,-57,19.09
4,2020,12,4,17,40,22,-56,19.09
5,2020,12,4,17,40,23,-55,19.09
6,2020,12,4,17,40,24,-54,19.09
7,2020,12,4,17,40,25,-53,19.18
8,2020,12,4,17,40,26,-52,19.18
9,2020,12,4,17,40,27,-51,19.18
10,2020,12,4,17,40,28,-50,19.18
11,2020,12,4,17,40,29,-49,19.18
12,2020,12,4,17,40,30,-48,19.18
13,2020,12,4,17,40,31,-47,19.18
14,2020,12,4,17,40,32,-46,19.18
15,2020,12,4,17,40,33,-45,19.26
16,2020,12,4,17,40,34,-44,19.26
17,2020,12,4,17,40,35,-43,19.26
18,2020,12,4,17,40,36,-42,19.26
19,2020,12,4,17,40,37,-41,19.26
20,2020,12,4,17,40,38,-40,19.26
21,2020,12,4,17,40,39,-39,19.34
22,2020,12,4,17,40,40,-38,19.34
23,2020,12,4,17,40,41,-37,19.34
24,2020,12,4,17,40,42,-36,19.34
25,2020,12,4,17,40,43,-35,19.34
26,2020,12,4,17,40,44,-34,19.34
27,2020,12,4,17,40,45,-33,19.43
28,2020,12,4,17,40,46,-32,19.34
29,2020,12,4,17,40,47,-31,19.43
30,2020,12,4,17,40,48,-30,19.43
31,2020,12,4,17,40,49,-29,19.43
32,2020,12,4,17,40,50,-28,19.43
33,2020,12,4,17,40,52,-27,19.43
34,2020,12,4,17,40,53,-26,19.51
35,2020,12,4,17,40,54,-25,19.43
36,2020,12,4,17,40,55,-24,19.51
37,2020,12,4,17,40,56,-23,19.43
38,2020,12,4,17,40,57,-22,19.43
39,2020,12,4,17,40,58,-21,19.51
40,2020,12,4,17,40,59,-20,19.51
41,2020,12,4,17,41,0,-19,19.51
42,2020,12,4,17,41,1,-18,19.51
43,2020,12,4,17,41,2,-17,19.51
44,2020,12,4,17,41,3,-16,19.59
45,2020,12,4,17,41,4,-15,19.51
46,2020,12,4,17,41,5,-14,19.59
47,2020,12,4,17,41,6,-13,19.51
48,2020,12,4,17,41,7,-12,19.59
49,2020,12,4,17,41,8,-11,19.51
50,2020,12,4,17,41,9,-10,19.59
51,2020,12,4,17,41,10,-9,19.51
52,2020,12,4,17,41,11,-8,19.59
53,2020,12,4,17,41,12,-7,19.59
54,2020,12,4,17,41,13,-6,19.59
55,2020,12,4,17,41,14,-5,19.59
56,2020,12,4,17,41,15,-4,19.59
57,2020,12,4,17,41,16,-3,19.59
58,2020,12,4,17,41,17,-2,19.59
59,2020,12,4,17,41,18,-1,19.59
60,2020,12,4,17,41,19,0,19.76
61,2020,12,4,17,41,20,1,19.68
62,2020,12,4,17,41,21,2,19.68
63,2020,12,4,17,41,22,3,19.76
64,2020,12,4,17,41,23,4,19.76
65,2020,12,4,17,41,24,5,19.76
66,2020,12,4,17,41,25,6,19.76
67,2020,12,4,17,41,26,7,19.76
68,2020,12,4,17,41,27,8,19.68
69,2020,12,4,17,41,29,9,19.76
70,2020,12,4,17,41,30,10,19.76
71,2020,12,4,17,41,31,11,19.76
72,2020,12,4,17,41,32,12,19.76
73,2020,12,4,17,41,33,13,19.76
74,2020,12,4,17,41,34,14,19.76
75,2020,12,4,17,41,35,15,19.76
76,2020,12,4,17,41,36,16,19.76
77,2020,12,4,17,41,37,17,19.84
78,2020,12,4,17,41,38,18,19.84
79,2020,12,4,17,41,39,19,19.76
80,2020,12,4,17,41,40,20,19.84
81,2020,12,4,17,41,41,21,19.84
82,2020,12,4,17,41,42,22,19.84
83,2020,12,4,17,41,43,23,19.84
84,2020,12,4,17,41,44,24,19.84
85,2020,12,4,17,41,45,25,19.84
86,2020,12,4,17,41,46,26,19.84
87,2020,12,4,17,41,47,27,19.84
88,2020,12,4,17,41,48,28,19.84
89,2020,12,4,17,41,49,29,19.84
90,2020,12,4,17,41,50,30,19.84
91,2020,12,4,17,41,51,31,19.84
92,2020,12,4,17,41,52,32,19.84
93,2020,12,4,17,41,53,33,19.93
94,2020,12,4,17,41,54,34,19.84
95,2020,12,4,17,41,55,35,19.84
96,2020,12,4,17,41,56,36,19.93
97,2020,12,4,17,41,57,37,19.93
98,2020,12,4,17,41,58,38,19.93
99,2020,12,4,17,41,59,39,19.93
100,2020,12,4,17,42,0,40,19.93
101,2020,12,4,17,42,1,41,19.93
102,2020,12,4,17,42,2,42,19.93
103,2020,12,4,17,42,3,43,19.93
104,2020,12,4,17,42,4,44,19.93
105,2020,12,4,17,42,5,45,19.93
106,2020,12,4,17,42,7,46,19.93
107,2020,12,4,17,42,8,47,19.93
